Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | CDU+CSU | SPD | FDP | Linke | Grüne | Piraten | AfD | FW | Other
Infratest dimap | N/A | 2023-08-02 | 2023-08-02 | N | 1297 | N/A | 1 | 27 | 17 | 7 | 4 | 15 | N/A | 21 | N/A | 9
YouGov | N/A | 2023-07-25 | 2023-08-02 | N | 1756 | N/A | 1 | 27 | 17 | 5 | 6 | 14 | N/A | 23 | 1 | 7
Kantar | N/A | 2023-08-01 | 2023-08-01 | N | 1310 | N/A | 1 | 27 | 19 | 6 | 5 | 16 | N/A | 19 | N/A | 8
INSA and YouGov | N/A | 2023-07-31 | 2023-07-31 | E | 1001 | N/A | 1 | 26 | 19 | 7 | 5 | 15 | N/A | 23 | N/A | 6
INSA and YouGov | N/A | 2023-07-28 | 2023-07-31 | N | 2003 | N/A | 0.5 | 26.5 | 18.5 | 6.5 | 5 | 14 | N/A | 21.5 | N/A | 8
Forsa | N/A | 2023-07-25 | 2023-07-31 | N | 2500 | 72.0 | 1 | 25 | 17 | 6 | 5 | 15 | N/A | 21 | N/A | 11
INSA and YouGov | N/A | 2023-07-24 | 2023-07-28 | N | 1200 | N/A | 1 | 26 | 18 | 7 | 5 | 14 | N/A | 22 | N/A | 8
Kantar | N/A | 2023-07-19 | 2023-07-25 | N | 1402 | N/A | 1 | 27 | 18 | 6 | 5 | 16 | N/A | 20 | N/A | 8
INSA and YouGov | N/A | 2023-07-21 | 2023-07-24 | N | 2006 | N/A | 0.5 | 26.5 | 18.5 | 7.5 | 4.5 | 14 | N/A | 21.5 | N/A | 7.5
Forsa | N/A | 2023-07-18 | 2023-07-24 | N | 2504 | 72.0 | 1 | 27 | 18 | 6 | 5 | 14 | N/A | 19 | N/A | 11
INSA and YouGov | N/A | 2023-07-17 | 2023-07-21 | N | 1266 | N/A | 1 | 26 | 18 | 7 | 5 | 14 | N/A | 22 | N/A | 8
Infratest dimap | N/A | 2023-07-18 | 2023-07-19 | N | 1235 | N/A | 1 | 28 | 18 | 7 | 4 | 13 | N/A | 20 | N/A | 10
Allensbach | N/A | 2023-07-07 | 2023-07-19 | N | 1011 | N/A | 1 | 29 | 19 | 7 | 4 | 16 | N/A | 18 | N/A | 7
Kantar | N/A | 2023-07-12 | 2023-07-18 | N | 1403 | N/A | 1 | 26 | 18 | 7 | 5 | 16 | N/A | 20 | N/A | 8
INSA and YouGov | N/A | 2023-07-14 | 2023-07-17 | N | 2004 | N/A | 0.5 | 27 | 18 | 7 | 5 | 14 | N/A | 20.5 | N/A | 8.5
Forsa | N/A | 2023-07-11 | 2023-07-17 | N | 2502 | 74.0 | 1 | 26 | 18 | 7 | 4 | 15 | N/A | 20 | N/A | 10
INSA and YouGov | N/A | 2023-07-10 | 2023-07-14 | N | 1184 | N/A | 1 | 27 | 18 | 7 | 5 | 14 | N/A | 20 | N/A | 9
Forschungsgruppe Wahlen | N/A | 2023-07-11 | 2023-07-13 | N | 1347 | 73.0 | 1 | 27 | 17 | 7 | 4 | 16 | N/A | 20 | N/A | 9
Kantar | N/A | 2023-07-05 | 2023-07-11 | N | 1393 | N/A | 1 | 26 | 19 | 7 | 5 | 15 | N/A | 20 | N/A | 8
INSA and YouGov | N/A | 2023-07-07 | 2023-07-10 | N | 2008 | N/A | 0.5 | N/A | 19 | 7 | 5 | 14 | N/A | 20.5 | N/A | 8.5
Ipsos | N/A | 2023-07-07 | 2023-07-09 | N | 1000 | N/A | 1 | 26 | 18 | 7 | 5 | 14 | N/A | 22 | N/A | 8
Forsa | N/A | 2023-07-04 | 2023-07-07 | N | 2003 | 75.0 | 1 | 27 | 18 | 7 | 5 | 14 | N/A | 19 | N/A | 10
INSA and YouGov | N/A | 2023-07-03 | 2023-07-07 | N | 1204 | N/A | 1 | 27 | 19 | 7 | 5 | 13 | N/A | 20 | N/A | 9
Infratest dimap | N/A | 2023-07-03 | 2023-07-05 | N | 1305 | N/A | 1 | 28 | 18 | 7 | 4 | 14 | N/A | 20 | N/A | 9
Kantar | N/A | 2023-07-04 | 2023-07-04 | N | 1403 | N/A | 1 | 27 | 18 | 6 | 5 | 15 | N/A | 20 | N/A | 9
YouGov | N/A | 2023-06-30 | 2023-07-04 | N | 1694 | N/A | 1 | 27 | 18 | 6 | 6 | 14 | N/A | 21 | 1 | 6
INSA and YouGov | N/A | 2023-07-03 | 2023-07-03 | N | 2897 | N/A | 0.5 | N/A | 19 | 6.5 | 5 | 14.5 | N/A | 21 | N/A | 8.5
Forsa | N/A | 2023-07-03 | 2023-07-03 | N | 2501 | 75.0 | 1 | 27 | 18 | 6 | 5 | 15 | N/A | 19 | N/A | 10
GMS | N/A | 2023-07-03 | 2023-07-03 | N | 1005 | N/A | 1 | 28 | 17 | 7 | 4 | 14 | N/A | 20 | N/A | 10
INSA and YouGov | N/A | 2023-06-26 | 2023-06-30 | N | 1401 | N/A | 1 | 26 | 19 | 7 | 5 | 14 | N/A | 20 | N/A | 9
Forschungsgruppe Wahlen | N/A | 2023-06-27 | 2023-06-29 | N | 1379 | 76.0 | 1 | 28 | 18 | 6 | 5 | 16 | N/A | 19 | N/A | 8
Kantar | N/A | 2023-06-20 | 2023-06-27 | N | 1408 | N/A | 1 | 26 | 18 | 7 | 5 | 15 | N/A | 19 | N/A | 10
INSA and YouGov | N/A | 2023-06-23 | 2023-06-26 | N | 2004 | N/A | 0.5 | 26.5 | 19.5 | 6.5 | 4.5 | 13.5 | N/A | 20.5 | N/A | 9
Forsa | N/A | 2023-06-20 | 2023-06-26 | N | 2506 | 75.0 | 1 | 27 | 18 | 7 | 4 | 15 | N/A | 19 | N/A | 10
INSA and YouGov | N/A | 2023-06-19 | 2023-06-23 | N | 1203 | N/A | 1 | 26 | 20 | 7 | 4 | 13 | N/A | 20 | N/A | 10
Allensbach | N/A | 2023-06-09 | 2023-06-22 | N | 1039 | N/A | 1 | 31 | 19 | 8 | 4 | 15 | N/A | 17 | N/A | 6
Infratest dimap | N/A | 2023-06-20 | 2023-06-21 | N | 1191 | N/A | 1 | 29 | 17 | 6 | 4 | 15 | N/A | 19 | N/A | 10
Kantar | N/A | 2023-06-14 | 2023-06-20 | N | 1406 | N/A | 1 | 27 | 19 | 7 | 4 | 15 | N/A | 20 | N/A | 8
INSA and YouGov | N/A | 2023-06-16 | 2023-06-19 | N | 2003 | N/A | 0.5 | 26.5 | 20 | 7.5 | 4.5 | 13.5 | N/A | 20 | N/A | 8
Forsa | N/A | 2023-06-13 | 2023-06-19 | N | 2503 | N/A | 1 | 27 | 18 | 7 | 4 | 15 | N/A | 19 | N/A | 10
INSA and YouGov | N/A | 2023-06-12 | 2023-06-16 | N | 1203 | N/A | 1 | 27 | 20 | 8 | 4 | 13 | N/A | 19 | N/A | 9
Forschungsgruppe Wahlen | N/A | 2023-06-13 | 2023-06-15 | N | 1224 | 79.0 | 1 | 28 | 19 | 6 | 5 | 16 | N/A | 18 | N/A | 8
Kantar | N/A | 2023-06-06 | 2023-06-13 | N | 1387 | N/A | 1 | 27 | 20 | 6 | 5 | 15 | N/A | 19 | N/A | 8
INSA and YouGov | N/A | 2023-06-09 | 2023-06-12 | N | 2003 | N/A | 0.5 | 27 | 20 | 8 | 4.5 | 13 | N/A | 19.5 | N/A | 8
Forsa | N/A | 2023-06-06 | 2023-06-12 | N | 2504 | 76.0 | 1 | 29 | 18 | 7 | 4 | 14 | N/A | 19 | N/A | 9
INSA and YouGov | N/A | 2023-06-05 | 2023-06-09 | N | 1201 | N/A | 1 | 27 | 20 | 8 | 5 | 13 | N/A | 19 | N/A | 8
YouGov | N/A | 2023-06-02 | 2023-06-07 | N | 1628 | N/A | 1 | 28 | 19 | 5 | 6 | 13 | N/A | 20 | 1 | 7
Kantar | N/A | 2023-06-06 | 2023-06-06 | N | 1402 | N/A | 1 | 27 | 20 | 7 | 5 | 15 | N/A | 18 | N/A | 8
GMS | N/A | 2023-06-05 | 2023-06-05 | N | 1001 | N/A | 1 | 29 | 18 | 7 | 4 | 15 | N/A | 19 | N/A | 8
INSA and YouGov | N/A | 2023-06-02 | 2023-06-05 | N | 2009 | N/A | 0.5 | N/A | 19 | 9 | 5 | 13.5 | N/A | 19 | N/A | 8
Forsa | N/A | 2023-05-30 | 2023-06-05 | N | 2505 | 77.0 | 1 | 30 | 18 | 7 | 4 | 14 | N/A | 17 | N/A | 10
Ipsos | N/A | 2023-06-02 | 2023-06-04 | N | 1000 | N/A | 1 | 28 | 20 | 8 | 6 | 13 | N/A | 19 | N/A | 6
INSA and YouGov | N/A | 2023-06-02 | 2023-06-02 | N | 1205 | N/A | 1 | 27 | 19 | 9 | 5 | 13 | N/A | 19 | N/A | 8
Infratest dimap | N/A | 2023-05-30 | 2023-05-31 | N | 1302 | N/A | 1 | 29 | 18 | 7 | 4 | 15 | N/A | 18 | N/A | 9
INSA and YouGov | N/A | 2023-05-26 | 2023-05-30 | N | 2004 | N/A | 0.5 | 28 | 20.5 | 8.5 | 4.5 | 13 | N/A | 18 | N/A | 7.5
Kantar | N/A | 2023-05-23 | 2023-05-30 | N | 1379 | N/A | 1 | 27 | 20 | 8 | 5 | 15 | N/A | 17 | N/A | 8
Forsa | N/A | 2023-05-23 | 2023-05-26 | N | 2001 | 77.0 | 1 | 29 | 18 | 7 | 5 | 14 | N/A | 17 | N/A | 10
INSA and YouGov | N/A | 2023-05-22 | 2023-05-26 | N | 1207 | N/A | 1 | 28 | 20 | 9 | 4 | 13 | N/A | 18 | N/A | 8
Forschungsgruppe Wahlen | N/A | 2023-05-23 | 2023-05-25 | N | 1257 | 76.0 | 1 | 28 | 20 | 6 | 5 | 16 | N/A | 17 | N/A | 8
Kantar | N/A | 2023-05-16 | 2023-05-23 | N | 1321 | N/A | 1 | 29 | 18 | 8 | 5 | 15 | N/A | 16 | N/A | 9
INSA and YouGov | N/A | 2023-05-19 | 2023-05-22 | N | 2004 | N/A | 0.5 | N/A | 20.5 | 8.5 | 5 | 14 | N/A | 17 | N/A | 7.5
Forsa | N/A | 2023-05-16 | 2023-05-22 | N | 2003 | N/A | 1 | 30 | 18 | 7 | 5 | 14 | N/A | 16 | N/A | 10
INSA and YouGov | N/A | 2023-05-15 | 2023-05-19 | N | 1195 | N/A | 1 | 28 | 21 | 8 | 5 | 14 | N/A | 17 | N/A | 7
Kantar | N/A | 2023-05-09 | 2023-05-16 | N | 1401 | N/A | 1 | 28 | 18 | 8 | 5 | 16 | N/A | 16 | N/A | 9
INSA and YouGov | N/A | 2023-05-12 | 2023-05-15 | N | 2010 | N/A | 0.5 | 28 | 20 | 8.5 | 5 | 14.5 | N/A | 16.5 | N/A | 7.5
Forsa | N/A | 2023-05-09 | 2023-05-15 | N | 2503 | N/A | 1 | 30 | 17 | 8 | 4 | 15 | N/A | 16 | N/A | 10
INSA and YouGov | N/A | 2023-05-08 | 2023-05-12 | N | 1205 | N/A | 1 | 28 | 20 | 9 | 4 | 15 | N/A | 16 | N/A | 8
Allensbach | N/A | 2023-05-10 | 2023-05-10 | N | 1001 | N/A | 1 | 32 | 18 | 8 | 5 | 16 | N/A | 15 | N/A | 6
Infratest dimap | N/A | 2023-05-09 | 2023-05-10 | N | 1220 | N/A | 1 | 28 | 18 | 8 | 5 | 16 | N/A | 16 | N/A | 9
YouGov | N/A | 2023-05-05 | 2023-05-09 | N | 1700 | N/A | 1 | 31 | 16 | 5 | 6 | 16 | N/A | 17 | 2 | 7
Kantar | N/A | 2023-05-03 | 2023-05-09 | N | 1405 | N/A | 1 | 29 | 18 | 8 | 5 | 17 | N/A | 16 | N/A | 7
INSA and YouGov | N/A | 2023-05-05 | 2023-05-08 | N | 2008 | N/A | 0.5 | N/A | 20 | 9 | 4.5 | 14 | N/A | 16.5 | N/A | 8
Forsa | N/A | 2023-05-02 | 2023-05-08 | N | 2505 | N/A | 1 | 29 | 18 | 7 | 4 | 16 | N/A | 16 | N/A | 10
Ipsos | N/A | 2023-05-05 | 2023-05-07 | N | 1000 | N/A | 1 | 29 | 19 | 8 | 5 | 15 | N/A | 16 | N/A | 8
INSA and YouGov | N/A | 2023-05-02 | 2023-05-05 | N | 1204 | N/A | 1 | 28 | 20 | 9 | 4 | 14 | N/A | 16 | N/A | 9
Forschungsgruppe Wahlen | N/A | 2023-05-02 | 2023-05-04 | N | 1225 | 71.0 | 1 | 30 | 19 | 6 | 5 | 17 | N/A | 15 | N/A | 8
Infratest dimap | N/A | 2023-05-02 | 2023-05-03 | N | 1360 | N/A | 1 | 30 | 17 | 7 | 5 | 16 | N/A | 16 | N/A | 9
INSA and YouGov | N/A | 2023-05-02 | 2023-05-02 | N | 2006 | N/A | 0.5 | N/A | 21 | 8 | 4.5 | 15 | N/A | 16.5 | N/A | 8
Kantar | N/A | 2023-05-02 | 2023-05-02 | N | 1394 | N/A | 1 | 31 | 17 | 8 | 4 | 16 | N/A | 16 | N/A | 8
Forsa | N/A | 2023-04-25 | 2023-04-28 | N | 2007 | N/A | 1 | 30 | 17 | 7 | 4 | 16 | N/A | 16 | N/A | 10
INSA and YouGov | N/A | 2023-04-24 | 2023-04-28 | N | 1202 | N/A | 1 | 28 | 21 | 8 | 5 | 14 | N/A | 16 | N/A | 8
Kantar | N/A | 2023-04-18 | 2023-04-25 | N | 1426 | N/A | 1 | 30 | 18 | 7 | 5 | 16 | N/A | 16 | N/A | 8
INSA and YouGov | N/A | 2023-04-21 | 2023-04-24 | N | 2004 | N/A | 0.5 | 27.5 | 20 | 9 | 4.5 | 14.5 | N/A | 16 | N/A | 8.5
Forsa | N/A | 2023-04-18 | 2023-04-24 | N | 2506 | 77.0 | 1 | 30 | 18 | 7 | 4 | 16 | N/A | 15 | N/A | 10
INSA and YouGov | N/A | 2023-04-17 | 2023-04-21 | N | 1202 | N/A | 1 | 28 | 20 | 9 | 4 | 15 | N/A | 16 | N/A | 8
Forschungsgruppe Wahlen | N/A | 2023-04-18 | 2023-04-20 | N | 1266 | N/A | 1 | 31 | 18 | 6 | 4 | 18 | N/A | 15 | N/A | 8
Kantar | N/A | 2023-04-12 | 2023-04-18 | N | 1407 | N/A | 1 | 29 | 19 | 7 | 4 | 17 | N/A | 15 | N/A | 9
Allensbach | N/A | 2023-04-03 | 2023-04-18 | N | 1007 | N/A | 0.5 | 31 | 20 | 7.5 | 5 | 15 | N/A | 16 | N/A | 5.5
INSA and YouGov | N/A | 2023-04-14 | 2023-04-17 | N | 2008 | N/A | 0.5 | 27.5 | 21 | 8 | 4.5 | 15 | N/A | 16 | N/A | 8
Forsa | N/A | 2023-04-11 | 2023-04-17 | N | 2508 | 76.0 | 1 | 29 | 18 | 7 | 4 | 17 | N/A | 15 | N/A | 10
INSA and YouGov | N/A | 2023-04-11 | 2023-04-14 | N | 1204 | N/A | 1 | 27 | 21 | 8 | 5 | 15 | N/A | 16 | N/A | 8
Infratest dimap | N/A | 2023-04-11 | 2023-04-12 | N | 1204 | N/A | 1 | 29 | 19 | 7 | 4 | 17 | N/A | 15 | N/A | 9
INSA and YouGov | N/A | 2023-04-06 | 2023-04-11 | N | 2005 | N/A | 0.5 | 27.5 | 20 | 8 | 4.5 | 15.5 | N/A | 16 | N/A | 8.5
Kantar | N/A | 2023-04-05 | 2023-04-11 | N | 1367 | N/A | 1 | 27 | 21 | 8 | 5 | 17 | N/A | 14 | N/A | 8
Forsa | N/A | 2023-04-04 | 2023-04-06 | N | 1501 | 75.0 | 1 | 30 | 18 | 7 | 4 | 18 | N/A | 14 | N/A | 10
INSA and YouGov | N/A | 2023-04-03 | 2023-04-06 | N | 1204 | N/A | 1 | 28 | 20 | 8 | 4 | 16 | N/A | 16 | N/A | 8
Infratest dimap | N/A | 2023-04-03 | 2023-04-05 | N | 1304 | N/A | 1 | 30 | 18 | 7 | 4 | 17 | N/A | 15 | N/A | 9
YouGov | N/A | 2023-04-04 | 2023-04-04 | N | 1522 | N/A | 1 | 30 | 20 | 6 | 6 | 15 | N/A | 17 | 1 | 6
Kantar | N/A | 2023-04-04 | 2023-04-04 | N | 1269 | N/A | 1 | 27 | 20 | 8 | 5 | 18 | N/A | 14 | N/A | 8
Ipsos | N/A | 2023-04-03 | 2023-04-04 | N | 1000 | N/A | 1 | 27 | 21 | 8 | 4 | 17 | N/A | 15 | N/A | 8
Forsa | N/A | 2023-04-03 | 2023-04-03 | N | 2502 | 75.0 | 1 | 29 | 18 | 7 | 4 | 18 | N/A | 14 | N/A | 10
INSA and YouGov | N/A | 2023-04-03 | 2023-04-03 | N | 2007 | N/A | 0.5 | 28 | 20 | 7.5 | 4.5 | 15.5 | N/A | 16 | N/A | 8.5
GMS | N/A | 2023-04-03 | 2023-04-03 | N | 1007 | N/A | 1 | 31 | 19 | 6 | 4 | 17 | N/A | 15 | N/A | 8
INSA and YouGov | N/A | 2023-03-27 | 2023-03-31 | N | 1200 | N/A | 1 | 27 | 21 | 8 | 4 | 16 | N/A | 16 | N/A | 8
Forschungsgruppe Wahlen | N/A | 2023-03-28 | 2023-03-30 | N | 1379 | 75.0 | 1 | 30 | 19 | 7 | 5 | 17 | N/A | 15 | N/A | 7
Kantar | N/A | 2023-03-21 | 2023-03-28 | N | 1387 | N/A | 1 | 28 | 18 | 7 | 4 | 19 | N/A | 15 | N/A | 9
INSA and YouGov | N/A | 2023-03-24 | 2023-03-27 | N | 2004 | N/A | 0.5 | N/A | 20.5 | 8 | 4 | 16 | N/A | 15.5 | N/A | 8
Forsa | N/A | 2023-03-21 | 2023-03-27 | N | 2506 | 76.0 | 1 | 29 | 19 | 6 | 4 | 18 | N/A | 14 | N/A | 10
INSA and YouGov | N/A | 2023-03-20 | 2023-03-24 | N | 1203 | N/A | 1 | 28 | 21 | 8 | 4 | 16 | N/A | 15 | N/A | 8
Kantar | N/A | 2023-03-14 | 2023-03-21 | N | 1504 | N/A | 1 | 28 | 18 | 7 | 5 | 18 | N/A | 15 | N/A | 9
INSA and YouGov | N/A | 2023-03-17 | 2023-03-20 | N | 2006 | N/A | 0.5 | N/A | 21.5 | 7.5 | 5 | 15 | N/A | 16 | N/A | 7
Forsa | N/A | 2023-03-14 | 2023-03-20 | N | 2503 | 77.0 | 1 | 29 | 19 | 6 | 5 | 18 | N/A | 14 | N/A | 9
INSA and YouGov | N/A | 2023-03-13 | 2023-03-17 | N | 1202 | N/A | 1 | 28 | 21 | 8 | 5 | 15 | N/A | 16 | N/A | 7
Forschungsgruppe Wahlen | N/A | 2023-03-14 | 2023-03-16 | N | 1146 | 76.0 | 1 | 29 | 21 | 5 | 5 | 19 | N/A | 14 | N/A | 7
Infratest dimap | N/A | 2023-03-14 | 2023-03-15 | N | 1215 | N/A | 1 | 30 | 18 | 7 | 5 | 16 | N/A | 15 | N/A | 9
Allensbach | N/A | 2023-03-02 | 2023-03-15 | N | 1101 | N/A | 0.5 | 31 | 21 | 6.5 | 4.5 | 16 | N/A | 15 | N/A | 6
Kantar | N/A | 2023-03-08 | 2023-03-14 | N | 1432 | N/A | 1 | 28 | 19 | 7 | 5 | 18 | N/A | 15 | N/A | 8
INSA and YouGov | N/A | 2023-03-10 | 2023-03-13 | N | 2002 | N/A | 0.5 | N/A | 21.5 | 7.5 | 4 | 15.5 | N/A | 16 | N/A | 7
Forsa | N/A | 2023-03-07 | 2023-03-13 | N | 2505 | 78.0 | 1 | 29 | 20 | 6 | 5 | 17 | N/A | 14 | N/A | 9
INSA and YouGov | N/A | 2023-03-06 | 2023-03-10 | N | 1268 | N/A | 1 | 29 | 21 | 7 | 4 | 16 | N/A | 15 | N/A | 8
YouGov | N/A | 2023-03-03 | 2023-03-07 | N | 1649 | N/A | 1 | 28 | 20 | 6 | 7 | 16 | N/A | 17 | 1 | 6
Kantar | N/A | 2023-03-01 | 2023-03-07 | N | 1504 | N/A | 1 | 29 | 19 | 7 | 5 | 19 | N/A | 13 | N/A | 8
Forsa | N/A | 2023-03-06 | 2023-03-06 | N | 2504 | N/A | 1 | 31 | 20 | 5 | 5 | 17 | N/A | 13 | N/A | 9
INSA and YouGov | N/A | 2023-03-03 | 2023-03-06 | N | 2007 | N/A | 0.5 | 29.5 | 20 | 7.5 | 5 | 15.5 | N/A | 15.5 | N/A | 7
INSA and YouGov | N/A | 2023-03-03 | 2023-03-06 | N | 2007 | N/A | 0.5 | N/A | 20 | 7.5 | 5 | 15.5 | N/A | 15.5 | N/A | 7
Ipsos | N/A | 2023-03-03 | 2023-03-04 | N | 1000 | N/A | 1 | 27 | 20 | 7 | 5 | 18 | N/A | 15 | N/A | 8
INSA and YouGov | N/A | 2023-03-03 | 2023-03-03 | N | 1203 | N/A | 1 | 30 | 20 | 7 | 5 | 16 | N/A | 15 | N/A | 7
Forschungsgruppe Wahlen | N/A | 2023-03-02 | 2023-03-02 | N | 1165 | 76.0 | 1 | 29 | 21 | 5 | 5 | 18 | N/A | 15 | N/A | 7
Infratest dimap | N/A | 2023-03-01 | 2023-03-01 | N | 1311 | N/A | 1 | 31 | 18 | 6 | 5 | 17 | N/A | 14 | N/A | 9
Kantar | N/A | 2023-02-21 | 2023-02-28 | N | 1722 | N/A | 1 | 28 | 20 | 6 | 6 | 18 | N/A | 14 | N/A | 8
INSA and YouGov | N/A | 2023-02-24 | 2023-02-27 | N | 2010 | N/A | 0.5 | N/A | 20.5 | 7.5 | 4.5 | 15.5 | N/A | 15.5 | N/A | 7
Forsa | N/A | 2023-02-21 | 2023-02-27 | N | 2501 | 78.0 | 1 | 31 | 20 | 5 | 5 | 17 | N/A | 13 | N/A | 9
INSA and YouGov | N/A | 2023-02-20 | 2023-02-24 | N | 1200 | N/A | 1 | 29 | 21 | 7 | 5 | 16 | N/A | 15 | N/A | 7
Kantar | N/A | 2023-02-14 | 2023-02-21 | N | 1373 | N/A | 1 | 29 | 21 | 6 | 5 | 17 | N/A | 15 | N/A | 7
INSA and YouGov | N/A | 2023-02-17 | 2023-02-20 | N | 2006 | N/A | 0.5 | N/A | 21.5 | 7 | 5 | 15.5 | N/A | 15.5 | N/A | 6.5
GMS | N/A | 2023-02-15 | 2023-02-20 | N | 1004 | N/A | 1 | 29 | 19 | 7 | 5 | 17 | N/A | 15 | N/A | 8
Forsa | N/A | 2023-02-14 | 2023-02-20 | N | 2510 | N/A | 1 | 31 | 19 | 6 | 5 | 17 | N/A | 13 | N/A | 9
INSA and YouGov | N/A | 2023-02-13 | 2023-02-17 | N | 1207 | N/A | 1 | 29 | 21 | 7 | 5 | 16 | N/A | 16 | N/A | 6
Forschungsgruppe Wahlen | N/A | 2023-02-14 | 2023-02-16 | N | 1361 | 75.0 | 1 | 30 | 20 | 5 | 5 | 19 | N/A | 14 | N/A | 7
Infratest dimap | N/A | 2023-02-14 | 2023-02-15 | N | 1216 | N/A | 1 | 29 | 19 | 6 | 5 | 17 | N/A | 15 | N/A | 9
Kantar | N/A | 2023-02-08 | 2023-02-14 | N | 1386 | N/A | 1 | 26 | 21 | 7 | 5 | 18 | N/A | 15 | N/A | 8
