Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Ensemble | RN | LFI | LR | PS | DLF | LÉ | UDI | Agir | PCF | LP | UPR | NPA | G·s | RES | LO | GJ | REC | Other
ELABE | BFMTV and La Tribune Dimanche | 2024-06-19 | 2024-06-21 | N | 1870 | N/A | 0.5 | 20 | 36 | N/A | 10 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-06-18 | 2024-06-21 | N | 2317 | N/A | 0.5 | 21.5 | 35 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-06-19 | 2024-06-20 | N | 2004 | N/A | 1 | 21 | 33 | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | N/A
Ipsos | Le Parisien and Radio France | 2024-06-19 | 2024-06-20 | N | 2000 | N/A | 0.5 | 19.5 | 31.5 | N/A | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | N/A
Odoxa | Le Nouvel Obs | 2024-06-19 | 2024-06-20 | N | 1861 | N/A | 0.5 | 19 | 33 | N/A | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5 | N/A
OpinionWay–Tilder | Les Echos and Radio Classique | 2024-06-19 | 2024-06-20 | N | 1009 | N/A | 1 | 22 | 35 | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-06-18 | 2024-06-20 | N | 1861 | N/A | 1 | 22 | 34 | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | N/A
OpinionWay–Tilder | Cnews, Europe1 and JDD | 2024-06-18 | 2024-06-20 | N | 1057 | N/A | 1 | 20 | 35 | N/A | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | N/A
Cluster17 | Le Point | 2024-06-17 | 2024-06-19 | N | 2654 | N/A | 0.5 | 19 | 32 | N/A | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5 | N/A
Ifop–Fiducial | LCI | 2024-06-14 | 2024-06-17 | N | 1200 | N/A | 1 | 18 | 33 | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | N/A
Ifop–Fiducial | JDD | 2024-06-13 | 2024-06-14 | N | 1114 | N/A | 1 | 19 | 35 | N/A | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | N/A
OpinionWay–Tilder | Les Echos | 2024-06-12 | 2024-06-13 | N | 1011 | N/A | 1 | 20 | 33 | N/A | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | N/A
Cluster17 | Le Point | 2024-06-11 | 2024-06-13 | N | 2800 | N/A | 0.5 | 18 | 29.5 | N/A | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5 | N/A
ELABE | BFMTV and La Tribune Dimanche | 2024-06-11 | 2024-06-12 | N | 1502 | N/A | 0.5 | 18 | 31 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | N/A
OpinionWay–Tilder | Cnews, Europe1 and JDD | 2024-06-11 | 2024-06-12 | N | 1019 | N/A | 1 | 19 | 32 | N/A | 9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-06-10 | 2024-06-11 | N | 1089 | N/A | 1 | 18 | 35 | N/A | 9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-06-10 | 2024-06-11 | N | 1089 | N/A | 1 | 17 | 34 | 11 | 8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-06-10 | 2024-06-11 | N | 1089 | N/A | 0.5 | 16 | 35 | 11 | 8 | 13 | N/A | 6 | N/A | N/A | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5 | N/A
OpinionWay–Tilder | Cnews, Europe1 and JDD | 2024-06-10 | 2024-06-10 | N | 1095 | N/A | 1 | 18 | 33 | N/A | 8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-06-09 | 2024-06-10 | N | 2744 | N/A | 1 | 19 | 34 | N/A | 9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | N/A
Ipsos | N/A | 2024-06-06 | 2024-06-07 | E | 8923 | N/A | 0.5 | 15 | 32 | 9.5 | 7 | 14.5 | N/A | 5 | N/A | N/A | 2.5 | 1 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-06-05 | 2024-06-07 | E | 2200 | N/A | 0.5 | 14 | 32 | 9.5 | 7.5 | 13 | N/A | 5 | N/A | N/A | 3 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5 | N/A
ELABE | N/A | 2024-06-05 | 2024-06-07 | E | 2001 | N/A | 0.5 | 16 | 32 | 9.5 | 6 | 14.5 | N/A | 5.5 | N/A | N/A | 2.5 | 1 | 1 | 0.5 | N/A | N/A | 1 | N/A | 5.5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-06-04 | 2024-06-07 | E | 2710 | N/A | 0.5 | 14.5 | 33 | 9 | 7 | 13.5 | N/A | 5.5 | N/A | N/A | 2.5 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Ipsos | Le Parisien and Radio France | 2024-06-05 | 2024-06-06 | E | 1738 | N/A | 0.5 | 15.5 | 32 | 9 | 7 | 13.5 | N/A | 6 | N/A | N/A | 2.5 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
Odoxa | Public Sénat | 2024-06-05 | 2024-06-06 | E | 1008 | N/A | 0.5 | 15 | 32 | 7 | 7 | 14 | N/A | 5 | N/A | N/A | 2 | 1 | 1 | 0.5 | N/A | N/A | 1.5 | N/A | 6 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-06-04 | 2024-06-06 | E | 2200 | N/A | 0.5 | 14.5 | 32 | 8.5 | 7 | 13 | N/A | 5.5 | N/A | N/A | 3.5 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5 | N/A
OpinionWay–Tilder | Les Echos and Radio Classique | 2024-06-04 | 2024-06-06 | E | 2182 | N/A | 1 | 15 | 33 | 8 | 6 | 14 | N/A | 5 | N/A | N/A | 2 | 1 | 1 | 1 | N/A | N/A | 1 | N/A | 6 | N/A
Cluster17 | Le Point | 2024-06-04 | 2024-06-06 | E | 1165 | N/A | 0.5 | 15 | 31 | 9 | 7 | 13 | N/A | 5 | N/A | N/A | 2 | 1.5 | 1.5 | 0.5 | N/A | N/A | 1 | N/A | 5.5 | N/A
OpinionWay–Tilder | Cnews, Europe1 and JDD | 2024-06-04 | 2024-06-06 | E | 1027 | N/A | 1 | 15 | 33 | 7 | 7 | 13 | N/A | 6 | N/A | N/A | 3 | 1 | 1 | 1 | N/A | N/A | 1 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-06-03 | 2024-06-06 | E | 2710 | N/A | 0.5 | 15 | 33 | 8 | 7 | 13.5 | N/A | 5.5 | N/A | N/A | 2 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-06-04 | 2024-06-05 | E | 2130 | N/A | 0.5 | 14 | 32 | 9 | 7.5 | 13 | N/A | 6 | N/A | N/A | 3 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5 | N/A
BVA | RTL | 2024-06-03 | 2024-06-05 | E | 1500 | N/A | 0.5 | 16 | 33 | 7.5 | 6.5 | 14 | N/A | 5.5 | N/A | N/A | 2.5 | 0.5 | 1.5 | 0 | N/A | N/A | 1 | N/A | 5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-06-01 | 2024-06-05 | E | 2724 | N/A | 0.5 | 15 | 33 | 8 | 7.5 | 13.5 | N/A | 5 | N/A | N/A | 2.5 | 1 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
YouGov | N/A | 2024-05-31 | 2024-06-05 | E | 1035 | N/A | 1 | 15 | 32 | 6 | 6 | 12 | N/A | 4 | N/A | N/A | 3 | 1 | 1 | 0 | N/A | N/A | 1 | N/A | 6 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-06-03 | 2024-06-04 | E | 2130 | N/A | 0.5 | 14.5 | 32 | 9 | 7.5 | 13 | N/A | 6 | N/A | N/A | 3 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-31 | 2024-06-04 | E | 2734 | N/A | 0.5 | 15 | 33 | 7.5 | 7 | 14 | N/A | 5.5 | N/A | N/A | 2.5 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-06-02 | 2024-06-03 | E | 2130 | N/A | 0.5 | 14.5 | 32 | 9 | 7.5 | 13 | N/A | 6 | N/A | N/A | 3 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-30 | 2024-06-03 | E | 2751 | N/A | 0.5 | 15.5 | 33.5 | 7.5 | 7 | 14 | N/A | 6.5 | N/A | N/A | 2.5 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-05-30 | 2024-05-31 | E | 2178 | N/A | 0.5 | 14.5 | 32 | 8.5 | 7 | 13.5 | N/A | 5.5 | N/A | N/A | 3 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
ELABE | BFMTV and La Tribune Dimanche | 2024-05-29 | 2024-05-31 | E | 1803 | N/A | 0.5 | 16 | 32.5 | 8.5 | 6.5 | 13 | N/A | 7 | N/A | N/A | 3 | 1 | 1 | N/A | N/A | N/A | 1 | N/A | 5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-28 | 2024-05-31 | E | 2713 | N/A | 0.5 | 15.5 | 33.5 | 7 | 7 | 14 | N/A | 6.5 | N/A | N/A | 3 | 0.5 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6.5 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-05-29 | 2024-05-30 | E | 2200 | N/A | 0.5 | 14.5 | 33 | 8 | 7 | 13.5 | N/A | 5.5 | N/A | N/A | 3 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
OpinionWay–Tilder | N/A | 2024-05-28 | 2024-05-30 | E | 2149 | N/A | 1 | 15 | 33 | 6 | 7 | 14 | N/A | 5 | N/A | N/A | 2 | 1 | 0 | 2 | N/A | N/A | 1 | N/A | 6 | N/A
Cluster17 | Le Point | 2024-05-28 | 2024-05-30 | E | 1165 | N/A | 0.5 | 15.5 | 30 | 8 | 7 | 13.5 | N/A | 5 | N/A | N/A | 2 | 1.5 | 1.5 | 0.5 | N/A | N/A | 1 | N/A | 6 | N/A
Ipsos | CEVIPOF, Fondation Jean Jaurès, Institut Montaigne and Le Monde | 2024-05-27 | 2024-05-30 | E | 11430 | N/A | 0.5 | 16 | 33 | 8 | 7 | 14.5 | N/A | 6 | N/A | N/A | 2 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-26 | 2024-05-30 | E | 2700 | N/A | 0.5 | 16 | 33.5 | 7 | 7 | 14 | N/A | 6.5 | N/A | N/A | 3 | 1 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6.5 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-05-28 | 2024-05-29 | E | 2016 | N/A | 0.5 | 14.5 | 32.5 | 8 | 7 | 14 | N/A | 5.5 | N/A | N/A | 3 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5 | N/A
OpinionWay–Tilder | Cnews, Europe1 and JDD | 2024-05-28 | 2024-05-29 | E | 1008 | N/A | 1 | 15 | 32 | 6 | 7 | 14 | N/A | 5 | N/A | N/A | 2 | 1 | 1 | 3 | N/A | N/A | 1 | N/A | 7 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-25 | 2024-05-29 | E | 2250 | N/A | 0.5 | 16 | 33.5 | 7 | 7 | 14 | N/A | 6.5 | N/A | N/A | 3 | 1 | 1 | 0 | N/A | N/A | 0.5 | N/A | 6.5 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-05-27 | 2024-05-28 | E | 2016 | N/A | 0.5 | 15 | 32 | 8.5 | 7.5 | 14 | N/A | 5 | N/A | N/A | 3 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-24 | 2024-05-28 | E | 1809 | N/A | 0.5 | 15.5 | 34 | 7.5 | 7 | 14 | N/A | 6 | N/A | N/A | 2.5 | 1 | 1 | 0 | N/A | N/A | 0.5 | N/A | 6 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-05-24 | 2024-05-27 | E | 2016 | N/A | 0.5 | 14.5 | 32 | 8.5 | 7 | 14 | N/A | 5 | N/A | N/A | 3 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-23 | 2024-05-27 | E | 1362 | N/A | 0.5 | 16 | 33.5 | 7.5 | 7.5 | 14.5 | N/A | 5.5 | N/A | N/A | 2 | 1 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
ELABE | BFMTV and La Tribune Dimanche | 2024-05-24 | 2024-05-25 | E | 1688 | N/A | 0.5 | 15.5 | 33 | 8 | 7 | 13 | N/A | 6 | N/A | N/A | 2 | 0.5 | 1 | 0 | N/A | N/A | 1 | N/A | 5.5 | N/A
Odoxa | Public Sénat | 2024-05-23 | 2024-05-24 | E | 991 | N/A | 0.5 | 15 | 34 | 7 | 7 | 13.5 | N/A | 6 | N/A | N/A | 2.5 | 1.5 | 0.5 | 1 | N/A | N/A | 2 | N/A | 4 | N/A
OpinionWay–Tilder | Les Echos and Radio Classique | 2024-05-21 | 2024-05-24 | E | 2024 | N/A | 1 | 15 | 32 | 7 | 8 | 13 | N/A | 5 | N/A | N/A | 2 | 1 | 0 | 2 | N/A | N/A | 2 | N/A | 7 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-21 | 2024-05-24 | E | 1362 | N/A | 0.5 | 16 | 33 | 7.5 | 7.5 | 14.5 | N/A | 5 | N/A | N/A | 2 | 1.5 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6.5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-20 | 2024-05-23 | E | 1356 | N/A | 0.5 | 16 | 33 | 7 | 7.5 | 15 | N/A | 5 | N/A | N/A | 2 | 1 | 0.5 | 0.5 | N/A | N/A | 1 | N/A | 6 | N/A
OpinionWay–Tilder | Cnews, Europe1 and JDD | 2024-05-21 | 2024-05-22 | E | 1067 | N/A | 1 | 16 | 32 | 7 | 8 | 13 | N/A | 5 | N/A | N/A | 2 | 1 | 1 | 2 | N/A | N/A | 1 | N/A | 7 | N/A
Cluster17 | Le Point | 2024-05-21 | 2024-05-22 | E | 1043 | N/A | 0.5 | 16 | 29 | 8 | 6.5 | 14 | N/A | 5 | N/A | N/A | 2 | 1.5 | 1.5 | 0.5 | N/A | N/A | 1 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-20 | 2024-05-22 | E | 1344 | N/A | 0.5 | 16 | 32.5 | 7.5 | 7.5 | 15 | N/A | 5.5 | N/A | N/A | 2 | 1 | 1 | 0.5 | N/A | N/A | 1 | N/A | 6 | N/A
Viavoice | Libération | 2024-05-20 | 2024-05-21 | E | 1059 | N/A | 0.5 | 17 | 32 | 6.5 | 6.5 | 14 | N/A | 7 | N/A | N/A | 1 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-19 | 2024-05-21 | E | 1344 | N/A | 0.5 | 16.5 | 32 | 7.5 | 7.5 | 15 | N/A | 5.5 | N/A | N/A | 2 | 1 | 1 | 0 | N/A | N/A | 1 | N/A | 6 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-05-15 | 2024-05-17 | E | 2014 | N/A | 0.5 | 15 | 31.5 | 8 | 7.5 | 14.5 | N/A | 5 | N/A | N/A | 2.5 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
ELABE | BFMTV and La Tribune Dimanche | 2024-05-15 | 2024-05-17 | E | 1398 | N/A | 0.5 | 15.5 | 32 | 7.5 | 7.5 | 13 | N/A | 7.5 | N/A | N/A | 1.5 | 1 | 1 | 0.5 | N/A | N/A | 1 | N/A | 5.5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-15 | 2024-05-17 | E | 1334 | N/A | 0.5 | 16.5 | 32 | 7 | 8 | 14.5 | N/A | 5.5 | N/A | N/A | 2.5 | 0 | 0 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
BVA | RTL | 2024-05-15 | 2024-05-16 | E | 1500 | N/A | 0.5 | 17 | 31 | 8 | 6 | 13 | 1 | 6.5 | N/A | N/A | 2.5 | 0 | 1 | 1 | N/A | N/A | 1.5 | N/A | 6 | N/A
OpinionWay–Tilder | Les Echos and Radio Classique | 2024-05-14 | 2024-05-16 | E | 2025 | N/A | 1 | 16 | 31 | 7 | 7 | 14 | N/A | 6 | N/A | N/A | 2 | 1 | 1 | 0 | N/A | N/A | 1 | N/A | 8 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-13 | 2024-05-16 | E | 1338 | N/A | 0.5 | 16.5 | 32 | 7 | 8 | 14.5 | N/A | 5.5 | N/A | N/A | 2.5 | 0.5 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
OpinionWay–Tilder | Cnews, Europe1 and JDD | 2024-05-14 | 2024-05-15 | E | 1006 | N/A | 1 | 16 | 31 | 8 | 7 | 14 | N/A | 6 | N/A | N/A | 2 | 1 | 0 | 0 | N/A | N/A | 1 | N/A | 8 | N/A
Cluster17 | Le Point | 2024-05-13 | 2024-05-15 | E | 1285 | N/A | 0.5 | 15.5 | 29.5 | 8 | 6 | 14 | N/A | 5.5 | N/A | N/A | 2.5 | 1.5 | 1.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-11 | 2024-05-15 | E | 1348 | N/A | 0.5 | 16.5 | 32.5 | 7.5 | 8 | 14 | N/A | 5.5 | N/A | N/A | 2.5 | 1 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
YouGov | N/A | 2024-05-06 | 2024-05-15 | E | 1028 | N/A | 1 | 17 | 32 | 6 | 6 | 13 | N/A | 5 | N/A | N/A | 2 | 2 | 2 | 0 | N/A | N/A | 1 | N/A | 6 | N/A
Ipsos | Le Parisien and Radio France | 2024-05-13 | 2024-05-14 | E | 1530 | N/A | 0.5 | 16 | 31 | 8 | 7 | 14.5 | N/A | 6.5 | N/A | N/A | 2 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-10 | 2024-05-14 | E | 1348 | N/A | 0.5 | 17 | 32.5 | 7.5 | 8 | 14 | N/A | 6 | N/A | N/A | 2.5 | 1 | 1 | 0 | N/A | N/A | 0.5 | N/A | 6 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-05-10 | 2024-05-13 | E | 2294 | N/A | 0.5 | 15 | 31.5 | 8 | 7 | 14 | N/A | 5.5 | N/A | N/A | 3 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-09 | 2024-05-13 | E | 1348 | N/A | 0.5 | 17 | 32.5 | 8 | 7.5 | 14 | N/A | 6 | N/A | N/A | 2.5 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-06 | 2024-05-10 | E | 1325 | N/A | 0.5 | 17 | 32 | 8.5 | 7.5 | 13.5 | N/A | 6.5 | N/A | N/A | 2.5 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 6.5 | N/A
Cluster17 | Le Point | 2024-05-06 | 2024-05-09 | E | 1208 | N/A | 0.5 | 15.5 | 29.5 | 8.5 | 6.5 | 13 | N/A | 6 | N/A | N/A | 2 | 1.5 | 1.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-05 | 2024-05-09 | E | 1325 | N/A | 0.5 | 17 | 31.5 | 8.5 | 7.5 | 13 | N/A | 6.5 | N/A | N/A | 2.5 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 6.5 | N/A
OpinionWay–Tilder | Les Echos | 2024-05-06 | 2024-05-07 | E | 1029 | N/A | 1 | 17 | 30 | 6 | 6 | 14 | N/A | 6 | N/A | N/A | 3 | 1 | 1 | 1 | N/A | N/A | 1 | N/A | 8 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-03 | 2024-05-07 | E | 1325 | N/A | 0.5 | 16.5 | 31.5 | 8.5 | 8 | 13 | N/A | 6.5 | N/A | N/A | 2.5 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
