Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | GD | UNM | APG | SLP | Lelo | EG | DM | Girchi | Citizens | SB | DMUG | For Georgia | FTP | Droa! | Girchi-MF | CM/AI | PP | Unity | Other
CRRC Georgia | NDI | 2023-03-17 | 2023-03-23 | N | 1032 | 31 | 1 | 65 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 19
Institute of Polling & Marketing | IRI | 2023-03-04 | 2023-03-23 | N | 1500 | 57.0 | 1 | 33 | 25 | 0 | 4 | 4 | 2 | N/A | 4 | 4 | 4 | N/A | 5 | 4 | 2 | 5 | 2 | 0 | N/A | 0
CRRC Georgia | NDI | 2022-12-03 | 2022-12-20 | N | 2519 | 44 | 1 | 57 | 14 | 2 | 5 | 2 | N/A | N/A | 2 | 2 | 2 | N/A | 5 | 2 | 2 | 5 | 2 | N/A | N/A | N/A
GORBI | Imedi TV | 2022-11-17 | 2022-11-29 | N | 2024 | N/A | 1 | 52 | 23 | 3 | 1 | 3 | 3 | N/A | 2 | 2 | 3 | N/A | 1 | N/A | N/A | 3 | N/A | N/A | N/A | 4
Institute of Polling & Marketing | IRI | 2022-09-13 | 2022-10-02 | N | 1500 | 71.0 | 1 | 35 | 17 | 3 | 3 | 1 | N/A | N/A | 3 | 1 | 3 | N/A | 4 | 3 | 3 | 4 | 1 | N/A | N/A | 3
CRRC Georgia | NDI | 2022-07-14 | 2022-08-25 | N | 2104 | 54.0 | 1 | 52 | 20 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6 | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | 17
Institute of Polling & Marketing | IRI | 2022-03-04 | 2022-03-24 | N | 1486 | 70.0 | 1 | 44 | 23 | 1 | 3 | 3 | N/A | N/A | N/A | 1 | 3 | N/A | 6 | 3 | 3 | 1 | 1 | N/A | N/A | 3
CRRC Georgia | N/A | 2022-03-07 | 2022-03-10 | N | 1092 | 41.0 | 1 | 54 | 24 | 5 | N/A | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10
Institute of Polling & Marketing | IRI | 2021-02-02 | 2021-02-26 | N | 1500 | 70.0 | 1 | 50 | 26 | 3 | 3 | 1 | 4 | N/A | 3 | 3 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Mtavari Arkhi | 2020-10-17 | 2020-10-27 | N | 2000 | N/A | 1 | 40 | 33 | 2 | 2 | 4 | 7 | 1 | 2 | 1 | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Survation | N/A | 2020-10-26 | 2020-10-26 | N | N/A | N/A | 1 | 52 | 21 | 3 | 2 | 4 | 4 | N/A | 2 | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8
Public Opinion Strategoes | Imedia TV | 2020-10-09 | 2020-10-20 | N | 1518 | N/A | 0.1 | 56 | 19.9 | 4.6 | 2.2 | 3.9 | 4.3 | N/A | 3.0 | N/A | N/A | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.5
Ipsos | N/A | 2020-10-08 | 2020-10-15 | N | 1500 | N/A | 0.1 | 40.3 | 31.2 | 1.5 | 2.6 | 4.5 | 6.8 | N/A | 3.4 | 1.0 | 6.8 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Edison Research | Formula TV | 2020-09-17 | 2020-10-07 | N | 4500 | N/A | 1 | 47 | 22 | 4 | 4 | 3 | 7 | 1 | 3 | 1 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Ipsos | Mtavari Arkhi | 2020-09-23 | 2020-10-01 | N | 1500 | N/A | 0.1 | 36.6 | 26 | 2.5 | 2.8 | 5.4 | 10.3 | 1.5 | 2.5 | 1.5 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Edison Research | Formula TV | 2020-08-25 | 2020-09-07 | N | 2850 | N/A | 1 | 49 | 19 | 4 | 4 | 4 | 8 | 1 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3
Survation | Rustavi 2 | 2020-07-15 | 2020-07-24 | N | 1200 | N/A | 1 | 52 | 19 | 5 | N/A | 5 | 8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
Gallup | IRI | 2020-06-04 | 2020-07-02 | N | 1500 | N/A | 1 | 37 | 18 | 2 | N/A | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6
GORBI | Imedi TV | 2020-05-15 | 2020-05-19 | N | 1090 | N/A | 1 | 63 | 14 | 7 | 5 | 3 | 1 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Edison Research | Formula TV | 2020-02-01 | 2020-02-29 | N | N/A | N/A | 1 | 37 | 22 | 6 | 6 | 7 | 8 | 3 | 2 | 3 | N/A | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
Ipsos | Mtavari Arkhi | 2020-01-27 | 2020-02-05 | N | N/A | N/A | 1 | 34 | 24 | 5 | 6 | 8 | 10 | N/A | 3 | 3 | N/A | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5
CRRC Georgia | NDI | 2019-11-19 | 2019-12-13 | N | 2181 | 60 | 1 | 33 | 22 | 7 | 8 | N/A | 13 | N/A | 3 | 5 | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3
Edison Research | Formula TV | 2019-10-01 | 2019-10-31 | N | N/A | N/A | 1 | 26 | 18 | 4 | 4 | 4 | 7 | 2 | 3 | 3 | N/A | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
Institute of Polling & Marketing | IRI | 2019-09-11 | 2019-10-14 | N | 1500 | 64 | 1 | 36 | 23 | 6 | 8 | 3 | 8 | 2 | 2 | 5 | N/A | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5
Institute of Polling & Marketing | IRI | 2019-05-20 | 2019-06-11 | N | 1500 | 72 | 1 | 36 | 31 | 7 | 7 | N/A | 10 | 3 | 1 | 3 | N/A | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Ipsos | Rustavi 2 | 2019-05-01 | 2019-05-14 | N | 1540 | 74 | 0.1 | 38.3 | 28.9 | 6.2 | 6.4 | 6.6 | 13.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CRRC Georgia | NDI | 2019-03-28 | 2019-04-15 | N | 2927 | 48 | 1 | 42 | 31 | 8 | N/A | N/A | 8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12
CRRC Georgia | NDI | 2018-12-06 | 2018-12-20 | N | 2205 | 52 | 1 | 56 | 23 | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13
CRRC Georgia | NDI | 2018-06-23 | 2018-07-08 | N | 2409 | 45 | 1 | 44 | 24 | N/A | 7 | N/A | 9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 16
Institute of Polling & Marketing | IRI | 2018-04-10 | 2018-04-22 | N | 1500 | 67 | 1 | 40 | 25 | 6 | 7 | N/A | 10 | N/A | 1 | N/A | N/A | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
CRRC Georgia | NDI | 2018-03-20 | 2018-04-04 | N | 2194 | 53 | 1 | 58 | 17 | N/A | N/A | N/A | 9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 17
CRRC Georgia | NDI | 2017-11-29 | 2017-12-19 | N | 2298 | 48 | 1 | 56 | 21 | N/A | N/A | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15
CRRC Georgia | NDI | 2017-06-18 | 2017-07-09 | N | 2261 | 50 | 1 | 46 | 18 | 8 | 6 | N/A | 8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12
CRRC Georgia | NDI | 2017-04-07 | 2017-04-28 | N | 2493 | 55 | 1 | 53 | 18 | 7 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15
CRRC Georgia | NDI | 2016-06-08 | 2016-07-06 | N | 4113 | 82 | 1 | 39 | 32 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 21
Institute of Polling & Marketing | IRI | 2016-03-12 | 2016-04-02 | N | 1500 | 68 | 1 | 29 | 28 | 6 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3
CRRC Georgia | NDI | 2016-02-23 | 2016-03-14 | N | 3900 | 81 | 1 | 36 | 33 | 6 | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6
EPN Research | N/A | 2016-01-08 | 2016-01-29 | N | 2000 | N/A | 0.1 | 31 | 20.1 | 23 | 8.5 | N/A | N/A | N/A | N/A | N/A | N/A | 6.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
CRRC Georgia | NDI | 2015-11-17 | 2015-12-07 | N | 1881 | 82 | 1 | 38 | 26 | 6 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2
CRRC Georgia | NDI | 2015-08-08 | 2015-09-10 | N | 4448 | 48 | 1 | 29 | 31 | 10 | 8 | N/A | N/A | N/A | N/A | N/A | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
CRRC Georgia | NDI | 2015-03-27 | 2015-04-19 | N | 4360 | 55 | 1 | 44 | 29 | 7 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5
Institute of Polling & Marketing | IRI | 2015-02-03 | 2015-02-28 | N | 1500 | 77 | 1 | 47 | 18 | 6 | 8 | N/A | N/A | N/A | N/A | N/A | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
CRRC Georgia | NDI | 2014-07-23 | 2014-08-07 | N | 3338 | 62 | 1 | 68 | 18 | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11
CRRC Georgia | NDI | 2014-03-26 | 2014-04-18 | N | 3942 | 64 | 1 | 66 | 19 | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3
CRRC Georgia | NDI | 2013-11-13 | 2013-11-27 | N | 3915 | 77 | 1 | 79 | 12 | N/A | 3 | N/A | N/A | N/A | N/A | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3
CRRC Georgia | NDI | 2013-08-18 | 2013-09-03 | N | 3838 | 74 | 1 | 68 | 16 | N/A | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5
CRRC Georgia | NDI | 2013-06-12 | 2013-06-26 | N | 2338 | 62 | 1 | 76 | 15 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9
CRRC Georgia | NDI | 2013-03-13 | 2013-03-27 | N | 3103 | 74 | 1 | 81 | 14 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5
CRRC Georgia | NDI | 2012-11-14 | 2012-11-25 | N | 1947 | 77 | 1 | 82 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
CRRC Georgia | NDI | 2012-07-31 | 2012-08-12 | N | 2038 | 54 | 1 | 22 | 69 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
CRRC Georgia | NDI | 2012-06-04 | 2012-06-22 | N | 6299 | 58 | 1 | 31 | 62 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2
