Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | VVD | D66 | PVV | CDA | GL | SP | PvdA | PvdD | CU | P50+ | SGP | FVD | DENK | PPNL | PvdT | CO | JA21 | BIJ1 | Volt | BBB | Splinter | BVNL | NSC | Other
Ipsos | EenVandaag | 2023-09-22 | 2023-09-24 | N | 1020 | N/A | 0.1 | 17.2 | 6.1 | 11.4 | 2.9 | N/A | 3.2 | N/A | 4.9 | 3.4 | 0.5 | 2.1 | 2.4 | 2.4 | N/A | N/A | N/A | 2.2 | 1.0 | 2.1 | 8.2 | N/A | N/A | 15.8 | 1.0
Peil.nl | N/A | 2023-09-22 | 2023-09-23 | N | 3000 | N/A | 1 | 16 | 5 | 11 | 4 | N/A | 3 | N/A | 4 | 3 | 1 | 1 | 3 | 1 | N/A | N/A | N/A | 1 | 0 | 3 | 9 | N/A | 1 | 18 | 0
I&O Research | N/A | 2023-09-08 | 2023-09-11 | N | 1649 | N/A | 0.1 | 16.5 | 4.1 | 9.1 | 2.6 | N/A | 3.3 | N/A | 4.9 | 2.6 | 0.7 | 2.6 | 2.6 | 1.3 | N/A | N/A | N/A | 1.3 | 0.3 | 2.7 | 9.0 | N/A | 0.5 | 18.0 | 0.3
Peil.nl | N/A | 2023-09-08 | 2023-09-09 | N | 3000 | N/A | 1 | 17 | 5 | 10 | 4 | N/A | 3 | N/A | 5 | 2 | 0 | 1 | 3 | 1 | N/A | N/A | N/A | 1 | 0 | 2 | 11 | N/A | 1 | 19 | 0
Ipsos | EenVandaag | 2023-09-01 | 2023-09-04 | N | 941 | N/A | 0.1 | 17.1 | 6.7 | 9.5 | 3.7 | N/A | 2.2 | N/A | 6.2 | 3.3 | 0.3 | 2.3 | 2.1 | 2.0 | N/A | N/A | N/A | 2.1 | 0.5 | 2.2 | 9.5 | N/A | N/A | 17.3 | 0.3
Peil.nl | N/A | 2023-09-01 | 2023-09-02 | N | 3000 | N/A | 1 | 17 | 5 | 10 | 4 | N/A | 3 | N/A | 5 | 2 | 0 | 1 | 3 | 1 | N/A | N/A | N/A | 1 | 0 | 2 | 12 | N/A | 1 | 19 | 0
Peil.nl | N/A | 2023-08-25 | 2023-08-26 | N | 3000 | N/A | 1 | 17 | 5 | 10 | 3 | N/A | 3 | N/A | 5 | 2 | 0 | 1 | 3 | 1 | N/A | N/A | N/A | 2 | 0 | 2 | 9 | N/A | 1 | 19 | 0
I&O Research | N/A | 2023-08-23 | 2023-08-24 | N | 1752 | N/A | 0.1 | 13.9 | 4.5 | 8.6 | 2.5 | N/A | 3.5 | N/A | 5.2 | 2.9 | 0.5 | 2.6 | 2.2 | 1.9 | N/A | N/A | N/A | 2.1 | 0.3 | 2.0 | 8.5 | N/A | 0.4 | 20.2 | 0.2
Peil.nl | N/A | 2023-08-18 | 2023-08-19 | N | 3000 | N/A | 1 | 19 | 5 | 13 | 5 | N/A | 5 | N/A | 6 | 3 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 2 | 0 | 3 | 14 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2023-08-21 | 2023-07-24 | N | 1000 | N/A | 0.1 | 17.5 | 6.5 | 12.1 | 3.9 | N/A | 3.9 | N/A | 4.9 | 3.6 | 0.6 | 2.0 | 2.5 | 2.4 | N/A | N/A | N/A | 2.9 | 0.3 | 2.7 | 15.3 | N/A | N/A | N/A | 2.1
I&O Research | N/A | 2023-07-14 | 2023-07-17 | N | 1718 | N/A | 0.1 | 15.5 | 5.6 | 9.5 | 3.2 | N/A | 4.4 | N/A | 5.9 | 3.5 | 0.7 | 2.9 | 2.9 | 1.4 | N/A | N/A | N/A | 4.2 | 0.9 | 5.0 | 13.1 | N/A | 0.9 | N/A | 3.4
Peil.nl | N/A | 2023-07-14 | 2023-07-15 | N | 3000 | N/A | 1 | 17 | 6 | 10 | 5 | N/A | 5 | N/A | 5 | 3 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 4 | 1 | 4 | 17 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2023-06-30 | 2023-07-01 | N | 3000 | N/A | 1 | 13 | 7 | 9 | 4 | 9 | 5 | 7 | 7 | 3 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 5 | 1 | 4 | 18 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2023-06-23 | 2023-06-25 | N | 1022 | N/A | 0.1 | 18.1 | 7.7 | 9.6 | 5.1 | 7.0 | 4.8 | 5.7 | 6.3 | 3.7 | 0.7 | 1.9 | 2.2 | 2.2 | N/A | N/A | N/A | 4.0 | 1.2 | 3.6 | 14.5 | N/A | N/A | N/A | 1.6
Peil.nl | N/A | 2023-06-16 | 2023-06-17 | N | 3000 | N/A | 1 | 13 | 7 | 9 | 4 | 9 | 5 | 7 | 7 | 3 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 5 | 1 | 4 | 19 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2023-06-16 | 2023-06-17 | N | 3000 | N/A | 1 | 13 | 7 | 9 | 4 | 9 | 5 | 7 | 7 | 3 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 4 | 1 | 5 | 19 | N/A | 1 | N/A | 0
I&O Research | N/A | 2023-06-09 | 2023-06-12 | N | 2364 | N/A | 0.1 | 13.7 | 6.6 | 8.0 | 4.2 | 7.6 | 5.1 | 7.3 | 5.5 | 3.3 | 0.7 | 2.6 | 2.7 | 1.4 | N/A | N/A | N/A | 5.5 | 0.7 | 4.7 | 17.5 | N/A | 0.7 | N/A | 2.1
Ipsos | EenVandaag | 2023-05-26 | 2023-05-29 | N | 1019 | N/A | 0.1 | 19 | 7.3 | 9.1 | 4.1 | 8.3 | 4.1 | 6.0 | 6.3 | 3.3 | 0.7 | 2.2 | 2.7 | 2.1 | N/A | N/A | N/A | 3.8 | 1.2 | 2.6 | 16.2 | N/A | N/A | N/A | 1.1
Peil.nl | N/A | 2023-05-19 | 2023-05-20 | N | 3000 | N/A | 1 | 12 | 7 | 7 | 5 | 9 | 5 | 7 | 6 | 3 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 4 | 1 | 5 | 23 | N/A | 1 | N/A | 0
I&O Research | N/A | 2023-05-12 | 2023-05-15 | N | 1872 | N/A | 0.1 | 14.9 | 5.9 | 8.6 | 3.2 | 7.4 | 4.5 | 7.3 | 7.9 | 3.6 | 1.5 | 2.6 | 1.9 | 1.6 | N/A | N/A | N/A | 4.9 | 0.3 | 4.3 | 16.8 | N/A | 1.0 | N/A | 1.8
Peil.nl | N/A | 2023-05-05 | 2023-05-06 | N | 3000 | N/A | 1 | 12 | 7 | 7 | 5 | 9 | 5 | 7 | 6 | 3 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 4 | 1 | 4 | 23 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2023-04-24 | 2023-04-24 | N | 1002 | N/A | 1 | 17 | 7 | 7 | 4 | 8 | 5 | 7 | 7 | 3 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 3 | 1 | 3 | 20 | N/A | 0 | N/A | 0
Peil.nl | N/A | 2023-04-21 | 2023-04-22 | N | 3000 | N/A | 1 | 11 | 7 | 6 | 5 | 10 | 5 | 8 | 6 | 3 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 4 | 1 | 4 | 24 | N/A | 1 | N/A | 0
I&O Research | N/A | 2023-04-14 | 2023-04-17 | N | 2197 | N/A | 0.1 | 11.8 | 6.2 | 8.0 | 4.6 | 8.0 | 4.6 | 7.8 | 6.0 | 2.8 | 0.8 | 2.4 | 2.3 | 1.6 | N/A | N/A | N/A | 5.3 | 0.8 | 4.5 | 19.3 | N/A | 0.4 | N/A | 2.9
Peil.nl | N/A | 2023-03-31 | 2023-04-01 | N | 3000 | N/A | 1 | 12 | 7 | 6 | 4 | 10 | 5 | 8 | 6 | 3 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 4 | 1 | 3 | 24 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2023-03-24 | 2023-03-27 | N | 1005 | N/A | 0.1 | 17.2 | 7.7 | 7.8 | 4.6 | 7.0 | 4.9 | 7.4 | 5.1 | 2.5 | 0.9 | 2.3 | 3.0 | 2.4 | N/A | N/A | N/A | 4.3 | 0.8 | 2.9 | 17.9 | N/A | N/A | N/A | 1.3
Peil.nl | N/A | 2023-03-23 | 2023-03-24 | N | 3000 | N/A | 1 | 13 | 6 | 6 | 5 | 10 | 5 | 8 | 6 | 3 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 5 | 1 | 3 | 22 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2023-02-17 | 2023-02-27 | N | 5291 | N/A | 0.1 | 18.6 | 9.4 | 10.5 | 6.0 | 6.4 | 5.4 | 6.4 | 5.7 | 3.1 | 0.8 | 2.3 | 3.0 | 2.4 | N/A | N/A | N/A | 5.7 | 0.9 | 2.8 | 9.4 | N/A | N/A | N/A | 1.5
Peil.nl | N/A | 2023-02-24 | 2023-02-25 | N | 3000 | N/A | 1 | 14 | 9 | 11 | 5 | 9 | 5 | 7 | 5 | 3 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 7 | 1 | 3 | 13 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2023-02-17 | 2023-02-18 | N | 3000 | N/A | 1 | 15 | 8 | 12 | 5 | 9 | 5 | 7 | 5 | 3 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 7 | 1 | 3 | 11 | N/A | 1 | N/A | 0
I&O Research | N/A | 2023-02-13 | 2023-02-13 | N | 2489 | N/A | 0.1 | 14.8 | 7.6 | 11.4 | 4.8 | 7.8 | 5.6 | 8.4 | 6.2 | 3.3 | 0.5 | 2.8 | 3.1 | 1.9 | N/A | N/A | N/A | 6.6 | 0.7 | 2.4 | 9.0 | N/A | 0.4 | N/A | 2.5
Peil.nl | N/A | 2023-02-10 | 2023-02-11 | N | 3000 | N/A | 1 | 15 | 8 | 12 | 5 | 9 | 5 | 7 | 6 | 4 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 7 | 1 | 3 | 10 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2023-01-27 | 2023-01-30 | N | 1002 | N/A | 0.1 | 18.5 | 9.8 | 11.2 | 7.1 | 6.7 | 5.1 | 6.2 | 6.1 | 3.1 | 0.6 | 2.1 | 3.5 | 2.0 | N/A | N/A | N/A | 6.8 | 0.7 | 2.6 | 6.5 | N/A | N/A | N/A | 1.5
I&O Research | N/A | 2023-01-13 | 2023-01-16 | N | 2489 | N/A | 0.1 | 15.0 | 8.1 | 11.5 | 3.9 | 8.1 | 6.4 | 5.9 | 5.4 | 3.6 | 0.3 | 3.1 | 2.9 | 2.4 | N/A | N/A | N/A | 7.6 | 1.0 | 3.3 | 7.5 | N/A | 0.8 | N/A | 3.3
Peil.nl | N/A | 2023-01-13 | 2023-01-14 | N | 3000 | N/A | 1 | 13 | 8 | 13 | 4 | 8 | 5 | 7 | 6 | 4 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 9 | 1 | 3 | 10 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2022-12-16 | 2022-12-19 | N | 1005 | N/A | 0.1 | 16.7 | 8.6 | 11.7 | 5.9 | 7.9 | 5.3 | 6.9 | 5.0 | 3.3 | 0.6 | 2.6 | 5.0 | 1.9 | N/A | N/A | N/A | 5.9 | 1.0 | 3.4 | 8.3 | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2022-12-16 | 2022-12-17 | N | 3000 | N/A | 1 | 13 | 8 | 13 | 3 | 8 | 5 | 7 | 5 | 4 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 9 | 1 | 3 | 10 | N/A | 1 | N/A | 0
I&O Research | N/A | 2022-12-09 | 2022-12-12 | N | 2142 | N/A | 0.1 | 12.9 | 7.3 | 11.4 | 4.3 | 8.4 | 5.6 | 6.8 | 6.2 | 3.7 | 1.0 | 3.4 | 2.5 | 1.0 | N/A | N/A | N/A | 8.4 | 1.2 | 3.5 | 8.5 | N/A | 0.3 | N/A | 3.6
Peil.nl | N/A | 2022-12-02 | 2022-12-03 | N | 3000 | N/A | 1 | 14 | 7 | 13 | 3 | 8 | 5 | 7 | 5 | 4 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 10 | 1 | 3 | 9 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2022-11-25 | 2022-11-28 | N | 1040 | N/A | 0.1 | 17.0 | 10.8 | 11.8 | 5.3 | 7.4 | 5.6 | 6.4 | 5.7 | 3.1 | 0.6 | 2.0 | 1.4 | 2.0 | N/A | N/A | N/A | 5.7 | 1.3 | 3.1 | 7.8 | N/A | 1.3 | N/A | 1.8
Peil.nl | N/A | 2022-11-25 | 2022-11-26 | N | 3000 | N/A | 1 | 13 | 8 | 14 | 3 | 8 | 5 | 7 | 5 | 4 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 10 | 1 | 3 | 9 | N/A | 1 | N/A | 0
I&O Research | N/A | 2022-11-11 | 2022-11-14 | N | 2069 | N/A | 0.1 | 13.6 | 7.8 | 11.6 | 4.6 | 9.1 | 5.7 | 6.7 | 5.2 | 4.1 | 1.2 | 2.8 | 3.2 | 1.5 | N/A | N/A | N/A | 7.4 | 1.0 | 2.6 | 8.4 | N/A | 0.8 | N/A | 2.7
Peil.nl | N/A | 2022-11-11 | 2022-11-12 | N | 3000 | N/A | 1 | 13 | 8 | 14 | 3 | 8 | 5 | 7 | 5 | 4 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 10 | 1 | 3 | 9 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2022-10-21 | 2022-10-24 | N | 1021 | N/A | 0.1 | 17.3 | 10.3 | 13.4 | 5.0 | 6.2 | 5.5 | 6.9 | 6.4 | 2.9 | 0.5 | 2.3 | 1.9 | 2.1 | N/A | N/A | N/A | 5.7 | 1.1 | 3.0 | 7.6 | N/A | N/A | N/A | 2.0
Peil.nl | N/A | 2022-10-22 | 2022-10-23 | N | 3000 | N/A | 1 | 14 | 8 | 13 | 4 | 8 | 5 | 7 | 5 | 4 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 9 | 1 | 3 | 8 | N/A | 1 | N/A | 0
I&O Research | N/A | 2022-10-14 | 2022-10-17 | N | 2205 | N/A | 0.1 | 13.2 | 8.0 | 12.4 | 4.4 | 8.0 | 6.2 | 7.1 | 6.5 | 3.4 | 0.7 | 3.2 | 3.2 | 1.7 | N/A | N/A | N/A | 6.7 | 1.2 | 3.4 | 9.1 | N/A | 1.0 | N/A | 0.4
Peil.nl | N/A | 2022-10-14 | 2022-10-15 | N | 3000 | N/A | 1 | 14 | 8 | 12 | 4 | 8 | 5 | 8 | 5 | 4 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 8 | 1 | 3 | 10 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2022-09-23 | 2022-09-26 | N | 1003 | N/A | 0.1 | 16.1 | 10.0 | 12.5 | 5.7 | 7.2 | 4.8 | 7.8 | 6.4 | 3.0 | 0.6 | 2.3 | 2.4 | 2.2 | N/A | N/A | N/A | 5.2 | 0.9 | 2.0 | 9.4 | N/A | N/A | N/A | 1.5
Peil.nl | N/A | 2022-09-23 | 2022-09-24 | N | 3000 | N/A | 1 | 14 | 7 | 11 | 4 | 8 | 5 | 9 | 5 | 4 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 7 | 1 | 3 | 12 | N/A | 1 | N/A | 0
I&O Research | N/A | 2022-09-09 | 2022-09-12 | N | 1789 | N/A | 0.1 | 14.6 | 9.6 | 10.7 | 4.1 | 7.9 | 5.1 | 7.4 | 4.9 | 3.3 | 0.8 | 2.6 | 3.8 | 1.6 | N/A | N/A | N/A | 7.8 | 1.1 | 3.6 | 9.9 | N/A | 1.0 | N/A | 0.3
Ipsos | EenVandaag | 2022-08-26 | 2022-08-29 | N | 1007 | N/A | 0.1 | 17.1 | 11.3 | 11.5 | 5.8 | 7.1 | 4.8 | 5.5 | 5.8 | 3.4 | 0.6 | 2.3 | 2.7 | 2.2 | N/A | N/A | N/A | 6.1 | 0.7 | 1.5 | 10.1 | N/A | N/A | N/A | 1.5
Peil.nl | N/A | 2022-08-26 | 2022-08-27 | N | 3000 | N/A | 1 | 13 | 8 | 11 | 4 | 9 | 5 | 8 | 6 | 4 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 6 | 1 | 3 | 13 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2022-08-05 | 2022-08-06 | N | 3000 | N/A | 1 | 14 | 9 | 10 | 4 | 9 | 5 | 9 | 5 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 5 | 1 | 3 | 13 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2022-07-22 | 2022-07-25 | N | 1009 | N/A | 0.1 | 18.7 | 11.0 | 11.5 | 5.6 | 6.3 | 5.1 | 5.8 | 6.1 | 3.4 | 0.5 | 2.3 | 2.8 | 2.7 | N/A | N/A | N/A | 4.2 | 0.9 | 2.1 | 9.6 | N/A | N/A | N/A | 1.5
I&O Research | N/A | 2022-07-15 | 2022-07-18 | N | 1953 | N/A | 0.1 | 14.0 | 8.7 | 10.0 | 3.9 | 7.5 | 5.9 | 6.3 | 6.4 | 3.6 | 1.1 | 2.9 | 2.8 | 2.2 | N/A | N/A | N/A | 5.8 | 1.2 | 3.2 | 11.5 | N/A | 0.9 | N/A | 2.2
Peil.nl | N/A | 2022-07-08 | 2022-07-09 | N | 3000 | N/A | 1 | 14 | 9 | 10 | 4 | 9 | 5 | 8 | 5 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 5 | 1 | 3 | 13 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2022-06-24 | 2022-06-27 | N | 1028 | N/A | 0.1 | 19.1 | 10.1 | 10.1 | 5.7 | 7.2 | 5.8 | 6.2 | 5.2 | 3.3 | 0.7 | 3.3 | 3.6 | 2.7 | N/A | N/A | N/A | 3.8 | 0.8 | 2.9 | 7.7 | N/A | N/A | N/A | 2.0
Peil.nl | N/A | 2022-06-24 | 2022-06-25 | N | 3000 | N/A | 1 | 14 | 8 | 10 | 5 | 9 | 5 | 8 | 5 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 5 | 1 | 3 | 12 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2022-06-17 | 2022-06-18 | N | 3000 | N/A | 1 | 15 | 7 | 11 | 5 | 9 | 5 | 8 | 5 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 7 | 1 | 3 | 9 | N/A | 1 | N/A | 0
I&O Research | N/A | 2022-06-10 | 2022-06-13 | N | 1949 | N/A | 0.1 | 15.3 | 8.7 | 9.5 | 5.5 | 7.6 | 6.2 | 7.2 | 5.5 | 3.8 | 0.4 | 3.1 | 2.9 | 2.1 | N/A | N/A | N/A | 6.7 | 1.5 | 3.7 | 7.7 | N/A | 0.3 | N/A | 2.0
Peil.nl | N/A | 2022-06-10 | 2022-06-11 | N | 3000 | N/A | 1 | 15 | 8 | 11 | 5 | 8 | 5 | 8 | 5 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 7 | 1 | 3 | 9 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2022-05-27 | 2022-05-30 | N | 1039 | N/A | 0.1 | 20.7 | 9.3 | 10.8 | 7.2 | 6.8 | 5.5 | 6.9 | 5.8 | 4.0 | 0.7 | 2.2 | 3.2 | 2.5 | N/A | N/A | N/A | 4.4 | 0.7 | 3.5 | 4.8 | N/A | N/A | N/A | 1.4
Peil.nl | N/A | 2022-05-27 | 2022-05-28 | N | 3000 | N/A | 1 | 17 | 9 | 11 | 5 | 8 | 5 | 8 | 5 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 7 | 1 | 3 | 7 | N/A | 1 | N/A | 0
Kantar | N/A | 2022-05-25 | 2022-05-27 | N | 1078 | N/A | 1 | 19 | 8 | 10 | 6 | 8 | 4 | 9 | 5 | 4 | 1 | 3 | 3 | 3 | N/A | N/A | N/A | 4 | 1 | 4 | 8 | N/A | N/A | N/A | 0
I&O Research | N/A | 2022-05-13 | 2022-05-16 | N | 1656 | N/A | 0.1 | 17.4 | 8.3 | 9.7 | 5.2 | 8.7 | 5.3 | 6.7 | 5.3 | 4.1 | 0.7 | 2.7 | 3.3 | 2.1 | N/A | N/A | N/A | 6.6 | 1.0 | 3.3 | 5.5 | N/A | 1.0 | N/A | 3.0
Peil.nl | N/A | 2022-05-13 | 2022-05-14 | N | 3000 | N/A | 1 | 17 | 9 | 11 | 5 | 8 | 5 | 8 | 5 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 7 | 1 | 3 | 7 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2022-04-22 | 2022-04-25 | N | 1013 | N/A | 0.1 | 21.2 | 9.1 | 9.1 | 6.0 | 7.0 | 4.9 | 6.9 | 6.4 | 3.5 | 0.8 | 3.1 | 3.2 | 3.1 | N/A | N/A | N/A | 5.2 | 0.8 | 3.5 | 4.6 | N/A | N/A | N/A | 1.8
Peil.nl | N/A | 2022-04-22 | 2022-04-23 | N | 3000 | N/A | 1 | 18 | 9 | 10 | 5 | 8 | 5 | 8 | 5 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 7 | 1 | 3 | 7 | N/A | 1 | N/A | 0
I&O Research | N/A | 2022-04-08 | 2022-04-11 | N | 2184 | N/A | 0.1 | 17.6 | 11.0 | 8.0 | 4.5 | 8.4 | 5.4 | 6.8 | 5.4 | 4.3 | 1.3 | 2.5 | 2.8 | 2.2 | N/A | N/A | N/A | 6.1 | 0.9 | 3.0 | 5.7 | N/A | 1.3 | N/A | 2.8
Peil.nl | N/A | 2022-04-08 | 2022-04-09 | N | 3000 | N/A | 1 | 17 | 12 | 9 | 5 | 8 | 5 | 7 | 5 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 7 | 1 | 3 | 7 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2022-04-01 | 2022-04-02 | N | 3000 | N/A | 1 | 17 | 12 | 9 | 6 | 8 | 5 | 7 | 5 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 8 | 1 | 3 | 6 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2022-03-25 | 2022-03-27 | N | 1048 | N/A | 0.1 | 20.6 | 12.2 | 9.3 | 6.0 | 6.6 | 4.6 | 7.0 | 6.0 | 3.6 | 0.8 | 2.6 | 2.8 | 3.0 | N/A | N/A | N/A | 5.3 | 0.9 | 3.0 | 4.0 | N/A | N/A | N/A | 1.8
Peil.nl | N/A | 2022-03-25 | 2022-03-26 | N | 3000 | N/A | 1 | 17 | 12 | 9 | 6 | 8 | 5 | 7 | 5 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 8 | 1 | 3 | 6 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2022-03-18 | 2022-03-19 | N | 3000 | N/A | 1 | 17 | 12 | 9 | 6 | 8 | 5 | 7 | 5 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 8 | 1 | 3 | 6 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2022-03-11 | 2022-03-12 | N | 3000 | N/A | 1 | 18 | 13 | 9 | 5 | 6 | 5 | 7 | 6 | 4 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 8 | 1 | 3 | 5 | N/A | 1 | N/A | 0
Kantar | N/A | 2022-03-09 | 2022-03-11 | N | 1197 | N/A | 1 | 21.0 | 13.0 | 8.0 | 5.0 | 7.0 | 7.0 | 7.0 | 5.0 | 4.0 | 2.0 | 2.0 | 3.0 | 1.0 | N/A | N/A | N/A | 5.0 | 1.0 | 3.0 | 5.0 | N/A | N/A | N/A | 0.0
Peil.nl | N/A | 2022-03-04 | 2022-03-05 | N | 3000 | N/A | 1 | 18 | 13 | 9 | 5 | 6 | 6 | 6 | 6 | 4 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 8 | 1 | 3 | 5 | N/A | 1 | N/A | 0
