Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | D | S | V | M | P | B | F | C | J | Other
Prósent | Fréttablaðið | 2023-01-27 | 2023-02-06 | N | 2400 | 51.4 | 0.1 | 23.2 | 22.1 | 5.9 | 4.1 | 12.5 | 11.8 | 9.5 | 6.9 | 4.1 | N/A
Gallup | N/A | 2023-01-06 | 2023-01-31 | N | 9842 | 48.5 | 0.1 | 23.5 | 25.3 | 6.8 | 5.5 | 10.4 | 11.3 | 5.5 | 7.3 | 4.4 | N/A
Maskína | N/A | 2023-01-13 | 2023-01-18 | N | 804 | N/A | 0.1 | 21.8 | 23.6 | 8.3 | 5.9 | 10.4 | 12.1 | 5.1 | 9.1 | 3.6 | N/A
Gallup | N/A | 2022-12-01 | 2023-01-02 | N | 7115 | 48.0 | 0.1 | 23.8 | 23.4 | 6.8 | 4.6 | 11.3 | 12.1 | 6.2 | 6.9 | 4.6 | N/A
Prósent | Fréttablaðið | 2022-12-22 | 2022-12-30 | N | 4000 | 49.6 | 0.1 | 23.2 | 20.5 | 6.7 | 4.5 | 14.3 | 10.8 | 9.7 | 6.2 | 4.0 | N/A
Maskína | N/A | 2022-12-16 | 2022-12-28 | N | 1703 | N/A | 0.1 | 20.0 | 20.1 | 7.8 | 6.7 | 12.5 | 12.2 | 7.0 | 7.5 | 6.1 | N/A
Gallup | N/A | 2022-11-01 | 2022-11-30 | N | 10798 | 50.8 | 0.1 | 24.1 | 21.1 | 7.5 | 5.6 | 12.2 | 12.2 | 4.5 | 7.4 | 5.2 | N/A
Maskína | N/A | 2022-11-04 | 2022-11-22 | N | 2483 | N/A | 0.1 | 21.8 | 19.0 | 7.1 | 4.9 | 13.4 | 14.8 | 5.0 | 9.0 | 5.0 | N/A
Prósent | Fréttablaðið | 2022-11-14 | 2022-11-17 | N | 2600 | 51.3 | 0.1 | 21.1 | 19.1 | 8.0 | 4.2 | 11.8 | 14.6 | 6.4 | 10.6 | 4.2 | N/A
Gallup | N/A | 2022-10-03 | 2022-10-31 | N | 8267 | 49.9 | 0.1 | 24.4 | 16.6 | 8.4 | 5.0 | 12.9 | 13.8 | 5.3 | 8.4 | 5.0 | N/A
Maskína | N/A | 2022-09-30 | 2022-10-17 | N | 1638 | N/A | 0.1 | 22.8 | 14.4 | 7.7 | 5.0 | 14.3 | 15.0 | 4.6 | 9.5 | 6.5 | N/A
Gallup | N/A | 2022-09-01 | 2022-10-02 | N | 11149 | 48.3 | 0.1 | 24.1 | 16.3 | 8.2 | 5.4 | 13.6 | 13.4 | 5.1 | 8.5 | 5.1 | N/A
Maskína | N/A | 2022-09-16 | 2022-09-27 | N | 1875 | N/A | 0.1 | 20.8 | 15.2 | 8.7 | 5.3 | 12.3 | 15.6 | 5.0 | 10.4 | 6.8 | N/A
Gallup | N/A | 2022-08-02 | 2022-08-31 | N | 10719 | 48.9 | 0.1 | 21.8 | 15.5 | 8.4 | 4.6 | 14.8 | 15.6 | 5.6 | 8.4 | 5.1 | N/A
Maskína | N/A | 2022-08-12 | 2022-08-17 | N | 890 | N/A | 0.1 | 20.9 | 12.9 | 7.5 | 4.5 | 13.9 | 19.6 | 4.6 | 8.9 | 7.3 | N/A
Gallup | N/A | 2022-07-01 | 2022-08-01 | N | 9705 | 49.0 | 0.1 | 22.1 | 13.7 | 8.6 | 4.4 | 15.0 | 15.4 | 6.6 | 8.6 | 5.3 | N/A
Maskína | N/A | 2022-07-20 | 2022-07-25 | N | 895 | N/A | 0.1 | 24.4 | 10.9 | 7.7 | 6.0 | 12.7 | 18.0 | 6.9 | 8.3 | 5.1 | N/A
Gallup | N/A | 2022-06-02 | 2022-06-30 | N | N/A | N/A | 0.1 | 22.8 | 13.7 | 7.2 | 4.6 | 16.1 | 17.5 | 7.0 | 6.7 | 4.1 | N/A
Maskína | N/A | 2022-06-01 | 2022-06-23 | N | 1658 | N/A | 0.1 | 19.3 | 13.4 | 8.5 | 4.7 | 14.6 | 18.3 | 6.3 | 8.8 | 6.1 | N/A
Gallup | N/A | 2022-05-02 | 2022-05-31 | N | 10548 | 51.9 | 0.1 | 20.1 | 14.1 | 8.1 | 4.3 | 14.7 | 17.5 | 6.4 | 9.5 | 5.0 | N/A
Gallup | N/A | 2022-04-01 | 2022-04-30 | N | 9828 | 50.1 | 0.1 | 19.8 | 13.7 | 10.1 | 4.1 | 14.5 | 15.6 | 7.7 | 9.6 | 4.6 | N/A
Prósent | N/A | 2022-04-13 | 2022-04-26 | N | 3500 | 50.3 | 0.1 | 17.9 | 16.8 | 9.6 | 4.1 | 16.2 | 12.4 | 8.0 | 9.6 | 5.4 | N/A
Maskína | N/A | 2022-03-17 | 2022-04-12 | N | 1367 | N/A | 0.1 | 22.4 | 13.0 | 8.8 | 4.2 | 13.2 | 15.5 | 7.7 | 10.5 | 4.6 | N/A
Gallup | N/A | 2022-03-01 | 2022-03-31 | N | 10941 | 49.6 | 0.1 | 22.7 | 11.2 | 11.4 | 3.7 | 11.9 | 18.0 | 8.2 | 9.1 | 3.6 | N/A
Gallup | N/A | 2022-02-01 | 2022-02-28 | N | 9672 | 49.7 | 0.1 | 21.9 | 11.1 | 10.5 | 3.9 | 13.2 | 18.1 | 7.5 | 9.7 | 3.9 | N/A
Maskína | N/A | 2022-01-28 | 2022-02-16 | N | 3039 | N/A | 0.1 | 21.9 | 13.4 | 12.9 | 3.9 | 10.3 | 16.9 | 7.6 | 9.7 | 3.5 | N/A
Gallup | N/A | 2022-01-01 | 2022-01-31 | N | 10911 | 50.4 | 0.1 | 22.4 | 10.8 | 10.7 | 3.7 | 12.5 | 17.0 | 8.8 | 9.4 | 4.3 | N/A
Maskína | N/A | 2022-01-06 | 2022-01-19 | N | 1548 | N/A | 0.1 | 20.1 | 12.3 | 11.2 | 3.7 | 13.5 | 17.8 | 8.5 | 9.2 | 3.7 | N/A
Gallup | N/A | 2021-12-01 | 2021-12-30 | N | 7890 | 51.2 | 0.1 | 23.3 | 10.5 | 10.6 | 3.4 | 12.5 | 17.7 | 8.6 | 8.7 | 4.5 | N/A
Gallup | N/A | 2021-11-01 | 2021-11-30 | N | 10000 | 51.0 | 0.1 | 22.7 | 10.7 | 13.0 | 3.8 | 11.8 | 17.0 | 8.0 | 8.4 | 4.4 | N/A
Gallup | N/A | 2021-10-01 | 2021-10-31 | N | 8899 | 50.6 | 0.1 | 22.8 | 9.8 | 13.4 | 4.3 | 11.0 | 17.2 | 7.9 | 8.9 | 4.6 | N/A
Gallup | RÚV | 2021-09-24 | 2021-09-24 | N | 4809 | N/A | 0.1 | 23.4 | 12.6 | 12.0 | 6.8 | 8.8 | 14.9 | 6.4 | 9.2 | 5.3 | 0.6
Maskína | Bylgjan, Stöð 2 and Vísir | 2021-09-22 | 2021-09-24 | N | 5836 | N/A | 0.1 | 21.4 | 13.8 | 10.5 | 5.5 | 10.2 | 15.4 | 6.2 | 10.1 | 6.1 | 0.8
MMR | Morgunblaðið | 2021-09-22 | 2021-09-23 | N | N/A | N/A | 0.1 | 22.9 | 11.5 | 9.7 | 5.8 | 9.9 | 16.4 | 6.2 | 12.0 | 5.1 | 0.5
MMR | Morgunblaðið | 2021-09-21 | 2021-09-22 | N | 909 | N/A | 0.1 | 21.8 | 13.9 | 11.0 | 4.7 | 10.7 | 14.3 | 7.3 | 10.1 | 6.0 | 0.2
Maskína | Bylgjan, Stöð 2 and Vísir | 2021-09-15 | 2021-09-22 | N | N/A | N/A | 0.1 | 20.6 | 11.7 | 11.5 | 7.1 | 11.3 | 13.4 | 5.6 | 11.4 | 6.6 | 0.8
Prósent | Fréttablaðið | 2021-09-17 | 2021-09-21 | N | 2500 | 50.0 | 0.1 | 20.1 | 14.7 | 10.7 | 6.6 | 13.1 | 12.2 | 5.2 | 9.3 | 6.9 | 1.2
Gallup | RÚV | 2021-09-13 | 2021-09-19 | N | 3845 | N/A | 0.1 | 21.2 | 12.7 | 10.2 | 6.2 | 11.5 | 13.2 | 7.0 | 10.2 | 7.3 | 0.5
MMR | Morgunblaðið | 2021-09-15 | 2021-09-17 | N | 1257 | N/A | 0.1 | 20.3 | 13.0 | 12.1 | 4.6 | 11.8 | 12.7 | 5.6 | 10.7 | 8.6 | 0.6
Prósent | Fréttablaðið | 2021-09-13 | 2021-09-16 | N | 1493 | N/A | 0.1 | 21.3 | 14.2 | 10.0 | 5.9 | 11.5 | 12.6 | 4.7 | 11.6 | 7.7 | 0.5
Maskína | Bylgjan, Stöð 2 and Vísir | 2021-09-08 | 2021-09-13 | N | 3144 | N/A | 0.1 | 21.0 | 14.6 | 11.5 | 5.5 | 13.3 | 12.0 | 3.6 | 12.3 | 6.1 | N/A
Gallup | N/A | 2021-08-30 | 2021-09-12 | N | 5828 | 51.1 | 0.1 | 22.0 | 11.0 | 11.8 | 7.6 | 11.0 | 12.9 | 4.9 | 9.9 | 7.8 | 1.1
MMR | N/A | 2021-09-08 | 2021-09-10 | N | N/A | N/A | 0.1 | 22.3 | 11.6 | 10.5 | 6.0 | 9.9 | 15.0 | 5.0 | 12.2 | 6.7 | 0.8
Maskína | Bylgjan, Stöð 2 and Vísir | 2021-08-31 | 2021-09-06 | N | 2078 | N/A | 0.1 | 23.9 | 12.3 | 12.5 | 4.5 | 11.2 | 11.5 | 4.5 | 11.7 | 7.9 | N/A
Gallup | N/A | 2021-08-29 | 2021-08-29 | N | 4329 | 53.3 | 0.1 | 24.2 | 11.5 | 12.3 | 7.0 | 10.9 | 9.7 | 4.9 | 10.6 | 8.2 | 0.7
MMR | N/A | 2021-08-24 | 2021-08-24 | N | N/A | N/A | 0.1 | 23.9 | 10.5 | 10.9 | 6.2 | 10.6 | 12.5 | 5.1 | 10.4 | 8.7 | 1.2
Maskína | Bylgjan, Stöð 2 and Vísir | 2021-08-13 | 2021-08-23 | N | 822 | N/A | 0.1 | 23.4 | 13.0 | 14.2 | 5.1 | 9.9 | 12.6 | 4.2 | 10.7 | 6.9 | N/A
Gallup | N/A | 2021-07-29 | 2021-08-15 | N | 6238 | N/A | 0.1 | 24.5 | 11.2 | 14.1 | 6.7 | 12.6 | 10.4 | 4.1 | 9.1 | 6.7 | 0.6
Maskína | Bylgjan, Stöð 2 and Vísir | 2021-07-01 | 2021-07-31 | N | N/A | N/A | 0.1 | 20.9 | 13.7 | 14.1 | 5.5 | 12.7 | 9.9 | 4.2 | 12.3 | 6.3 | N/A
Gallup | N/A | 2021-06-30 | 2021-07-28 | N | 3800 | N/A | 0.1 | 24.1 | 12.3 | 13.8 | 7.4 | 12.2 | 11.9 | 4.0 | 8.7 | 5.4 | 0.2
Prósent | Fréttablaðið | 2021-07-15 | 2021-07-23 | N | 2600 | N/A | 0.1 | 23.6 | 12.6 | 11.9 | 5.6 | 13.3 | 10.6 | 5.0 | 10.1 | 6.1 | 1.2
MMR | N/A | 2021-06-24 | 2021-07-06 | N | 2041 | N/A | 0.1 | 25.4 | 10.6 | 11.9 | 6.6 | 12.2 | 12.3 | 5.5 | 9.1 | 5.3 | 1.2
Maskína | N/A | 2021-06-01 | 2021-06-30 | N | N/A | N/A | 0.1 | 23.8 | 12.4 | 15.0 | 5.0 | 11.6 | 11.4 | 4.2 | 12.3 | 4.3 | N/A
Gallup | N/A | 2021-06-01 | 2021-06-29 | N | 8120 | 51.6 | 0.1 | 24.1 | 9.9 | 14.7 | 7.5 | 12.9 | 10.3 | 4.2 | 10.9 | 5.4 | 0.1
MMR | N/A | 2021-06-04 | 2021-06-14 | N | 973 | N/A | 0.1 | 27.0 | 11.2 | 12.4 | 7.3 | 13.1 | 8.8 | 5.5 | 7.8 | 5.3 | 1.6
MMR | N/A | 2021-05-25 | 2021-06-01 | N | 951 | N/A | 0.1 | 24.6 | 10.9 | 11.1 | 6.5 | 13.5 | 12.5 | 2.8 | 11.0 | 5.6 | 1.6
Gallup | N/A | 2021-05-01 | 2021-05-31 | N | N/A | 47.2 | 0.1 | 23.5 | 12.4 | 14.7 | 7.2 | 11.0 | 10.4 | 4.3 | 10.9 | 5.4 | 0.2
MMR | N/A | 2021-05-07 | 2021-05-12 | N | 953 | N/A | 0.1 | 25.6 | 10.9 | 13.1 | 5.7 | 11.3 | 12.6 | 3.3 | 10.6 | 5.7 | 1.2
Gallup | N/A | 2021-04-01 | 2021-04-30 | N | N/A | 47.2 | 0.1 | 23.8 | 12.0 | 14.3 | 8.2 | 12.0 | 10.1 | 4.7 | 9.6 | 5.0 | 0.3
MMR | N/A | 2021-04-21 | 2021-04-28 | N | 946 | N/A | 0.1 | 28.7 | 11.3 | 12.9 | 5.8 | 9.6 | 10.6 | 4.8 | 8.8 | 6.0 | 1.5
MMR | N/A | 2021-03-29 | 2021-04-07 | N | 940 | N/A | 0.1 | 23.1 | 15.4 | 10.1 | 6.9 | 13.2 | 11.5 | 4.7 | 10.0 | 4.0 | 1.0
Gallup | N/A | 2021-03-01 | 2021-03-29 | N | 9856 | 53.0 | 0.1 | 23.0 | 12.7 | 12.3 | 9.5 | 11.5 | 11.1 | 5.0 | 9.5 | 5.0 | 0.4
MMR | N/A | 2021-03-05 | 2021-03-10 | N | 951 | N/A | 0.1 | 21.0 | 13.8 | 11.7 | 9.3 | 11.5 | 12.7 | 5.1 | 10.0 | 3.8 | 1.0
Gallup | N/A | 2021-02-01 | 2021-02-28 | N | 9078 | 52.5 | 0.1 | 22.9 | 14.4 | 13.4 | 7.3 | 12.2 | 10.3 | 4.0 | 9.4 | 5.8 | N/A
MMR | N/A | 2021-02-12 | 2021-02-18 | N | 919 | N/A | 0.1 | 22.2 | 13.1 | 13.5 | 8.0 | 11.4 | 11.4 | 3.6 | 10.6 | 4.1 | 2.0
Gallup | N/A | 2021-01-06 | 2021-01-31 | N | 9019 | 51.4 | 0.1 | 22.7 | 16.6 | 12.8 | 8.0 | 11.1 | 9.5 | 3.9 | 11.7 | 3.8 | N/A
MMR | N/A | 2020-12-30 | 2021-01-11 | N | 2002 | N/A | 0.1 | 24.4 | 15.6 | 10.9 | 8.6 | 12.3 | 9.1 | 4.9 | 8.8 | 4.4 | 1.0
Gallup | N/A | 2020-12-01 | 2021-01-03 | N | 10958 | 51.5 | 0.1 | 23.7 | 17.0 | 11.7 | 9.1 | 11.9 | 8.3 | 4.3 | 10.0 | 3.8 | 0.0
Zenter | N/A | 2020-12-11 | 2020-12-19 | N | 2500 | 52.8 | 0.1 | 22.9 | 15.6 | 10.2 | 6.7 | 17.0 | 7.3 | 4.7 | 10.2 | 3.3 | 2.1
MMR | N/A | 2020-11-26 | 2020-12-03 | N | 944 | N/A | 0.1 | 27.1 | 13.8 | 7.6 | 7.0 | 13.8 | 7.5 | 6.2 | 9.5 | 5.0 | 2.3
Gallup | N/A | 2020-11-02 | 2020-11-30 | N | 9351 | 53.6 | 0.1 | 23.7 | 17.1 | 11.8 | 8.8 | 12.4 | 8.6 | 4.1 | 9.7 | 3.7 | 0.0
MMR | N/A | 2020-11-06 | 2020-11-11 | N | 925 | N/A | 0.1 | 25.0 | 16.7 | 7.5 | 9.1 | 14.3 | 9.9 | 3.9 | 8.4 | 4.0 | 1.1
Gallup | N/A | 2020-09-30 | 2020-11-01 | N | 10937 | 54.0 | 0.1 | 23.5 | 15.8 | 11.9 | 9.9 | 12.1 | 7.7 | 4.5 | 11.6 | 2.7 | 0.0
MMR | N/A | 2020-10-23 | 2020-10-28 | N | 933 | N/A | 0.1 | 21.9 | 15.2 | 8.3 | 11.6 | 13.5 | 10.2 | 3.8 | 9.7 | 4.6 | 1.3
Gallup | N/A | 2020-09-01 | 2020-09-30 | N | 9673 | 52.9 | 0.1 | 23.9 | 14.9 | 13.7 | 9.4 | 13.2 | 6.7 | 3.7 | 10.4 | 3.9 | 0.0
Maskína | N/A | 2020-09-24 | 2020-09-28 | N | 879 | N/A | 0.1 | 22.7 | 17.9 | 10.4 | 5.9 | 15.7 | 7.8 | 5.5 | 14.0 | N/A | N/A
MMR | N/A | 2020-09-10 | 2020-09-23 | N | 2043 | N/A | 0.1 | 25.6 | 12.8 | 8.5 | 10.8 | 15.0 | 8.3 | 3.6 | 9.4 | 4.3 | 1.7
MMR | N/A | 2020-08-26 | 2020-09-02 | N | 929 | N/A | 0.1 | 24.0 | 14.9 | 9.6 | 8.0 | 14.3 | 8.9 | 4.8 | 10.0 | 3.4 | 2.2
Gallup | N/A | 2020-08-04 | 2020-08-31 | N | 9479 | 51.9 | 0.1 | 22.8 | 14.7 | 12.6 | 9.9 | 13.7 | 7.9 | 3.6 | 10.6 | 3.9 | 0.3
MMR | N/A | 2020-07-23 | 2020-07-28 | N | 951 | N/A | 0.1 | 24.0 | 13.1 | 10.8 | 8.4 | 15.4 | 8.6 | 4.0 | 8.4 | 5.1 | 2.1
Gallup | N/A | 2020-06-02 | 2020-06-30 | N | 10274 | 51.7 | 0.1 | 24.0 | 14.9 | 13.6 | 10.2 | 10.7 | 8.6 | 3.6 | 10.5 | 3.8 | 0.1
MMR | N/A | 2020-06-16 | 2020-06-19 | N | 1045 | N/A | 0.1 | 24.3 | 16.3 | 10.7 | 8.0 | 13.2 | 6.1 | 5.4 | 10.0 | 3.5 | 2.4
Gallup | N/A | 2020-05-04 | 2020-06-01 | N | 10630 | 54.0 | 0.1 | 24.6 | 14.4 | 14.3 | 10.4 | 11.0 | 7.7 | 4.4 | 9.7 | 3.3 | 0.0
MMR | N/A | 2020-05-19 | 2020-05-25 | N | 994 | N/A | 0.1 | 23.5 | 13.3 | 10.6 | 10.8 | 14.6 | 6.4 | 3.6 | 11.3 | 4.1 | 1.7
Gallup | N/A | 2020-03-30 | 2020-05-03 | N | 11028 | 55.7 | 0.1 | 25.1 | 13.8 | 13.8 | 9.9 | 10.4 | 8.4 | 4.4 | 10.0 | 4.0 | 0.0
MMR | N/A | 2020-04-15 | 2020-04-17 | N | 1051 | N/A | 0.1 | 22.7 | 13.1 | 10.4 | 9.5 | 12.3 | 9.8 | 4.7 | 10.0 | 5.6 | 2.0
MMR | N/A | 2020-04-03 | 2020-04-07 | N | 987 | N/A | 0.1 | 23.5 | 14.1 | 12.3 | 10.7 | 12.2 | 8.8 | 3.4 | 9.6 | 3.4 | 2.1
Gallup | N/A | 2020-03-02 | 2020-03-29 | N | 10352 | 54.8 | 0.1 | 23.5 | 15.1 | 13.3 | 11.2 | 10.2 | 8.1 | 4.2 | 11.1 | 3.2 | 0.0
MMR | N/A | 2020-03-18 | 2020-03-20 | N | 1034 | N/A | 0.1 | 27.4 | 14.7 | 9.8 | 10.0 | 10.2 | 8.1 | 3.7 | 9.7 | 4.7 | 0.5
Gallup | N/A | 2020-02-03 | 2020-03-01 | N | 7964 | 53.8 | 0.1 | 21.6 | 14.5 | 11.7 | 13.9 | 10.5 | 6.9 | 3.9 | 10.1 | 4.9 | 1.9
MMR | N/A | 2020-02-06 | 2020-02-10 | N | 1003 | N/A | 0.1 | 22.0 | 15.1 | 10.7 | 13.3 | 10.4 | 6.8 | 4.6 | 9.7 | 5.3 | 2.1
Gallup | N/A | 2020-01-03 | 2020-02-02 | N | 8678 | 51.8 | 0.1 | 21.6 | 17.7 | 10.5 | 12.5 | 11.5 | 7.8 | 4.2 | 10.3 | 3.4 | 0.0
MMR | N/A | 2020-01-28 | 2020-01-28 | N | N/A | N/A | 0.1 | 19.0 | 16.6 | 8.7 | 15.1 | 10.6 | 7.2 | 3.8 | 12.4 | 4.9 | 1.9
MMR | N/A | 2020-01-03 | 2020-01-13 | N | 2057 | N/A | 0.1 | 20.3 | 16.8 | 11.1 | 12.9 | 11.0 | 8.2 | 3.5 | 10.5 | 4.1 | 1.5
Gallup | N/A | 2019-12-02 | 2020-01-01 | N | 8511 | 52.8 | 0.1 | 22.7 | 13.9 | 10.7 | 12.7 | 11.3 | 8.6 | 4.3 | 12.0 | 3.3 | 0.0
MMR | N/A | 2019-12-13 | 2019-12-19 | N | 1014 | N/A | 0.1 | 20.0 | 14.4 | 10.3 | 14.3 | 11.8 | 8.3 | 4.0 | 10.5 | 5.2 | 1.1
Gallup | N/A | 2019-10-28 | 2019-12-01 | N | 11663 | 53.2 | 0.1 | 21.7 | 15.8 | 13.6 | 12.9 | 10.3 | 7.8 | 3.9 | 10.8 | 3.0 | 0.0
MMR | N/A | 2019-11-15 | 2019-11-22 | N | 1061 | N/A | 0.1 | 18.1 | 13.2 | 10.6 | 16.8 | 10.8 | 9.4 | 6.3 | 9.7 | 3.0 | 2.2
Gallup | N/A | 2019-09-30 | 2019-10-27 | N | 9798 | 53.5 | 0.1 | 22.7 | 17.3 | 13.4 | 11.5 | 9.0 | 8.2 | 4.6 | 10.3 | 2.6 | 0.0
MMR | N/A | 2019-10-21 | 2019-10-25 | N | 972 | N/A | 0.1 | 21.1 | 15.3 | 9.7 | 13.5 | 8.9 | 10.0 | 8.0 | 10.0 | 2.6 | 0.9
Zenter | N/A | 2019-10-10 | 2019-10-14 | N | 2300 | 53.0 | 0.1 | 19.6 | 18.5 | 12.5 | 11.6 | 10.9 | 7.3 | 4.0 | 11.3 | 2.9 | 1.1
MMR | N/A | 2019-09-30 | 2019-10-09 | N | 2124 | N/A | 0.1 | 19.8 | 14.1 | 10.3 | 14.8 | 8.8 | 10.1 | 5.6 | 11.0 | 3.1 | 2.4
Gallup | N/A | 2019-09-01 | 2019-09-30 | N | N/A | 47.2 | 0.1 | 23.5 | 16.1 | 12.0 | 12.3 | 9.7 | 7.9 | 4.3 | 11.2 | 2.7 | 0.0
MMR | N/A | 2019-09-09 | 2019-09-16 | N | 1045 | N/A | 0.1 | 18.3 | 14.8 | 12.8 | 12.0 | 12.4 | 11.8 | 4.0 | 10.2 | 2.0 | 1.6
Gallup | N/A | 2019-07-29 | 2019-09-01 | N | 8423 | 47.2 | 0.1 | 21.7 | 15.5 | 12.8 | 13.4 | 9.3 | 8.3 | 3.8 | 11.4 | 3.7 | N/A
MMR | N/A | 2019-08-12 | 2019-08-19 | N | 990 | N/A | 0.1 | 19.1 | 16.8 | 11.5 | 13.0 | 11.3 | 10.4 | 4.1 | 9.3 | 2.9 | 1.6
Gallup | N/A | 2019-07-01 | 2019-07-31 | N | N/A | 47.2 | 0.1 | 21.6 | 13.7 | 12.0 | 12.1 | 12.7 | 8.5 | 3.7 | 12.2 | 3.2 | 0.0
Zenter | N/A | 2019-07-24 | 2019-07-26 | N | 2000 | 45.0 | 0.1 | 20.5 | 14.4 | 12.9 | 13.4 | 12.3 | 8.2 | 3.2 | 10.6 | 2.7 | 1.9
MMR | N/A | 2019-07-04 | 2019-07-17 | N | 2031 | N/A | 0.1 | 19.0 | 13.5 | 10.3 | 14.4 | 14.9 | 8.4 | 4.8 | 9.7 | 4.3 | 0.8
Gallup | N/A | 2019-05-31 | 2019-06-30 | N | 5910 | 53.0 | 0.1 | 23.7 | 14.7 | 13.0 | 11.4 | 11.3 | 8.6 | 4.2 | 10.1 | 3.0 | 0.0
MMR | N/A | 2019-06-07 | 2019-06-14 | N | 988 | N/A | 0.1 | 22.1 | 14.4 | 11.3 | 10.6 | 14.4 | 7.7 | 4.2 | 9.5 | 4.4 | 1.3
Gallup | N/A | 2019-05-03 | 2019-05-30 | N | 6125 | 53.5 | 0.1 | 23.4 | 16.6 | 12.4 | 10.0 | 11.2 | 8.5 | 3.2 | 10.9 | 3.7 | 0.1
