Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Fidesz+KDNP | Jobbik | MSZP | P | DK | LMP | MM | Együtt | MLP | MKKP | MH | EM | MMM | ANPM | Other
Republikon Intézet | N/A | 2023-03-20 | 2023-03-24 | N | 1000 | N/A | 1 | 47 | 3 | 5 | 2 | 20 | 4 | 8 | N/A | N/A | 3 | 8 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2023-02-25 | 2023-03-16 | N | 1800 | N/A | 1 | 48 | 2 | 2 | 2 | 19 | 1 | 7 | N/A | N/A | 6 | 9 | N/A | N/A | N/A | 4
ZRI Závecz Research | N/A | 2023-02-28 | 2023-03-08 | N | 1000 | N/A | 1 | 49 | 4 | 5 | 1 | 18 | 3 | 6 | N/A | N/A | 3 | 9 | N/A | 1 | N/A | 1
Medián | N/A | 2023-02-21 | 2023-02-27 | N | 1000 | N/A | 1 | 51 | 5 | 1 | 2 | 14 | 2 | 9 | N/A | N/A | 6 | 6 | N/A | 2 | 1 | 1
Nézőpont Intézet | N/A | 2023-02-20 | 2023-02-22 | N | 1000 | N/A | 1 | 52 | 4 | 2 | 1 | 12 | 2 | 5 | N/A | N/A | 9 | 9 | N/A | 2 | 2 | 0
Republikon Intézet | N/A | 2023-02-10 | 2023-02-15 | N | 1000 | N/A | 1 | 47 | 3 | 6 | 3 | 20 | 5 | 6 | N/A | N/A | 3 | 7 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2023-01-30 | 2023-02-15 | N | 1800 | N/A | 1 | 48 | 2 | 3 | 2 | 20 | 1 | 6 | N/A | N/A | 5 | 9 | N/A | N/A | N/A | 4
IDEA Intézet | N/A | 2022-12-31 | 2023-01-11 | N | 1800 | N/A | 1 | 48 | 3 | 2 | 3 | 20 | 1 | 6 | N/A | N/A | 5 | 9 | N/A | N/A | N/A | 3
Republikon Intézet | N/A | 2023-01-02 | 2023-01-06 | N | 1000 | N/A | 1 | 45 | 5 | 6 | 2 | 20 | 4 | 6 | N/A | N/A | 3 | 9 | N/A | N/A | N/A | 0
Nézőpont Intézet | N/A | 2023-01-02 | 2023-01-04 | E | 1000 | N/A | 1 | 56 | 2 | 2 | 1 | 14 | 3 | 6 | N/A | N/A | 4 | 6 | N/A | N/A | N/A | 6
Publicus Research | N/A | 2022-12-12 | 2022-12-16 | N | 1002 | N/A | 1 | 48 | 5 | 6 | 1 | 13 | 2 | 6 | N/A | N/A | 4 | 4 | N/A | 1 | N/A | 9
Medián | N/A | 2022-12-09 | 2022-12-15 | N | 1000 | N/A | 1 | 50 | 5 | 2 | 1 | 12 | 2 | 8 | N/A | N/A | 7 | 8 | N/A | 3 | 2 | 0
Real-PR 93 | N/A | 2022-12-12 | 2022-12-14 | N | 1000 | N/A | 1 | 51 | 6 | 2 | 1 | 13 | 1 | 6 | N/A | N/A | 7 | 10 | N/A | N/A | 2 | 1
IDEA Intézet | N/A | 2022-11-29 | 2022-12-12 | N | 1800 | N/A | 1 | 47 | 4 | 4 | 3 | 19 | 1 | 6 | N/A | N/A | 4 | 10 | N/A | N/A | N/A | 3
Republikon Intézet | N/A | 2022-11-23 | 2022-11-28 | N | 1000 | N/A | 1 | 46 | 4 | 6 | 2 | 18 | 4 | 6 | N/A | N/A | 4 | 10 | N/A | N/A | N/A | 0
ZRI Závecz Research | N/A | 2022-11-14 | 2022-11-22 | N | 1000 | N/A | 1 | 50 | 5 | 5 | 1 | 17 | 3 | 6 | N/A | N/A | 3 | 8 | N/A | N/A | N/A | 2
IDEA Intézet | N/A | 2022-10-28 | 2022-11-08 | N | 1800 | N/A | 1 | 52 | 3 | 3 | 2 | 19 | 1 | 5 | N/A | N/A | 4 | 8 | N/A | N/A | N/A | 3
Republikon Intézet | N/A | 2022-10-19 | 2022-10-24 | N | 1000 | N/A | 1 | 48 | 4 | 6 | 3 | 17 | 3 | 8 | N/A | N/A | 2 | 10 | N/A | N/A | N/A | 0
Medián | N/A | 2022-10-15 | 2022-10-21 | N | 1000 | N/A | 0.1 | 50.0 | 2.6 | 1.3 | 2.6 | 11.5 | 2.6 | 6.4 | N/A | N/A | 9.0 | 9.0 | N/A | 2.6 | 2.6 | 0.0
Nézőpont Intézet | N/A | 2022-10-17 | 2022-10-19 | N | 1000 | N/A | 0.1 | 54.2 | 3.8 | 3.8 | 1.9 | 17.0 | 1.9 | 5.7 | N/A | N/A | 3.1 | 4.2 | N/A | N/A | 1.0 | 0
IDEA Intézet | N/A | 2022-09-29 | 2022-10-09 | N | 1800 | N/A | 1 | 51 | 4 | 2 | 2 | 20 | 1 | 6 | N/A | N/A | 3 | 9 | N/A | N/A | N/A | 0
ZRI Závecz Research | N/A | 2022-09-14 | 2022-09-22 | N | 1000 | N/A | 1 | 52 | 5 | 5 | 2 | 15 | 3 | 6 | N/A | N/A | 2 | 8 | N/A | N/A | N/A | 2
IDEA Intézet | N/A | 2022-08-31 | 2022-09-09 | N | 1800 | N/A | 1 | 50 | 3 | 2 | 3 | 17 | 2 | 6 | N/A | N/A | 5 | 9 | N/A | N/A | N/A | 3
Nézőpont Intézet | N/A | 2022-08-29 | 2022-08-31 | N | 1000 | N/A | 0.1 | 52.8 | 6.4 | 2.1 | 0.0 | 12.7 | 2.1 | 10.6 | N/A | N/A | 4.5 | 6.7 | N/A | N/A | N/A | 0
Publicus Research | N/A | 2022-08-25 | 2022-08-30 | N | 1000 | N/A | 0.1 | 48 | 3.7 | 7.4 | 1.2 | 13.5 | 2.5 | 8.6 | N/A | N/A | 4.9 | 6.1 | N/A | 1.2 | N/A | 3
IDEA Intézet | N/A | 2022-07-27 | 2022-08-07 | N | 1800 | N/A | 1 | 51 | 6 | 2 | 2 | 17 | 1 | 6 | N/A | N/A | 5 | 9 | N/A | N/A | N/A | 1
Publicus Research | N/A | 2022-07-09 | 2022-07-22 | N | 1004 | N/A | 0.1 | 44 | 7.2 | 7.2 | 1.2 | 12.0 | 2.4 | 8.4 | N/A | N/A | 6.0 | 7.2 | N/A | 1.2 | N/A | 2
IDEA Intézet | N/A | 2022-07-09 | 2022-07-20 | N | 1800 | N/A | 1 | 54 | 5 | 2 | 2 | 14 | 1 | 6 | N/A | N/A | 6 | 9 | N/A | N/A | N/A | 1
Nézőpont Intézet | N/A | 2022-07-11 | 2022-07-13 | N | 1000 | N/A | 0.1 | 56.3 | 7.7 | 1.9 | 1.9 | 9.6 | 1.9 | 9.6 | N/A | N/A | 5.2 | 5.2 | N/A | N/A | N/A | 0
Nézőpont Intézet | N/A | 2022-06-20 | 2022-06-22 | N | 1000 | N/A | 0.1 | 57.9 | 7.0 | 1.8 | 1.8 | 10.6 | 1.8 | 7.0 | N/A | N/A | 5.3 | 6.2 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2022-04-29 | 2022-05-09 | N | 1800 | N/A | 1 | 57 | 6 | 2 | 2 | 12 | 1 | 7 | N/A | N/A | 4 | 8 | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2022-04-25 | 2022-05-04 | N | 1000 | N/A | 1 | 60 | 5 | 5 | 1 | 11 | 3 | 5 | N/A | N/A | 1 | 8 | N/A | N/A | N/A | 1
Medián | N/A | 2022-04-26 | 2022-04-30 | N | 1000 | N/A | 1 | 60 | 3 | 2 | 1 | 7 | 1 | 8 | N/A | N/A | 6 | 7 | N/A | 3 | N/A | 2
Republikon | N/A | 2022-04-20 | 2022-04-24 | N | 1000 | N/A | 1 | 55 | 6 | 5 | 4 | 12 | 3 | 9 | N/A | N/A | 2 | 4 | N/A | N/A | N/A | 0
Medián | N/A | 2022-03-31 | 2022-04-01 | N | N/A | N/A | 0.5 | 49 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.5 | 4.5 | 41 | N/A | N/A | 1
Publicus Research | N/A | 2022-03-29 | 2022-03-31 | N | 1025 | N/A | 1 | 47 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 3 | 47 | N/A | N/A | 1
Medián | N/A | 2022-03-01 | 2022-03-31 | N | N/A | N/A | 1 | 50 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | 4 | 40 | N/A | N/A | 2
Társadalomkutató | N/A | 2022-03-28 | 2022-03-30 | N | 1000 | N/A | 1 | 50 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | 6 | 40 | N/A | N/A | 0
Republikon | N/A | 2022-03-26 | 2022-03-29 | N | 800 | N/A | 0.1 | 49.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 46.5 | N/A | N/A | 4.2
Real-PR 93 | N/A | 2022-03-28 | 2022-03-28 | N | N/A | N/A | 1 | 49 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 5 | 41 | N/A | N/A | 2
IDEA Intézet | N/A | 2022-03-22 | 2022-03-28 | N | 1800 | N/A | 1 | 50 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 3 | 45 | N/A | N/A | 0
Századvég | N/A | 2022-03-21 | 2022-03-27 | N | 1000 | N/A | 1 | 49 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 3 | 44 | N/A | N/A | 1
ZRI Závecz Research | N/A | 2022-03-21 | 2022-03-27 | N | 1000 | N/A | 1 | 50 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | 3 | 46 | N/A | N/A | 0
Nézőpont Intézet | N/A | 2022-03-23 | 2022-03-25 | N | 1000 | N/A | 0.1 | 49.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1 | 3.1 | 43.8 | N/A | N/A | 1
ZRI Závecz Research | N/A | 2022-03-23 | 2022-03-25 | N | 800 | N/A | 0.1 | 48.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 46.4 | N/A | N/A | 4.8
Publicus Research | N/A | 2022-03-21 | 2022-03-25 | N | 1000 | N/A | 0.1 | 48.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | 2.4 | 45.9 | N/A | N/A | 1.2
Társadalomkutató | N/A | 2022-03-21 | 2022-03-23 | N | 1000 | N/A | 1 | 52 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 3 | 41 | N/A | N/A | 1
Nézőpont Intézet | N/A | 2022-03-16 | 2022-03-21 | N | 1000 | N/A | 0.5 | 51.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 2 | 43 | N/A | N/A | 0
Republikon | N/A | 2022-03-16 | 2022-03-18 | N | 1000 | N/A | 1 | 49 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 3 | 46 | N/A | N/A | 0
Publicus Research | N/A | 2022-03-07 | 2022-03-11 | N | 1001 | N/A | 0.1 | 48.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4 | 2.9 | 45.5 | N/A | N/A | 1.4
IDEA Intézet | N/A | 2022-03-02 | 2022-03-11 | N | 2000 | N/A | 1 | 50 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 4 | 43 | N/A | N/A | 0
e-benchmark | N/A | 2022-02-26 | 2022-03-05 | N | 1000 | N/A | 1 | 54 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 46 | N/A | N/A | N/A
Medián | N/A | 2022-02-22 | 2022-02-26 | N | 1100 | N/A | 1 | 49 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 4 | 43 | N/A | N/A | 1
Republikon | N/A | 2022-02-18 | 2022-02-24 | N | 1000 | N/A | 1 | 48 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 3 | 46 | N/A | N/A | 0
Nézőpont Intézet | N/A | 2022-02-14 | 2022-02-16 | N | 1000 | N/A | 1 | 50 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 3 | 43 | N/A | N/A | 1
Publicus Research | N/A | 2022-02-10 | 2022-02-14 | N | 1000 | N/A | 1 | 46 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | 3 | 49 | N/A | N/A | 1
Real-PR 93 | N/A | 2022-02-09 | 2022-02-11 | N | 1000 | N/A | 1 | 54 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 3 | 41 | N/A | N/A | 0
ZRI Závecz Research | N/A | 2022-02-02 | 2022-02-10 | N | 1000 | N/A | 1 | 49 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 3 | 46 | N/A | N/A | 0
IDEA Intézet | N/A | 2022-01-31 | 2022-02-09 | N | 2000 | N/A | 1 | 49 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 4 | 44 | N/A | N/A | 0
Társadalomkutató | N/A | 2022-01-24 | 2022-01-26 | N | 1000 | N/A | 1 | 51 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 3 | 43 | N/A | N/A | 0
Republikon | N/A | 2022-01-20 | 2022-01-25 | N | 1000 | N/A | 1 | 47 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 3 | 47 | N/A | N/A | 0
Alapjogokért Központ | N/A | 2022-01-17 | 2022-01-19 | N | 1000 | N/A | 1 | 49 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 4 | 44 | N/A | N/A | N/A
IDEA Intézet | N/A | 2022-01-04 | 2022-01-14 | N | 2000 | N/A | 1 | 48 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | 4 | 44 | N/A | N/A | N/A
Nézőpont Intézet | N/A | 2022-01-02 | 2022-01-05 | N | 1000 | N/A | 1 | 50 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 3 | 43 | N/A | N/A | 1
Real-PR 93 | N/A | 2021-12-21 | 2021-12-23 | N | 1000 | N/A | 1 | 54 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 45 | N/A | N/A | 1
Nézőpont Intézet | N/A | 2021-12-13 | 2021-12-15 | N | 1000 | N/A | 1 | 55 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 43 | N/A | N/A | 2
Republikon | N/A | 2021-12-09 | 2021-12-14 | N | 1000 | N/A | 1 | 43 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 4 | 48 | N/A | N/A | 2
ZRI Závecz Research | N/A | 2021-12-04 | 2021-12-13 | N | 1000 | N/A | 1 | 47 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 3 | 47 | N/A | N/A | 1
IDEA Intézet | N/A | 2021-11-29 | 2021-12-13 | N | 2000 | N/A | 1 | 47 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 4 | 46 | N/A | N/A | 0
Iránytű Intézet | N/A | 2021-12-06 | 2021-12-11 | N | 2000 | N/A | 1 | 46 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | 5 | 32 | N/A | N/A | 0
Medián | N/A | 2021-12-04 | 2021-12-07 | N | 1000 | N/A | 1 | 48 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 43 | N/A | N/A | N/A
Társadalomkutató | N/A | 2021-11-28 | 2021-11-30 | N | 1000 | N/A | 1 | 44 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 39 | N/A | N/A | 3
Publicus Research | N/A | 2021-11-25 | 2021-11-30 | N | 1003 | N/A | 1 | 46 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0 | 1 | 53 | N/A | N/A | 0
ZRI Závecz Research | N/A | 2021-11-15 | 2021-11-24 | N | 1000 | N/A | 1 | 48 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 49 | N/A | N/A | 2
Republikon | N/A | 2021-11-17 | 2021-11-23 | N | 1000 | N/A | 1 | 41 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | 3 | 48 | N/A | N/A | 4
e-benchmark | N/A | 2021-11-04 | 2021-11-12 | N | 1000 | N/A | 1 | 45 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 40 | N/A | N/A | N/A
ZRI Závecz Research | N/A | 2021-11-02 | 2021-11-12 | N | 1000 | N/A | 1 | 37 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 3 | 41 | N/A | N/A | 3
Real-PR 93 | N/A | 2021-11-09 | 2021-11-11 | N | 1000 | N/A | 1 | 55 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 44 | N/A | N/A | 1
IDEA Intézet | N/A | 2021-10-26 | 2021-11-05 | N | 2000 | N/A | 1 | 48 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 3 | 45 | N/A | N/A | 1
Nézőpont Intézet | N/A | 2021-11-02 | 2021-11-03 | N | 1000 | N/A | 1 | 56 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 42 | N/A | N/A | 2
Századvég | N/A | 2021-10-01 | 2021-10-31 | N | 1000 | N/A | 1 | 45 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5 | 3 | 36 | N/A | N/A | 4
Republikon | N/A | 2021-10-25 | 2021-10-29 | N | 1000 | N/A | 1 | 42 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 3 | 51 | N/A | N/A | 4
Nézőpont Intézet | N/A | 2021-10-25 | 2021-10-27 | N | 1000 | N/A | 1 | 56 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 42 | N/A | N/A | 2
Real-PR 93 | N/A | 2021-10-19 | 2021-10-21 | N | 1000 | N/A | 1 | 55 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 44 | N/A | N/A | 1
Nézőpont Intézet | N/A | 2021-10-18 | 2021-10-20 | N | 1000 | N/A | 1 | 56 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 43 | N/A | N/A | 2
ZRI Závecz Research | N/A | 2021-10-11 | 2021-10-19 | N | 1000 | N/A | 1 | 45 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 51 | N/A | N/A | 4
e-benchmark | N/A | 2021-10-07 | 2021-10-16 | N | 1000 | N/A | 1 | 43 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 42 | N/A | N/A | N/A
Nézőpont Intézet | N/A | 2021-10-11 | 2021-10-13 | N | 1000 | N/A | 1 | 56 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 42 | N/A | N/A | 1
IDEA Intézet | N/A | 2021-09-30 | 2021-10-09 | N | 2000 | N/A | 1 | 47 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 3 | 47 | N/A | N/A | N/A
Medián | N/A | 2021-10-04 | 2021-10-06 | N | 1000 | N/A | 1 | 44 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5 | 4 | 47 | N/A | N/A | N/A
Nézőpont Intézet | N/A | 2021-10-04 | 2021-10-06 | N | 1000 | N/A | 1 | 54 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 43 | N/A | N/A | 2
Társadalomkutató | N/A | 2021-10-04 | 2021-10-06 | N | 1000 | N/A | 1 | 45 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 37 | N/A | N/A | 3
Publicus Research | N/A | 2021-10-02 | 2021-10-04 | N | 1000 | N/A | 1 | 44 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 1 | 52 | N/A | N/A | 1
Republikon | N/A | 2021-10-01 | 2021-10-04 | N | 1000 | N/A | 1 | 44 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 1 | 52 | N/A | N/A | 1
Nézőpont Intézet | N/A | 2021-09-27 | 2021-09-29 | N | 1000 | N/A | 1 | 54 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 44 | N/A | N/A | 2
Nézőpont Intézet | N/A | 2021-09-20 | 2021-09-21 | N | 1000 | N/A | 1 | 53 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 45 | N/A | N/A | 2
ZRI Závecz Research | N/A | 2021-09-13 | 2021-09-20 | N | 1000 | N/A | 1 | 49 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 49 | N/A | N/A | N/A
e-benchmark | N/A | 2021-09-10 | 2021-09-18 | N | 1000 | N/A | 1 | 44 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 41 | N/A | N/A | N/A
IDEA Intézet | N/A | 2021-08-31 | 2021-09-07 | N | 2000 | N/A | 1 | 49 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 3 | 45 | N/A | N/A | 0
