Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PL | PN | AD | PD | MPM | ADPD | Other
MaltaToday | N/A | 2020-07-13 | 2020-07-17 | N | 538 | N/A | 0.1 | 68.9 | 30.0 | 1.0 | N/A | N/A | N/A | N/A
MaltaToday | N/A | 2020-06-12 | 2020-06-18 | N | 653 | N/A | 0.1 | 66.3 | 31.4 | 1.4 | 0.9 | N/A | N/A | N/A
MaltaToday | N/A | 2020-05-11 | 2020-05-15 | N | 653 | N/A | 0.1 | 69.0 | 29.3 | 1.3 | 0.1 | N/A | N/A | N/A
MaltaToday | N/A | 2020-04-06 | 2020-04-09 | N | 652 | N/A | 0.1 | 66.3 | 31.4 | 0.1 | N/A | N/A | N/A | N/A
MaltaToday | N/A | 2020-03-03 | 2020-03-10 | N | 653 | N/A | 0.1 | 68.1 | 28.3 | 2.2 | N/A | N/A | N/A | 1.4
Sagalytics | N/A | 2020-02-24 | 2020-02-28 | N | 600 | N/A | 1 | 55 | 42 | N/A | 3 | N/A | N/A | 0
MaltaToday | N/A | 2020-01-21 | 2020-01-28 | N | 655 | N/A | 0.1 | 65.9 | 31.9 | 0.5 | 1.1 | N/A | N/A | 0.6
MaltaToday | N/A | 2019-12-16 | 2019-12-20 | N | 496 | N/A | 0.1 | 56.8 | 40.4 | 1.4 | 1.0 | N/A | N/A | 0.4
MaltaToday | N/A | 2019-12-02 | 2019-12-06 | N | N/A | N/A | 0.1 | 59.0 | 37.8 | 1.5 | 0.8 | 0.4 | N/A | 0.5
Sagalytics | N/A | 2019-11-27 | 2019-11-29 | N | 600 | N/A | 1 | 56 | 43 | N/A | N/A | N/A | N/A | 1
MaltaToday | N/A | 2019-10-24 | 2019-10-31 | N | 656 | N/A | 1 | 61 | 37 | N/A | N/A | N/A | N/A | 2
MaltaToday | N/A | 2019-09-26 | 2019-10-03 | N | 643 | N/A | 0.1 | 64.4 | 33.2 | N/A | N/A | N/A | N/A | 2.4
Sagalytics | N/A | 2019-09-16 | 2019-09-20 | N | 660 | N/A | 0.1 | 58.1 | 39.1 | 1.0 | 0.0 | 0.0 | N/A | 0.0
Sagalytics | N/A | 2019-05-11 | 2019-05-17 | E | 600 | N/A | 0.1 | 56.9 | 37.3 | 2.0 | 1.1 | N/A | N/A | 2.8
MaltaToday | N/A | 2019-05-09 | 2019-05-15 | E | 849 | N/A | 0.1 | 57.8 | 39.1 | N/A | N/A | N/A | N/A | N/A
MISCO | Sunday Times | 2019-05-08 | 2019-05-11 | E | 402 | 77.0 | 0.1 | 55.0 | 40.0 | N/A | N/A | N/A | N/A | 3.4
MaltaToday | N/A | 2019-04-25 | 2019-05-03 | E | 602 | 77.8 | 0.1 | 58.0 | 38.1 | 1.3 | 1.1 | N/A | N/A | 1.6
MaltaToday | N/A | 2019-03-28 | 2019-04-04 | E | 597 | 68.9 | 0.5 | 62.5 | 37.5 | 0.0 | 0.0 | 0.0 | N/A | 0.0
MISCO | N/A | 2019-03-27 | 2019-03-29 | E | 402 | 68.0 | 1 | 59 | 37 | 2 | 2 | N/A | N/A | N/A
MISCO | N/A | 2019-03-11 | 2019-03-16 | E | 500 | N/A | 1 | 58 | 39 | 1 | 1 | N/A | N/A | N/A
MaltaToday | N/A | 2019-02-22 | 2019-02-27 | E | 598 | 72.9 | 0.1 | 59.5 | 38.4 | 0.8 | 1.3 | 0.0 | N/A | 0.0
MaltaToday | N/A | 2019-01-21 | 2019-01-28 | E | 597 | 67.9 | 0.1 | 62.6 | 36.4 | 0.6 | 0.4 | 0.0 | N/A | 0.0
MaltaToday | N/A | 2018-12-06 | 2018-12-14 | N | 597 | 80.4 | 0.1 | 61.2 | 36.8 | 0.9 | 1.1 | 0.0 | N/A | 0.0
MaltaToday | N/A | 2018-11-05 | 2018-11-08 | N | 597 | 80.2 | 0.1 | 68.8 | 29.1 | 1.0 | 1.0 | 0.0 | N/A | 0.0
MaltaToday | N/A | 2018-10-01 | 2018-10-06 | N | 601 | 78.4 | 0.1 | 60.3 | 36.9 | 0.2 | 0.5 | 0.0 | N/A | 0.0
MaltaToday | N/A | 2018-08-27 | 2018-08-30 | N | 605 | 74.0 | 0.1 | 64.5 | 33.5 | 0.3 | 1.8 | 0.0 | N/A | 0.0
MaltaToday | N/A | 2018-07-27 | 2018-08-02 | N | 597 | 79.7 | 0.1 | 65.4 | 34.0 | 0.6 | 0.0 | 0.0 | N/A | 0.0
Esprimi | Lovin Malta | 2018-07-26 | 2018-07-27 | N | 1100 | 71.6 | 0.1 | 65.4 | 23.1 | 3.5 | N/A | N/A | N/A | 8.0
Sagalytics | It-Torċa | 2018-06-01 | 2018-06-01 | N | N/A | N/A | 0.1 | 58.5 | 40.7 | N/A | N/A | N/A | N/A | 0.8
MaltaToday | N/A | 2018-05-28 | 2018-05-31 | N | 552 | 77.3 | 0.1 | 63.0 | 35.7 | 0.8 | 0.5 | 0.0 | N/A | 0.0
Sagalytics | N/A | 2019-04-23 | 2018-05-02 | E | 600 | N/A | 0.1 | 55.2 | 39.0 | N/A | N/A | N/A | N/A | 5.8
MaltaToday | N/A | 2018-04-23 | 2018-04-27 | N | 553 | 78.8 | 0.1 | 58.0 | 40.7 | 0.9 | 0.0 | 0.4 | N/A | 0.0
MaltaToday | N/A | 2018-02-26 | 2018-03-01 | N | 501 | 78.3 | 0.1 | 63.3 | 33.0 | 1.0 | 2.7 | 0.0 | N/A | 0.0
Sagalytics | It-Torċa | 2018-02-12 | 2018-02-20 | N | 600 | 77.0 | 0.1 | 60.5 | 37.5 | N/A | N/A | N/A | N/A | 1.9
MaltaToday | N/A | 2018-01-23 | 2018-01-29 | N | 501 | 72.1 | 0.1 | 58.3 | 40.1 | 1.7 | 0.0 | 0.0 | N/A | 0.0
