Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ÖVP | SPÖ | FPÖ | NEOS | GRÜNE | JETZT | G!LT | HC | MFG | KPÖ | BIER | Other
Market | Der Standard | 2023-05-12 | 2023-05-16 | N | 800 | N/A | 1 | 22 | 24 | 27 | 10 | 10 | N/A | N/A | N/A | N/A | 3 | 4 | 0
Market | ÖSTERREICH | 2023-05-08 | 2023-05-16 | N | 2000 | N/A | 1 | 21 | 25 | 26 | 11 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Unique Research | profil | 2023-05-08 | 2023-05-11 | N | 800 | N/A | 1 | 23 | 23 | 29 | 9 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Market | ÖSTERREICH | 2023-04-28 | 2023-05-10 | N | 2000 | N/A | 1 | 21 | 25 | 26 | 10 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 6
INSA | eXXpress | 2023-05-02 | 2023-05-04 | N | 1000 | N/A | 1 | 23 | 23 | 30 | 9 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | 6
OGM | KURIER | 2023-04-24 | 2023-05-04 | N | 2289 | N/A | 1 | 23 | 20 | 28 | 9 | 9 | N/A | N/A | N/A | N/A | 7 | N/A | 4
Market | ÖSTERREICH | 2023-04-28 | 2023-05-03 | N | 2000 | N/A | 1 | 21 | 25 | 28 | 11 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 5
IFDD | BVZ | 2023-04-29 | 2023-05-01 | N | 1250 | N/A | 1 | 24 | 22 | 27 | 8 | 9 | N/A | N/A | N/A | N/A | 6 | N/A | 4
Peter Hajek | APA, ATV and PULS 24 | 2023-04-24 | 2023-04-27 | N | 800 | N/A | 1 | 24 | 22 | 29 | 9 | 10 | N/A | N/A | N/A | N/A | 3 | 2 | 1
OGM | Servus TV | 2023-04-24 | 2023-04-26 | N | 1021 | N/A | 1 | 23 | 20 | 29 | 8 | 9 | N/A | N/A | N/A | N/A | 7 | N/A | 4
Market | ÖSTERREICH | 2023-04-24 | 2023-04-26 | N | 1000 | N/A | 1 | 22 | 22 | 28 | 11 | 9 | N/A | N/A | N/A | N/A | 5 | N/A | 3
Market | ÖSTERREICH | 2023-04-17 | 2023-04-26 | N | 2000 | N/A | 1 | 22 | 25 | 27 | 12 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 4
Market | ÖSTERREICH | 2023-04-07 | 2023-04-19 | N | 2000 | N/A | 1 | 22 | 26 | 27 | 13 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Market | N/A | 2023-04-03 | 2023-04-12 | N | 2000 | N/A | 1 | 20 | 25 | 28 | 14 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 2
INSA | eXXpress | 2023-04-03 | 2023-04-06 | N | 1000 | N/A | 1 | 22 | 25 | 28 | 10 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Market | N/A | 2023-03-27 | 2023-04-05 | N | 2000 | N/A | 1 | 20 | 23 | 29 | 13 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 4
Market | ÖSTERREICH | 2023-03-27 | 2023-03-29 | N | 1000 | N/A | 1 | 21 | 21 | 29 | 13 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Market | ÖSTERREICH | 2023-03-27 | 2023-03-29 | N | 1000 | N/A | 1 | 20 | 25 | 28 | 12 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Market | ÖSTERREICH | 2023-03-27 | 2023-03-29 | N | 1000 | N/A | 1 | 22 | 16 | 31 | 13 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 7
Market | ÖSTERREICH | 2023-03-20 | 2023-03-29 | N | 2000 | N/A | 1 | 21 | 21 | 29 | 13 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 6
OGM | KURIER | 2023-03-20 | 2023-03-23 | N | 1038 | N/A | 1 | 23 | 23 | 28 | 10 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Market | Der Standard | 2023-03-20 | 2023-03-23 | N | 800 | N/A | 1 | 23 | 21 | 29 | 11 | 10 | N/A | N/A | N/A | N/A | N/A | 4 | 2
Unique Research | Heute | 2023-03-20 | 2023-03-23 | N | 800 | N/A | 1 | 25 | 24 | 28 | 9 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 3
Market | ÖSTERREICH | 2023-03-20 | 2023-03-22 | N | 2000 | N/A | 1 | 23 | 23 | 28 | 11 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 4
Market | ÖSTERREICH | 2023-03-13 | 2023-03-15 | N | 2000 | N/A | 1 | 23 | 22 | 27 | 12 | 10 | N/A | N/A | N/A | N/A | N/A | 4 | 2
INSA | eXXpress | 2023-03-06 | 2023-03-09 | N | 1000 | N/A | 1 | 22 | 26 | 27 | 10 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Unique Research | profil | 2023-03-06 | 2023-03-09 | N | 800 | N/A | 1 | 22 | 25 | 31 | 9 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 3
Market | ÖSTERREICH | 2023-03-06 | 2023-03-08 | N | 2000 | N/A | 1 | 22 | 24 | 27 | 9 | 10 | N/A | N/A | N/A | N/A | N/A | 5 | 3
Market | ÖSTERREICH | 2023-02-20 | 2023-02-22 | N | 2000 | N/A | 1 | 19 | 26 | 29 | 10 | 10 | N/A | N/A | N/A | N/A | N/A | 5 | 1
Market | Der Standard | 2023-02-17 | 2023-02-21 | N | 800 | N/A | 1 | 22 | 24 | 28 | 11 | 10 | N/A | N/A | N/A | 1 | 1 | 3 | 0
Unique Research | profil | 2023-02-13 | 2023-02-16 | N | 800 | N/A | 1 | 24 | 24 | 29 | 10 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 3
OGM | KURIER | 2023-02-12 | 2023-02-16 | N | 1043 | N/A | 1 | 22 | 24 | 27 | 11 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Market | ÖSTERREICH | 2023-02-13 | 2023-02-15 | N | 2000 | N/A | 1 | 19 | 24 | 28 | 11 | 11 | N/A | N/A | N/A | N/A | N/A | 6 | 1
INSA | eXXpress | 2023-02-06 | 2023-02-09 | N | 1000 | N/A | 1 | 21 | 24 | 28 | 11 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Market | ÖSTERREICH | 2023-02-06 | 2023-02-08 | N | 2000 | N/A | 1 | 19 | 23 | 29 | 11 | 11 | N/A | N/A | N/A | N/A | N/A | 6 | 1
Market | ÖSTERREICH | 2023-01-30 | 2023-02-01 | N | 2000 | N/A | 1 | 21 | 23 | 29 | 10 | 10 | N/A | N/A | N/A | N/A | N/A | 6 | 1
Market | ÖSTERREICH | 2023-01-23 | 2023-01-25 | N | 2000 | N/A | 1 | 20 | 24 | 28 | 11 | 9 | N/A | N/A | N/A | N/A | N/A | 6 | 1
Unique Research | profil | 2023-01-16 | 2023-01-19 | N | 800 | N/A | 1 | 22 | 24 | 28 | 9 | 12 | N/A | N/A | N/A | 2 | N/A | N/A | 3
Market | ÖSTERREICH | 2023-01-16 | 2023-01-18 | N | 2000 | N/A | 1 | 20 | 25 | 26 | 12 | 9 | N/A | N/A | N/A | N/A | N/A | 6 | 2
OGM | N/A | 2023-01-16 | 2023-01-18 | N | 1002 | N/A | 1 | 22 | 25 | 27 | 11 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Market | ÖSTERREICH | 2023-01-09 | 2023-01-11 | N | 2000 | N/A | 1 | 22 | 25 | 25 | 11 | 10 | N/A | N/A | N/A | N/A | N/A | 6 | 1
INSA | eXXpress | 2023-01-02 | 2023-01-05 | N | 1000 | N/A | 1 | 22 | 25 | 28 | 10 | 9 | N/A | N/A | N/A | 2 | N/A | N/A | 4
Market | ÖSTERREICH | 2023-01-02 | 2023-01-04 | N | 2000 | N/A | 1 | 20 | 25 | 29 | 9 | 10 | N/A | N/A | N/A | N/A | N/A | 5 | 2
Market | ÖSTERREICH | 2022-12-23 | 2022-12-28 | N | 2000 | N/A | 1 | 21 | 25 | 28 | 11 | 9 | N/A | N/A | N/A | N/A | N/A | 4 | 2
Market | ÖSTERREICH | 2022-12-19 | 2022-12-21 | N | 2000 | N/A | 1 | 20 | 27 | 27 | 10 | 9 | N/A | N/A | N/A | N/A | N/A | 4 | 3
Peter Hajek | APA and ATV | 2022-12-12 | 2022-12-15 | N | 800 | N/A | 1 | 22 | 24 | 26 | 11 | 11 | N/A | N/A | N/A | 3 | N/A | N/A | 1
Market | ÖSTERREICH | 2022-12-12 | 2022-12-14 | N | 2000 | N/A | 1 | 19 | 24 | 30 | 10 | 10 | N/A | N/A | N/A | 5 | N/A | N/A | 2
INSA | eXXpress | 2022-12-05 | 2022-12-09 | N | 1000 | N/A | 1 | 21 | 27 | 26 | 8 | 10 | N/A | N/A | N/A | 3 | N/A | N/A | 5
Unique Research | profil | 2022-12-02 | 2022-12-07 | N | 800 | N/A | 1 | 20 | 26 | 26 | 10 | 11 | N/A | N/A | N/A | N/A | N/A | 4 | 4
Market | ÖSTERREICH | 2022-11-28 | 2022-12-07 | N | 2000 | N/A | 1 | 21 | 25 | 29 | 10 | 9 | N/A | N/A | N/A | N/A | N/A | 5 | 1
Market | Der Standard | 2022-12-03 | 2022-12-05 | N | 804 | N/A | 1 | 21 | 27 | 29 | 11 | 10 | N/A | N/A | N/A | 1 | N/A | N/A | 2
Market | ÖSTERREICH | 2022-11-28 | 2022-11-30 | N | 2000 | N/A | 1 | 21 | 25 | 27 | 12 | 10 | N/A | N/A | N/A | N/A | N/A | 4 | 1
Market | ÖSTERREICH | 2022-11-21 | 2022-11-23 | N | 2000 | N/A | 1 | 20 | 25 | 26 | 13 | 10 | N/A | N/A | N/A | 1 | N/A | N/A | 5
Market | ÖSTERREICH | 2022-11-14 | 2022-11-16 | N | 2000 | N/A | 1 | 22 | 27 | 25 | 12 | 10 | N/A | N/A | N/A | 1 | N/A | N/A | 3
OGM | KURIER | 2022-11-08 | 2022-11-10 | N | 1091 | N/A | 1 | 19 | 24 | 25 | 10 | 8 | N/A | N/A | N/A | N/A | N/A | 6 | 6
Unique Research | profil | 2022-11-07 | 2022-11-10 | N | 800 | N/A | 1 | 22 | 27 | 25 | 10 | 10 | N/A | N/A | N/A | 3 | N/A | N/A | 3
Market | ÖSTERREICH | 2022-11-07 | 2022-11-09 | N | 2000 | N/A | 1 | 22 | 27 | 24 | 12 | 11 | N/A | N/A | N/A | 1 | N/A | N/A | 3
INSA | eXXpress | 2022-11-02 | 2022-11-04 | N | 1000 | N/A | 1 | 21 | 29 | 23 | 9 | 10 | N/A | N/A | N/A | 2 | N/A | N/A | 6
Market | ÖSTERREICH | 2022-10-31 | 2022-11-02 | N | 2000 | N/A | 1 | 21 | 26 | 25 | 12 | 11 | N/A | N/A | N/A | 2 | N/A | N/A | 3
IFDD | PULS 24 | 2022-10-26 | 2022-10-28 | N | 1250 | N/A | 1 | 20 | 27 | 25 | 11 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 6
IFDD | PULS 24 | 2022-10-26 | 2022-10-28 | N | 1250 | N/A | 1 | 19 | 25 | 24 | 10 | 8 | N/A | N/A | N/A | N/A | N/A | 10 | 4
Market | ÖSTERREICH | 2022-10-17 | 2022-10-25 | N | 2000 | N/A | 1 | 21 | 26 | 26 | 11 | 11 | N/A | N/A | N/A | 2 | N/A | N/A | 3
Market | ÖSTERREICH | 2022-10-17 | 2022-10-19 | N | 2000 | N/A | 1 | 22 | 27 | 25 | 10 | 10 | N/A | N/A | N/A | 2 | N/A | N/A | 4
IFDD | PULS 24 | 2022-10-10 | 2022-10-14 | N | 1007 | N/A | 1 | 23 | 28 | 24 | 10 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Unique Research | profil | 2022-10-10 | 2022-10-13 | N | 800 | N/A | 1 | 23 | 28 | 24 | 10 | 11 | N/A | N/A | N/A | 2 | N/A | N/A | 2
Market | ÖSTERREICH | 2022-10-10 | 2022-10-12 | N | 2000 | N/A | 1 | 22 | 28 | 25 | 10 | 10 | N/A | N/A | N/A | 2 | N/A | N/A | 3
Market | ÖSTERREICH | 2022-10-10 | 2022-10-12 | N | 2000 | N/A | 1 | 21 | 27 | 23 | 8 | 8 | N/A | N/A | N/A | 2 | N/A | 7 | 4
INSA | eXXpress | 2022-10-04 | 2022-10-06 | N | 1000 | N/A | 1 | 22 | 28 | 23 | 9 | 10 | N/A | N/A | N/A | 3 | N/A | N/A | 5
Market | ÖSTERREICH | 2022-10-03 | 2022-10-05 | N | 2000 | N/A | 1 | 22 | 28 | 24 | 12 | 9 | N/A | N/A | N/A | 3 | N/A | N/A | 2
OGM | KURIER | 2022-09-23 | 2022-09-28 | N | 1098 | N/A | 1 | 22 | 28 | 22 | 10 | 10 | N/A | N/A | N/A | 3 | N/A | N/A | 5
Market | ÖSTERREICH | 2022-09-19 | 2022-09-27 | N | 2000 | N/A | 1 | 21 | 27 | 24 | 12 | 10 | N/A | N/A | N/A | 4 | N/A | N/A | 2
Market | ÖSTERREICH | 2022-09-19 | 2022-09-20 | N | 2000 | N/A | 1 | 20 | 28 | 23 | 12 | 11 | N/A | N/A | N/A | 4 | N/A | N/A | 2
Unique Research | profil | 2022-09-07 | 2022-09-15 | N | 1600 | N/A | 1 | 21 | 29 | 23 | 9 | 11 | N/A | N/A | N/A | 5 | N/A | N/A | 2
Market | ÖSTERREICH | 2022-09-12 | 2022-09-13 | N | 2000 | N/A | 1 | 20 | 28 | 22 | 13 | 12 | N/A | N/A | N/A | 3 | N/A | N/A | 2
INSA | eXXpress | 2022-09-05 | 2022-09-08 | N | 1000 | N/A | 1 | 20 | 29 | 21 | 10 | 10 | N/A | N/A | N/A | 5 | N/A | N/A | 5
Market | ÖSTERREICH | 2022-09-05 | 2022-09-06 | N | 2000 | N/A | 1 | 20 | 29 | 22 | 13 | 10 | N/A | N/A | N/A | 3 | N/A | N/A | 3
Market | ÖSTERREICH | 2022-08-29 | 2022-08-30 | N | 2000 | N/A | 1 | 21 | 30 | 22 | 11 | 9 | N/A | N/A | N/A | 4 | N/A | N/A | 3
Market | ÖSTERREICH | 2022-08-22 | 2022-08-23 | N | 2000 | N/A | 1 | 20 | 30 | 22 | 13 | 9 | N/A | N/A | N/A | 4 | N/A | N/A | 2
Unique Research | profil | 2022-08-10 | 2022-08-18 | N | 1615 | N/A | 1 | 21 | 28 | 22 | 11 | 11 | N/A | N/A | N/A | 4 | N/A | N/A | 3
Market | ÖSTERREICH | 2022-08-09 | 2022-08-17 | N | 2000 | N/A | 1 | 21 | 30 | 21 | 13 | 9 | N/A | N/A | N/A | 4 | N/A | N/A | 2
Market | Der Standard | 2022-08-08 | 2022-08-11 | N | 817 | N/A | 1 | 22 | 30 | 21 | 11 | 11 | N/A | N/A | N/A | 3 | N/A | N/A | 2
Market | ÖSTERREICH | 2022-08-08 | 2022-08-09 | N | 2000 | N/A | 1 | 23 | 31 | 20 | 11 | 9 | N/A | N/A | N/A | 4 | N/A | N/A | 2
INSA | eXXpress | 2022-08-01 | 2022-08-04 | N | 1000 | N/A | 1 | 20 | 29 | 21 | 10 | 10 | N/A | N/A | N/A | 5 | N/A | N/A | 5
Market | ÖSTERREICH | 2022-08-01 | 2022-08-02 | N | 2000 | N/A | 1 | 22 | 29 | 22 | 11 | 11 | N/A | N/A | N/A | 3 | N/A | N/A | 2
Market | ÖSTERREICH | 2022-07-25 | 2022-07-27 | N | 2000 | N/A | 1 | 21 | 29 | 23 | 11 | 10 | N/A | N/A | N/A | 4 | N/A | N/A | 2
Market | ÖSTERREICH | 2022-07-18 | 2022-07-20 | N | 2000 | N/A | 1 | 20 | 31 | 23 | 11 | 9 | N/A | N/A | N/A | 4 | N/A | N/A | 2
INSA | eXXpress | 2022-07-16 | 2022-07-16 | N | 1000 | N/A | 1 | 21 | 30 | 20 | 10 | 10 | N/A | N/A | N/A | 5 | N/A | N/A | 4
Unique Research | profil | 2022-07-10 | 2022-07-14 | N | 800 | N/A | 1 | 22 | 29 | 21 | 11 | 10 | N/A | N/A | N/A | 4 | N/A | N/A | 3
Market | ÖSTERREICH | 2022-07-11 | 2022-07-13 | N | 2000 | N/A | 1 | 21 | 29 | 22 | 12 | 10 | N/A | N/A | N/A | 3 | N/A | N/A | 3
Market | ÖSTERREICH | 2022-07-04 | 2022-07-06 | N | 2000 | N/A | 1 | 23 | 30 | 21 | 9 | 11 | N/A | N/A | N/A | 3 | N/A | N/A | 3
IFDD | PULS 24 | 2022-06-30 | 2022-07-03 | N | 1000 | N/A | 1 | 20 | 31 | 21 | 11 | 10 | N/A | N/A | N/A | 4 | N/A | N/A | 3
Peter Hajek | APA and ATV | 2022-06-27 | 2022-06-30 | N | 800 | N/A | 1 | 22 | 29 | 22 | 10 | 10 | N/A | N/A | N/A | 5 | N/A | N/A | 2
Market | POLITIK LIVE and ÖSTERREICH | 2022-06-27 | 2022-06-28 | N | 2000 | N/A | 1 | 21 | 31 | 22 | 9 | 10 | N/A | N/A | N/A | 4 | N/A | N/A | 3
