Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ANO | Piráti | ODS | SPD | KSČM | SOCDEM | STAN | TOP 09 | KDU-ČSL | Zelení | Svobodní | Trikolóra | SPOLU | Přísaha | SsČR | PRO | Other
Phoenix Research | N/A | 2023-04-01 | 2023-04-30 | N | N/A | N/A | 0.1 | 31.5 | 8.9 | 14.2 | 9.6 | N/A | 1.6 | 7.8 | 5.3 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | 5.2 | 12.8
Kantar | CT24 | 2023-03-20 | 2023-04-06 | N | 941 | N/A | 0.5 | 29.5 | 11.0 | 20.0 | 8.0 | 2.5 | 5.0 | 5.5 | 4.0 | 3.0 | N/A | N/A | N/A | N/A | 3.5 | N/A | 3.0 | 5.0
Median | N/A | 2023-03-02 | 2023-04-03 | N | 1006 | N/A | 0.5 | 34.5 | 8.5 | 15.5 | 10.0 | 3.0 | 4.0 | 8.0 | 5.0 | 4.0 | 2.0 | N/A | 3.0 | N/A | 2.0 | N/A | N/A | 1.5
Phoenix Research | N/A | 2023-02-01 | 2023-03-31 | N | 1022 | N/A | 0.1 | 27.6 | 8.9 | 14.1 | 9.5 | 1.2 | 2.2 | 5.6 | 6.5 | 5.8 | N/A | N/A | N/A | N/A | N/A | N/A | 4.3 | 14.3
Median | N/A | 2023-02-12 | 2023-03-07 | N | 1011 | 75.5 | 0.5 | 32.0 | 11.5 | 14.5 | 9.5 | 3.5 | 5.0 | 7.0 | 5.0 | 3.5 | 2.0 | N/A | 1.5 | N/A | 2.5 | N/A | N/A | 2.5
Kantar | CT24 | 2023-02-13 | 2023-03-03 | N | 951 | N/A | 0.5 | 30.5 | N/A | N/A | 9.0 | 2.0 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | 31.0 | 2.5 | N/A | N/A | 7.0
STEM | CNN Prima News | 2022-11-29 | 2022-12-05 | N | 2005 | N/A | 0.1 | 30.8 | 9.4 | 13.9 | 12.4 | 4.2 | 4.0 | 6.4 | 4.6 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.5
Kantar | CT24 | 2022-10-17 | 2022-11-04 | N | 1200 | N/A | 0.5 | 26.5 | 11.5 | 21.5 | 11.0 | 2.5 | 3.5 | 6.0 | 5.5 | 3.5 | N/A | N/A | 2.0 | N/A | 2.5 | N/A | N/A | 4.0
Kantar | CT24 | 2022-10-17 | 2022-11-04 | N | 1200 | N/A | 0.5 | 28.0 | N/A | N/A | 11.5 | 3.0 | 4.0 | N/A | N/A | N/A | N/A | N/A | 2.0 | 31.5 | 2.5 | N/A | N/A | 3.5
Median | N/A | 2022-10-01 | 2022-10-31 | N | 1005 | 59.0 | 0.5 | 31.5 | 11.0 | 13.5 | 12.0 | 2.0 | 5.5 | 5.5 | 5.0 | 6.0 | 2.0 | N/A | 1.5 | N/A | 2.0 | N/A | N/A | 2.5
Kantar | CT24 | 2022-09-12 | 2022-09-30 | N | 997 | N/A | 0.5 | 29.5 | 9.0 | 18.0 | 11.5 | 2.0 | 2.5 | 7.5 | 4.0 | 6.0 | 2.0 | N/A | N/A | N/A | 4.0 | N/A | N/A | 4.0
Kantar | CT24 | 2022-09-12 | 2022-09-30 | N | 997 | N/A | 0.5 | 31.5 | N/A | N/A | 12.0 | 2.0 | 2.5 | N/A | N/A | N/A | 2.0 | N/A | N/A | 28.5 | 4.0 | N/A | N/A | 5.0
Median | N/A | 2022-09-01 | 2022-09-30 | N | 1010 | 57.5 | 0.5 | 30.5 | 11.0 | 16.0 | 11.5 | 2.5 | 4.5 | 5.5 | 6.0 | 2.5 | 2.0 | N/A | 2.0 | N/A | 3.0 | N/A | N/A | 2.5
STEM | CNN Prima News | 2022-09-01 | 2022-09-08 | N | 2003 | 59.3 | 0.1 | 30.0 | 9.4 | 14.2 | 14.3 | N/A | 4.0 | 5.0 | 5.0 | 4.5 | N/A | N/A | N/A | N/A | 3.5 | N/A | N/A | 10.1
Kantar | CT24 | 2022-08-15 | 2022-09-02 | N | 893 | N/A | 0.5 | 30.5 | 8.5 | 19.5 | 11.0 | 3.5 | 3.0 | 6.5 | 4.5 | 4.0 | 2.0 | N/A | N/A | N/A | 3.0 | N/A | N/A | 4.0
Kantar | CT24 | 2022-08-15 | 2022-09-02 | N | 893 | N/A | 0.5 | 32.0 | N/A | N/A | 11.0 | 4.0 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | 29.0 | 3.5 | N/A | N/A | 7.0
Median | N/A | 2022-08-01 | 2022-08-31 | N | 1005 | 57.5 | 0.5 | 29.0 | 11.5 | 16.0 | 14.0 | 3.5 | 5.0 | 4.0 | 3.5 | 3.5 | 2.0 | N/A | 2.0 | N/A | 3.5 | N/A | N/A | 2.5
STEM | CNN Prima News | 2022-08-04 | 2022-08-11 | N | 2093 | N/A | 0.1 | 31.1 | 9.3 | 15.5 | 11.9 | 3.4 | 4.8 | 5.5 | 5.6 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.6
Median | N/A | 2022-07-08 | 2022-08-02 | N | 1005 | N/A | 0.5 | 30.0 | 10.5 | 15.5 | 12.5 | 2.5 | 5.0 | 5.5 | 5.0 | 4.5 | 2.0 | N/A | 2.5 | N/A | 3.0 | N/A | N/A | 1.5
Median | N/A | 2022-05-20 | 2022-07-04 | N | 1006 | N/A | 0.1 | 29.0 | 11.8 | 16.1 | 12.5 | 2.8 | 5.6 | 4.8 | 5.2 | 4.6 | 1.8 | N/A | N/A | N/A | 2.2 | N/A | N/A | 1.8
Kantar | CT24 | 2022-05-16 | 2022-06-02 | N | 923 | 60.0 | 0.5 | 29.5 | N/A | N/A | 11.5 | 2.5 | 5.0 | N/A | N/A | N/A | 2.5 | N/A | N/A | 28.5 | 2.5 | N/A | N/A | 5.5
Kantar | CT24 | 2022-05-16 | 2022-06-02 | N | 962 | 60.0 | 0.5 | 28.0 | 8.5 | 22.5 | 11.0 | 2.5 | 4.5 | 6.5 | 4.0 | 3.5 | 2.0 | N/A | N/A | N/A | 2.0 | N/A | N/A | 5.0
Median | N/A | 2022-05-01 | 2022-06-02 | N | 1018 | N/A | 0.5 | 28.5 | 9.0 | 16.5 | 11.5 | 3.0 | 5.5 | 8.5 | 4.5 | 4.5 | N/A | N/A | 2.5 | N/A | 3.0 | N/A | N/A | 3.0
Kantar | CT24 | 2022-04-08 | 2022-04-29 | N | 1000 | 61.0 | 0.5 | 27.5 | 5.0 | 26.0 | 11.0 | 2.0 | 2.5 | 10.0 | 3.0 | 4.5 | 2.0 | N/A | N/A | N/A | 3.0 | N/A | N/A | 3.5
Kantar | CT24 | 2022-04-08 | 2022-04-29 | N | 980 | 61.0 | 0.5 | 28.5 | N/A | N/A | 11.0 | 2.0 | 4.0 | N/A | N/A | N/A | 2.0 | N/A | N/A | 33.5 | 3.0 | N/A | N/A | 4.5
Kantar | CT24 | 2022-03-14 | 2022-04-01 | N | 943 | 59.5 | 0.5 | 29.0 | N/A | N/A | 9.5 | 2.5 | 3.0 | N/A | N/A | N/A | 2.0 | N/A | 2.5 | 31.5 | 4.0 | N/A | N/A | 2.5
Kantar | CT24 | 2022-03-14 | 2022-04-01 | N | 977 | 59.5 | 0.5 | 27.5 | 7.5 | 22.5 | 9.5 | 2.5 | 2.5 | 10.0 | 5.0 | 4.0 | N/A | N/A | 2.0 | N/A | 3.0 | N/A | N/A | 3.5
Kantar | CT24 | 2022-02-14 | 2022-03-04 | N | 940 | 60.5 | 0.5 | 27.5 | N/A | N/A | 12.0 | 2.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | 32.5 | 3.5 | N/A | N/A | 2.0
Kantar | CT24 | 2022-02-14 | 2022-03-04 | N | 974 | 60.5 | 0.5 | 25.0 | 7.5 | 21.0 | 11.5 | 2.0 | 3.0 | 11.0 | 6.5 | 5.5 | N/A | N/A | N/A | N/A | 3.0 | N/A | N/A | 4.0
Phoenix Research | N/A | 2022-02-01 | 2022-02-28 | N | 1066 | N/A | 0.1 | 26.4 | 7.1 | 15.4 | 7.5 | N/A | N/A | 10.3 | 5.1 | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Median | N/A | 2021-11-01 | 2021-12-01 | N | 1073 | 68.0 | 0.5 | 29.5 | N/A | N/A | 8.5 | 4.5 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | 26.0 | 4.0 | N/A | N/A | 3.5
Kantar | CT24 | 2021-11-01 | 2021-11-19 | N | 950 | 58.5 | 0.5 | 27.0 | 8.0 | 15.5 | 9.5 | 3.5 | 4.0 | 13.0 | 7.0 | 3.5 | N/A | N/A | 2.5 | N/A | 2.5 | N/A | N/A | 4.0
Kantar | CT24 | 2021-11-01 | 2021-11-19 | N | 935 | 58.5 | 0.5 | 28.0 | N/A | N/A | 9.5 | 3.5 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | 28.0 | 3.5 | N/A | N/A | 3.0
STEM | CNN Prima News | 2021-09-24 | 2021-09-30 | N | 1247 | N/A | 0.1 | 27.3 | N/A | N/A | 12.3 | 6.5 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | 21.4 | 5.7 | N/A | N/A | N/A
Median | N/A | 2021-09-01 | 2021-09-30 | N | N/A | N/A | 0.1 | 28.6 | N/A | N/A | 10.6 | 3.5 | 4.9 | N/A | N/A | N/A | 2.5 | N/A | N/A | 21.6 | 4.0 | N/A | N/A | 0.0
Median | iDNES | 2021-09-23 | 2021-09-29 | N | 638 | N/A | 0.1 | 25.2 | N/A | N/A | 10.1 | 4.4 | 5.6 | N/A | N/A | N/A | N/A | N/A | N/A | 20.9 | 3.9 | N/A | N/A | N/A
Kantar | CT24 | 2021-09-13 | 2021-09-22 | N | 1200 | N/A | 0.5 | 24.5 | N/A | N/A | 11.5 | 5.0 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | 23.0 | 4.0 | N/A | N/A | N/A
Ipsos | N/A | 2021-09-08 | 2021-09-12 | N | N/A | N/A | 0.1 | 27.4 | N/A | N/A | 9.6 | 4.1 | 4.1 | N/A | N/A | N/A | 1.7 | N/A | N/A | 24.7 | 5.5 | N/A | N/A | 2.0
Phoenix Research | N/A | 2021-09-01 | 2021-09-10 | N | 1066 | N/A | 0.1 | 25.4 | N/A | N/A | 11.5 | 3.3 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | 17.1 | 6.0 | N/A | N/A | N/A
STEM | N/A | 2021-08-31 | 2021-09-08 | N | 1014 | N/A | 0.1 | 32.4 | N/A | N/A | 11.8 | 5.4 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | 20.0 | 2.2 | N/A | N/A | N/A
Data Collect | N/A | 2021-08-30 | 2021-09-08 | N | 1200 | N/A | 0.5 | 25.0 | N/A | N/A | 9.0 | 5.5 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | 22.0 | 4.5 | N/A | N/A | 5.5
Median | N/A | 2021-08-01 | 2021-09-02 | N | 1058 | N/A | 0.5 | 27.0 | N/A | N/A | 9.0 | 6.0 | 4.5 | N/A | N/A | N/A | 2.5 | N/A | N/A | 21.0 | 4.0 | N/A | N/A | N/A
Médea Research | N/A | 2021-08-01 | 2021-08-31 | N | N/A | N/A | 0.1 | 27.6 | N/A | N/A | 8.7 | 5.1 | 5.1 | N/A | N/A | N/A | 1.4 | N/A | N/A | 22.3 | 4.9 | N/A | N/A | N/A
Kantar | CT24 | 2021-08-02 | 2021-08-13 | N | 1200 | 61.5 | 0.5 | 27.5 | N/A | N/A | 10.0 | 5.0 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | 21.0 | 5.5 | N/A | N/A | N/A
STEM | N/A | 2021-08-09 | 2021-08-12 | N | 1013 | N/A | 0.1 | 31.1 | N/A | N/A | 11.2 | 5.8 | 4.6 | N/A | N/A | N/A | 0.2 | N/A | N/A | 21.7 | 3.3 | N/A | N/A | 0.4
Phoenix Research | N/A | 2021-08-01 | 2021-08-10 | N | 1066 | 58.9 | 0.1 | 24.4 | N/A | N/A | 11.5 | 4.2 | 5.1 | N/A | N/A | N/A | 1.1 | N/A | N/A | 18.0 | 6.0 | N/A | N/A | N/A
Median | N/A | 2021-07-01 | 2021-07-31 | N | 1078 | N/A | 0.5 | 26.0 | N/A | N/A | 7.0 | 6.0 | 4.5 | N/A | N/A | N/A | 2.5 | N/A | N/A | 21.5 | 6.5 | N/A | N/A | 3.0
CVVM | N/A | 2021-06-26 | 2021-07-11 | N | 621 | 63.0 | 0.5 | 23.5 | N/A | N/A | 9.0 | 8.0 | 6.5 | N/A | N/A | N/A | 2.0 | N/A | N/A | 21.5 | 3.0 | N/A | N/A | 3.0
Phoenix Research | N/A | 2021-07-01 | 2021-07-10 | N | 1028 | 56.9 | 0.1 | 22.1 | N/A | N/A | 12.1 | 3.8 | 5.0 | N/A | N/A | N/A | 1.0 | N/A | N/A | 16.8 | 5.3 | N/A | N/A | N/A
Median | N/A | 2021-06-01 | 2021-06-30 | N | 1033 | N/A | 0.5 | 26.0 | N/A | N/A | 8.0 | 5.5 | 5.0 | N/A | N/A | N/A | 2.0 | N/A | N/A | 20.0 | 6.0 | N/A | N/A | 2.5
STEM | N/A | 2021-06-21 | 2021-06-29 | N | 1010 | 60.0 | 0.1 | 26.7 | N/A | N/A | 10.9 | 5.5 | 5.5 | N/A | N/A | N/A | 1.6 | N/A | N/A | 17.4 | 5.1 | N/A | N/A | 0.6
Kantar | CT24 | 2021-06-07 | 2021-06-18 | N | 1200 | 77.0 | 0.5 | 21.5 | N/A | N/A | 12.5 | 4.5 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | 23.5 | 6.0 | N/A | N/A | 4.5
CVVM | N/A | 2021-05-29 | 2021-06-13 | N | 643 | N/A | 0.5 | 24.5 | N/A | N/A | 9.5 | 7.5 | 7.5 | N/A | N/A | N/A | 1.5 | N/A | N/A | 19.5 | 2.5 | N/A | N/A | 1.5
Data Collect | CT24 | 2021-05-31 | 2021-06-11 | N | 882 | 75.0 | 0.5 | 20.5 | N/A | N/A | 10.5 | 5.5 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | 19.5 | 5.0 | N/A | N/A | 5.5
Phoenix Research | N/A | 2021-06-01 | 2021-06-10 | N | 1099 | N/A | 0.1 | 20.2 | N/A | N/A | 12.1 | 4.5 | 5.1 | N/A | N/A | N/A | 1.2 | N/A | N/A | 15.9 | 4.2 | N/A | N/A | 4.7
Ipsos | N/A | 2021-06-02 | 2021-06-06 | N | 1040 | 64.0 | 0.1 | 23.5 | N/A | N/A | 9.6 | 4.7 | 4.7 | N/A | N/A | N/A | 1.9 | N/A | N/A | 23.1 | 5.6 | N/A | N/A | 1.0
Median | N/A | 2021-05-01 | 2021-05-31 | N | 1072 | N/A | 0.5 | 23.0 | N/A | N/A | 9.0 | 6.0 | 7.0 | N/A | N/A | N/A | 3.5 | N/A | N/A | 19.5 | 4.0 | N/A | N/A | 1.5
Kantar | CT24 | 2021-05-10 | 2021-05-28 | N | 1200 | 75.0 | 0.5 | 20.0 | N/A | N/A | 10.0 | 5.5 | 3.0 | N/A | N/A | N/A | 2.0 | N/A | N/A | 21.5 | 5.0 | N/A | N/A | 3.0
Ipsos | N/A | 2021-05-19 | 2021-05-24 | N | 1003 | 64.0 | 0.1 | 22.1 | N/A | N/A | 10.2 | 5.8 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | 23.1 | 4.3 | N/A | N/A | 3.4
Data Collect | CT24 | 2021-05-03 | 2021-05-21 | N | 875 | 74.0 | 0.1 | 19.4 | N/A | N/A | 13.0 | 6.2 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | 20.7 | 3.8 | N/A | N/A | 4.0
Phoenix Research | N/A | 2021-05-01 | 2021-05-15 | N | 1017 | N/A | 0.1 | 21.2 | N/A | N/A | 12.0 | 4.3 | 5.0 | N/A | N/A | N/A | 1.2 | N/A | N/A | 15.4 | 3.0 | N/A | N/A | 4.7
Median | N/A | 2021-04-01 | 2021-05-04 | N | 1007 | 67.0 | 0.5 | 21.0 | N/A | N/A | 11.5 | 6.0 | 6.5 | N/A | N/A | N/A | 3.0 | N/A | N/A | 17.0 | 2.5 | N/A | N/A | 2.5
Kantar | CT24 | 2021-04-12 | 2021-04-30 | N | 1200 | N/A | 0.5 | 21.0 | N/A | N/A | 12.0 | 5.0 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | 21.5 | 2.5 | N/A | N/A | 3.5
STEM | N/A | 2021-04-07 | 2021-04-13 | N | 1049 | N/A | 0.1 | 24.0 | N/A | N/A | 12.8 | 5.2 | 7.0 | N/A | N/A | N/A | 1.4 | N/A | N/A | 16.6 | 2.4 | N/A | N/A | 0.7
Ipsos | SPOLU | 2021-04-08 | 2021-04-12 | N | 1009 | N/A | 0.1 | 22.2 | N/A | N/A | 10.0 | 5.4 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | 21.7 | 2.4 | N/A | N/A | 2.2
Phoenix Research | N/A | 2021-04-01 | 2021-04-10 | N | 1022 | 58.5 | 0.1 | 22.1 | N/A | N/A | 11.2 | 5.1 | 5.7 | N/A | N/A | N/A | N/A | N/A | 3.5 | 15.7 | N/A | N/A | N/A | 4.6
Kantar | CT24 | 2021-03-25 | 2021-04-01 | N | 1200 | 79.0 | 0.5 | 23.5 | N/A | N/A | 12.0 | 5.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | 19.0 | 2.0 | N/A | N/A | 5.0
Data Collect | CT24 | 2021-03-25 | 2021-04-01 | N | 919 | N/A | 0.1 | 22.1 | N/A | N/A | 13.4 | 2.8 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | 18.2 | N/A | N/A | N/A | 6.2
Median | N/A | 2021-03-01 | 2021-03-29 | N | 1013 | N/A | 0.5 | 24.5 | N/A | N/A | 10.0 | 7.5 | 4.0 | N/A | N/A | N/A | 2.0 | N/A | 3.0 | 17.5 | N/A | N/A | N/A | N/A
Ipsos | SPOLU | 2021-03-12 | 2021-03-16 | N | 1036 | N/A | 0.1 | 25.3 | N/A | N/A | 9.5 | 4.0 | 4.0 | N/A | N/A | N/A | 1.5 | N/A | 3.1 | 20.9 | N/A | N/A | N/A | 1.9
Kantar | CT24 | 2021-02-15 | 2021-03-05 | N | 921 | N/A | 0.5 | 22.0 | N/A | N/A | 11.0 | 5.5 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | 17.5 | N/A | N/A | N/A | N/A
Median | N/A | 2021-02-01 | 2021-03-02 | N | 1048 | N/A | 0.5 | 26.5 | N/A | N/A | 10.0 | 8.0 | 4.5 | N/A | N/A | N/A | 1.5 | N/A | 2.5 | 18.5 | N/A | N/A | N/A | N/A
Ipsos | SPOLU | 2021-02-15 | 2021-02-19 | N | 1000 | N/A | 0.1 | 25.4 | N/A | N/A | 9.4 | 4.8 | 5.5 | N/A | N/A | N/A | 1.6 | N/A | 3.4 | 20.5 | N/A | N/A | N/A | N/A
TNS Kantar | O24 | 2021-01-18 | 2021-02-05 | N | 898 | 73.0 | 0.5 | 26.5 | N/A | N/A | 10.5 | 5.0 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | 19.5 | N/A | N/A | N/A | 5.0
Median | N/A | 2021-01-01 | 2021-01-29 | N | 1062 | 63.5 | 0.5 | 26.5 | N/A | N/A | 9.0 | 7.0 | 7.0 | N/A | N/A | N/A | 1.5 | N/A | 2.0 | 18.5 | N/A | N/A | N/A | 3.5
Ipsos | N/A | 2021-01-15 | 2021-01-19 | N | 1018 | 64.0 | 0.1 | 27.2 | N/A | N/A | 8.4 | 6.0 | 5.8 | N/A | N/A | N/A | 1.2 | 1.9 | 3.6 | 21.7 | N/A | N/A | N/A | 0.8
Phoenix Research | N/A | 2021-01-01 | 2021-01-10 | N | 1038 | 68.1 | 0.1 | 27.9 | N/A | N/A | 9.9 | 4.5 | 6.1 | N/A | N/A | N/A | N/A | N/A | 4.3 | 22.2 | N/A | N/A | N/A | N/A
TNS Kantar | O24 | 2020-11-13 | 2020-12-04 | N | 1200 | 73.0 | 0.5 | 25.0 | 20.0 | 11.5 | 10.5 | 3.5 | 4.5 | 10.5 | 5.0 | 4.5 | N/A | N/A | 1.0 | N/A | N/A | N/A | N/A | 4.0
Median | N/A | 2020-11-01 | 2020-11-30 | N | 1003 | 62.5 | 0.5 | 28.5 | 14.0 | 10.5 | 8.5 | 6.0 | 7.0 | 10.5 | 5.0 | 4.5 | 1.5 | N/A | 2.5 | N/A | N/A | N/A | N/A | 1.5
TNS Kantar | O24 | 2020-10-19 | 2020-11-06 | N | 1200 | 71.0 | 0.5 | 27.5 | 21.0 | 10.5 | 9.0 | 4.5 | 3.0 | 11.0 | 5.5 | 4.0 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | 2.0
Median | N/A | 2020-10-01 | 2020-10-29 | N | 1072 | 65.5 | 0.5 | 28.5 | 13.5 | 13.0 | 7.5 | 7.0 | 6.5 | 7.5 | 6.5 | 5.0 | 1.5 | N/A | 2.0 | N/A | N/A | N/A | N/A | 2.0
TNS Kantar | O24 | 2020-09-21 | 2020-10-09 | N | 1200 | 76.0 | 0.5 | 24.5 | 19.0 | 13.5 | 8.0 | 4.5 | 4.0 | 9.5 | 5.5 | 6.0 | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | 2.0
CVVM | N/A | 2020-09-05 | 2020-09-20 | N | 656 | N/A | 0.5 | 31.5 | 16.0 | 12.5 | 4.5 | 9.5 | 10.5 | 4.5 | 4.0 | 3.5 | 1.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | 0.5
STEM | N/A | 2020-08-31 | 2020-09-13 | N | 1027 | N/A | 0.1 | 28.4 | 12.8 | 10.6 | 8.8 | 7.3 | 7.3 | 7.5 | 5.3 | 5.4 | 1.1 | 1.0 | 3.4 | N/A | N/A | N/A | N/A | 0.9
TNS Kantar | O24 | 2020-08-24 | 2020-09-11 | N | 1200 | 75.0 | 0.5 | 27.5 | 19.5 | 15.0 | 8.0 | 4.5 | 5.5 | 6.5 | 5.0 | 4.0 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 2.0
Median | N/A | 2020-08-01 | 2020-08-27 | N | 1037 | N/A | 0.5 | 29.5 | 12.5 | 11.0 | 7.5 | 7.0 | 9.5 | 5.0 | 6.5 | 5.5 | 2.0 | N/A | 2.5 | N/A | N/A | N/A | N/A | 1.5
CVVM | N/A | 2020-07-18 | 2020-07-27 | N | 972 | 61.0 | 0.5 | 29.0 | 14.5 | 12.0 | 6.0 | 7.5 | 9.5 | 5.5 | 3.5 | 6.5 | 1.5 | 1.0 | 2.5 | N/A | N/A | N/A | N/A | 1.0
TNS Kantar | O24 | 2020-06-15 | 2020-07-03 | N | 2603 | N/A | 0.5 | 32.0 | 18.0 | 13.0 | 5.5 | 5.5 | 5.0 | 6.0 | 5.5 | 4.5 | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | 2.0
CVVM | N/A | 2020-06-20 | 2020-07-02 | N | 697 | N/A | 0.5 | 29.0 | 13.5 | 14.0 | 4.0 | 7.5 | 13.0 | 5.0 | 4.5 | 4.5 | 1.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | 1.5
TNS Kantar | O24 | 2020-05-18 | 2020-06-05 | N | 1200 | N/A | 0.5 | 31.5 | 17.0 | 13.5 | 8.0 | 5.0 | 5.5 | 5.5 | 5.0 | 4.0 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | 3.0
STEM | N/A | 2020-05-22 | 2020-06-01 | N | 1086 | N/A | 0.1 | 33.7 | 12.8 | 11.4 | 6.5 | 7.3 | 8.9 | 4.2 | 3.3 | 6.1 | 1.4 | 0.7 | 3.5 | N/A | N/A | N/A | N/A | 0.2
g82 | N/A | 2020-04-15 | 2020-04-30 | N | N/A | N/A | 1 | 35 | 17 | 10 | 7 | 4 | 6 | 4 | 6 | 4 | N/A | 1 | 3 | N/A | N/A | N/A | N/A | 1
TNS Kantar | O24 | 2020-04-13 | 2020-04-30 | N | 906 | N/A | 0.5 | 34.0 | 16.0 | 11.5 | 7.0 | 5.5 | 5.5 | 5.5 | 6.5 | 4.0 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A
TNS Kantar | O24 | 2020-03-09 | 2020-03-27 | N | 924 | N/A | 0.5 | 34.5 | 13.5 | 14.0 | 5.5 | 5.5 | 6.0 | 5.5 | 5.5 | 4.5 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A
