Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | N-VA | cd&v | Open Vld | Vooruit | Groen | VB | PTB/PVDA | PS | MR | Ecolo | LE | PP | DéFI | DC | Other
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2021-09-07 | 2021-09-14 | N | 930 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 18.7 | 21.4 | 20.3 | 16.7 | 10.0 | N/A | 5.1 | N/A | 7.8
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2021-09-07 | 2021-09-14 | N | 485 | N/A | 0.1 | 2.6 | 0.6 | 2.4 | 0.8 | 2.5 | 1.5 | 15.1 | 18.6 | 18.5 | 19.1 | 3.7 | N/A | 10.4 | N/A | 4.2
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2021-05-25 | 2021-06-01 | N | 1002 | N/A | 0.1 | 21.8 | 10.0 | 11.4 | 12.6 | 8.3 | 26.1 | 7.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2021-05-25 | 2021-06-01 | N | 992 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 19.1 | 24.0 | 18.7 | 15.0 | 10.8 | N/A | 5.1 | N/A | 7.3
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2021-05-25 | 2021-06-01 | N | 523 | N/A | 0.1 | 4.1 | 0.7 | 2.5 | 0.5 | 2.8 | 3.1 | 15.0 | 17.6 | 17.9 | 18.0 | 5.3 | N/A | 11.1 | N/A | 1.4
TNS | De Standaard and VRT | 2021-03-29 | 2021-04-19 | N | 1908 | N/A | 0.1 | 21.5 | 10.0 | 11.5 | 12.0 | 10.9 | 24.7 | 7.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2021-03-04 | 2021-03-09 | N | 1006 | N/A | 0.1 | 20.0 | 13.2 | 12.9 | 12.3 | 8.2 | 23.6 | 8.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2021-03-04 | 2021-03-09 | N | 958 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 19.0 | 22.8 | 20.1 | 16.4 | 8.7 | N/A | 3.9 | N/A | 9.1
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2021-03-04 | 2021-03-09 | N | 557 | N/A | 0.1 | 2.9 | 1.5 | 2.8 | 1.1 | 2.4 | 3.2 | 16.0 | 16.8 | 16.4 | 18.2 | 4.0 | N/A | 11.4 | N/A | 3
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2020-12-02 | 2020-12-08 | N | 1007 | N/A | 0.1 | 19.9 | 12.4 | 12.0 | 13.6 | 8.1 | 26.3 | 6.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2020-12-02 | 2020-12-08 | N | 995 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 17.1 | 23.1 | 20.5 | 15.6 | 10.3 | N/A | 3.7 | N/A | 9.7
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2020-12-02 | 2020-12-08 | N | 533 | N/A | 0.1 | 4.9 | 0.3 | 1.9 | 1.4 | 2.8 | 3.7 | 15.1 | 16.8 | 15.0 | 19.5 | 5.0 | N/A | 11.5 | N/A | 0.6
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2020-10-02 | 2020-10-08 | N | 1001 | N/A | 0.1 | 22.2 | 10.6 | 10.9 | 13.7 | 7.6 | 27.1 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.9
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2020-10-02 | 2020-10-08 | N | 1001 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 18.9 | 21.1 | 19.2 | 17.8 | 9.7 | N/A | 3.8 | N/A | 9.5
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2020-10-02 | 2020-10-08 | N | 593 | N/A | 0.1 | 4.8 | 1.7 | 2.4 | 2.3 | 3.2 | 3.7 | 12.1 | 19.1 | 14.0 | 21.6 | 3.2 | N/A | 11.3 | N/A | N/A
Dedicated | Soirmag | 2020-08-28 | 2020-09-01 | N | 598 | N/A | 0.1 | 23.3 | 13.0 | 14.4 | 13.1 | 7.2 | 27.0 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2020-06-10 | 2020-06-15 | N | 951 | N/A | 0.1 | 20.0 | 11.8 | 10.0 | 12.5 | 9.4 | 27.7 | 7.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2020-06-10 | 2020-06-15 | N | 986 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 18.7 | 23.7 | 20.5 | 15.1 | 8.1 | N/A | 4.7 | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2020-06-10 | 2020-06-15 | N | 580 | N/A | 0.1 | 4.9 | 1.5 | 1.4 | 0.7 | 1.8 | 3.7 | 12.6 | 18.2 | 17.4 | 19.1 | 4.7 | N/A | 10.9 | N/A | N/A
TNS | De Standaard, La Libre Belgique, RTBf and VRT | 2020-04-09 | 2020-04-28 | N | 1857 | N/A | 0.1 | 20.3 | 11.9 | 11.6 | 11.0 | 11.1 | 24.5 | 8.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2020-03-04 | 2020-03-09 | N | 958 | N/A | 0.1 | 20.7 | 11.7 | 10.3 | 9.6 | 8.8 | 28.0 | 9.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2020-03-04 | 2020-03-09 | N | 974 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 18.6 | 25.5 | 19.6 | 15.5 | 7.5 | N/A | 5.1 | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2020-03-04 | 2020-03-09 | N | 531 | N/A | 0.1 | 4.1 | 0.9 | 0.9 | 1.4 | 1.4 | 3.3 | 12.2 | 20.5 | 17.6 | 20.3 | 3.8 | N/A | 10.0 | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2019-11-29 | 2019-12-06 | N | 999 | N/A | 0.1 | 22.1 | 11.4 | 9.9 | 8.9 | 10.7 | 27.3 | 8.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2019-11-29 | 2019-12-06 | N | 983 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 16.5 | 23.8 | 20.5 | 17.2 | 8.8 | N/A | 4.7 | N/A | 8.5
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2019-11-29 | 2019-12-06 | N | 526 | N/A | 0.1 | 4.8 | 0.9 | 2.2 | 0.5 | 2.8 | 1.9 | 12.5 | 18.9 | 16.2 | 19.7 | 5.1 | N/A | 12.0 | N/A | 2.2
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2019-09-02 | 2019-09-10 | N | 1000 | N/A | 0.1 | 22.7 | 11.7 | 13.3 | 8.4 | 11.0 | 24.9 | 6.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2019-09-02 | 2019-09-10 | N | 992 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 15.5 | 22.9 | 22.6 | 16.2 | 8.5 | N/A | 5.0 | N/A | 9.3
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2019-09-02 | 2019-09-10 | N | 548 | N/A | 0.1 | 3.6 | 0.2 | 2.4 | 1.0 | 3.1 | 2.5 | 11.0 | 19.2 | 16.4 | 21.4 | 4.9 | N/A | 11.0 | N/A | 3.3
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2019-05-06 | 2019-05-14 | N | 1003 | N/A | 0.1 | 28.1 | 17.1 | 11.2 | 11.0 | 12.1 | 14.8 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2019-05-06 | 2019-05-14 | N | 1000 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 9.2 | 28.5 | 22.7 | 19.1 | 9.7 | 3.5 | 3.9 | 1.4 | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2019-05-06 | 2019-05-14 | N | 519 | N/A | 0.1 | 5.7 | 0.8 | 0.7 | N/A | N/A | 2.7 | 7.9 | 17.3 | 15.5 | 22.9 | 6.5 | 2.0 | 13.7 | N/A | N/A
TNS | De Standaard, La Libre Belgique, RTBf and VRT | 2019-03-25 | 2019-04-14 | N | 1006 | N/A | 0.1 | 27.9 | 14.7 | 14.2 | 12.7 | 14.6 | 9.3 | 5.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8
TNS | De Standaard, La Libre Belgique, RTBf and VRT | 2019-03-25 | 2019-04-14 | N | 1004 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 14.8 | 24.7 | 18.3 | 22.0 | 9.3 | 3.5 | 3.9 | N/A | N/A
TNS | De Standaard, La Libre Belgique, RTBf and VRT | 2019-03-25 | 2019-04-14 | N | 759 | N/A | 0.1 | 4.2 | 2.0 | 1.8 | 1.1 | 3.0 | 1.3 | 11.9 | 19.0 | 15.5 | 21.5 | 6.9 | 0.3 | 8.5 | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2019-02-05 | 2019-02-11 | N | 996 | N/A | 0.1 | 27.4 | 15.0 | 12.7 | 11.0 | 15.6 | 11.1 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2019-02-05 | 2019-02-11 | N | 995 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 10.7 | 24.3 | 19.4 | 16.8 | 10.8 | 5.4 | 4.3 | 1.6 | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2019-02-05 | 2019-02-11 | N | 559 | N/A | 0.1 | 6.4 | 0.9 | 1.7 | 2.1 | 2.7 | 1.9 | 7.5 | 15.9 | 15.3 | 19.9 | 4.3 | 2.2 | 12.5 | N/A | N/A
Ipsos | Het Nieuwsblad | 2018-12-13 | 2018-12-17 | N | 1000 | N/A | 0.1 | 30.2 | 15.7 | 11.6 | 9.7 | 13.8 | 12.0 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5
TNS | De Standaard, La Libre Belgique, RTBf and VRT | 2018-11-19 | 2018-12-08 | N | 1038 | N/A | 0.1 | 28.3 | 18.7 | 17.5 | 9.2 | 16.0 | 7.6 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
TNS | De Standaard, La Libre Belgique, RTBf and VRT | 2018-11-19 | 2018-12-08 | N | 1016 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 14.0 | 25.4 | 19.9 | 19.7 | 10.4 | 5.1 | 3.3 | N/A | N/A
TNS | De Standaard, La Libre Belgique, RTBf and VRT | 2018-11-19 | 2018-12-08 | N | 743 | N/A | 0.1 | 6.0 | 3.1 | 1.1 | 2.7 | 3.9 | 0.3 | 11.5 | 15.8 | 17.4 | 19.1 | 5.6 | 1.7 | 10.3 | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2018-11-27 | 2018-12-03 | N | 998 | N/A | 0.1 | 28.0 | 14.6 | 13.4 | 12.3 | 12.2 | 11.7 | 6.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2018-11-27 | 2018-12-03 | N | 1003 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 13.1 | 24.9 | 20.7 | 13.5 | 11.3 | 6.2 | 4.2 | 2.3 | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2018-11-27 | 2018-12-03 | N | 531 | N/A | 0.1 | 5.3 | 1.2 | 1.1 | 0.9 | 2.4 | 1.3 | 5.8 | 15.4 | 18.2 | 18.3 | 4.5 | 3.7 | 14.4 | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2018-09-20 | 2018-09-27 | N | 1000 | N/A | 0.1 | 25.0 | 17.2 | 12.8 | 12.1 | 14.1 | 11.3 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2018-09-20 | 2018-09-27 | N | 1000 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 13.1 | 23.6 | 20.6 | 10.9 | 10.1 | 6.7 | 6.9 | 2.1 | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2018-09-20 | 2018-09-27 | N | 543 | N/A | 0.1 | 6.3 | 1.2 | 1.6 | 0.7 | 2.1 | 2.0 | 8.8 | 14.5 | 19.0 | 12.8 | 6.1 | 2.0 | 15.4 | N/A | 7.5
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2018-05-29 | 2018-06-06 | N | 1000 | N/A | 0.1 | 26.5 | 15.3 | 13.9 | 11.7 | 12.4 | 9.7 | 6.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.3
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2018-05-29 | 2018-06-06 | N | 1000 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 12.8 | 23.4 | 20.0 | 13.2 | 9.0 | 7.3 | 5.9 | 2.1 | 6.3
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2018-05-29 | 2018-06-06 | N | 532 | N/A | 0.1 | 6.7 | 0.9 | 2.3 | 0.8 | 1.5 | 2.3 | 9.5 | 14.2 | 17.0 | 11.9 | 7.4 | 2.4 | 15.4 | N/A | 7.7
TNS Kantar | De Standaard, La Libre Belgique, RTBf and VRT | 2018-02-26 | 2018-03-17 | N | 1003 | N/A | 0.1 | 32.4 | 16.4 | 14.7 | 9.5 | 13.8 | 7.5 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.0
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2018-02-27 | 2018-03-06 | N | 965 | N/A | 0.1 | 31.5 | 15.1 | 12.7 | 13.0 | 10.4 | 9.0 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2017-11-27 | 2017-12-04 | N | 995 | N/A | 0.1 | 29.5 | 14.1 | 12.2 | 10.9 | 13.2 | 10.4 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
TNS Kantar | De Standaard, La Libre Belgique, RTBf and VRT | 2017-09-11 | 2017-10-08 | N | 1045 | N/A | 0.1 | 28.0 | 19.4 | 15.5 | 11.0 | 13.9 | 6.5 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.6
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2017-08-25 | 2017-09-03 | N | 959 | N/A | 0.1 | 30.2 | 16.1 | 12.1 | 12.2 | 13.4 | 7.9 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Dedicated | L’Echo | 2017-06-23 | 2017-06-27 | N | N/A | N/A | 0.1 | 27.1 | 16.9 | 12.7 | 9.5 | 12.5 | 11.7 | 7.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.7
TNS Media | De Standaard and VRT | 2017-03-27 | 2017-04-11 | N | 1030 | N/A | 0.1 | 26.3 | 18.6 | 14.4 | 13.2 | 14.7 | 7.8 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.7
Dedicated | La Libre Belgique and RTBf | 2017-03-16 | 2017-03-20 | N | 1038 | N/A | 0.1 | 28.3 | 14.1 | 13.6 | 12.9 | 11.5 | 11.9 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2017-01-10 | 2017-01-17 | N | 964 | N/A | 0.1 | 27.4 | 14.9 | 12.9 | 13.2 | 12.2 | 10.3 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Dedicated | La Libre Belgique and RTBf | 2016-11-24 | 2016-11-28 | N | 1007 | N/A | 0.1 | 26.3 | 16.3 | 12.4 | 13.2 | 12.7 | 12.3 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
TNS Media | De Standaard and VRT | 2016-09-14 | 2016-10-03 | N | 1013 | N/A | 0.1 | 27.8 | 16.8 | 13.6 | 15.8 | 13.3 | 8.1 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2
