Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PS | PSD | BE | CDU | CDS–PP | PAN | A | L | IL | CH | Other
CESOP–UCP | N/A | 2023-06-01 | 2023-06-21 | N | 2042 | 68.0 | 1 | 32 | 35 | 6 | 3 | 1 | 1 | N/A | 1 | 6 | 9 | 6
Intercampus | CMTV, Correio da Manhã and Negócios | 2023-05-25 | 2023-05-31 | N | 611 | N/A | 0.1 | 24.5 | 26.3 | 10.2 | 4.1 | 2.4 | 3.9 | N/A | 2.4 | 8.8 | 12.9 | 4.5
ICS/ISCTE | Expresso and SIC Notícias | 2023-05-13 | 2023-05-28 | N | 1204 | N/A | 1 | 31 | 30 | 5 | 5 | 1 | 2 | N/A | 1 | 4 | 13 | 8
Intercampus | CMTV, Correio da Manhã and Negócios | 2023-05-04 | 2023-05-05 | N | 606 | N/A | 0.1 | 25.7 | 25.5 | 9.6 | 4.2 | 1.8 | 2.4 | N/A | 2.3 | 8.4 | 14.7 | 5.4
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2023-04-10 | 2023-04-14 | N | 805 | N/A | 0.1 | 28.3 | 28.6 | 6.3 | 3.5 | 1.3 | 4.5 | N/A | 2.7 | 6.1 | 12.1 | 6.6
Intercampus | CMTV, Correio da Manhã and Negócios | 2023-04-06 | 2023-04-12 | N | 610 | 89.6 | 0.1 | 28.1 | 26.9 | 7.8 | 4.8 | 1.6 | 2.6 | N/A | 1.2 | 8.2 | 14.7 | 4.1
ICS/ISCTE | Expresso and SIC Notícias | 2023-03-11 | 2023-03-20 | N | 807 | N/A | 1 | 30 | 30 | 5 | 5 | 2 | 2 | N/A | 1 | 4 | 13 | 8
Intercampus | CMTV, Correio da Manhã and Negócios | 2023-03-09 | 2023-03-15 | N | 613 | N/A | 0.1 | 28.4 | 27.3 | 7.2 | 3.6 | 1.5 | 1.7 | N/A | 2.7 | 7.9 | 15.2 | 4.5
CESOP–UCP | Público and RTP | 2023-02-09 | 2023-02-17 | N | 1002 | N/A | 1 | 32 | 31 | 7 | 4 | 1 | 2 | N/A | 2 | 8 | 11 | 2
Intercampus | CMTV, Correio da Manhã and Negócios | 2023-02-03 | 2023-02-10 | N | 602 | N/A | 0.1 | 28.4 | 27.6 | 5.8 | 4.7 | 1.1 | 2.9 | N/A | 1.6 | 9.0 | 14.1 | 4.8
Pitagórica | CNN Portugal and TVI | 2023-01-11 | 2023-01-17 | N | 828 | N/A | 0.1 | 26.9 | 30.6 | 5.6 | 2.2 | 0.0 | 0.9 | N/A | 1.9 | 8.0 | 14.2 | 9.7
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2023-01-10 | 2023-01-14 | N | 805 | 65.1 | 0.1 | 27.1 | 25.1 | 6.6 | 4.8 | 1.4 | 3.1 | N/A | 3.4 | 9.5 | 12.9 | 6.1
Intercampus | CMTV, Correio da Manhã and Negócios | 2023-01-06 | 2023-01-11 | N | 605 | N/A | 0.1 | 31.1 | 29.5 | 7.5 | 3.7 | 0.7 | 3.7 | N/A | 2.4 | 7.6 | 10.7 | 3.3
Pitagórica | CNN Portugal and TVI | 2022-12-09 | 2022-12-15 | N | 828 | N/A | 0.1 | 35.9 | 30.4 | 3.4 | 4.3 | 0.7 | 0.6 | N/A | 2.2 | 5.2 | 9.1 | 8.2
ICS/ISCTE | Expresso and SIC Notícias | 2022-12-03 | 2022-12-15 | N | 809 | N/A | 1 | 37 | 29 | 7 | 5 | 0 | 3 | N/A | 0 | 2 | 9 | 8
Intercampus | CMTV, Correio da Manhã and Negócios | 2022-12-12 | 2022-12-14 | N | 663 | N/A | 0.1 | 31.0 | 25.3 | 8.6 | 4.4 | 2.2 | 3.1 | N/A | 1.9 | 8.6 | 11.0 | 3.4
Intercampus | CMTV, Correio da Manhã and Negócios | 2022-11-15 | 2022-11-20 | N | 605 | N/A | 0.1 | 28.8 | 26.2 | 7.3 | 6.4 | 1.6 | 2.7 | N/A | 2.7 | 8.0 | 13.6 | 2.7
Pitagórica | CNN Portugal and TVI | 2022-11-11 | 2022-11-17 | N | 828 | N/A | 0.1 | 35.1 | 30.4 | 3.8 | 5.1 | 1.3 | 1.2 | N/A | 2.0 | 6.1 | 8.2 | 6.8
Intercampus | CMTV, Correio da Manhã and Negócios | 2022-10-17 | 2022-10-22 | N | 607 | N/A | 0.1 | 33.2 | 29.1 | 7.1 | 3.0 | 0.7 | 2.1 | N/A | 2.6 | 8.6 | 10.8 | 2.8
Pitagórica | CNN Portugal and TVI | 2022-10-11 | 2022-10-17 | N | 828 | N/A | 0.1 | 36.2 | 30.0 | 3.9 | 3.8 | 1.6 | 1.2 | N/A | 1.0 | 7.9 | 9.3 | 5.1
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2022-09-21 | 2022-09-24 | N | 810 | N/A | 0.1 | 34.5 | 30.9 | 3.8 | 3.2 | 1.9 | 3.0 | N/A | 2.1 | 6.7 | 8.9 | 5.0
ICS/ISCTE | Expresso and SIC Notícias | 2022-09-10 | 2022-09-18 | N | 807 | N/A | 1 | 37 | 28 | 4 | 4 | 0 | 3 | N/A | 0 | 3 | 11 | 10
Intercampus | CMTV, Correio da Manhã and Negócios | 2022-09-09 | 2022-09-15 | N | 606 | N/A | 0.1 | 35.5 | 28.7 | 6.0 | 3.4 | 1.3 | 2.9 | N/A | 2.1 | 6.0 | 10.7 | 3.4
Intercampus | CMTV, Correio da Manhã and Negócios | 2022-08-03 | 2022-08-10 | N | 605 | N/A | 0.1 | 38.5 | 26.5 | 5.8 | 2.6 | 0.8 | 1.5 | N/A | 2.2 | 8.3 | 9.8 | 4.0
Pitagórica | CNN Portugal and TVI | 2022-07-28 | 2022-08-10 | N | 828 | N/A | 0.1 | 36.7 | 27.6 | 4.4 | 4.2 | 2.5 | 1.2 | N/A | 1.2 | 8.5 | 9.5 | 4.2
CESOP–UCP | N/A | 2022-07-11 | 2022-07-15 | N | 885 | N/A | 1 | 38 | 30 | 5 | 5 | 1 | 1 | N/A | 2 | 6 | 9 | 3
Intercampus | CMTV | 2022-07-06 | 2022-07-11 | N | 605 | N/A | 0.1 | 39.8 | 22.5 | 6.1 | 3.2 | 2.3 | 2.5 | N/A | 1.9 | 9.6 | 9.4 | 2.7
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2022-07-05 | 2022-07-10 | N | 810 | N/A | 0.1 | 35.8 | 30.1 | 5.6 | 3.3 | 1.4 | 1.9 | N/A | 2.0 | 6.1 | 10.2 | 3.6
Pitagórica | CNN Portugal and TVI | 2022-06-21 | 2022-07-04 | N | 828 | N/A | 0.1 | 38.9 | 24.9 | 5.3 | 3.9 | 1.8 | 1.2 | N/A | 1.8 | 8.6 | 8.3 | 5.3
Intercampus | CMTV and Correio da Manhã | 2022-06-08 | 2022-06-14 | N | 611 | N/A | 0.1 | 38.8 | 24.6 | 5.9 | 3.6 | 3.0 | 3.0 | N/A | 1.4 | 7.8 | 9.3 | 2.6
Intercampus | N/A | 2022-05-07 | 2022-05-15 | N | 611 | N/A | 0.1 | 39.5 | 21.2 | 5.9 | 4.1 | 3.3 | 4.1 | N/A | 2.1 | 7.8 | 8.8 | 3.2
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2022-04-12 | 2022-04-18 | N | 807 | N/A | 0.1 | 40.7 | 25.2 | 4.0 | 4.1 | 2.2 | 1.5 | N/A | 1.5 | 7.9 | 7.8 | 5.1
Pitagórica | CNN Portugal and TVI | 2022-02-15 | 2022-02-20 | N | 600 | N/A | 0.1 | 37.1 | 31.7 | 4.5 | 4.3 | 1.4 | 1.3 | N/A | 2.7 | 7.3 | 5.6 | 4.1
Pitagórica | CNN Portugal and TVI | 2022-01-24 | 2022-01-28 | N | 760 | N/A | 0.1 | 36.6 | 32.9 | 5.1 | 5.2 | 1.4 | 1.2 | N/A | 1.7 | 5.2 | 5.4 | 5.4
Pitagórica | CNN Portugal and TVI | 2022-01-23 | 2022-01-26 | N | 608 | N/A | 0.1 | 36.7 | 31.3 | 6.1 | 5.7 | 2.1 | 1.0 | N/A | 1.8 | 4.3 | 5.1 | 6.1
CESOP–UCP | Público and RTP | 2022-01-19 | 2022-01-26 | N | 2192 | N/A | 1 | 36 | 33 | 6 | 5 | 2 | 2 | N/A | 2 | 6 | 6 | 2
Pitagórica | CNN Portugal and TVI | 2022-01-22 | 2022-01-25 | N | 608 | N/A | 0.1 | 36.6 | 30.9 | 6.7 | 4.2 | 1.8 | 1.0 | N/A | 1.6 | 3.8 | 6.7 | 6.7
Pitagórica | CNN Portugal and TVI | 2022-01-21 | 2022-01-24 | N | 608 | N/A | 0.1 | 37.0 | 31.4 | 5.7 | 4.3 | 1.4 | 1.8 | N/A | 1.0 | 3.2 | 7.5 | 6.7
ICS/ISCTE | Expresso and SIC Notícias | 2022-01-18 | 2022-01-24 | N | 1003 | N/A | 1 | 35 | 33 | 5 | 6 | 1 | 2 | N/A | 1 | 6 | 6 | 5
Pitagórica | CNN Portugal and TVI | 2022-01-20 | 2022-01-23 | N | 608 | N/A | 0.1 | 35.3 | 31.4 | 6.1 | 4.9 | 1.6 | 1.6 | N/A | 0.8 | 4.7 | 6.9 | 6.5
Pitagórica | CNN Portugal and TVI | 2022-01-19 | 2022-01-22 | N | 608 | N/A | 0.1 | 34.1 | 33.5 | 5.5 | 5.1 | 0.8 | 1.6 | N/A | 1.2 | 5.3 | 6.6 | 6.2
Pitagórica | CNN Portugal and TVI | 2022-01-18 | 2022-01-21 | N | 608 | N/A | 0.1 | 33.5 | 34.5 | 5.7 | 4.7 | 0.8 | 1.6 | N/A | 1.2 | 5.7 | 6.5 | 5.9
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2022-01-16 | 2022-01-21 | N | 965 | N/A | 0.1 | 33.8 | 34.4 | 6.6 | 4.5 | 1.6 | 3.2 | N/A | 1.4 | 2.8 | 8.0 | 3.7
Pitagórica | CNN Portugal and TVI | 2022-01-17 | 2022-01-20 | N | 608 | N/A | 0.1 | 34.6 | 33.5 | 4.9 | 4.5 | 1.2 | 1.6 | N/A | 1.6 | 6.3 | 6.3 | 5.3
Pitagórica | CNN Portugal and TVI | 2022-01-16 | 2022-01-19 | N | 608 | N/A | 0.1 | 36.5 | 32.9 | 5.0 | 5.0 | 1.0 | 1.9 | N/A | 1.5 | 5.2 | 6.3 | 4.7
Pitagórica | CNN Portugal and TVI | 2022-01-15 | 2022-01-18 | N | 608 | N/A | 0.1 | 38.7 | 30.4 | 5.1 | 5.3 | 1.1 | 1.7 | N/A | 1.1 | 4.7 | 7.2 | 4.7
CESOP–UCP | Público and RTP | 2022-01-12 | 2022-01-18 | N | 1456 | N/A | 1 | 37 | 33 | 5 | 5 | 2 | 2 | N/A | 2 | 5 | 6 | 3
Pitagórica | CNN Portugal and TVI | 2022-01-14 | 2022-01-17 | N | 608 | N/A | 0.1 | 39.8 | 30.4 | 4.5 | 5.8 | 1.3 | 1.7 | N/A | 1.5 | 4.3 | 7.5 | 3.2
Pitagórica | CNN Portugal and TVI | 2022-01-13 | 2022-01-16 | N | 608 | N/A | 0.1 | 40.1 | 28.8 | 5.9 | 5.9 | 0.6 | 1.5 | N/A | 1.3 | 5.0 | 8.0 | 2.9
Pitagórica | CNN Portugal and TVI | 2022-01-12 | 2022-01-15 | N | 608 | N/A | 0.1 | 39.6 | 29.6 | 6.0 | 5.1 | 0.9 | 1.7 | N/A | 1.5 | 4.7 | 8.1 | 2.8
Pitagórica | CNN Portugal and TVI | 2022-01-11 | 2022-01-14 | N | 608 | N/A | 0.1 | 38.8 | 29.3 | 6.8 | 4.6 | 1.3 | 1.9 | N/A | 1.5 | 4.9 | 7.8 | 3.1
Pitagórica | CNN Portugal and TVI | 2022-01-10 | 2022-01-13 | N | 608 | N/A | 0.1 | 38.9 | 29.7 | 6.2 | 4.6 | 1.7 | 2.1 | N/A | 1.2 | 5.4 | 6.9 | 3.3
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2022-01-06 | 2022-01-12 | N | 807 | N/A | 0.1 | 38.1 | 28.5 | 7.4 | 4.8 | 1.8 | 2.1 | N/A | N/A | 3.7 | 9.0 | 4.6
CESOP–UCP | Público and RTP | 2022-01-06 | 2022-01-10 | N | 1246 | N/A | 1 | 39 | 30 | 6 | 5 | 2 | 3 | N/A | 2 | 4 | 6 | 3
Intercampus | CMTV, Correio da Manhã and Negócios | 2022-01-04 | 2022-01-10 | N | 615 | N/A | 0.1 | 35.3 | 29.3 | 8.5 | 6.0 | 1.1 | 4.3 | N/A | 0.6 | 5.6 | 7.1 | 2.2
Pitagórica | CNN Portugal and TVI | 2021-12-30 | 2022-01-09 | N | 600 | N/A | 0.1 | 39.6 | 30.0 | 6.4 | 5.1 | 1.5 | 1.8 | N/A | N/A | 5.1 | 5.7 | 4.8
CESOP–UCP | Público and RTP | 2021-12-28 | 2022-01-05 | N | 1238 | N/A | 1 | 38 | 32 | 6 | 6 | 2 | 2 | N/A | 1 | 5 | 5 | 3
ICS/ISCTE | Expresso and SIC Notícias | 2021-12-10 | 2021-12-20 | N | 901 | N/A | 1 | 38 | 31 | 5 | 6 | 2 | 2 | N/A | N/A | 4 | 7 | 5
Intercampus | CMTV and Correio da Manhã | 2021-12-07 | 2021-12-14 | N | 603 | N/A | 0.1 | 35.5 | 26.8 | 6.6 | 4.5 | 1.6 | 3.5 | N/A | 0.8 | 6.4 | 8.9 | 5.3
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2021-12-09 | 2021-12-13 | N | 810 | 55.1 | 0.1 | 35.4 | 33.2 | 7.3 | 5.1 | 1.3 | 2.5 | N/A | N/A | 3.7 | 6.2 | 5.3
Pitagórica | CNN Portugal and TVI | 2021-12-07 | 2021-12-12 | N | 625 | N/A | 0.1 | 37.0 | 31.7 | 4.9 | 5.9 | 1.0 | 3.0 | N/A | N/A | 5.9 | 6.3 | 4.3
Pitagórica | CNN Portugal and TVI | 2021-11-10 | 2021-11-15 | N | 625 | N/A | 0.1 | 38.2 | 32.1 | 5.4 | 5.2 | 0.8 | 1.9 | N/A | N/A | 4.2 | 7.1 | 5.1
Intercampus | CMTV and Correio da Manhã | 2021-11-05 | 2021-11-11 | N | 612 | N/A | 0.1 | 39.0 | 28.1 | 7.7 | 5.3 | 2.0 | 4.4 | N/A | 0.2 | 4.2 | 6.3 | 2.8
CESOP–UCP | N/A | 2021-10-29 | 2021-11-04 | N | 878 | N/A | 1 | 39 | 30 | 7 | 5 | 2 | 3 | N/A | N/A | 5 | 5 | 4
ICS/ISCTE | Expresso and SIC Notícias | 2021-10-21 | 2021-11-01 | N | 800 | N/A | 1 | 40 | 26 | 5 | 6 | 1 | 2 | N/A | N/A | 2 | 10 | 8
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2021-10-28 | 2021-10-31 | N | 803 | N/A | 0.1 | 38.5 | 24.4 | 8.8 | 4.6 | 2.0 | 2.8 | N/A | N/A | 4.7 | 7.7 | 6.4
Eurosondagem | Porto Canal and Sol | 2021-10-18 | 2021-10-21 | N | 1028 | N/A | 0.1 | 38.1 | 27.5 | 5.1 | 5.6 | 2.5 | 2.8 | N/A | N/A | 5.5 | 9.2 | 3.7
Eurosondagem | Sol | 2021-09-20 | 2021-09-23 | N | 1032 | N/A | 0.1 | 41.5 | 27.2 | 5.0 | 5.5 | 2.0 | 2.6 | N/A | N/A | 5.2 | 8.9 | 2.1
Intercampus | CMTV, Correio da Manhã and Negócios | 2021-09-14 | 2021-09-23 | N | 609 | N/A | 0.1 | 36.8 | 24.6 | 9.7 | 5.5 | 1.4 | 3.3 | N/A | 0.4 | 5.5 | 8.6 | 4.2
Pitagórica | TVI | 2021-09-10 | 2021-09-19 | N | 609 | N/A | 0.1 | 41.3 | 25.1 | 7.1 | 5.5 | 2.0 | 1.8 | N/A | 0.4 | 4.7 | 7.1 | 5.0
Intercampus | N/A | 2021-08-13 | 2021-08-20 | N | 612 | N/A | 0.1 | 34.7 | 25.1 | 9.1 | 5.4 | 1.6 | 3.5 | N/A | 0.2 | 6.1 | 7.5 | 6.8
Eurosondagem | N/A | 2021-08-16 | 2021-08-19 | N | 1052 | N/A | 0.1 | 41.3 | 27.3 | 5.6 | 6.0 | 2.1 | 2.5 | N/A | N/A | 4.5 | 9.0 | 1.7
Eurosondagem | Porto Canal and Sol | 2021-07-26 | 2021-07-29 | N | 1025 | N/A | 0.1 | 41.1 | 27.3 | 4.8 | 5.9 | 2.1 | 2.2 | N/A | N/A | 3.3 | 8.8 | 4.5
Intercampus | Correio da Manhã and Negócios | 2021-07-07 | 2021-07-16 | N | 607 | N/A | 0.1 | 34.8 | 23.4 | 9.0 | 6.7 | 2.8 | 4.5 | N/A | 0.6 | 3.1 | 9.0 | 6.1
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2021-07-10 | 2021-07-12 | N | 763 | N/A | 0.1 | 37.6 | 25.2 | 7.8 | 4.8 | 0.9 | 4.6 | N/A | N/A | 5.5 | 7.7 | 5.9
Eurosondagem | N/A | 2021-07-05 | 2021-07-08 | N | 1022 | N/A | 0.1 | 40.8 | 27.3 | 5.2 | 5.2 | 2.2 | 2.1 | N/A | N/A | 2.5 | 9.0 | 5.7
Intercampus | Correio da Manhã and Negócios | 2021-06-08 | 2021-06-16 | N | 608 | N/A | 0.1 | 34.6 | 22.4 | 8.9 | 6.0 | 3.1 | 5.2 | N/A | 0.6 | 6.4 | 10.1 | 2.7
Eurosondagem | Porto Canal and Sol | 2021-05-31 | 2021-06-03 | N | 1021 | N/A | 0.1 | 40.0 | 27.2 | 5.5 | 5.0 | 2.5 | 2.2 | N/A | N/A | 2.7 | 8.4 | 6.5
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2021-05-26 | 2021-05-30 | N | 796 | N/A | 0.1 | 38.9 | 24.0 | 8.0 | 5.7 | 1.4 | 3.7 | N/A | 0.3 | 5.2 | 7.0 | 5.8
Eurosondagem | Porto Canal and Sol | 2021-05-10 | 2021-05-13 | N | 1008 | N/A | 0.1 | 39.4 | 27.4 | 6.6 | 5.0 | 2.5 | 2.4 | N/A | N/A | 2.2 | 8.0 | 6.5
Intercampus | Correio da Manhã and Negócios | 2021-05-05 | 2021-05-11 | N | 611 | N/A | 0.1 | 37.9 | 21.7 | 8.3 | 5.5 | 2.9 | 4.8 | N/A | 1.3 | 4.2 | 8.3 | 5.1
CESOP–UCP | Público and RTP | 2021-05-03 | 2021-05-07 | N | 1123 | N/A | 1 | 38 | 28 | 8 | 5 | 3 | 3 | N/A | N/A | 5 | 6 | 4
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2021-04-22 | 2021-04-25 | N | 830 | N/A | 0.1 | 38.2 | 26.1 | 9.2 | 5.7 | 0.4 | 2.7 | N/A | 0.8 | 4.9 | 7.2 | 4.8
Intercampus | Correio da Manhã and Negócios | 2021-04-07 | 2021-04-13 | N | 609 | N/A | 0.1 | 36.2 | 23.3 | 9.4 | 5.2 | 3.1 | 4.8 | N/A | 0.4 | 5.0 | 9.4 | 3.2
ICS/ISCTE | Expresso and SIC Notícias | 2021-04-05 | 2021-04-13 | N | 802 | N/A | 1 | 37 | 29 | 9 | 7 | 1 | 2 | N/A | N/A | 1 | 6 | 8
Eurosondagem | Porto Canal and Sol | 2021-04-05 | 2021-04-08 | N | 1020 | N/A | 0.1 | 39.6 | 27.8 | 6.2 | 5.2 | 2.0 | 2.1 | N/A | N/A | 2.5 | 7.7 | 6.9
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2021-03-24 | 2021-03-27 | N | 830 | N/A | 0.1 | 39.7 | 23.6 | 8.6 | 6.0 | 1.1 | 3.2 | N/A | 0.8 | 4.8 | 8.5 | 3.6
Intercampus | Correio da Manhã and Negócios | 2021-03-04 | 2021-03-10 | N | 615 | N/A | 0.1 | 37.6 | 23.6 | 8.3 | 5.5 | 2.3 | 2.5 | N/A | 0.7 | 5.3 | 9.0 | 5.2
Eurosondagem | N/A | 2021-03-01 | 2021-03-04 | N | 1010 | N/A | 0.1 | 39.5 | 28.2 | 7.0 | 4.5 | 2.2 | 2.5 | N/A | N/A | 2.1 | 7.5 | 6.5
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2021-02-17 | 2021-02-20 | N | 822 | N/A | 0.1 | 37.6 | 26.5 | 7.7 | 5.8 | 0.8 | 4.0 | N/A | 1.3 | 5.7 | 6.5 | 4.1
Intercampus | Correio da Manhã and Negócios | 2021-02-08 | 2021-02-13 | N | 609 | N/A | 0.1 | 37.6 | 24.7 | 8.2 | 5.8 | 2.7 | 3.1 | N/A | 0.7 | 5.6 | 7.3 | 4.3
Eurosondagem | Porto Canal and Sol | 2021-02-08 | 2021-02-11 | N | 1022 | N/A | 0.1 | 39.3 | 27.2 | 6.9 | 4.8 | 2.5 | 2.0 | N/A | N/A | 3.0 | 7.3 | 7.0
CESOP–UCP | Público and RTP | 2021-01-24 | 2021-01-24 | N | 4637 | N/A | 1 | 35 | 23 | 8 | 6 | 2 | 2 | N/A | 1 | 7 | 9 | 7
Pitagórica | Observador and TVI | 2021-01-07 | 2021-01-18 | N | 629 | N/A | 0.1 | 42.6 | 25.7 | 5.4 | 5.4 | 1.6 | 2.3 | N/A | N/A | 5.0 | 6.8 | 5.4
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2021-01-09 | 2021-01-15 | N | 1183 | 53.7 | 0.1 | 39.9 | 26.6 | 7.2 | 5.0 | 0.8 | 3.5 | N/A | 0.6 | 3.5 | 7.5 | 5.5
CESOP–UCP | Público and RTP | 2021-01-11 | 2021-01-14 | N | 2001 | N/A | 1 | 39 | 28 | 7 | 6 | 2 | 2 | N/A | N/A | 5 | 8 | 3
Eurosondagem | Porto Canal and Sol | 2021-01-11 | 2021-01-14 | N | 1021 | N/A | 0.1 | 39.0 | 28.0 | 6.5 | 5.3 | 2.1 | 2.2 | N/A | N/A | 1.3 | 5.5 | 10.1
Pitagórica | Observador and TVI | 2020-12-29 | 2021-01-10 | N | 629 | N/A | 0.1 | 41.4 | 28.0 | 7.1 | 5.1 | 1.2 | 2.2 | N/A | 0.0 | 4.1 | 5.9 | 5.1
Intercampus | N/A | 2021-01-04 | 2021-01-07 | N | 603 | N/A | 0.1 | 38.0 | 24.1 | 9.1 | 5.7 | 2.3 | 3.6 | N/A | 0.2 | 3.8 | 9.1 | 4.1
Pitagórica | Observador and TVI | 2020-12-22 | 2021-01-03 | N | 629 | N/A | 0.1 | 40.9 | 26.3 | 7.3 | 4.1 | 1.4 | 1.8 | N/A | 0.2 | 2.8 | 8.4 | 6.9
Pitagórica | Observador and TVI | 2020-12-17 | 2020-12-27 | N | 629 | N/A | 0.1 | 39.7 | 27.9 | 5.6 | 4.1 | 2.3 | 1.7 | N/A | N/A | 3.3 | 9.1 | 6.2
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2020-12-19 | 2020-12-22 | N | 812 | N/A | 0.1 | 38.5 | 25.4 | 8.5 | 5.7 | 0.3 | 4.7 | N/A | 0.5 | 3.5 | 7.7 | 5.2
Pitagórica | Observador and TVI | 2020-12-17 | 2020-12-20 | N | 629 | N/A | 0.1 | 40.3 | 28.5 | 5.5 | 5.3 | 1.8 | 2.2 | N/A | N/A | 2.4 | 8.4 | 5.5
Intercampus | Correio da Manhã and Negócios | 2020-12-14 | 2020-12-18 | N | 603 | N/A | 0.1 | 38.0 | 23.6 | 7.3 | 5.4 | 3.2 | 3.4 | N/A | 0.9 | 4.5 | 7.7 | 6.0
Pitagórica | Observador and TVI | 2020-12-10 | 2020-12-13 | N | 629 | N/A | 0.1 | 41.9 | 26.0 | 6.7 | 5.4 | 1.9 | 2.3 | N/A | N/A | 1.5 | 8.3 | 6.0
CESOP–UCP | Público and RTP | 2020-12-04 | 2020-12-11 | N | 1315 | N/A | 1 | 37 | 30 | 7 | 7 | 3 | 3 | N/A | N/A | 5 | 6 | 2
Eurosondagem | Porto Canal and Sol | 2020-12-07 | 2020-12-10 | N | 1020 | N/A | 0.1 | 38.8 | 29.4 | 7.2 | 5.3 | 2.5 | 2.0 | N/A | N/A | 1.1 | 5.2 | 8.5
Aximage | N/A | 2020-11-23 | 2020-11-26 | N | 647 | N/A | 0.1 | 37.2 | 23.9 | 7.9 | 5.8 | 1.0 | 6.5 | N/A | N/A | 2.2 | 7.5 | 8.0
ICS/ISCTE | N/A | 2020-11-11 | 2020-11-25 | N | 802 | N/A | 1 | 39 | 25 | 8 | 7 | 2 | 2 | N/A | N/A | 1 | 7 | 9
Intercampus | Correio da Manhã and Negócios | 2020-11-09 | 2020-11-16 | N | 622 | N/A | 0.1 | 37.1 | 24.2 | 7.7 | 4.9 | 4.1 | 5.3 | N/A | 1.8 | 3.3 | 7.3 | 4.4
Eurosondagem | Porto Canal and Sol | 2020-11-02 | 2020-11-05 | N | 1011 | N/A | 0.1 | 38.3 | 29.7 | 8.3 | 5.8 | 2.7 | 2.2 | N/A | N/A | 1.0 | 5.0 | 7.0
