Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | HHK | BHK | HAK | Žaṙangut’yun | AJD | OEK | TD | YeLQ | AD | ORO | HKK | IKD | LH | ST | HK | AŽB | HD | PUD | HDK | HQDŠ | Other
Breavis | International Republican Institute | 2021-02-08 | 2021-02-16 | N/A | 1510 | 44 | 1 | 2 | 7 | N/A | N/A | 2 | N/A | N/A | N/A | N/A | N/A | N/A | 75 | 2 | N/A | N/A | 2 | N/A | N/A | N/A | N/A | N/A
Gallup | N/A | 2020-06-10 | 2020-06-27 | N/A | 1002 | 72 | 0.1 | 1.9 | 8.3 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | 76.4 | 6.9 | N/A | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A
Gallup | N/A | 2019-11-09 | 2019-12-01 | N/A | 1517 | N/A | 0.1 | 1.5 | 14.2 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | 61.3 | 3.9 | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Gallup | International Republican Institute | 2019-09-20 | 2019-10-13 | N/A | 1200 | 89 | 1 | 4 | 21 | N/A | N/A | 3 | N/A | N/A | N/A | 1 | N/A | N/A | 62 | 7 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A
Gallup | International Republican Institute | 2019-05-06 | 2019-05-31 | N/A | 1200 | 85 | 1 | 6 | 14 | N/A | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | 69 | 5 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Gallup | N/A | 2019-04-30 | 2019-05-09 | N/A | 1108 | N/A | 0.1 | 1.6 | 11.9 | N/A | N/A | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | 60 | 4.6 | 1.21 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Gallup | N/A | 2018-12-01 | 2018-12-04 | N/A | 1100 | N/A | 0.1 | 1.3 | 5.7 | N/A | N/A | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | 69.4 | 3.8 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Gallup | N/A | 2018-11-17 | 2018-11-21 | N/A | N/A | N/A | 0.1 | 1.5 | 6.7 | N/A | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | 68.3 | 1.2 | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Gallup | International Republican Institute | 2018-10-09 | 2018-10-29 | N/A | 1200 | 95 | 1 | 2 | 9 | N/A | 0 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | 71 | 11 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Gallup | International Republican Institute | 2018-05-04 | 2018-08-15 | N/A | 1200 | 89 | 1 | 4 | 15 | N/A | 1 | 2 | N/A | N/A | 74 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Gallup | N/A | 2018-05-04 | 2018-05-09 | N/A | N/A | N/A | 0.1 | 3.8 | 3.2 | N/A | 0.4 | 1.9 | N/A | N/A | 75 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Gallup | N/A | 2017-03-18 | 2017-03-27 | N/A | 1005 | 96 | 1 | 31 | N/A | 4 | N/A | 7 | 5 | 30 | 9 | 3 | 4 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Gallup | N/A | 2017-03-12 | 2017-03-19 | N/A | N/A | N/A | 0.1 | 29.4 | N/A | 2.9 | N/A | 4.8 | 3.4 | 28.2 | 6.1 | 4.4 | 2.5 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Gallup | N/A | 2017-02-23 | 2017-03-02 | N/A | 1146 | N/A | 0.1 | 22.8 | N/A | 2.6 | N/A | 3.9 | 2.7 | 26.4 | 4.3 | 3.4 | 1.8 | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Հետք | N/A | 2012-05-05 | 2012-05-05 | N/A | N/A | 96 | 1 | 10 | 11 | 29 | 11 | 26 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9
Gallup | N/A | 2012-04-17 | 2012-04-23 | N/A | N/A | 70 | 0.1 | 39.1 | 29.9 | 12.1 | 6.3 | 5.3 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.0
TNS Opinion | European Friends of Armenia | 2012-04-17 | 2012-04-22 | N/A | 1600 | 75.7 | 0.1 | 44.0 | 34.3 | 3.8 | 5.3 | 4.2 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Gallup | N/A | 2012-04-04 | 2012-04-10 | N/A | 1018 | 81.3 | 0.1 | 41.8 | 34.4 | 8.2 | 4.3 | 5.7 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
“My Opinion” Civil Initiative | N/A | 2012-03-27 | 2012-03-27 | N/A | N/A | 90 | 1 | 9 | 43 | 29 | 4 | 14 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sociometer | N/A | 2012-03-26 | 2012-03-26 | N/A | N/A | N/A | 1 | 40 | 35 | 8–9 | 5–6 | 6–7 | 5–6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
TNS Opinion | European Friends of Armenia | 2012-02-25 | 2012-03-05 | N/A | 1602 | 65.5 | 0.1 | 37.4 | 41.4 | 4.9 | 4.0 | 5.0 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.0
“500 Voices” Social Research Group | N/A | 2012-02-14 | 2012-02-14 | N/A | N/A | 89 | 1 | 10 | 40 | 30 | 6 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Research Center of Political Developments | N/A | 2012-02-06 | 2012-02-06 | N/A | 1200 | 80 | 1 | 42 | 26 | 16 | 9 | 4 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
