Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | R | EK | EKRE | SDE | EVA | I | EER | E200 | KALJ | TULE | P | EÜVP | Other
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-05-08 | 2024-05-20 | E | 2005 | N/A | 0.1 | 19.1 | 11.5 | 14.2 | 19.3 | N/A | 21.3 | 0.9 | 3.8 | N/A | N/A | 4.3 | N/A | 2.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-05-08 | 2024-05-20 | N | 1000 | N/A | 0.1 | 19.4 | 12.3 | 12.7 | 12.1 | N/A | 27.7 | 2.1 | 7.5 | N/A | N/A | 4.9 | N/A | 1.3
Kantar Emor | ERR | 2024-05-06 | 2024-05-15 | E | 1471 | N/A | 0.1 | 17.2 | 11.0 | 13.6 | 23.6 | N/A | 14.0 | 0.9 | 4.1 | N/A | N/A | 7.2 | N/A | 5.4
Kantar Emor | ERR | 2024-05-06 | 2024-05-15 | N | 1471 | N/A | 0.1 | 17.5 | 12.7 | 17.0 | 18.0 | N/A | 21.5 | 2.0 | 4.9 | N/A | N/A | 5.4 | 1.0 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-05-06 | 2024-05-13 | N | 1000 | N/A | 0.1 | 18.0 | 12.3 | 15.7 | 14.1 | N/A | 29.1 | 1.7 | 6.1 | N/A | N/A | 2.3 | N/A | 0.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-04-29 | 2024-05-06 | E | 3503 | N/A | 0.1 | 19.3 | 9.4 | 17.9 | 21.4 | N/A | 17.1 | 0.9 | 3.9 | N/A | N/A | 4.5 | N/A | 2.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-04-29 | 2024-05-06 | N | 1000 | N/A | 0.1 | 17.8 | 11.9 | 17.5 | 15.9 | N/A | 27.6 | 1.8 | 4.2 | N/A | N/A | 2.8 | N/A | 0.4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-04-22 | 2024-04-29 | N | 1000 | N/A | 0.1 | 19.7 | 8.3 | 19.8 | 14.4 | N/A | 26.5 | 2.2 | 4.6 | N/A | N/A | 3.9 | N/A | 0.6
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-04-15 | 2024-04-22 | N | 1000 | N/A | 0.1 | 20.5 | 10.7 | 17.9 | 12.6 | N/A | 27.1 | 2.2 | 4.2 | N/A | N/A | 4.2 | N/A | 0.6
Kantar Emor | ERR | 2024-04-09 | 2024-04-17 | N | N/A | N/A | 0.1 | 18.8 | 13.8 | 18.3 | 14.2 | N/A | 22.1 | 2.2 | 4.8 | N/A | N/A | 4.6 | 1.2 | N/A
Kantar Emor | ERR | 2024-04-08 | 2024-04-17 | E | 1484 | N/A | 0.1 | 18.8 | 13.8 | 13.8 | 20 | N/A | 16.8 | 1.5 | 4.7 | N/A | N/A | 6 | N/A | 4.5
Kantar Emor | ERR | 2024-04-08 | 2024-04-17 | N | 1484 | N/A | 0.1 | 18.8 | 13.8 | 18.3 | 14.2 | N/A | 22.1 | 2.2 | 4.8 | N/A | N/A | 4.6 | 1.2 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-04-11 | 2024-04-15 | E | 3500 | N/A | 0.1 | 20.1 | 11.0 | 17.2 | 22.0 | N/A | 17.6 | 1.2 | 5.0 | N/A | N/A | 4.7 | N/A | 1.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-04-08 | 2024-04-15 | N | 1000 | N/A | 0.1 | 15.2 | 10.8 | 16.7 | 16.4 | N/A | 28.7 | 1.1 | 7.8 | N/A | N/A | 2.3 | N/A | 1.0
Turu-uuringute AS | N/A | 2024-04-04 | 2024-04-11 | N | 871 | N/A | 1 | 19 | 10 | 15 | 13 | N/A | 27 | 2 | 5 | N/A | N/A | 4 | 2 | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-04-01 | 2024-04-08 | N | 1000 | N/A | 0.1 | 18.6 | 8.9 | 20.2 | 14.3 | N/A | 26.9 | 1.3 | 4.9 | N/A | N/A | 3.8 | N/A | 1.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-03-25 | 2024-03-29 | N | 1000 | N/A | 0.1 | 17.3 | 12.8 | 17.4 | 14.3 | N/A | 27.9 | 1.0 | 4.5 | N/A | N/A | 3.5 | N/A | 1.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-03-18 | 2024-03-25 | N | 1000 | N/A | 0.1 | 18.0 | 11.2 | 19.2 | 15.2 | N/A | 28.5 | 1.0 | 4.5 | N/A | N/A | 1.8 | N/A | 0.6
Kantar Emor | ERR | 2024-03-14 | 2024-03-20 | E | 1135 | N/A | 0.1 | 18.9 | 13.9 | 15.4 | 21.4 | N/A | 16.7 | N/A | 5.6 | N/A | N/A | 5.9 | N/A | 2.1
Kantar Emor | ERR | 2024-03-14 | 2024-03-20 | N | 1567 | N/A | 0.1 | 15.0 | 13.9 | 16.1 | 17.6 | N/A | 26.7 | N/A | 3.6 | N/A | N/A | 4.5 | 0.6 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-03-11 | 2024-03-18 | N | 1000 | N/A | 0.1 | 17.8 | 10.0 | 19.7 | 13.7 | N/A | 26.8 | 2.1 | 6.7 | N/A | N/A | 2.0 | N/A | 1.2
Turu-uuringute AS | N/A | 2024-03-07 | 2024-03-18 | N | 909 | N/A | 1 | 17 | 10 | 19 | 15 | N/A | 25 | 1 | 6 | N/A | N/A | 3 | 0 | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-03-04 | 2024-03-08 | N | 1000 | N/A | 0.1 | 16.2 | 10.5 | 16.3 | 15.2 | N/A | 30.9 | 2.1 | 6.6 | N/A | N/A | 2.1 | N/A | 0.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-02-26 | 2024-03-04 | N | 1000 | N/A | 0.1 | 14.9 | 12.8 | 19.8 | 13.0 | N/A | 29.3 | 1.4 | 5.8 | N/A | N/A | 2.0 | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-02-19 | 2024-02-23 | N | 1000 | N/A | 0.1 | 19.7 | 10.2 | 20.1 | 11.6 | N/A | 29.2 | 1.6 | 5.1 | N/A | N/A | 2.1 | N/A | 0.4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-02-12 | 2024-02-19 | N | 1000 | N/A | 0.1 | 16.2 | 13.7 | 18.0 | 13.3 | N/A | 28.7 | 1.3 | 5.8 | N/A | N/A | 2.5 | N/A | 0.5
Turu-uuringute AS | N/A | 2024-02-08 | 2024-02-19 | N | 889 | N/A | 1 | 18 | 8 | 17 | 16 | N/A | 24 | 2 | 7 | N/A | N/A | 3 | 0 | 2
Kantar Emor | ERR | 2024-02-07 | 2024-02-14 | N | 1579 | N/A | 0.1 | 16.7 | 11.8 | 15.2 | 17.2 | N/A | 27.0 | 2.9 | 5.3 | N/A | N/A | 3.2 | 0.7 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-02-05 | 2024-02-09 | N | 1000 | N/A | 0.1 | 20.0 | 8.1 | 16.4 | 17.1 | N/A | 31.3 | 0.8 | 3.0 | N/A | N/A | 2.8 | N/A | 0.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-01-28 | 2024-02-02 | N | 1000 | N/A | 0.1 | 17.2 | 9.7 | 18.9 | 16.1 | N/A | 29.1 | 1.7 | 4.5 | N/A | N/A | 1.7 | N/A | 1.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-01-22 | 2024-01-26 | N | 1000 | N/A | 0.1 | 13.5 | 12.5 | 21.5 | 17.1 | N/A | 25.3 | 1.1 | 6.5 | N/A | N/A | 1.5 | N/A | 1.0
Turu-uuringute AS | N/A | 2024-01-18 | 2024-01-25 | N | 872 | N/A | 1 | 16 | 12 | 16 | 18 | N/A | 25 | 1 | 5 | N/A | N/A | 3 | 0 | 2
Kantar Emor | ERR | 2024-01-17 | 2024-01-24 | N | 1498 | N/A | 0.1 | 18.7 | 14.0 | 17.4 | 17.2 | N/A | 22.1 | 2.4 | 3.9 | N/A | N/A | 3.7 | 0.6 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-01-15 | 2024-01-22 | N | 1000 | N/A | 0.1 | 18.8 | 11.0 | 17.9 | 17.5 | N/A | 23.5 | 1.5 | 6.8 | N/A | N/A | 2.3 | N/A | 0.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-01-08 | 2024-01-12 | N | 1000 | N/A | 0.1 | 17.5 | 12.3 | 15.3 | 16.1 | N/A | 27.3 | 2.8 | 5.3 | N/A | N/A | 2.8 | N/A | 0.6
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-01-02 | 2024-01-08 | N | 1000 | N/A | 0.1 | 19.5 | 15.1 | 17.6 | 11.7 | N/A | 26.2 | 1.6 | 5.7 | N/A | N/A | 2.2 | N/A | 0.4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-12-18 | 2023-12-22 | N | 1000 | N/A | 0.1 | 16.3 | 14.9 | 19.6 | 10.5 | N/A | 27.1 | 1.4 | 6.6 | N/A | N/A | 2.8 | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-12-11 | 2023-12-18 | N | 1000 | N/A | 0.1 | 16.4 | 14.2 | 20.4 | 10.7 | N/A | 26.7 | 1.6 | 5.8 | N/A | N/A | 2.8 | N/A | N/A
Kantar Emor | ERR | 2023-12-06 | 2023-12-13 | N | 1497 | N/A | 0.1 | 15.2 | 15.2 | 19.8 | 11.8 | N/A | 24.9 | 2.7 | 6.1 | N/A | N/A | 4.1 | 0.4 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-12-04 | 2023-12-08 | N | 1000 | N/A | 0.1 | 16.8 | 16.2 | 22.5 | 10.4 | N/A | 25.4 | 0.9 | 5.5 | N/A | N/A | 1.6 | N/A | 0.7
Turu-uuringute AS | N/A | 2023-11-30 | 2023-12-06 | N | 871 | N/A | 1 | 18 | 12 | 16 | 13 | N/A | 26 | 1 | 6 | N/A | N/A | 4 | 0 | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-11-27 | 2023-12-01 | N | 1000 | N/A | 0.1 | 17.0 | 15.7 | 19.9 | 10.9 | N/A | 26.5 | 1.4 | 6.5 | N/A | N/A | 1.5 | N/A | 0.6
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-11-20 | 2023-11-24 | N | 1000 | N/A | 0.1 | 18.2 | 14.0 | 20.8 | 10.6 | N/A | 25.8 | 1.7 | 6.9 | N/A | N/A | 1.5 | N/A | 0.5
Kantar Emor | ERR | 2023-11-16 | 2023-11-22 | N | 1494 | N/A | 0.1 | 16.1 | 13.4 | 20.6 | 12.9 | N/A | 24.8 | 2.1 | 6.3 | N/A | N/A | 3.3 | 0.4 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-11-13 | 2023-11-17 | N | 1000 | N/A | 0.1 | 16.3 | 14.4 | 19.3 | 9.4 | N/A | 30.6 | 1.5 | 5.5 | N/A | N/A | 1.8 | N/A | 1.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-11-06 | 2023-11-10 | N | 1000 | N/A | 0.1 | 17.3 | 10.1 | 24.0 | 11.6 | N/A | 26.7 | 1.1 | 6.1 | N/A | N/A | 2.3 | N/A | 0.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-10-30 | 2023-11-06 | N | 1000 | N/A | 0.1 | 16.7 | 14.3 | 24.1 | 9.2 | N/A | 25.6 | 1.5 | 5.0 | N/A | N/A | 2.5 | N/A | 1.1
Turu-uuringute AS | N/A | 2023-10-26 | 2023-11-06 | N | 899 | N/A | 0.1 | 18.0 | 10.9 | 20.5 | 10.0 | N/A | 25.9 | 1.1 | 5.1 | N/A | N/A | 3.7 | 0.5 | 2.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-10-23 | 2023-10-27 | N | 1000 | N/A | 0.1 | 20.3 | 14.7 | 22.1 | 11.0 | N/A | 21.6 | 1.0 | 6.1 | N/A | N/A | 2.7 | N/A | 0.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-10-16 | 2023-10-20 | N | 1000 | N/A | 0.1 | 18.3 | 13.1 | 24.6 | 10.1 | N/A | 22.6 | 1.1 | 6.6 | N/A | N/A | 2.9 | N/A | 0.7
Kantar Emor | ERR | 2023-10-13 | 2023-10-18 | N | 1486 | N/A | 0.1 | 19.7 | 14.3 | 17.4 | 14.8 | N/A | 18.5 | 2.8 | 7.2 | N/A | N/A | 4.1 | 1.2 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-10-10 | 2023-10-13 | N | 1000 | N/A | 0.1 | 20.4 | 15.9 | 22.3 | 9.6 | N/A | 20.1 | 1.8 | 6.2 | N/A | N/A | 2.8 | N/A | 0.9
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-10-03 | 2023-10-09 | N | 1000 | N/A | 0.1 | 20.4 | 15.1 | 24.0 | 10.9 | N/A | 17.0 | 1.8 | 6.2 | N/A | N/A | 3.4 | N/A | 1.2
Turu-uuringute AS | N/A | 2023-09-28 | 2023-10-06 | N | 879 | N/A | 1 | 23 | 14 | 19 | 10 | N/A | 16 | 2 | 8 | N/A | N/A | 4 | 1 | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-09-26 | 2023-10-02 | N | 1000 | N/A | 0.1 | 23.2 | 14.4 | 21.8 | 10.2 | N/A | 18.0 | 1.8 | 6.8 | N/A | N/A | 3.2 | N/A | 0.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-09-18 | 2023-09-25 | N | 1000 | N/A | 0.1 | 23.2 | 15.0 | 24.8 | 9.7 | N/A | 16.9 | 1.0 | 6.2 | N/A | N/A | 2.4 | N/A | 0.8
Kantar Emor | ERR | 2023-09-14 | 2023-09-20 | N | 1491 | N/A | 0.1 | 24.2 | 16.4 | 20.6 | 11.9 | N/A | 12.8 | 2.2 | 7.3 | N/A | N/A | 4.1 | 0.5 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-09-11 | 2023-09-18 | N | 1000 | N/A | 0.1 | 25.1 | 15.5 | 21.2 | 10.7 | N/A | 15.2 | 2.3 | 6.1 | N/A | N/A | 2.7 | N/A | 1.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-09-04 | 2023-09-11 | N | 1000 | N/A | 0.1 | 25.8 | 16.6 | 24.1 | 10.1 | N/A | 13.1 | 1.5 | 6.6 | N/A | N/A | 1.1 | N/A | 1.1
Turu-uuringute AS | N/A | 2023-08-31 | 2023-09-10 | N | 891 | N/A | 1 | 23 | 18 | 20 | 10 | N/A | 14 | 2 | 6 | N/A | N/A | 4 | 1 | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-08-29 | 2023-09-04 | N | 1000 | N/A | 0.1 | 25.2 | 16.8 | 25.2 | 8.6 | N/A | 13.3 | 2.8 | 6.2 | N/A | N/A | 1.4 | N/A | 0.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-08-21 | 2023-08-28 | N | 1000 | N/A | 0.1 | 27.2 | 16.6 | 22.5 | 10.5 | N/A | 11.2 | 1.0 | 7.6 | N/A | N/A | 2.7 | N/A | 0.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-08-14 | 2023-08-21 | N | 1000 | N/A | 0.1 | 24.1 | 19.0 | 23.5 | 10.6 | N/A | 9.5 | 1.2 | 8.9 | N/A | N/A | 2.2 | N/A | 0.9
Kantar Emor | ERR | 2023-08-10 | 2023-08-16 | N | 1494 | N/A | 0.1 | 25.3 | 17.0 | 17.6 | 13.8 | N/A | 10.6 | 2.7 | 7.4 | N/A | N/A | 4.1 | 1.5 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-08-07 | 2023-08-14 | N | 1000 | N/A | 0.1 | 24.9 | 17.9 | 25.2 | 9.2 | N/A | 9.9 | 1.3 | 8.2 | N/A | N/A | 2.5 | N/A | 1.0
Turu-uuringute AS | N/A | 2023-08-03 | 2023-08-13 | N | 877 | N/A | 1 | 23 | 16 | 24 | 13 | N/A | 9 | 1 | 8 | N/A | N/A | 3 | 1 | 2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-07-31 | 2023-08-07 | N | 1000 | N/A | 0.1 | 23.8 | 18.1 | 23.8 | 11.1 | N/A | 10.0 | 1.2 | 8.5 | N/A | N/A | 2.5 | N/A | 1.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-07-24 | 2023-07-31 | N | 1000 | N/A | 0.1 | 25.1 | 19.1 | 20.2 | 12.0 | N/A | 9.4 | 2.7 | 9.0 | N/A | N/A | 1.5 | N/A | 1.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-07-18 | 2023-07-23 | N | 1000 | N/A | 0.1 | 29.5 | 17.5 | 21.2 | 9.5 | N/A | 9.8 | 1.5 | 8.0 | N/A | N/A | 2.2 | N/A | 0.7
Kantar Emor | ERR | 2023-07-10 | 2023-07-20 | N | 1486 | N/A | 0.1 | 26.3 | 16.2 | 20.2 | 11.5 | N/A | 8.5 | 2.6 | 9.8 | N/A | N/A | 3.5 | 1.4 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-07-11 | 2023-07-17 | N | 1000 | N/A | 0.1 | 28.3 | 18.4 | 22.6 | 8.9 | N/A | 10.1 | 1.1 | 6.9 | N/A | N/A | 2.6 | N/A | 1.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-07-04 | 2023-07-10 | N | 1000 | N/A | 0.1 | 25.7 | 17.7 | 23.8 | 9.8 | N/A | 10.1 | 1.4 | 7.3 | N/A | N/A | 2.1 | N/A | 2.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-06-26 | 2023-06-30 | N | 1000 | N/A | 0.1 | 29.3 | 16.1 | 24.2 | 9.2 | N/A | 10.0 | 1.9 | 5.9 | N/A | N/A | 1.8 | N/A | 1.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-06-12 | 2023-06-20 | N | 1000 | N/A | 0.1 | 28.6 | 15.8 | 20.4 | 8.6 | N/A | 12.0 | 2.1 | 9.3 | N/A | N/A | 2.3 | N/A | 1.0
Kantar Emor | ERR | 2023-06-08 | 2023-06-14 | N | 1476 | N/A | 0.1 | 24.9 | 16.8 | 21.2 | 11.9 | N/A | 9.1 | 2.4 | 9.4 | N/A | N/A | 3.9 | 0.6 | N/A
Turu-uuringute AS | N/A | 2023-06-07 | 2023-06-13 | N | 871 | N/A | 1 | 26 | 17 | 20 | 10 | N/A | 9 | 2 | 10 | N/A | N/A | 3 | 1 | 2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-06-06 | 2023-06-12 | N | 1000 | N/A | 0.1 | 24.0 | 15.4 | 25.4 | 11.7 | N/A | 10.0 | 0.9 | 8.3 | N/A | N/A | 3.1 | N/A | 1.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-05-29 | 2023-06-06 | N | 1000 | N/A | 0.1 | 27.7 | 15.1 | 21.8 | 9.2 | N/A | 10.3 | 2.1 | 9.7 | N/A | N/A | 2.7 | N/A | 1.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-05-23 | 2023-05-29 | N | 1000 | N/A | 0.1 | 25.0 | 18.1 | 26.3 | 9.3 | N/A | 8.1 | 1.4 | 8.3 | N/A | N/A | 1.8 | N/A | 1.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-05-15 | 2023-05-22 | N | 1000 | N/A | 0.1 | 25.1 | 17.0 | 24.5 | 9.7 | N/A | 8.1 | 2.3 | 10.6 | N/A | N/A | 2.3 | N/A | 0.6
Kantar Emor | ERR | 2023-05-10 | 2023-05-17 | N | 1501 | N/A | 0.1 | 22.7 | 17.6 | 22.5 | 10.4 | N/A | 8.0 | 2.4 | 12.6 | N/A | N/A | 2.7 | 1.2 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-05-08 | 2023-05-15 | N | 1000 | N/A | 0.1 | 23.3 | 20.1 | 27.0 | 7.9 | N/A | 7.8 | 1.7 | 8.8 | N/A | N/A | 2.0 | N/A | 1.4
Turu-uuringute AS | N/A | 2023-05-04 | 2023-05-15 | N | 879 | N/A | 1 | 23 | 16 | 20 | 10 | N/A | 8 | 3 | 14 | N/A | N/A | 3 | 1 | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-05-02 | 2023-05-06 | N | 1000 | N/A | 0.1 | 24.0 | 18.6 | 24.0 | 7.7 | N/A | 6.9 | 1.1 | 13.5 | N/A | N/A | 2.1 | N/A | 2.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-04-25 | 2023-05-01 | N | 1000 | N/A | 0.1 | 24.6 | 15.7 | 22.0 | 9.2 | N/A | 6.5 | 2.0 | 15.1 | N/A | N/A | 3.2 | N/A | 1.6
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-04-18 | 2023-04-24 | N | 1000 | N/A | 0.1 | 24.4 | 14.7 | 22.1 | 7.8 | N/A | 9.0 | 1.7 | 15.8 | N/A | N/A | 3.2 | N/A | 1.4
Kantar Emor | ERR | 2023-04-10 | 2023-04-19 | N | 1495 | N/A | 0.1 | 23.2 | 16.5 | 16.5 | 12.1 | N/A | 6.6 | 3.2 | 16.5 | N/A | N/A | 4.2 | 1.0 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-04-10 | 2023-04-17 | N | 1000 | N/A | 0.1 | 21.6 | 17.2 | 24.6 | 9.3 | N/A | 7.3 | 2.0 | 14.2 | N/A | N/A | 2.1 | N/A | 1.6
Turu-uuringute AS | N/A | 2023-04-03 | 2023-04-11 | N | 1174 | N/A | 1 | 24 | 13 | 19 | 10 | N/A | 8 | 1 | 17 | N/A | N/A | 4 | 1 | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-04-03 | 2023-04-10 | N | 1000 | N/A | 0.1 | 23.8 | 19.3 | 18.2 | 10.1 | N/A | 8.3 | 0.8 | 16.1 | N/A | N/A | 2.6 | N/A | 0.9
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-03-27 | 2023-04-03 | N | 1000 | N/A | 0.1 | 26.8 | 18.0 | 18.3 | 8.4 | N/A | 8.0 | 1.2 | 14.7 | N/A | N/A | 2.2 | N/A | 2.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-03-20 | 2023-03-27 | N | 1000 | N/A | 0.1 | 24.8 | 17.3 | 18.6 | 10.2 | N/A | 7.7 | 1.7 | 16.0 | N/A | N/A | 1.8 | N/A | 1.9
