Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Lab | Con | Lib Dems | SNP | Plaid | UKIP | GPEW | SGP | Reform UK | Change UK | Other
YouGov | The Times | 2023-07-19 | 2023-07-20 | N | 2069 | N/A | 1 | 44 | 25 | 10 | 3 | 1 | N/A | N/A | N/A | 8 | N/A | 2
Techne UK | N/A | 2023-07-19 | 2023-07-20 | N | 1632 | N/A | 1 | 45 | 26 | 11 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | 3
More in Common | N/A | 2023-07-18 | 2023-07-18 | N | 1584 | N/A | 1 | 44 | 29 | 12 | 4 | N/A | N/A | N/A | N/A | 5 | N/A | 1
Deltapoll | N/A | 2023-07-14 | 2023-07-17 | N | 1000 | N/A | 1 | 48 | 24 | 11 | 3 | 1 | 1 | N/A | N/A | 6 | N/A | 1
Redfield & Wilton Strategies | N/A | 2023-07-16 | 2023-07-16 | N | 2000 | N/A | 1 | 44 | 27 | 13 | 3 | N/A | N/A | N/A | N/A | 8 | N/A | 1
Savanta | N/A | 2023-07-14 | 2023-07-16 | N | 2265 | N/A | 1 | 46 | 28 | 11 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 4
More in Common | N/A | 2023-07-14 | 2023-07-16 | N | 2052 | N/A | 1 | 44 | 29 | 11 | 4 | N/A | N/A | N/A | N/A | 6 | N/A | 0
Omnisis | N/A | 2023-07-13 | 2023-07-14 | N | 1361 | N/A | 1 | 47 | 25 | 10 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | N/A
Techne UK | N/A | 2023-07-12 | 2023-07-13 | N | 1628 | N/A | 1 | 46 | 26 | 11 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 3
YouGov | The Times | 2023-07-10 | 2023-07-11 | N | 2015 | N/A | 1 | 43 | 25 | 11 | 4 | 1 | N/A | N/A | N/A | 9 | N/A | 2
Deltapoll | N/A | 2023-07-07 | 2023-07-10 | N | 1617 | N/A | 1 | 46 | 28 | 9 | 4 | 1 | 1 | N/A | N/A | 4 | N/A | 1
Redfield & Wilton Strategies | N/A | 2023-07-09 | 2023-07-09 | N | 2000 | N/A | 1 | 48 | 27 | 11 | 4 | N/A | N/A | N/A | N/A | 5 | N/A | 1
Savanta | N/A | 2023-07-07 | 2023-07-09 | N | 2242 | N/A | 1 | 45 | 30 | 10 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 4
Survation | N/A | 2023-07-07 | 2023-07-09 | N | 838 | N/A | 1 | 46 | 28 | 12 | 3 | N/A | N/A | N/A | N/A | 4 | N/A | 5
Omnisis | N/A | 2023-07-06 | 2023-07-07 | N | 1312 | N/A | 1 | 51 | 25 | 8 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | N/A
Opinium | The Observer | 2023-07-05 | 2023-07-07 | N | 1473 | N/A | 1 | 43 | 28 | 9 | 3 | N/A | N/A | N/A | N/A | 8 | N/A | 2
YouGov | The Times | 2023-07-05 | 2023-07-06 | N | 2062 | N/A | 1 | 47 | 22 | 9 | 3 | N/A | N/A | N/A | N/A | 9 | N/A | 2
Techne UK | N/A | 2023-07-05 | 2023-07-06 | N | 1632 | N/A | 1 | 47 | 26 | 10 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 3
Deltapoll | N/A | 2023-07-03 | 2023-07-03 | N | 1507 | N/A | 1 | 48 | 25 | 10 | 4 | N/A | N/A | N/A | N/A | 5 | N/A | 3
Savanta | N/A | 2023-07-02 | 2023-07-02 | N | 2216 | N/A | 1 | 46 | 28 | 11 | 3 | N/A | N/A | N/A | N/A | 4 | N/A | 4
Redfield & Wilton Strategies | N/A | 2023-07-02 | 2023-07-02 | N | 2000 | N/A | 1 | 46 | 28 | 11 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 2
Survation | N/A | 2023-07-02 | 2023-07-02 | N | 1013 | N/A | 1 | 45 | 30 | 11 | 3 | 0 | 1 | N/A | N/A | 3 | N/A | 5
Omnisis | N/A | 2023-06-29 | 2023-06-30 | N | 1351 | N/A | 1 | 48 | 26 | 8 | 4 | N/A | N/A | N/A | N/A | 7 | N/A | N/A
Techne UK | N/A | 2023-06-28 | 2023-06-29 | N | 1631 | N/A | 1 | 46 | 27 | 11 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 2
BMG Research | The i | 2023-06-27 | 2023-06-29 | N | 1500 | N/A | 1 | 43 | 29 | 11 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 1
YouGov | The Times | 2023-06-27 | 2023-06-28 | N | 2047 | N/A | 1 | 46 | 24 | 10 | 3 | 1 | N/A | N/A | N/A | 8 | N/A | 2
Survation | N/A | 2023-06-23 | 2023-06-26 | N | 2054 | N/A | 1 | 45 | 28 | 11 | 3 | 0 | 1 | N/A | N/A | 4 | N/A | 3
Deltapoll | N/A | 2023-06-23 | 2023-06-26 | N | 1089 | N/A | 1 | 47 | 24 | 12 | 4 | N/A | N/A | N/A | N/A | 7 | N/A | 1
Redfield & Wilton Strategies | N/A | 2023-06-25 | 2023-06-25 | N | 2000 | N/A | 1 | 44 | 26 | 13 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 3
Savanta | N/A | 2023-06-23 | 2023-06-25 | N | 2322 | N/A | 1 | 43 | 31 | 10 | 4 | N/A | N/A | N/A | N/A | 5 | N/A | 4
Omnisis | N/A | 2023-06-22 | 2023-06-23 | N | 1336 | N/A | 1 | 47 | 27 | 9 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | N/A
Opinium | The Observer | 2023-06-21 | 2023-06-23 | N | 2063 | N/A | 1 | 44 | 26 | 8 | 2 | N/A | N/A | N/A | N/A | 10 | N/A | 2
Techne UK | N/A | 2023-06-21 | 2023-06-22 | N | 1629 | N/A | 1 | 45 | 29 | 10 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 3
YouGov | The Times | 2023-06-20 | 2023-06-21 | N | 2294 | N/A | 1 | 47 | 22 | 11 | 3 | 1 | N/A | N/A | N/A | 7 | N/A | 2
Ipsos MORI | Evening Standard | 2023-06-14 | 2023-06-20 | N | 1003 | N/A | 1 | 47 | 25 | 13 | 4 | N/A | N/A | N/A | N/A | 2 | N/A | 4
Deltapoll | N/A | 2023-06-16 | 2023-06-19 | N | 1554 | N/A | 1 | 46 | 27 | 10 | 4 | N/A | N/A | N/A | N/A | 5 | N/A | 1
More in Common | N/A | 2023-06-15 | 2023-06-19 | N | 1570 | N/A | 1 | 46 | 27 | 10 | 4 | N/A | N/A | N/A | N/A | 6 | N/A | 1
Survation | N/A | 2023-06-15 | 2023-06-19 | N | 1007 | N/A | 1 | 47 | 29 | 11 | 3 | N/A | N/A | N/A | N/A | 3 | N/A | 4
Redfield & Wilton Strategies | N/A | 2023-06-18 | 2023-06-18 | N | 2000 | N/A | 1 | 46 | 26 | 12 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | 1
Savanta | N/A | 2023-06-16 | 2023-06-18 | N | 2196 | N/A | 1 | 46 | 28 | 11 | 3 | N/A | N/A | N/A | N/A | 4 | N/A | 5
YouGov | The Times | 2023-06-15 | 2023-06-16 | N | 2072 | N/A | 1 | 43 | 24 | 11 | 4 | 1 | N/A | N/A | N/A | 7 | N/A | 2
Omnisis | N/A | 2023-06-15 | 2023-06-16 | N | 1306 | N/A | 1 | 48 | 26 | 10 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | N/A
Techne UK | N/A | 2023-06-14 | 2023-06-15 | N | 1625 | N/A | 1 | 44 | 28 | 11 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 3
Deltapoll | N/A | 2023-06-09 | 2023-06-12 | N | 1084 | N/A | 1 | 42 | 31 | 12 | 4 | 0 | N/A | N/A | N/A | 4 | N/A | 2
Redfield & Wilton Strategies | N/A | 2023-06-11 | 2023-06-11 | N | 2000 | N/A | 1 | 44 | 30 | 13 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 1
Savanta | N/A | 2023-06-09 | 2023-06-11 | N | 2030 | N/A | 1 | 45 | 28 | 9 | 4 | N/A | N/A | N/A | N/A | 6 | N/A | 4
YouGov | Times Radio | 2023-06-02 | 2023-06-11 | N | 9903 | N/A | 1 | 44 | 26 | 10 | 4 | 1 | N/A | N/A | N/A | 7 | N/A | 2
Omnisis | N/A | 2023-06-08 | 2023-06-09 | N | 1296 | N/A | 1 | 47 | 27 | 10 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | N/A
Opinium | The Observer | 2023-06-07 | 2023-06-09 | N | 1561 | N/A | 1 | 41 | 29 | 11 | 3 | N/A | 2 | N/A | N/A | 6 | N/A | 0
Techne UK | N/A | 2023-06-07 | 2023-06-08 | N | 1632 | N/A | 1 | 42 | 29 | 12 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 3
YouGov | The Times | 2023-06-06 | 2023-06-07 | N | 2071 | N/A | 1 | 42 | 26 | 11 | 4 | 1 | N/A | N/A | N/A | 7 | N/A | 2
Deltapoll | N/A | 2023-06-02 | 2023-06-05 | N | 1525 | N/A | 1 | 43 | 29 | 13 | 3 | N/A | 2 | N/A | N/A | 5 | N/A | 1
Redfield & Wilton Strategies | N/A | 2023-06-04 | 2023-06-04 | N | 2000 | N/A | 1 | 44 | 30 | 12 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 1
Savanta | N/A | 2023-06-02 | 2023-06-04 | N | 2109 | N/A | 1 | 44 | 30 | 11 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 3
Omnisis | N/A | 2023-06-01 | 2023-06-02 | N | 1351 | N/A | 1 | 46 | 25 | 10 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 3
Techne UK | N/A | 2023-06-01 | 2023-06-01 | N | 1630 | N/A | 1 | 43 | 29 | 12 | 3 | N/A | N/A | N/A | N/A | 4 | N/A | 3
YouGov | The Times | 2023-05-30 | 2023-05-31 | N | 2000 | N/A | 1 | 44 | 25 | 11 | 3 | 1 | N/A | N/A | N/A | 6 | N/A | 2
BMG Research | The i | 2023-05-30 | 2023-05-31 | N | 1529 | N/A | 1 | 44 | 27 | 10 | 4 | N/A | N/A | N/A | N/A | 7 | N/A | 2
Redfield & Wilton Strategies | N/A | 2023-05-28 | 2023-05-28 | N | 2000 | N/A | 1 | 43 | 28 | 12 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 3
Savanta | N/A | 2023-05-26 | 2023-05-28 | N | 2223 | N/A | 1 | 44 | 31 | 9 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 5
YouGov | The Times | 2023-05-25 | 2023-05-26 | N | 2072 | N/A | 1 | 43 | 25 | 11 | 4 | 1 | N/A | N/A | N/A | 7 | N/A | 2
Omnisis | N/A | 2023-05-25 | 2023-05-26 | N | 1361 | N/A | 1 | 47 | 28 | 10 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | N/A
Opinium | The Observer | 2023-05-23 | 2023-05-26 | N | 2062 | N/A | 1 | 43 | 28 | 9 | 3 | 1 | N/A | N/A | N/A | 6 | N/A | 3
Techne UK | N/A | 2023-05-24 | 2023-05-25 | N | 1625 | N/A | 1 | 44 | 30 | 11 | 3 | N/A | N/A | N/A | N/A | 4 | N/A | 3
Deltapoll | N/A | 2023-05-19 | 2023-05-22 | N | 1575 | N/A | 1 | 47 | 30 | 9 | 4 | N/A | 1 | N/A | N/A | 4 | N/A | 0
Kantar | N/A | 2023-05-18 | 2023-05-22 | N | 1143 | N/A | 1 | 42 | 29 | 11 | 4 | N/A | 1 | N/A | N/A | 5 | N/A | 4
Redfield & Wilton Strategies | N/A | 2023-05-21 | 2023-05-21 | N | 2000 | N/A | 1 | 42 | 30 | 13 | 4 | N/A | N/A | N/A | N/A | 5 | N/A | 2
Savanta | N/A | 2023-05-19 | 2023-05-21 | N | 2043 | N/A | 1 | 46 | 30 | 9 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 4
YouGov | The Times | 2023-05-17 | 2023-05-18 | N | 2006 | N/A | 1 | 43 | 25 | 12 | 3 | 1 | N/A | N/A | N/A | 6 | N/A | 2
Techne UK | N/A | 2023-05-17 | 2023-05-18 | N | 1633 | N/A | 1 | 45 | 29 | 10 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 3
Omnisis | N/A | 2023-05-17 | 2023-05-18 | N | 1389 | N/A | 1 | 47 | 25 | 10 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | N/A
Ipsos MORI | Evening Standard | 2023-05-10 | 2023-05-16 | N | 1006 | N/A | 1 | 44 | 28 | 13 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 4
More in Common | N/A | 2023-05-12 | 2023-05-15 | N | 2017 | N/A | 1 | 42 | 31 | 13 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 2
Deltapoll | N/A | 2023-05-12 | 2023-05-15 | N | 1511 | N/A | 1 | 45 | 29 | 12 | 3 | N/A | 2 | N/A | N/A | 5 | N/A | 1
Redfield & Wilton Strategies | N/A | 2023-05-14 | 2023-05-14 | N | 1511 | N/A | 1 | 42 | 28 | 11 | 4 | N/A | N/A | N/A | N/A | 8 | N/A | 2
Savanta | N/A | 2023-05-12 | 2023-05-14 | N | 2214 | N/A | 1 | 46 | 29 | 9 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 4
Omnisis | N/A | 2023-05-11 | 2023-05-12 | N | 1355 | N/A | 1 | 51 | 24 | 10 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | N/A
Opinium | The Observer | 2023-05-10 | 2023-05-12 | N | 2050 | N/A | 1 | 43 | 29 | 11 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 3
Techne UK | N/A | 2023-05-10 | 2023-05-11 | N | 1625 | N/A | 1 | 45 | 28 | 11 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 3
YouGov | The Times | 2023-05-09 | 2023-05-10 | N | 2001 | N/A | 1 | 43 | 25 | 11 | 3 | 1 | N/A | N/A | N/A | 7 | N/A | 1
Deltapoll | N/A | 2023-05-05 | 2023-05-09 | N | 1550 | N/A | 1 | 47 | 28 | 9 | 3 | 1 | 1 | N/A | N/A | 5 | N/A | 1
Redfield & Wilton Strategies | N/A | 2023-05-07 | 2023-05-07 | N | 2000 | N/A | 1 | 41 | 29 | 16 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 1
Savanta | N/A | 2023-05-05 | 2023-05-07 | N | 2168 | N/A | 1 | 46 | 30 | 9 | 4 | N/A | N/A | N/A | N/A | 5 | N/A | 4
Omnisis | N/A | 2023-05-04 | 2023-05-05 | N | 1561 | N/A | 1 | 48 | 27 | 7 | 4 | N/A | N/A | N/A | N/A | 6 | N/A | N/A
YouGov | The Times | 2023-05-03 | 2023-05-04 | N | 2012 | N/A | 1 | 43 | 26 | 10 | 4 | N/A | N/A | N/A | N/A | 6 | N/A | 3
BMG Research | The i | 2023-05-03 | 2023-05-04 | N | 1534 | N/A | 1 | 43 | 29 | 11 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 3
Techne UK | N/A | 2023-05-02 | 2023-05-03 | N | 1561 | N/A | 1 | 44 | 29 | 11 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 3
Deltapoll | N/A | 2023-05-02 | 2023-05-02 | N | 1561 | N/A | 1 | 44 | 29 | 11 | 4 | 1 | 2 | N/A | N/A | 4 | N/A | 1
Redfield & Wilton Strategies | N/A | 2023-04-30 | 2023-04-30 | N | 2000 | N/A | 1 | 45 | 28 | 12 | 2 | N/A | N/A | N/A | N/A | 7 | N/A | 1
Savanta | N/A | 2023-04-28 | 2023-04-30 | N | 2241 | N/A | 1 | 44 | 31 | 9 | 4 | N/A | N/A | N/A | N/A | 5 | N/A | 4
Omnisis | N/A | 2023-04-27 | 2023-04-28 | N | 1352 | N/A | 1 | 45 | 28 | 10 | 4 | N/A | N/A | N/A | N/A | 6 | N/A | N/A
Opinium | The Observer | 2023-04-26 | 2023-04-28 | N | 1425 | N/A | 1 | 44 | 26 | 10 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | 2
Survation | N/A | 2023-04-24 | 2023-04-28 | N | N/A | N/A | 1 | 45 | 28 | 12 | 3 | N/A | N/A | N/A | N/A | 3 | N/A | 6
YouGov | The Times | 2023-04-26 | 2023-04-27 | N | 2111 | N/A | 1 | 41 | 27 | 11 | 4 | N/A | N/A | N/A | N/A | 7 | N/A | 3
Techne UK | N/A | 2023-04-26 | 2023-04-27 | N | 1627 | N/A | 1 | 44 | 30 | 9 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 3
Omnisis | N/A | 2023-04-26 | 2023-04-27 | N | 1352 | N/A | 1 | 45 | 28 | 10 | 4 | 0 | N/A | N/A | N/A | 6 | N/A | 2
Deltapoll | N/A | 2023-04-24 | 2023-04-26 | N | 1576 | N/A | 1 | 43 | 30 | 9 | 4 | 1 | 2 | N/A | N/A | 5 | N/A | 1
Redfield & Wilton Strategies | N/A | 2023-04-23 | 2023-04-23 | N | 2000 | N/A | 1 | 44 | 29 | 11 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 1
Savanta | N/A | 2023-04-21 | 2023-04-23 | N | 2156 | N/A | 1 | 42 | 31 | 9 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | 5
Omnisis | N/A | 2023-04-20 | 2023-04-21 | N | 1318 | N/A | 1 | 47 | 27 | 7 | 4 | N/A | N/A | N/A | N/A | 7 | N/A | N/A
Techne UK | N/A | 2023-04-20 | 2023-04-20 | N | 1626 | N/A | 1 | 44 | 31 | 10 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 3
Omnisis | N/A | 2023-04-19 | 2023-04-20 | N | 1318 | N/A | 1 | 47 | 27 | 7 | 4 | 1 | N/A | N/A | N/A | 7 | N/A | 2
YouGov | The Times | 2023-04-18 | 2023-04-19 | N | 2010 | N/A | 1 | 43 | 28 | 10 | 2 | N/A | N/A | N/A | N/A | 7 | N/A | 3
