Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | DISY | AKEL | DIKO | ELAM | EDEK | SYPOL | KOSP | KA | DIPA | AG | Other
IMR/UNic | CyBC | 2021-05-05 | 2021-05-15 | N | 1403 | 79.5 | 0.1 | 26.4 | 23.9 | 11.9 | 6.9 | N/A | N/A | 6.9 | 1.9 | 3.8 | 3.1 | 8.3
Prime Consulting | Sigma TV | 2021-05-10 | 2021-05-14 | N | 1273 | 64.3 | 0.1 | 25.8 | 23.5 | 13.2 | 6.8 | N/A | N/A | 5.4 | 1.6 | 3.6 | 3.6 | 10.3
Noverna | Politis | 2021-05-05 | 2021-05-13 | N | 750 | N/A | 0.1 | 26.1 | 24.8 | 10.7 | 8.5 | N/A | N/A | 7.0 | 1.4 | 4.3 | 4.4 | 7.0
Prime Consulting | Cyprus Times | 2021-05-06 | 2021-05-12 | N | 1000 | N/A | 0.1 | 25.6 | 23.5 | 12.9 | 6.7 | N/A | N/A | 6.2 | 2.4 | 3.8 | 3.3 | 9.9
CYMAR | ANT1 | 2021-05-04 | 2021-05-12 | N | 1130 | N/A | 0.1 | 26.9 | 22.9 | 14.3 | 6.2 | N/A | N/A | 7.1 | 1.7 | 2.7 | 3.5 | 8.7
Pulse | Alpha TV | 2021-05-04 | 2021-05-07 | N | 1200 | N/A | 0.1 | 25.7 | 22.9 | 12.1 | 7.1 | N/A | N/A | 7.1 | 2.9 | 3.6 | 3.6 | 9.3
Noverna | Politis | 2021-04-07 | 2021-04-23 | N | 750 | N/A | 0.1 | 28.4 | 26.9 | 12.9 | 6.5 | N/A | N/A | 6.5 | 0.9 | 3.1 | 3.4 | 5.3
Cypronetwork | Omega TV | 2021-04-13 | 2021-04-17 | N | 1012 | N/A | 0.1 | 25.8 | 22.7 | 14.0 | 6.2 | N/A | N/A | 7.6 | 2.9 | 2.5 | 6.5 | 5.0
Prime Consulting | Sigma TV | 2021-04-12 | 2021-04-16 | N | 1050 | N/A | 0.1 | 26.3 | 24.0 | 13.3 | 6.6 | N/A | N/A | 6.1 | 1.8 | 3.4 | 4.6 | 7.8
IMR/UNic | CyBC | 2021-03-31 | 2021-04-16 | N | 1400 | N/A | 0.1 | 27.2 | 24.5 | 13.6 | 6.1 | N/A | N/A | 6.8 | 1.4 | 4.1 | 5.4 | 4.1
Symmetron | Η Καθημερινή | 2021-04-02 | 2021-04-09 | N | 800 | N/A | 0.1 | 26.4 | 23.9 | 14.5 | 5.8 | N/A | N/A | 7.4 | 1.5 | 4.1 | 5.8 | 4.8
CYMAR | ANT1 | 2021-03-26 | 2021-04-09 | N | 1002 | N/A | 0.1 | 28.1 | 24.6 | 12.0 | 8.5 | N/A | N/A | 6.5 | 0.7 | 2.6 | 5.4 | 6.8
Conread | CyprusNews | 2021-03-09 | 2021-04-04 | N | 828 | N/A | 0.1 | 26.9 | 22.1 | 14.1 | 6.2 | N/A | N/A | 6.1 | 0.6 | 2.2 | 8.3 | 7.4
Cypronetwork | Ὁ Φιλελεύθερος | 2021-03-21 | 2021-03-30 | N | 1000 | N/A | 0.1 | 26.2 | 22.5 | 13.1 | 7.4 | N/A | N/A | 6.6 | 2.6 | 3.9 | 6.7 | 5.0
IMR/UNic | CyBC | 2021-03-08 | 2021-03-20 | N | 1416 | N/A | 0.1 | 26.0 | 23.3 | 14.4 | 6.2 | N/A | N/A | 8.2 | 2.1 | 4.1 | 6.8 | 3.4
Pulse | Alpha TV | 2021-03-08 | 2021-03-18 | N | 1000 | N/A | 0.1 | 25.8 | 21.2 | 13.6 | 4.5 | N/A | N/A | 9.1 | 1.5 | 3.0 | 4.5 | 10.7
Prime Consulting | Sigma TV | 2021-03-08 | 2021-03-12 | N | 1050 | N/A | 0.1 | 23.9 | 21.3 | 11.9 | 5.8 | N/A | N/A | 6.1 | 1.9 | 3.0 | 1.9 | 10.4
GPO | Χαραυγή | 2021-02-25 | 2021-03-02 | N | 800 | N/A | 0.1 | 27.7 | 25.9 | 13.6 | 9.1 | N/A | N/A | 8.3 | 1.6 | 3.3 | 3.3 | 2.6
Symmetron | Η Καθημερινή | 2021-02-12 | 2021-02-19 | N | 800 | N/A | 0.1 | 26.9 | 22.0 | 14.2 | 5.7 | N/A | N/A | 7.7 | 2.0 | 3.9 | 3.0 | 2.6
Prime Consulting | Sigma TV | 2021-02-01 | 2021-02-06 | N | 1100 | N/A | 0.1 | 28.4 | 24.5 | 13.5 | 6.7 | N/A | N/A | 7.0 | 0.9 | 2.8 | 3.3 | 7.5
Interview | Politis | 2021-01-20 | 2021-01-25 | N | 705 | N/A | 0.1 | 30.0 | 20.5 | 12.0 | 4.8 | N/A | N/A | 4.0 | 4.8 | 4.3 | N/A | 14.8
Prime Consulting | Sigma TV | 2020-10-16 | 2020-10-23 | N | 1050 | N/A | 0.1 | 30.5 | 26.1 | 13.2 | 6.2 | 6.2 | N/A | 6.0 | 1.8 | 2.5 | N/A | 7.5
Symmetron | N/A | 2020-06-19 | 2020-06-25 | N | 600 | N/A | 0.1 | 38.9 | 25.5 | 14.6 | 4.7 | 5.0 | 1.3 | 4.7 | 1.6 | 3.6 | N/A | N/A
RetailZoom | Politis | 2020-05-13 | 2020-05-14 | N | 2155 | N/A | 0.1 | 42.2 | 29.5 | 5.2 | 5.0 | 1.3 | 1.3 | 5.1 | 2.6 | 7.6 | N/A | N/A
IMR | University of Nicosia | 2019-05-13 | 2019-05-17 | E | 1000 | N/A | 1 | 35 | 25 | 14 | 8 | 8 | N/A | 5 | N/A | N/A | N/A | N/A
Symmetron | N/A | 2019-05-10 | 2019-05-17 | E | 924 | N/A | 1 | 30 | 25 | 15 | 9 | 8 | N/A | 6 | N/A | N/A | N/A | N/A
Cypronetwork | N/A | 2019-05-02 | 2019-05-14 | E | 1400 | N/A | 1 | 32 | 28 | 15 | 8 | 8 | N/A | 6 | N/A | N/A | N/A | N/A
Pulse Market Research | N/A | 2019-05-09 | 2019-05-13 | E | 1001 | N/A | 1 | 31 | 26 | 13 | 9 | 8 | N/A | 6 | N/A | N/A | N/A | N/A
Noverna | N/A | 2019-05-04 | 2019-05-13 | E | 800 | N/A | 1 | 33 | 29 | 13 | 8 | 7 | N/A | 4 | N/A | N/A | N/A | N/A
Cymar | N/A | 2019-05-02 | 2019-05-12 | E | 1002 | N/A | 1 | 32 | 27 | 15 | 8 | 5 | N/A | 3 | N/A | N/A | N/A | N/A
Prime Consulting | N/A | 2019-05-06 | 2019-05-10 | E | 1130 | N/A | 1 | 30 | 25 | 14 | 9 | 8 | N/A | 6 | N/A | N/A | N/A | N/A
Cymar | N/A | 2019-04-09 | 2019-04-17 | E | 1002 | N/A | 1 | 30 | 26 | 16 | 9 | 7 | N/A | 4 | N/A | N/A | N/A | N/A
Cypronetwork | N/A | 2019-04-04 | 2019-04-14 | E | 1402 | N/A | 1 | 34 | 26 | 17 | 7 | 7 | N/A | 6 | N/A | N/A | N/A | N/A
Prime Consulting | N/A | 2019-04-05 | 2019-04-12 | E | 836 | N/A | 1 | 32 | 26 | 15 | 9 | 8 | N/A | 4 | N/A | N/A | N/A | N/A
Symmetron | N/A | 2019-04-05 | 2019-04-12 | E | 822 | N/A | 1 | 33 | 25 | 15 | 9 | 7 | N/A | 5 | N/A | N/A | N/A | N/A
IMR | University of Nicosia | 2019-03-18 | 2019-04-04 | E | 1200 | N/A | 1 | 36 | 25 | 14 | 9 | 7 | N/A | 3 | N/A | N/A | N/A | N/A
Prime Consulting | N/A | 2019-03-08 | 2019-03-15 | E | 900 | N/A | 1 | 33 | 26 | 15 | 8 | 8 | N/A | 4 | N/A | N/A | N/A | N/A
Pulse Market Research | N/A | 2019-01-16 | 2019-01-29 | E | 807 | N/A | 1 | 37 | 26 | 13 | 11 | 6 | N/A | 2 | N/A | N/A | N/A | N/A
Symmetron | N/A | 2018-09-24 | 2018-10-03 | N | 800 | N/A | 1 | 33 | 23 | 15 | 6 | 5 | 2 | 6 | 3 | N/A | N/A | N/A
Symmetron | N/A | 2018-01-11 | 2018-01-16 | N | 1000 | N/A | 1 | 40 | 25 | 16 | 7 | 5 | 3 | 2 | 2 | N/A | N/A | N/A
