Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | LVŽS | TS-LKD | LSDP | LRLS | TT | LLRA-KŠS | DP | TTS | LŽP | LS | LRP | LP | LT | DSVL | NS | JL | KS | Other
Spinter tyrimai | Delfi | 2023-10-17 | 2023-10-28 | N | 1011 | N/A | 0.1 | 10.0 | 16.3 | 24.0 | 11.4 | N/A | 5.2 | N/A | N/A | N/A | N/A | 3.2 | 5.4 | 3.4 | 8.5 | N/A | N/A | N/A | N/A
Vilmorus | N/A | 2023-10-12 | 2023-10-21 | N | 1003 | 61.8 | 0.1 | 11.8 | 15.0 | 29.1 | 7.6 | N/A | 2.6 | 4.7 | 4.4 | N/A | N/A | 3.9 | 3.9 | 3.4 | 12.1 | 1.5 | N/A | N/A | 0.0
Spinter tyrimai | Delfi | 2023-09-18 | 2023-09-26 | N | 1013 | N/A | 0.1 | 9.4 | 15.3 | 22.8 | 12.6 | N/A | 3.5 | 4.7 | N/A | N/A | N/A | N/A | 5.7 | 5.0 | 8.9 | N/A | N/A | N/A | N/A
Vilmorus | N/A | 2023-09-14 | 2023-09-23 | N | 1003 | 58.8 | 0.1 | 12.4 | 19.2 | 32.0 | 7.5 | N/A | 1.7 | 4.6 | 2.9 | N/A | N/A | 3.9 | 3.7 | 4.1 | 9.4 | N/A | N/A | N/A | 1.2
Baltijos tyrimai | LRT | 2023-08-24 | 2023-09-05 | N | 1016 | N/A | 0.1 | 12.8 | 12.5 | 21.8 | 9.5 | N/A | 2.9 | 7.5 | 1.2 | N/A | N/A | 3.5 | 3.9 | 5.0 | 18.9 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2023-07-20 | 2023-07-29 | N | 1009 | 67.7 | 0.1 | 12.1 | 17.4 | 19.6 | 10.8 | N/A | 3.4 | 3.8 | N/A | N/A | N/A | N/A | 4.3 | 4.0 | 12.4 | N/A | N/A | N/A | 12.1
Vilmorus | N/A | 2023-07-17 | 2023-07-19 | N | 1003 | 61.5 | 0.1 | 12.7 | 16.1 | 31.1 | 7.0 | N/A | 1.6 | 5.2 | 2.1 | N/A | N/A | 3.9 | 4.4 | 2.6 | 12.4 | N/A | N/A | N/A | 1.0
Baltijos tyrimai | LRT | 2023-06-14 | 2023-06-29 | N | 1020 | 78.2 | 0.1 | 11.5 | 11.9 | 23.3 | 9.1 | N/A | 4.2 | 7.8 | 2.8 | N/A | N/A | 3.6 | 3.6 | 2.9 | 18.7 | N/A | N/A | N/A | 0.6
Spinter tyrimai | Delfi | 2023-06-19 | 2023-06-28 | N | 1012 | 68.4 | 0.1 | 9.8 | 12.9 | 18.4 | 11.5 | N/A | 3.2 | 4.1 | N/A | N/A | N/A | N/A | 7.0 | 5.8 | 11.4 | N/A | N/A | N/A | 15.8
Baltijos tyrimai | LRT | 2023-05-12 | 2023-05-29 | N | 1009 | N/A | 0.1 | 13.0 | 11.2 | 23.2 | 9.5 | N/A | 4.3 | 6.2 | 0.9 | N/A | N/A | 2.7 | 4.1 | 5.0 | 19.1 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2023-05-19 | 2023-05-26 | N | 1009 | 69.9 | 0.1 | 12.6 | 13.2 | 20.7 | 9.7 | N/A | 3.4 | 5.4 | N/A | N/A | N/A | N/A | 5.6 | 5.2 | 9.4 | N/A | N/A | N/A | 14.7
Vilmorus | N/A | 2023-05-17 | 2023-05-21 | N | 1000 | N/A | 0.1 | 15.4 | 13.0 | 29.8 | 7.0 | N/A | 1.6 | 6.2 | 1.4 | N/A | N/A | 2.6 | 3.9 | 4.4 | 13.5 | N/A | N/A | N/A | N/A
Baltijos tyrimai | LRT | 2023-04-20 | 2023-05-05 | N | 1026 | N/A | 0.1 | 9.7 | 13.4 | 25.8 | 9.7 | N/A | 3.4 | 9.1 | 1.9 | N/A | N/A | 2.3 | 3.5 | 3.2 | 17.2 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2023-04-18 | 2023-04-27 | N | 1014 | 72.1 | 0.1 | 13.7 | 16.6 | 23.6 | 9.8 | N/A | N/A | 2.8 | N/A | N/A | N/A | N/A | 3.9 | 3.9 | 10.1 | N/A | N/A | N/A | 15.5
Vilmorus | N/A | 2023-04-14 | 2023-04-22 | N | 1000 | N/A | 0.1 | 13.1 | 15.6 | 28.8 | 8.0 | N/A | 2.3 | 3.9 | 2.6 | N/A | N/A | 3.6 | 4.1 | 3.3 | 12.9 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2023-03-17 | 2023-03-27 | N | 1016 | 71.2 | 0.1 | 12.1 | 16.6 | 18.1 | 9.6 | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A | 5.9 | 6.2 | 11.5 | N/A | N/A | N/A | 17.0
Vilmorus | N/A | 2023-03-09 | 2023-03-18 | N | 1000 | N/A | 0.1 | 14.0 | 15.1 | 28.2 | 7.1 | N/A | 2.0 | 4.3 | 3.2 | N/A | N/A | 2.8 | 3.9 | 4.2 | 13.4 | N/A | N/A | N/A | N/A
Baltijos tyrimai | LRT | 2023-02-15 | 2023-02-28 | N | 1003 | N/A | 0.1 | 10.0 | 14.2 | 18.3 | 7.4 | N/A | 4.8 | 8.9 | 2.3 | N/A | N/A | 3.6 | 3.4 | 4.7 | 18.3 | 0.6 | 0.9 | 0.5 | N/A
Spinter tyrimai | Delfi | 2023-02-18 | 2023-02-27 | N | 1012 | N/A | 0.1 | 12.3 | 16.7 | 17.2 | 7.8 | N/A | N/A | 5.5 | N/A | N/A | N/A | N/A | 5.8 | 3.9 | 13.9 | N/A | N/A | N/A | N/A
Vilmorus | N/A | 2023-02-09 | 2023-02-18 | N | 1000 | N/A | 0.1 | 14.9 | 16.1 | 24.4 | 5.3 | N/A | 1.7 | 5.1 | 2.4 | N/A | N/A | 3.5 | 5.1 | 3.8 | 16.2 | N/A | N/A | N/A | N/A
Baltijos tyrimai | LRT | 2023-01-19 | 2023-01-31 | N | 1023 | N/A | 0.1 | 9.7 | 15.7 | 19.4 | 7.1 | N/A | 2.8 | 7.9 | 1.4 | N/A | N/A | 2.8 | 3.6 | 3.7 | 19.8 | 0.1 | 2.0 | 0.5 | N/A
Spinter tyrimai | Delfi | 2023-01-18 | 2023-01-27 | N | 1010 | N/A | 0.1 | 13.1 | 16.4 | 17.6 | 8.9 | N/A | N/A | 4.6 | N/A | N/A | N/A | N/A | 6.8 | 3.0 | 17.3 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2022-12-15 | 2022-12-24 | N | 1010 | N/A | 0.1 | 8.8 | 19.8 | 17.8 | 8.6 | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | 4.5 | 3.9 | 14.5 | N/A | N/A | N/A | N/A
Vilmorus | N/A | 2022-12-08 | 2022-12-15 | N | 1000 | N/A | 0.1 | 12.7 | 16.7 | 25.0 | 9.3 | N/A | 1.8 | 6.0 | 1.9 | N/A | N/A | 2.7 | 3.6 | 3.4 | 15.3 | N/A | N/A | N/A | N/A
Baltijos tyrimai | LRT | 2022-11-17 | 2022-12-02 | N | 1026 | N/A | 0.1 | 11.3 | 12.2 | 16.2 | 9.5 | N/A | 3.0 | 7.3 | 2.1 | 2.4 | N/A | 2.6 | 3.8 | 8.6 | 18.9 | 0.3 | 1.2 | 0.6 | N/A
Spinter tyrimai | Delfi | 2022-11-18 | 2022-11-29 | N | 1013 | N/A | 0.1 | 12.5 | 18.8 | 16.9 | 8.3 | N/A | N/A | 3.6 | N/A | N/A | N/A | N/A | 4.1 | 5.0 | 12.1 | N/A | N/A | N/A | N/A
Vilmorus | N/A | 2022-11-10 | 2022-11-19 | N | 1000 | N/A | 0.1 | 10.5 | 17.1 | 24.3 | 8.1 | N/A | 2.9 | 5.6 | 1.2 | N/A | N/A | 3.4 | 2.5 | 9.5 | 13.1 | N/A | N/A | N/A | N/A
Baltijos tyrimai | N/A | 2022-10-26 | 2022-11-08 | N | 1026 | N/A | 0.1 | 12.4 | 15.7 | 17.7 | 7.5 | N/A | 2.6 | 8.0 | 2.2 | N/A | N/A | 3.2 | 3.7 | 8.0 | 16.1 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2022-10-18 | 2022-10-28 | N | 1011 | N/A | 0.1 | 10.4 | 21.5 | 17.8 | 8.8 | N/A | N/A | 3.6 | N/A | N/A | N/A | N/A | 5.4 | 8.0 | 11.2 | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2022-10-11 | 2022-10-16 | N | 1002 | N/A | 0.1 | 10.1 | 18.7 | 23.7 | 8.6 | N/A | 1.4 | 5.8 | 1.9 | N/A | N/A | 4.4 | 2.7 | 7.5 | 11.4 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2022-09-20 | 2022-09-30 | N | 1010 | N/A | 0.1 | 10.1 | 18.7 | 17.6 | 9.7 | N/A | N/A | 5.8 | N/A | N/A | N/A | N/A | 6.1 | 7.5 | 10.1 | N/A | N/A | N/A | N/A
Baltijos tyrimai | LRT | 2022-09-27 | 2022-09-27 | N | 1024 | N/A | 0.1 | 10.6 | 13.4 | 20.0 | 7.0 | N/A | 4.2 | 8.3 | 2.4 | 2.4 | N/A | 3.4 | 3.6 | 8.9 | 15.7 | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2022-09-15 | 2022-09-24 | N | 1000 | N/A | 0.1 | 11.7 | 18.9 | 22.4 | 6.4 | N/A | 1.9 | 5.9 | 2.8 | N/A | N/A | 5.4 | 2.9 | 8.6 | 12.3 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2022-08-25 | 2022-09-02 | N | 1006 | N/A | 0.1 | 10.8 | 19.1 | 12.7 | 9.8 | N/A | N/A | 3.6 | N/A | N/A | N/A | N/A | 7.8 | 6.4 | 14.5 | N/A | N/A | N/A | N/A
Baltijos tyrimai | LRT | 2022-08-01 | 2022-08-31 | N | N/A | N/A | 0.1 | 10.6 | 15.0 | 18.3 | 9.4 | N/A | 2.7 | 6.4 | 1.1 | 1.6 | N/A | 2.2 | 3.1 | 8.7 | 20.1 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2022-07-18 | 2022-07-28 | N | 1013 | N/A | 0.1 | 10.9 | 16.5 | 14.8 | 9.4 | N/A | N/A | 3.6 | N/A | N/A | N/A | N/A | 6.6 | 7.0 | 16.5 | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2022-07-12 | 2022-07-28 | N | 1021 | N/A | 0.1 | 7.4 | 15.8 | 20.0 | 9.9 | N/A | 3.3 | 6.5 | 1.8 | N/A | N/A | 2.2 | 2.5 | 12.7 | 16.9 | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2022-07-15 | 2022-07-23 | N | 1003 | N/A | 0.1 | 11.6 | 17.4 | 20.8 | 8.7 | N/A | 1.3 | 6.1 | 1.8 | N/A | N/A | 3.6 | 3.9 | 6.8 | 16.2 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2022-06-18 | 2022-06-28 | N | 1015 | N/A | 0.1 | 9.5 | 19.7 | 16.4 | 8.0 | N/A | N/A | 4.2 | N/A | N/A | N/A | N/A | 5.2 | 7.5 | 17.0 | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2022-06-09 | 2022-06-18 | N | 1003 | N/A | 0.1 | 11.5 | 18.1 | 22.5 | 7.6 | N/A | 1.1 | 4.7 | 2.2 | N/A | N/A | 4.3 | 4.2 | 8.1 | 14.7 | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2022-05-16 | 2022-05-28 | N | 1021 | N/A | 0.1 | 7.3 | 15.4 | 17.1 | 8.5 | N/A | 2.9 | 6.8 | 3.0 | N/A | N/A | 2.5 | 3.7 | 10.7 | 20.9 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2022-05-18 | 2022-05-27 | N | 1013 | N/A | 0.1 | 8.6 | 20.3 | 18.7 | 8.1 | N/A | N/A | 5.1 | N/A | N/A | N/A | N/A | 6.5 | 6.8 | 12.8 | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2022-05-12 | 2022-05-18 | N | 1001 | N/A | 0.1 | 9.1 | 19.9 | 25.8 | 8.7 | N/A | 1.6 | 6.1 | 2.5 | N/A | N/A | 2.5 | 4.3 | N/A | 19.1 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2022-04-20 | 2022-04-28 | N | 1007 | N/A | 0.1 | 10.2 | 20.1 | 13.9 | 9.3 | N/A | N/A | 6.1 | N/A | N/A | N/A | N/A | 6.5 | 6.4 | 14.8 | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2022-04-13 | 2022-04-27 | N | 1009 | N/A | 0.1 | 6.7 | 14.9 | 19.0 | 9.5 | N/A | 3.9 | 6.4 | 1.0 | 1.2 | N/A | 1.0 | 3.0 | 10.7 | 22.0 | N/A | N/A | N/A | N/A
Norstat | Delfi | 2022-04-15 | 2022-04-22 | N | 1000 | N/A | 0.1 | 11.8 | 23.4 | 16.6 | 7.1 | N/A | 2.5 | 4.5 | 2.0 | 0.9 | N/A | 1.3 | 6.5 | 5.5 | 12.4 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2022-03-17 | 2022-03-25 | N | 1007 | N/A | 0.1 | 9.7 | 19.3 | 15.1 | 8.9 | N/A | N/A | 6.2 | N/A | N/A | N/A | N/A | 5.5 | 6.9 | 15.8 | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2022-03-10 | 2022-03-24 | N | 1000 | N/A | 0.1 | 7.5 | 13.3 | 18.0 | 10.7 | N/A | 5.0 | 7.7 | 0.9 | N/A | N/A | 2.1 | 4.2 | 9.8 | 18.8 | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2022-03-10 | 2022-03-19 | N | 1005 | N/A | 0.1 | 10.7 | 19.0 | 23.0 | 8.2 | N/A | 1.3 | 6.9 | 3.5 | N/A | N/A | 4.0 | 2.3 | N/A | 19.8 | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2022-02-22 | 2022-03-03 | N | 1017 | N/A | 0.1 | 8.7 | 16.6 | 17.1 | 9.5 | N/A | 3.7 | 8.8 | 0.7 | N/A | N/A | 1.4 | 4.1 | 8.8 | 19.5 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2022-02-17 | 2022-02-25 | N | 1010 | N/A | 0.1 | 9.6 | 17.3 | 17.6 | 8.6 | N/A | N/A | 9.4 | N/A | N/A | N/A | N/A | 6.5 | 5.9 | 12.5 | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2022-02-03 | 2022-02-08 | N | 1005 | N/A | 0.1 | 12.1 | 15.4 | 27.0 | 7.8 | N/A | 1.6 | 8.7 | N/A | N/A | N/A | 3.6 | 3.3 | N/A | 17.8 | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2022-01-24 | 2022-02-04 | N | 1022 | N/A | 0.1 | 13.4 | 11.9 | 23.9 | 10.5 | N/A | 4.5 | 12.4 | 1.5 | N/A | N/A | 1.5 | 4.5 | 11.9 | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2022-01-17 | 2022-01-29 | N | 1010 | N/A | 0.1 | 11.2 | 16.9 | 14.8 | 9.6 | N/A | N/A | 8.7 | N/A | N/A | N/A | N/A | 7.9 | 5.8 | 11.9 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2021-12-13 | 2021-12-25 | N | 1012 | N/A | 0.1 | 10.6 | 17.0 | 17.0 | 11.3 | N/A | N/A | 6.6 | N/A | N/A | N/A | N/A | 7.4 | 5.7 | 11.3 | N/A | N/A | N/A | N/A
Norstat | Delfi | 2021-12-10 | 2021-12-18 | N | 1002 | N/A | 0.1 | 8.9 | 24.6 | 17.8 | 9.8 | N/A | 2.4 | 7.5 | 0.9 | 0.9 | N/A | N/A | 4.6 | 4.9 | 10.5 | 1.7 | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2021-12-10 | 2021-12-18 | N | 1000 | N/A | 0.1 | 13.7 | 17.5 | 32.0 | 10.9 | N/A | 1.2 | 9.9 | N/A | N/A | N/A | 5.5 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2021-11-16 | 2021-12-02 | N | 1009 | N/A | 0.1 | 14.7 | 15.5 | 23.8 | 12.1 | N/A | 3.9 | 8.8 | 2.6 | N/A | N/A | 1.6 | 4.4 | 10.8 | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2021-11-11 | 2021-11-28 | N | 1015 | N/A | 0.1 | 13.4 | 16.5 | 19.4 | 9.0 | N/A | N/A | 9.0 | N/A | N/A | N/A | 3.1 | 3.0 | 5.0 | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2021-11-18 | 2021-11-27 | N | 1000 | N/A | 0.1 | 17.6 | 19.3 | 27.3 | 9.4 | N/A | 3.2 | 8.7 | N/A | N/A | N/A | 4.5 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2021-10-15 | 2021-11-05 | N | 1009 | N/A | 0.1 | 14.1 | 14.1 | 26.7 | 10.9 | N/A | 4.3 | 10.3 | 2.3 | N/A | N/A | 2.0 | 3.1 | 10.4 | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2021-10-18 | 2021-10-28 | N | 1015 | N/A | 0.1 | 13.2 | 17.4 | 19.5 | 11.4 | N/A | N/A | 9.8 | N/A | N/A | N/A | N/A | 7.4 | 4.4 | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2021-10-15 | 2021-10-22 | N | 1000 | N/A | 0.1 | 16.2 | 16.7 | 28.9 | 10.8 | N/A | 2.2 | 9.8 | N/A | N/A | N/A | 5.2 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2021-09-17 | 2021-10-03 | N | 1006 | N/A | 0.1 | 15.1 | 15.5 | 25.7 | 11.2 | N/A | 3.4 | 7.8 | 2.7 | N/A | N/A | 2.7 | 4.1 | 10.2 | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2021-09-17 | 2021-09-26 | N | 1009 | N/A | 0.1 | 13.8 | 18.6 | 21.2 | 12.2 | N/A | N/A | 8.0 | N/A | N/A | N/A | 3.1 | 8.0 | N/A | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2021-09-09 | 2021-09-16 | N | 1003 | 97.5 | 0.1 | 17.4 | 21.6 | 29.6 | 10.1 | N/A | 2.0 | 9.4 | N/A | N/A | N/A | 2.5 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2021-08-24 | 2021-08-31 | N | 1014 | N/A | 0.1 | 17.4 | 19.0 | 18.7 | 11.0 | N/A | N/A | 8.3 | N/A | N/A | N/A | 4.5 | 8.3 | N/A | N/A | N/A | N/A | N/A | 12.9
Baltijos tyrimai | ELTA | 2021-08-20 | 2021-08-31 | N | 1006 | N/A | 0.1 | 17.3 | 15.7 | 25.9 | 9.1 | N/A | 5.5 | 7.4 | N/A | N/A | N/A | 2.5 | 5.0 | 8.6 | N/A | N/A | N/A | N/A | 3.1
Vilmorus | Lietuvos rytas | 2021-07-29 | 2021-08-05 | N | 1000 | 98.6 | 0.1 | 23.2 | 19.5 | 23.7 | 8.2 | N/A | 2.7 | 8.8 | N/A | N/A | N/A | 4.0 | 4.5 | N/A | N/A | N/A | N/A | N/A | 5.4
Spinter tyrimai | Delfi | 2021-06-17 | 2021-06-28 | N | 1003 | N/A | 0.1 | 22.9 | 20.9 | 15.3 | 11.0 | N/A | 2.8 | 6.3 | N/A | N/A | N/A | N/A | 8.5 | N/A | N/A | N/A | N/A | N/A | 12.4
Vilmorus | Lietuvos rytas | 2021-06-09 | 2021-06-18 | N | 1000 | 98.4 | 0.1 | 25.9 | 20.2 | 22.8 | 10.3 | N/A | 1.4 | 8.9 | N/A | N/A | N/A | 3.4 | 5.0 | N/A | N/A | N/A | N/A | N/A | 2.2
Baltijos tyrimai | ELTA | 2021-05-20 | 2021-06-02 | N | 1018 | N/A | 0.1 | 22.0 | 17.3 | 20.1 | 13.0 | N/A | 5.0 | 11.9 | N/A | N/A | N/A | N/A | 5.4 | 5.1 | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2021-05-18 | 2021-05-28 | N | 1011 | N/A | 0.1 | 22.0 | 23.0 | 10.9 | 12.6 | N/A | 2.7 | 7.6 | N/A | N/A | N/A | N/A | 8.6 | N/A | N/A | N/A | N/A | N/A | 10.2
Vilmorus | Lietuvos rytas | 2021-05-11 | 2021-05-21 | N | 1004 | 97.4 | 0.1 | 26.8 | 24.5 | 16.9 | 10.2 | N/A | 2.1 | 7.3 | N/A | N/A | N/A | 5.1 | 5.8 | N/A | N/A | N/A | N/A | N/A | 1.3
