Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | FG | FF | SF | IA | SD | PBP–S | Lab | GP | CP | Aon | Other
Behaviour and Attitudes | The Sunday Times | 2022-01-27 | 2022-02-08 | N | 922 | N/A | 1 | 20 | 25 | 34 | N/A | 2 | 1 | 4 | 5 | N/A | 0 | 9
Ireland Thinks | Sunday Independent | 2022-02-05 | 2022-02-05 | N | 1086 | N/A | 1 | 23 | 17 | 32 | N/A | 5 | 3 | 3 | 4 | N/A | 3 | 10
Red C | Business Post | 2022-01-21 | 2022-01-26 | N | 1001 | N/A | 1 | 21 | 15 | 33 | N/A | 5 | 2 | 4 | 6 | N/A | 2 | 12
Behaviour and Attitudes | The Sunday Times | 2022-01-06 | 2022-01-18 | N | 917 | N/A | 1 | 22 | 24 | 34 | N/A | 1 | 2 | 4 | 3 | N/A | 0 | 10
Ireland Thinks | Sunday Independent | 2022-01-08 | 2022-01-08 | N | 1369 | N/A | 1 | 23 | 19 | 33 | N/A | 4 | 3 | 4 | 3 | N/A | 2 | 9
Ireland Thinks | Irish Mail on Sunday | 2021-12-12 | 2021-12-12 | N | N/A | N/A | 1 | 25 | 17 | 31 | N/A | 3 | 4 | 4 | 4 | N/A | 3 | 9
Ipsos MRBI | Irish Times | 2021-12-05 | 2021-12-08 | N | 1200 | N/A | 1 | 20 | 20 | 35 | N/A | 2 | 2 | 4 | 5 | N/A | 1 | 10
Behaviour and Attitudes | The Sunday Times | 2021-11-25 | 2021-12-08 | N | 933 | N/A | 1 | 20 | 23 | 34 | N/A | 2 | 1 | 5 | 5 | N/A | 0 | 9
Red C | Business Post | 2021-11-19 | 2021-11-25 | N | 1001 | N/A | 1 | 22 | 15 | 33 | N/A | 5 | 2 | 4 | 5 | N/A | 2 | 10
Ireland Thinks | Irish Mail on Sunday | 2021-11-14 | 2021-11-14 | N | N/A | N/A | 1 | 24 | 17 | 32 | N/A | 4 | 3 | 5 | 5 | N/A | 3 | 7
Behaviour and Attitudes | The Sunday Times | 2021-10-28 | 2021-11-09 | N | 912 | N/A | 1 | 21 | 20 | 37 | N/A | 3 | 1 | 3 | 5 | N/A | 1 | 8
Red C | Business Post | 2021-10-22 | 2021-10-22 | N | N/A | N/A | 1 | 25 | 12 | 33 | N/A | 6 | 3 | 5 | 4 | N/A | 2 | 10
Ireland Thinks | Irish Mail on Sunday | 2021-10-16 | 2021-10-16 | N | 1200 | N/A | 1 | 26 | 16 | 31 | N/A | 4 | 3 | 4 | 6 | N/A | 3 | N/A
Behaviour and Attitudes | The Sunday Times | 2021-09-30 | 2021-10-12 | N | 943 | N/A | 1 | 21 | 23 | 31 | N/A | 4 | 1 | 5 | 5 | N/A | 1 | 8
Ipsos MRBI | Irish Times | 2021-10-02 | 2021-10-05 | N | 1200 | N/A | 1 | 22 | 20 | 32 | N/A | 3 | 2 | 4 | 7 | N/A | 1 | 10
Ireland Thinks | Irish Mail on Sunday | 2021-09-18 | 2021-09-18 | N | 1000 | N/A | 1 | 23 | 19 | 29 | N/A | 6 | 4 | 4 | 4 | N/A | 4 | N/A
Red C | Business Post | 2021-09-03 | 2021-09-09 | N | 1031 | N/A | 1 | 28 | 13 | 29 | N/A | 5 | 3 | 5 | 4 | N/A | 2 | 10
Behaviour and Attitudes | The Sunday Times | 2021-08-26 | 2021-09-08 | N | 922 | N/A | 1 | 23 | 21 | 33 | N/A | 2 | 2 | 5 | 5 | N/A | 0 | 8
Ireland Thinks | Irish Mail on Sunday | 2021-08-21 | 2021-08-21 | N | 1203 | N/A | 1 | 24 | 15 | 30 | N/A | 6 | 3 | 6 | 4 | N/A | 3 | 9
Ireland Thinks | Irish Mail on Sunday | 2021-07-17 | 2021-07-17 | N | 1001 | N/A | 1 | 25 | 14 | 30 | N/A | 5 | 4 | 7 | 4 | N/A | 4 | 7
Behaviour and Attitudes | The Sunday Times | 2021-07-01 | 2021-07-13 | N | 1001 | N/A | 1 | 25 | 20 | 30 | N/A | 1 | 3 | 5 | 5 | N/A | 1 | 10
Red C | Business Post | 2021-06-26 | 2021-06-26 | N | 1020 | N/A | 1 | 30 | 13 | 29 | N/A | 4 | 2 | 3 | 5 | N/A | 2 | 12
Ireland Thinks | Irish Mail on Sunday | 2021-06-19 | 2021-06-19 | N | 1274 | N/A | 1 | 24 | 15 | 32 | N/A | 5 | 4 | 4 | 3 | N/A | 4 | 10
Ipsos MRBI | Irish Times | 2021-06-14 | 2021-06-15 | N | 1200 | N/A | 1 | 27 | 20 | 31 | N/A | 2 | 2 | 3 | 6 | N/A | 1 | 8
Behaviour and Attitudes | The Sunday Times | 2021-05-28 | 2021-06-08 | N | 909 | N/A | 1 | 24 | 20 | 34 | N/A | 4 | 1 | 3 | 4 | N/A | 1 | 9
Red C | Business Post | 2021-05-21 | 2021-05-27 | N | 1034 | N/A | 1 | 29 | 14 | 29 | N/A | 5 | 3 | 3 | 5 | N/A | 2 | 10
Behaviour and Attitudes | The Sunday Times | 2021-05-04 | 2021-05-18 | N | 914 | N/A | 1 | 28 | 22 | 30 | N/A | 2 | 1 | 4 | 5 | N/A | N/A | 8
Ireland Thinks | Irish Mail on Sunday | 2021-05-15 | 2021-05-15 | N | 1237 | N/A | 1 | 25 | 15 | 30 | N/A | 7 | 3 | 4 | 3 | N/A | 4 | 9
Red C | Business Post | 2021-04-16 | 2021-04-22 | N | 1025 | N/A | 1 | 30 | 13 | 27 | N/A | 5 | 2 | 5 | 4 | N/A | 2 | 11
Ireland Thinks | Irish Mail on Sunday | 2021-04-14 | 2021-04-15 | N | 1087 | N/A | 1 | 26 | 16 | 27 | N/A | 6 | 3 | 5 | 3 | N/A | 4 | 10
Red C | Business Post | 2021-03-19 | 2021-03-25 | N | 1000 | N/A | 1 | 30 | 11 | 29 | N/A | 5 | 2 | 4 | 5 | N/A | 2 | 11
Ireland Thinks | Irish Mail on Sunday | 2021-03-20 | 2021-03-20 | N | 1026 | N/A | 1 | 27 | 14 | 31 | N/A | 7 | 3 | 5 | 2 | N/A | 3 | 8
Red C | Business Post | 2021-02-18 | 2021-02-25 | N | 1000 | N/A | 1 | 29 | 13 | 29 | N/A | 6 | 2 | 4 | 3 | N/A | 2 | 12
Ipsos MRBI | Irish Times | 2021-02-22 | 2021-02-23 | N | 1200 | N/A | 1 | 30 | 14 | 28 | N/A | 3 | 1 | 3 | 6 | N/A | 1 | 14
Ireland Thinks | Irish Mail on Sunday | 2021-02-12 | 2021-02-12 | N | 1068 | N/A | 1 | 26 | 15 | 28 | N/A | 6 | 3 | 5 | 5 | N/A | N/A | 9
Red C | Business Post | 2021-01-21 | 2021-01-28 | N | 1000 | N/A | 1 | 29 | 16 | 27 | N/A | 5 | 3 | 3 | 5 | N/A | 2 | 10
Ireland Thinks | Irish Mail on Sunday | 2021-01-17 | 2021-01-17 | N | 1247 | N/A | 1 | 28 | 15 | 29 | N/A | 5 | 3 | 5 | 3 | N/A | 4 | 7
Behaviour and Attitudes | The Sunday Times | 2020-12-03 | 2020-12-15 | N | 916 | N/A | 1 | 27 | 22 | 32 | N/A | 1 | 2 | 5 | 3 | N/A | 0 | 7
Ireland Thinks | Irish Mail on Sunday | 2020-11-29 | 2020-11-29 | N | 1044 | N/A | 1 | 28 | 17 | 28 | N/A | 5 | 2 | 4 | 4 | N/A | 4 | 9
Red C | Business Post | 2020-11-19 | 2020-11-25 | N | 1000 | N/A | 1 | 33 | 12 | 30 | N/A | 4 | 3 | 3 | 5 | N/A | 2 | 8
Red C | Business Post | 2020-10-24 | 2020-10-24 | N | 1000 | N/A | 1 | 37 | 11 | 27 | N/A | 3 | 2 | 3 | 6 | N/A | 2 | 9
Behaviour and Attitudes | The Sunday Times | 2020-10-17 | 2020-10-17 | N | 931 | N/A | 1 | 31 | 19 | 30 | N/A | 2 | 2 | 4 | 5 | N/A | 1 | 5
Ipsos MRBI | Irish Times | 2020-10-03 | 2020-10-06 | N | 1200 | N/A | 1 | 35 | 17 | 29 | N/A | 2 | 1 | 4 | 4 | N/A | N/A | 8
Ireland Thinks | Mail on Sunday | 2020-09-26 | 2020-09-26 | N | 1250 | N/A | 1 | 32 | 14 | 28 | N/A | 5 | 3 | 4 | 4 | N/A | 3 | 7
Behaviour and Attitudes | The Sunday Times | 2020-09-04 | 2020-09-15 | N | 900 | N/A | 1 | 30 | 19 | 32 | N/A | 1 | 1 | 3 | 5 | N/A | 0 | 9
Red C | Business Post | 2020-09-09 | 2020-09-09 | N | 1000 | N/A | 1 | 35 | 10 | 27 | N/A | 4 | 2 | 3 | 6 | N/A | 2 | 10
Ireland Thinks | Mail on Sunday | 2020-08-21 | 2020-08-22 | N | 1000 | N/A | 1 | 35 | 11 | 30 | N/A | 5 | 2 | 5 | 3 | N/A | 2 | 7
Behaviour and Attitudes | The Sunday Times | 2020-07-17 | 2020-07-28 | N | 921 | N/A | 1 | 29 | 20 | 30 | N/A | 1 | 3 | 3 | 6 | 1 | 0 | 10
Ireland Thinks | Mail on Sunday | 2020-07-17 | 2020-07-18 | N | 1000 | N/A | 1 | 38 | 12 | 26 | N/A | 3 | 2 | 4 | 5 | N/A | N/A | 10
Ireland Thinks | Mail on Sunday | 2020-06-19 | 2020-06-20 | N | 1000 | N/A | 1 | 34 | 13 | 27 | N/A | 3 | 2 | 4 | 8 | N/A | N/A | 10
Ipsos MRBI | Irish Times | 2020-06-14 | 2020-06-14 | N | 1200 | N/A | 1 | 37 | 13 | 25 | N/A | N/A | N/A | 2 | 12 | N/A | N/A | 10
Red C | Business Post | 2020-05-21 | 2020-05-27 | N | N/A | N/A | 1 | 35 | 15 | 27 | N/A | 4 | 2 | 3 | 5 | N/A | 1 | 8
Ireland Thinks | Mail on Sunday | 2020-05-19 | 2020-05-23 | N | 1012 | N/A | 1 | 36 | 16 | 27 | N/A | 3 | 2 | 4 | 6 | N/A | N/A | 6
Red C | Business Post | 2020-04-23 | 2020-04-29 | N | 1019 | N/A | 1 | 35 | 14 | 27 | N/A | 3 | 2 | 3 | 7 | N/A | 1 | 8
Red C | The Sunday Business Post | 2020-03-20 | 2020-03-25 | N | 1062 | N/A | 1 | 34 | 18 | 28 | N/A | 3 | 2 | 3 | 5 | N/A | 2 | 5
Behaviour and Attitudes | The Sunday Times | 2020-02-27 | 2020-03-10 | N | 912 | N/A | 1 | 21 | 19 | 35 | N/A | 1 | 3 | 3 | 6 | N/A | 0 | 11
Behaviour and Attitudes | The Sunday Times | 2020-02-17 | 2020-02-25 | N | 917 | N/A | 1 | 18 | 20 | 35 | N/A | 2 | 3 | 3 | 6 | N/A | 1 | 12
Amárach Research | Extra.ie | 2020-02-16 | 2020-02-16 | N | 1040 | N/A | 1 | 18 | 17 | 35 | N/A | 5 | 3 | 3 | 9 | N/A | N/A | 10
Survation | Sinn Féin | 2020-01-27 | 2020-02-02 | N | 1074 | N/A | 1 | 17 | 22 | 25 | 1 | 3 | 5 | 6 | 9 | N/A | N/A | 12
Ipsos MRBI | The Irish Times | 2020-01-30 | 2020-02-01 | N | 1200 | N/A | 1 | 20 | 23 | 25 | N/A | 2 | 2 | 4 | 8 | N/A | N/A | 16
Red C | The Sunday Business Post | 2020-01-25 | 2020-01-30 | N | 1000 | N/A | 1 | 21 | 24 | 24 | N/A | 3 | 1 | 5 | 7 | N/A | N/A | 13
Panelbase | The Times | 2020-01-24 | 2020-01-30 | N | 1000 | N/A | 1 | 19 | 23 | 21 | N/A | 5 | 5 | 5 | 10 | N/A | N/A | N/A
Ireland Thinks | The Irish Daily Mail | 2020-01-01 | 2020-01-25 | N | N/A | N/A | 1 | 22 | 27 | 20 | N/A | 3 | 1 | 6 | 10 | N/A | N/A | N/A
Red C | The Sunday Business Post | 2020-01-16 | 2020-01-23 | N | 1000 | N/A | 1 | 23 | 26 | 19 | N/A | 3 | 2 | 4 | 8 | N/A | N/A | 15
Ipsos MRBI | The Irish Times | 2020-01-16 | 2020-01-18 | N | 1200 | N/A | 1 | 23 | 25 | 21 | 1 | 2 | 2 | 5 | 8 | N/A | N/A | 13
Behaviour and Attitudes | The Sunday Times | 2020-01-04 | 2020-01-14 | N | 930 | N/A | 1 | 20 | 32 | 19 | 3 | 1 | 2 | 4 | 7 | 1 | N/A | N/A
Ireland Thinks | The Irish Daily Mail | 2019-12-24 | 2019-12-24 | N | 1585 | N/A | 1 | 28 | 25 | 15 | N/A | 3 | 3 | 5 | 7 | N/A | N/A | N/A
Behaviour and Attitudes | The Sunday Times | 2019-12-05 | 2019-12-17 | N | 936 | N/A | 1 | 27 | 27 | 20 | 2 | 1 | 3 | 6 | 6 | N/A | N/A | N/A
Red C | The Sunday Business Post | 2019-11-14 | 2019-11-21 | N | 1000 | N/A | 1 | 30 | 24 | 11 | 4 | 2 | 2 | 6 | 7 | N/A | N/A | 14
Behaviour and Attitudes | The Sunday Times | 2019-11-01 | 2019-11-12 | N | 923 | N/A | 1 | 27 | 25 | 17 | 4 | 2 | 2 | 6 | 6 | 0 | N/A | N/A
Red C | The Sunday Business Post | 2019-10-17 | 2019-10-24 | N | 1000 | N/A | 1 | 32 | 24 | 11 | 4 | 2 | 1 | 4 | 7 | N/A | N/A | 15
Behaviour and Attitudes | The Sunday Times | 2019-10-03 | 2019-10-15 | N | N/A | N/A | 1 | 29 | 28 | 16 | 2 | 1 | 3 | 5 | 6 | N/A | N/A | N/A
Ipsos MRBI | The Irish Times | 2019-10-11 | 2019-10-13 | N | 1200 | N/A | 1 | 29 | 25 | 14 | 1 | 1 | 1 | 6 | 8 | N/A | N/A | 14
Behaviour and Attitudes | The Sunday Times | 2019-09-05 | 2019-09-17 | N | N/A | N/A | 1 | 26 | 29 | 20 | 4 | 1 | 1 | 3 | 5 | 1 | N/A | N/A
Red C | The Sunday Business Post | 2019-09-05 | 2019-09-12 | N | 1000 | N/A | 1 | 29 | 28 | 12 | 3 | 1 | 1 | 6 | 7 | 0 | N/A | N/A
Behaviour and Attitudes | The Sunday Times | 2019-07-04 | 2019-07-16 | N | 904 | N/A | 1 | 26 | 30 | 14 | 4 | 1 | 2 | 5 | 7 | 1 | N/A | 8
Behaviour and Attitudes | The Sunday Times | 2019-05-31 | 2019-06-11 | N | 900 | N/A | 1 | 23 | 28 | 12 | 3 | 1 | 2 | 5 | 11 | 1 | N/A | 13
Red C | RTÉ | 2019-05-24 | 2019-05-24 | N | 2671 | N/A | 1 | 26 | 23 | 15 | 2 | 3 | 2 | 5 | 12 | 1 | N/A | 11
Ireland Thinks | The Irish Daily Mail | 2019-05-01 | 2019-05-22 | E | 1589 | N/A | 1 | 28 | 25 | 16 | 14 | 3 | 2 | 6 | 7 | N/A | N/A | N/A
Red C | The Sunday Business Post | 2019-05-06 | 2019-05-16 | N | 2000 | N/A | 1 | 28 | 24 | 13 | 2 | 2 | 2 | 5 | 7 | 1 | N/A | 16
Behaviour and Attitudes | The Sunday Times | 2019-05-02 | 2019-05-14 | N | 933 | N/A | 1 | 28 | 28 | 19 | 3 | 1 | 3 | 4 | 5 | N/A | N/A | 9
Ipsos MRBI | The Irish Times | 2019-05-06 | 2019-05-08 | E | 1500 | N/A | 1 | 29 | 26 | 16 | 0 | 0 | 0 | 7 | 4 | 0 | N/A | N/A
Red C | The Sunday Business Post | 2019-04-11 | 2019-04-17 | E | 1000 | N/A | 1 | 33 | 21 | 16 | 2 | 1 | 0 | 4 | 4 | 0 | N/A | N/A
Red C | The Sunday Business Post | 2019-04-11 | 2019-04-17 | N | 1000 | N/A | 1 | 33 | 23 | 14 | 2 | 2 | 1 | 5 | 3 | 0 | N/A | 17
Behaviour and Attitudes | The Sunday Times | 2019-04-04 | 2019-04-16 | N | 933 | N/A | 1 | 28 | 29 | 21 | 4 | 1 | 1 | 4 | 1 | 0 | N/A | 10
Red C | The Sunday Business Post | 2019-03-21 | 2019-03-28 | N | 1000 | N/A | 1 | 31 | 25 | 13 | 3 | 3 | 2 | 5 | 3 | 0 | N/A | 15
Behaviour and Attitudes | The Sunday Times | 2019-02-28 | 2019-03-12 | N | 930 | N/A | 1 | 31 | 25 | 19 | 2 | 0 | 1 | 5 | 3 | 0 | N/A | 12
Ipsos MRBI | The Irish Times | 2019-03-04 | 2019-03-05 | N | 1200 | N/A | 1 | 30 | 24 | 21 | 1 | 1 | 2 | 6 | 2 | N/A | N/A | 13
Red C | The Sunday Business Post | 2019-02-14 | 2019-02-20 | N | 1000 | N/A | 1 | 31 | 24 | 18 | 2 | 2 | 1 | 5 | 2 | 0 | N/A | 15
Behaviour and Attitudes | The Sunday Times | 2019-01-31 | 2019-02-12 | N | 910 | N/A | 1 | 30 | 26 | 18 | 2 | 1 | 2 | 5 | 2 | 1 | N/A | 14
Red C | The Sunday Business Post | 2019-01-17 | 2019-01-24 | N | 1000 | N/A | 1 | 32 | 22 | 13 | 5 | 2 | 2 | 6 | 3 | 0 | N/A | 14
Behaviour and Attitudes | The Sunday Times | 2019-01-04 | 2019-01-15 | N | 907 | N/A | 1 | 30 | 26 | 20 | 2 | 1 | 2 | 4 | 2 | N/A | N/A | 13
Ireland Thinks | The Irish Daily Mail | 2018-12-14 | 2018-12-21 | N | 1546 | N/A | 1 | 32 | 23 | 16 | N/A | 3 | 4 | 7 | 4 | N/A | N/A | 13
