Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ND | SYRIZA | PASOK-KINAL | ChA | KKE | EK | ANEL | LAE - AA | PE | Potami | EL | MeRA25 | EKE | ED | EAN… | Níki | Spartiátes | Other
Opinion Poll | Action 24 | 2024-04-20 | 2024-04-22 | E | 1006 | 85.9 | 0.1 | 32.2 | 15.1 | 12.0 | N/A | 8.7 | N/A | N/A | N/A | 4.0 | N/A | 10.5 | 1.5 | N/A | N/A | N/A | 3.7 | 1.3 | N/A
GPO | Παραπολιτικά | 2024-04-17 | 2024-04-22 | E | 1400 | 84.9 | 0.1 | 33.5 | 16.4 | 13.5 | N/A | 8.8 | N/A | N/A | N/A | 3.1 | N/A | 9.1 | 2.2 | N/A | N/A | N/A | 3.4 | 2.4 | N/A
Metron Analysis | Mega TV | 2024-04-10 | 2024-04-16 | E | 1304 | 82.8 | 0.1 | 32.4 | 15.5 | 12.0 | N/A | 9.8 | N/A | N/A | N/A | 4.2 | N/A | 8.2 | 1.7 | N/A | N/A | N/A | 3.6 | 2.4 | N/A
Opinion Poll | Action 24 | 2024-04-08 | 2024-04-10 | E | 1006 | 82.9 | 0.1 | 32.1 | 15.0 | 12.4 | N/A | 8.6 | N/A | N/A | N/A | 3.6 | N/A | 10.7 | 1.3 | N/A | N/A | N/A | 3.6 | 2.7 | N/A
Prorata | Attica TV | 2024-04-05 | 2024-04-10 | E | 1000 | 86.5 | 0.1 | 29.5 | 15.0 | 12.7 | N/A | 9.2 | N/A | N/A | N/A | 4.6 | N/A | 9.8 | 2.3 | N/A | N/A | N/A | 3.5 | 1.7 | N/A
Interview | Politic.gr | 2024-04-04 | 2024-04-08 | E | 2355 | 90.1 | 0.1 | 27.7 | 16.1 | 12.7 | N/A | 6.9 | N/A | N/A | N/A | 2.8 | N/A | 11.8 | N/A | N/A | N/A | N/A | 4.3 | 1.2 | N/A
Interview | Politic.gr | 2024-04-04 | 2024-04-08 | N | 2355 | 90.0 | 0.1 | 30.1 | 15.8 | 12.8 | N/A | 6.7 | N/A | N/A | N/A | 2.2 | N/A | 9.3 | N/A | N/A | N/A | N/A | 4.6 | 1.2 | N/A
Alco | Alpha TV | 2024-04-02 | 2024-04-05 | E | 1000 | 78.8 | 0.1 | 29.9 | 14.3 | 13.3 | N/A | 9.4 | N/A | N/A | N/A | 4.1 | N/A | 9.6 | 2.3 | N/A | N/A | N/A | 4.2 | 2.7 | N/A
Palmos Analysis | Ελεύθερος Τύπος | 2024-04-01 | 2024-04-04 | E | 1008 | N/A | 0.1 | 31.8 | 14.1 | 13.0 | N/A | 9.4 | N/A | N/A | N/A | 4.2 | N/A | 10.3 | N/A | N/A | N/A | N/A | 3.5 | 3.3 | N/A
Palmos Analysis | Ελεύθερος Τύπος | 2024-04-01 | 2024-04-04 | N | 1008 | N/A | 0.1 | 33.9 | 14.4 | 11.5 | N/A | 9.0 | N/A | N/A | N/A | 4.0 | N/A | 10.6 | N/A | N/A | N/A | N/A | 3.5 | 2.8 | N/A
Pulse RC | ΣΚΑΪ | 2024-04-01 | 2024-04-03 | E | 1105 | N/A | 0.5 | 33.0 | 15.0 | 12.5 | N/A | 8.5 | N/A | N/A | N/A | 3.5 | N/A | 9.0 | 2.5 | N/A | N/A | N/A | 3.5 | 3.0 | N/A
GPO | Παραπολιτικά | 2024-04-01 | 2024-04-03 | E | 1000 | 83.1 | 0.1 | 33.5 | 15.9 | 14.2 | N/A | 9.0 | N/A | N/A | N/A | 3.0 | N/A | 9.5 | 1.8 | N/A | N/A | N/A | 3.2 | 2.2 | N/A
Opinion Poll | Action 24 | 2024-03-15 | 2024-03-20 | E | 1010 | 75.2 | 0.1 | 34.4 | 13.4 | 12.5 | N/A | 9.4 | N/A | N/A | N/A | 2.9 | N/A | 10.1 | 1.9 | N/A | N/A | N/A | 4.3 | 2.5 | N/A
Opinion Poll | Action 24 | 2024-03-15 | 2024-03-20 | N | 1010 | 78.9 | 0.1 | 35.7 | 12.5 | 12.3 | N/A | 9.5 | N/A | N/A | N/A | 3.0 | N/A | 9.9 | 1.9 | N/A | N/A | N/A | 4.3 | 2.7 | N/A
Metron Analysis | Mega TV | 2024-03-12 | 2024-03-19 | E | 1317 | 78.3 | 0.1 | 31.4 | 15.1 | 13.0 | N/A | 10.1 | N/A | N/A | N/A | 4.3 | N/A | 9.7 | 1.9 | N/A | N/A | N/A | 3.2 | 1.9 | N/A
Marc | Πρώτο ΘΕΜΑ | 2024-03-11 | 2024-03-16 | E | 1086 | 81.8 | 0.1 | 36.2 | 13.4 | 12.6 | N/A | 9.4 | N/A | N/A | N/A | 3.1 | N/A | 9.2 | 2.4 | N/A | N/A | N/A | 2.8 | 2.6 | N/A
GPO | Star TV | 2024-03-11 | 2024-03-13 | E | 1200 | 82.1 | 0.1 | 35.1 | 14.3 | 13.9 | N/A | 9.5 | N/A | N/A | N/A | 2.9 | N/A | 7.9 | 2.3 | N/A | N/A | N/A | 3.4 | 1.8 | N/A
Interview | Politic.gr | 2024-03-07 | 2024-03-11 | E | 2250 | 84.9 | 0.1 | 29.1 | 14.4 | 12.4 | N/A | 7.1 | N/A | N/A | N/A | 2.5 | N/A | 12.1 | N/A | N/A | N/A | N/A | 4.9 | 1.8 | N/A
Interview | Politic.gr | 2024-03-07 | 2024-03-11 | N | 2250 | 86.6 | 0.1 | 32.9 | 14.1 | 12.1 | N/A | 7.5 | N/A | N/A | N/A | 2.3 | N/A | 9.2 | N/A | N/A | N/A | N/A | 5.4 | 2.2 | N/A
Alco | Alpha TV | 2024-03-01 | 2024-03-06 | E | 1000 | 74.0 | 0.1 | 32.8 | 12.7 | 14.1 | N/A | 10.8 | N/A | N/A | N/A | 3.6 | N/A | 7.7 | 2.8 | N/A | N/A | N/A | 4.5 | 3.1 | N/A
Ipsos | Euronews | 2024-02-23 | 2024-03-05 | E | 1000 | N/A | 0.1 | 35.0 | 13.6 | 13.4 | N/A | 9.0 | N/A | N/A | N/A | 3.2 | N/A | 8.7 | 3.0 | N/A | N/A | N/A | 4.0 | 2.9 | N/A
MRB | Open TV | 2024-04-01 | 2024-03-03 | E | 1000 | N/A | 0.1 | 31.5 | 15.9 | 13.4 | N/A | 8.1 | N/A | N/A | N/A | 4.3 | N/A | 9.9 | 1.9 | N/A | N/A | N/A | 3.6 | 2.1 | N/A
Pulse RC | ΣΚΑΪ | 2024-02-27 | 2024-03-01 | N | 1106 | 84.0 | 0.1 | 35.1 | 14.3 | 14.3 | N/A | 8.9 | N/A | N/A | N/A | 3.0 | N/A | 8.3 | 2.4 | N/A | N/A | N/A | 4.2 | 3.0 | N/A
GPO | Παραπολιτικά | 2024-02-26 | 2024-02-29 | E | 1000 | 78.5 | 0.1 | 36.4 | 13.5 | 14.4 | N/A | 10.7 | N/A | N/A | N/A | 2.4 | N/A | 8.2 | 2.7 | N/A | N/A | N/A | 3.4 | 2.2 | N/A
Opinion Poll | Action 24 | 2024-02-26 | 2024-02-27 | E | 1504 | 73.4 | 0.1 | 33.9 | 11.9 | 13.9 | N/A | 10.1 | N/A | N/A | N/A | 3.5 | N/A | 10.2 | 2.6 | N/A | N/A | N/A | 4.2 | 2.7 | N/A
MRB | Open TV | 2024-02-21 | 2024-02-27 | E | 1500 | N/A | 0.1 | 36.2 | 11.4 | 12.5 | N/A | 9.0 | N/A | N/A | N/A | 3.6 | N/A | 9.7 | 2.5 | N/A | N/A | N/A | 3.9 | 2.7 | N/A
MRB | Open TV | 2024-02-21 | 2024-02-27 | N | 1500 | N/A | 0.1 | 37.2 | 13.0 | 14.2 | N/A | 9.0 | N/A | N/A | N/A | 3.0 | N/A | 10.0 | 2.3 | N/A | N/A | N/A | 3.2 | 2.6 | N/A
Metron Analysis | Mega TV | 2024-02-14 | 2024-02-20 | N | 1305 | 78.2 | 0.1 | 36.4 | 13.3 | 15.0 | N/A | 8.7 | N/A | N/A | N/A | 3.1 | N/A | 8.1 | 2.7 | N/A | N/A | N/A | 4.9 | 1.9 | N/A
Opinion Poll | Action 24 | 2024-02-13 | 2024-02-16 | E | 1004 | 79.0 | 0.1 | 34.3 | 12.5 | 14.6 | N/A | 9.4 | N/A | N/A | N/A | 3.7 | N/A | 9.5 | 2.4 | N/A | N/A | N/A | 3.8 | 2.8 | N/A
Opinion Poll | Action 24 | 2024-02-13 | 2024-02-16 | N | 1004 | 87.2 | 0.1 | 36.2 | 12.0 | 15.0 | N/A | 9.4 | N/A | N/A | N/A | 3.6 | N/A | 8.7 | 2.2 | N/A | N/A | N/A | 3.8 | 2.4 | N/A
Interview | Politic.gr | 2024-02-06 | 2024-02-12 | E | 2155 | 85.8 | 0.1 | 31.0 | 14.2 | 12.8 | N/A | 8.3 | N/A | N/A | N/A | 2.6 | N/A | 9.1 | N/A | N/A | N/A | N/A | 5.1 | 2.1 | N/A
Interview | Politic.gr | 2024-02-06 | 2024-02-12 | N | 2155 | 86.1 | 0.1 | 33.8 | 13.8 | 12.8 | N/A | 8.1 | N/A | N/A | N/A | 2.9 | N/A | 8.7 | N/A | N/A | N/A | N/A | 4.8 | 2.3 | N/A
Alco | Alpha TV | 2024-02-01 | 2024-02-07 | E | 1201 | 74.1 | 0.1 | 34.7 | 12.6 | 15.0 | N/A | 11.2 | N/A | N/A | N/A | 3.1 | N/A | 7.6 | 2.3 | N/A | N/A | N/A | 3.9 | 2.8 | N/A
Pulse RC | ΣΚΑΪ | 2024-01-28 | 2024-01-30 | N | 1120 | 85.0 | 0.1 | 35.9 | 13.5 | 14.7 | N/A | 10.0 | N/A | N/A | N/A | 2.9 | N/A | 7.6 | 2.4 | N/A | N/A | N/A | 3.5 | 2.9 | N/A
GPO | Star TV | 2024-01-22 | 2024-01-24 | E | 1200 | 77.9 | 0.1 | 38.8 | 14.0 | 14.2 | N/A | 9.6 | N/A | N/A | N/A | 2.6 | N/A | 7.2 | 2.7 | N/A | N/A | N/A | 3.3 | 2.2 | N/A
GPO | Star TV | 2024-01-22 | 2024-01-24 | N | 1200 | 83.8 | 0.1 | 38.8 | 13.2 | 14.6 | N/A | 9.5 | N/A | N/A | N/A | 2.7 | N/A | 7.3 | 2.3 | N/A | N/A | N/A | 3.6 | 2.5 | N/A
MRB | Open TV | 2024-01-22 | 2024-01-24 | E | 1000 | 75.0 | 0.1 | 36.1 | 12.1 | 12.1 | N/A | 9.3 | N/A | N/A | N/A | 4.0 | N/A | 9.5 | 2.8 | N/A | N/A | N/A | 3.7 | 2.8 | N/A
MRB | Open TV | 2024-01-22 | 2024-01-24 | N | 1000 | 78.0 | 0.1 | 37.3 | 13.5 | 13.7 | N/A | 9.0 | N/A | N/A | N/A | 3.8 | N/A | 8.2 | 2.4 | N/A | N/A | N/A | 3.5 | 3.2 | N/A
Metron Analysis | Mega TV | 2024-01-17 | 2024-01-23 | N | 1303 | 80.0 | 0.1 | 35.3 | 12.1 | 13.8 | N/A | 10.3 | N/A | N/A | N/A | 4.0 | N/A | 8.3 | 2.9 | N/A | N/A | N/A | 2.9 | 3.3 | N/A
Marc | ΑΝΤ1 | 2024-01-17 | 2024-01-23 | E | 1092 | 80.0 | 0.1 | 37.1 | 12.6 | 16.8 | N/A | 9.4 | N/A | N/A | N/A | 3.0 | N/A | 7.0 | 2.9 | N/A | N/A | N/A | 3.1 | 3.1 | N/A
Marc | ΑΝΤ1 | 2024-01-17 | 2024-01-23 | N | 1092 | 85.2 | 0.1 | 39.6 | 11.7 | 14.9 | N/A | 9.4 | N/A | N/A | N/A | 3.2 | N/A | 6.8 | 2.3 | N/A | N/A | N/A | 3.3 | 3.2 | N/A
Interview | Politic.gr | 2024-01-10 | 2024-01-15 | E | 2388 | 86.0 | 0.1 | 31.5 | 14.1 | 14.2 | N/A | 10.8 | N/A | N/A | N/A | 2.3 | N/A | 8.0 | N/A | N/A | N/A | N/A | 5.2 | 2.6 | N/A
Interview | Politic.gr | 2024-01-10 | 2024-01-15 | N | 2388 | 86.9 | 0.1 | 34.9 | 14.8 | 13.6 | N/A | 8.5 | N/A | N/A | N/A | 2.3 | N/A | 8.2 | N/A | N/A | N/A | N/A | 4.9 | 2.6 | N/A
Marc | Πρώτο ΘΕΜΑ | 2024-01-08 | 2024-01-15 | N | 1093 | 86.8 | 0.1 | 39.2 | 11.5 | 14.5 | N/A | 9.9 | N/A | N/A | N/A | 3.6 | N/A | 6.8 | 2.8 | N/A | N/A | N/A | 3.2 | 2.8 | N/A
Opinion Poll | The TOC | 2024-01-09 | 2024-01-12 | N | 1005 | 81.8 | 0.1 | 39.7 | 13.3 | 14.5 | N/A | 8.8 | N/A | N/A | N/A | 3.4 | N/A | 6.8 | 2.1 | N/A | N/A | N/A | 3.1 | 1.8 | N/A
GPO | Παραπολιτικά | 2024-01-09 | 2024-01-11 | E | 1000 | 76.6 | 0.1 | 39.8 | 13.4 | 14.5 | N/A | 9.3 | N/A | N/A | N/A | 2.5 | N/A | 7.2 | 3.4 | N/A | N/A | N/A | 2.6 | 2.2 | N/A
GPO | Παραπολιτικά | 2024-01-09 | 2024-01-11 | N | 1000 | 83.6 | 0.1 | 39.4 | 12.1 | 14.7 | N/A | 9.9 | N/A | N/A | N/A | 3.2 | N/A | 7.2 | 2.5 | N/A | N/A | N/A | 3.2 | 2.3 | N/A
Prorata | Attica TV | 2024-01-05 | 2024-01-09 | E | 1000 | 82 | 0.1 | 36.6 | 12.8 | 15.9 | N/A | 11.0 | N/A | N/A | N/A | 3.0 | N/A | 6.1 | 1.8 | N/A | N/A | N/A | 3.7 | 3.7 | N/A
Alco | Alpha TV | 2024-01-02 | 2024-01-05 | E | 1002 | 78.5 | 0.1 | 35.3 | 13.8 | 14.3 | N/A | 11.3 | N/A | N/A | N/A | 3.3 | N/A | 6.9 | 2.4 | N/A | N/A | N/A | 3.3 | 3.2 | N/A
Κάπα Research | N/A | 2023-12-01 | 2023-12-31 | N | N/A | 86.7 | 0.1 | 39.7 | 14.4 | 14.8 | N/A | 9.3 | N/A | N/A | N/A | 3.2 | N/A | 5.7 | 1.8 | N/A | N/A | N/A | 3.2 | 3.2 | N/A
Palmos Analysis | Ελεύθερος Τύπος | 2023-12-20 | 2023-12-28 | N | 1200 | 83.0 | 0.1 | 38.7 | 12.5 | 14.7 | N/A | 10.2 | N/A | N/A | N/A | 3.3 | N/A | 5.9 | 2.8 | N/A | N/A | N/A | 3.1 | 3.6 | N/A
Pulse RC | ΣΚΑΪ | 2023-12-18 | 2023-12-20 | N | 1107 | 85.0 | 0.1 | 37.1 | 14.1 | 15.3 | N/A | 10.0 | N/A | N/A | N/A | 2.9 | N/A | 5.9 | 2.4 | N/A | N/A | N/A | 3.5 | 3.5 | N/A
Metron Analysis | Mega TV | 2023-12-23 | 2023-12-19 | N | 1304 | 81.4 | 0.1 | 38.0 | 12.4 | 14.0 | N/A | 10.0 | N/A | N/A | N/A | 3.7 | N/A | 7.2 | 2.2 | N/A | N/A | N/A | 3.7 | 3.1 | N/A
Opinion Poll | Action 24 | 2023-12-13 | 2023-12-15 | N | 1004 | 88.1 | 0.1 | 38.6 | 13.4 | 15.4 | N/A | 9.2 | N/A | N/A | N/A | 2.6 | N/A | 6.7 | 2.4 | N/A | N/A | N/A | 3.5 | 2.7 | N/A
Interview | Politic.gr | 2023-12-04 | 2023-12-08 | E | 2356 | 85.9 | 0.1 | 34.0 | 16.1 | 14.4 | N/A | 7.9 | N/A | N/A | N/A | 3.0 | N/A | 7.6 | N/A | N/A | N/A | N/A | 3.8 | 2.3 | N/A
Interview | Politic.gr | 2023-12-04 | 2023-12-08 | N | 2356 | 88.1 | 0.1 | 35.4 | 14.8 | 14.2 | N/A | 7.6 | N/A | N/A | N/A | 3.5 | N/A | 7.4 | N/A | N/A | N/A | N/A | 4.5 | 2.3 | N/A
GPO | Παραπολιτικά | 2023-12-05 | 2023-12-07 | E | 1000 | 75.5 | 0.1 | 41.7 | 12.1 | 13.5 | N/A | 10.3 | N/A | N/A | N/A | 2.1 | N/A | 6.6 | 1.9 | N/A | N/A | N/A | 2.4 | 3.4 | N/A
GPO | Παραπολιτικά | 2023-12-05 | 2023-12-07 | N | 1000 | 86.6 | 0.1 | 41.2 | 11.3 | 14.0 | N/A | 10.3 | N/A | N/A | N/A | 3.2 | N/A | 6.2 | 1.7 | N/A | N/A | N/A | 3.1 | 3.7 | N/A
MRB | N/A | 2023-11-27 | 2023-12-06 | N | 2000 | 83.7 | 0.1 | 38.8 | 13.0 | 14.6 | N/A | 9.7 | N/A | N/A | N/A | 3.9 | N/A | 6.0 | 2.6 | N/A | N/A | N/A | 3.2 | 3.6 | N/A
Metron Analysis | N/A | 2023-11-22 | 2023-11-28 | N | 1303 | 79.9 | 0.1 | 38.2 | 12.7 | 15.3 | N/A | 11.5 | N/A | N/A | N/A | 3.4 | N/A | 5.8 | 2.8 | N/A | N/A | N/A | 3.4 | 3.8 | N/A
Pulse RC | ΣΚΑΪ | 2023-11-19 | 2023-11-21 | N | 1112 | 86.5 | 0.1 | 38.2 | 14.5 | 15.0 | N/A | 10.4 | N/A | N/A | N/A | 2.9 | N/A | 5.8 | 3.5 | N/A | N/A | N/A | 2.9 | 3.5 | N/A
Prorata | N/A | 2023-11-15 | 2023-11-20 | N | 1000 | 84.5 | 0.1 | 40.2 | 12.4 | 14.2 | N/A | 12.4 | N/A | N/A | N/A | 4.1 | N/A | 4.7 | 2.4 | N/A | N/A | N/A | 3.0 | 3.0 | N/A
Marc | Πρώτο ΘΕΜΑ | 2023-11-13 | 2023-11-16 | N | 1081 | 87.0 | 0.1 | 39.2 | 13.8 | 14.3 | N/A | 9.5 | N/A | N/A | N/A | 3.3 | N/A | 5.6 | 3.2 | N/A | N/A | N/A | 2.9 | 3.3 | N/A
GPO | Παραπολιτικά | 2023-11-13 | 2023-11-15 | N | 1200 | 86.2 | 0.1 | 41.8 | 12.8 | 14.0 | N/A | 10.3 | N/A | N/A | N/A | 3.6 | N/A | 6.3 | 1.4 | N/A | N/A | N/A | 3.2 | 4.2 | N/A
Opinion Poll | Action 24 | 2023-11-13 | 2023-11-15 | N | 1011 | 80.7 | 0.1 | 38.4 | 14.7 | 15.9 | N/A | 10.6 | N/A | N/A | N/A | 2.6 | N/A | 6.3 | 2.3 | N/A | N/A | N/A | 4.0 | 3.0 | N/A
Alco | Alpha TV | 2023-10-30 | 2023-11-03 | N | 1000 | N/A | 0.1 | 38.8 | 15.4 | 14.5 | N/A | 9.8 | N/A | N/A | N/A | 3.0 | N/A | 5.9 | 2.1 | N/A | N/A | N/A | 3.6 | 3.0 | N/A
