Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PSD | USR(16) | PNL | ALDE | RMDSZ | PMP | PLUS | PRO | USR PLUS | AUR | PUSL | USR | PER | APP | FD | REPER | SOSRO | PV | Other
CURS | N/A | 2021-06-11 | 2021-06-18 | N | 1067 | N/A | 1 | 34 | N/A | 22 | N/A | 4 | 5 | N/A | 2 | N/A | 12 | 3 | 14 | N/A | N/A | N/A | N/A | N/A | N/A | 4
INSCOP | N/A | 2021-06-01 | 2021-06-15 | N | 1100 | N/A | 0.1 | 30.2 | N/A | 26.6 | N/A | N/A | 2.8 | N/A | 4.3 | N/A | 14.2 | N/A | 13.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
INSOMAR | Realitatea.net | 2021-06-01 | 2021-06-15 | N | 1030 | N/A | 0.1 | 22.9 | N/A | 25.0 | N/A | 5.1 | N/A | N/A | 2.0 | N/A | 18.0 | N/A | 15.0 | N/A | N/A | N/A | N/A | N/A | N/A | 10.1
Avangarde | N/A | 2021-05-01 | 2021-05-31 | N | 1100 | N/A | 1 | 36 | N/A | 23 | N/A | 5 | 2 | N/A | 2 | N/A | 15 | 1 | 14 | 1 | N/A | N/A | N/A | N/A | N/A | 2
IRES | N/A | 2021-05-01 | 2021-05-31 | N | 1100 | N/A | 1 | 35 | N/A | 27 | N/A | 3 | N/A | N/A | 3 | N/A | 13 | N/A | 11 | 1 | N/A | N/A | N/A | N/A | N/A | 8
Sociopol | N/A | 2021-05-01 | 2021-05-31 | N | 1100 | N/A | 1 | 36 | N/A | 22 | N/A | 6 | 2 | N/A | 5 | N/A | 11 | 1 | 15 | 1 | N/A | N/A | N/A | N/A | N/A | 1
INSOMAR | Realitatea.net | 2021-05-07 | 2021-05-07 | N | 1030 | N/A | 0.1 | 22.0 | N/A | 23.4 | N/A | 8.6 | 4.6 | N/A | 4.1 | N/A | 15.5 | N/A | 13.5 | N/A | N/A | N/A | N/A | N/A | N/A | 8.4
CURS | N/A | 2021-04-14 | 2021-04-17 | N | 1107 | N/A | 1 | 33 | N/A | 21 | N/A | 4 | 5 | N/A | 3 | N/A | 12 | 4 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | 2
BCS | N/A | 2021-03-30 | 2021-04-11 | N | 1420 | N/A | 0.1 | 28.9 | N/A | 22.3 | N/A | 4.0 | 4.2 | N/A | 2.9 | 22.5 | 10.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.1
Sociopol | N/A | 2021-03-12 | 2021-03-28 | N | N/A | N/A | 1 | 35 | N/A | 26 | N/A | 4 | 3 | N/A | 2 | 17 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
INSCOP | N/A | 2021-03-01 | 2021-03-12 | N | 1100 | N/A | 0.1 | 30.6 | N/A | 26.3 | N/A | N/A | 3.8 | N/A | 4.7 | 14.2 | 15.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CURS | N/A | 2021-02-22 | 2021-02-26 | N | 1100 | N/A | 1 | 34 | N/A | 25 | N/A | 4 | 3 | N/A | 2 | 16 | 9 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
INSOMAR | Realitatea.net | 2021-02-09 | 2021-02-11 | N | 1030 | N/A | 1 | 28 | N/A | 27 | N/A | 6 | 4 | N/A | 1 | 14 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
Avangarde | N/A | 2021-01-15 | 2021-01-17 | N | 710 | N/A | 1 | 34 | N/A | 24 | N/A | 5 | 3 | N/A | 1 | 16 | 14 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CURS | N/A | 2021-01-11 | 2021-01-15 | N | 1100 | N/A | 1 | 34 | N/A | 26 | N/A | 5 | 3 | N/A | 2 | 16 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CURS | N/A | 2020-12-17 | 2020-12-21 | N | 1100 | N/A | 1 | 35 | N/A | 26 | N/A | 4 | 2 | N/A | 2 | 14 | 15 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Avangarde | N/A | 2020-12-10 | 2020-12-20 | N | 900 | N/A | 1 | 35 | N/A | 26 | N/A | 5 | 2 | N/A | 1 | 15 | 14 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
IRES | N/A | 2020-12-02 | 2020-12-03 | N | 1067 | N/A | 1 | 35 | N/A | 32 | N/A | 3 | 3 | N/A | 7 | 16 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Sociopol | N/A | 2020-11-28 | 2020-11-29 | N | 1033 | N/A | 1 | 28 | N/A | 29 | N/A | 6 | 3 | N/A | 6 | 13 | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8
IRSOP | N/A | 2020-11-22 | 2020-11-28 | N | 1004 | N/A | 1 | 30 | N/A | 33 | N/A | 5 | 3 | N/A | 7 | 17 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5
IMAS | Europa FM | 2020-11-06 | 2020-11-27 | N | 1010 | N/A | 0.1 | 23.6 | N/A | 28.5 | 3.3 | 4.7 | 4.6 | N/A | 9.5 | 18.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.8
Verifield | N/A | 2020-11-20 | 2020-11-25 | N | 1100 | N/A | 0.1 | 22.0 | N/A | 31.3 | N/A | 5.4 | 4.8 | N/A | 9.3 | 17.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.2
ADS | PER | 2020-11-11 | 2020-11-18 | N | 1280 | N/A | 0.1 | 27.3 | N/A | 31.2 | N/A | 5.1 | 4.8 | N/A | 4.6 | 12.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.8
CURS | STIRIPESURSE.RO | 2020-11-01 | 2020-11-10 | N | 1067 | N/A | 1 | 29 | N/A | 32 | 3 | 5 | 7 | N/A | 6 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
BCS | PMP | 2020-10-25 | 2020-10-30 | N | 1482 | N/A | 0.1 | 28.6 | N/A | 32.2 | N/A | 4.8 | 7.4 | N/A | 5.2 | 17.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
IMAS | Europa FM | 2020-10-07 | 2020-10-28 | N | 1010 | N/A | 0.1 | 21.7 | N/A | 32.6 | 2.5 | 5.1 | 4.8 | N/A | 8.9 | 20.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.3
CURS | STIRIPESURSE.RO | 2020-10-08 | 2020-10-11 | N | 800 | N/A | 1 | 31 | N/A | 32 | 3 | 5 | 6 | N/A | 6 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5
IMAS | Europa FM | 2020-09-07 | 2020-09-23 | N | 1010 | N/A | 0.1 | 19.6 | N/A | 34.7 | 3 | 5.3 | 4.5 | N/A | 9.5 | 17 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.4
IMAS | Europa FM | 2020-08-06 | 2020-08-26 | N | 1010 | N/A | 0.1 | 20.8 | N/A | 33.6 | 2.4 | 5.7 | 4.1 | N/A | 10.6 | 18.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.6
CURS | N/A | 2020-07-29 | 2020-08-05 | N | 1100 | N/A | 1 | 28 | N/A | 31 | 5 | 4 | 5 | N/A | 7 | 14 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6
IMAS | Europa FM | 2020-07-10 | 2020-07-29 | N | 1010 | N/A | 0.1 | 23.4 | N/A | 33.4 | 3.4 | 5.6 | 3.9 | N/A | 9.7 | 17.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.4
CURS | STIRIPESURSE.RO | 2020-06-19 | 2020-06-30 | N | 1100 | N/A | 1 | 28 | N/A | 32 | 5 | 5 | 5 | N/A | 7 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2
IMAS | Europa FM | 2020-06-05 | 2020-06-27 | N | 1010 | N/A | 0.1 | 19.7 | 16.3 | 29.7 | 4.2 | 3.3 | 10.1 | 3.1 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.0
IMAS | Europa FM | 2020-05-08 | 2020-05-27 | N | 1010 | N/A | 0.1 | 23 | 11.6 | 32.6 | 4.2 | 5.1 | 3.7 | 5.1 | 11.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Avangarde | N/A | 2020-05-15 | 2020-05-26 | N | 1000 | N/A | 1 | 29 | N/A | 35 | 4 | 5 | 4 | N/A | 6 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
PSD | N/A | 2020-05-21 | 2020-05-21 | N | N/A | N/A | 1 | 27 | 16 | 35 | 4 | 4 | 4 | 2 | 8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
INSCOP | N/A | 2020-05-15 | 2020-05-20 | N | 1132 | N/A | 0.1 | 17.5 | 10.2 | 25.5 | 3.5 | 3.6 | 6.3 | 6.0 | 0.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.0
BCS | N/A | 2020-05-01 | 2020-05-07 | N | 1545 | N/A | 0.1 | 20.3 | 19.9 | 29.8 | 5.9 | 1.3 | 4.6 | 4.8 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.5
IMAS | Europa FM | 2020-04-06 | 2020-04-24 | N | 1010 | N/A | 0.1 | 24.8 | 10.8 | 33.0 | 4.4 | 5.5 | 3.4 | 5.1 | 8.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.8
BCS | N/A | 2020-04-11 | 2020-04-15 | N | 1008 | N/A | 0.1 | 22.9 | N/A | 31.3 | 2.5 | 3.6 | 6.7 | N/A | 8.8 | 20 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Avangarde | STIRIPESURSE.RO | 2020-04-06 | 2020-04-12 | N | 915 | N/A | 1 | 28 | N/A | 37 | 4 | 4 | 3 | N/A | 5 | 15 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
IMAS | Europa FM | 2020-03-05 | 2020-03-26 | N | 1010 | N/A | 0.1 | 23.9 | 12.5 | 36.7 | 3.5 | 4.5 | 3.5 | 6.5 | 5.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
IMAS | Europa FM | 2020-02-11 | 2020-02-28 | N | 1010 | N/A | 0.1 | 25.8 | 10.0 | 40.7 | 4.3 | 4.4 | 3.6 | 3.5 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
IMAS | Europa FM | 2020-01-13 | 2020-01-31 | N | 1011 | N/A | 0.1 | 20.6 | 12.3 | 47.4 | 3.2 | 4.7 | 1.8 | 3.4 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
CURS | STIRIPESURSE.RO | 2020-01-20 | 2020-01-30 | N | 1229 | N/A | 1 | 26 | N/A | 37 | 4 | 5 | 4 | N/A | 6 | 14 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Sociopol | N/A | 2019-12-13 | 2019-12-18 | N | 1000 | N/A | 1 | 23 | 13 | 47 | 2 | 4 | 3 | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3
IMAS | Europa FM | 2019-12-04 | 2019-12-18 | N | 1011 | N/A | 0.1 | 18.3 | 11.4 | 44.6 | 3.5 | 5.0 | 3.0 | 3.5 | 6.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.6
CURS | STIRIPESURSE.RO | 2019-12-12 | 2019-12-17 | N | 1067 | N/A | 1 | 31 | N/A | 35 | 4 | 4 | 5 | N/A | 6 | 14 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
IMAS | Europa FM | 2019-11-11 | 2019-11-27 | N | 1011 | N/A | 0.1 | 21.3 | 12.6 | 39.0 | 3.3 | 4.2 | 2.9 | 5.6 | 6.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.7
USR | N/A | 2019-10-25 | 2019-11-03 | N | 1225 | N/A | 0.1 | 24.0 | N/A | 38.2 | N/A | 4.5 | 4.3 | N/A | 4.8 | 20 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
IMAS | Europa FM | 2019-10-08 | 2019-10-28 | N | 1010 | N/A | 0.1 | 21.2 | 16.4 | 29.6 | 4.3 | 5.5 | 3.4 | 4.5 | 10.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.4
USR | N/A | 2019-10-15 | 2019-10-23 | N | N/A | N/A | 0.1 | 22.3 | 17.8 | 32.9 | 3.6 | N/A | 5.8 | 3.6 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.6
BCS | N/A | 2019-10-12 | 2019-10-19 | N | 1117 | N/A | 0.1 | 21.2 | 14.9 | 32.3 | 5.0 | 2.9 | 5.0 | 5.1 | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11.1
IMAS | Europa FM | 2019-09-05 | 2019-09-28 | N | 1010 | N/A | 0.1 | 20.5 | 18.8 | 29.2 | 6.4 | 5.5 | 3.4 | 5.4 | 9.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
