Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | H | Ap | FrP | Sp | SV | V | KrF | MDG | R | ND | INP | Lib | Pp | K | Kp | Hp | FP | Other
Opinion Perduco | ABC Nyheter and Altinget | 2023-10-02 | 2023-10-02 | N | 1000 | 79 | 0.1 | 25.6 | 20.2 | 12.3 | 6.0 | 9.1 | 6.0 | 3.3 | 4.1 | 6.6 | N/A | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | 2.1
Verian | TV2 | 2023-10-02 | 2023-10-02 | N | N/A | N/A | 0.1 | 27.0 | 20.6 | 12.6 | 6.1 | 8.7 | 6.5 | 4.1 | 3.8 | 4.9 | N/A | 4.3 | N/A | 0.9 | 0.3 | N/A | N/A | N/A | 0.3
Norstat | Aftenposten and NRK | 2023-09-21 | 2023-09-27 | N | 992 | N/A | 0.1 | 27.6 | 21.0 | 11.6 | 6.6 | 8.7 | 5.8 | 3.0 | 3.8 | 5.3 | N/A | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | 0.3
Respons Analyse | VG | 2023-09-20 | 2023-09-22 | N | 1000 | N/A | 0.1 | 27.2 | 20.8 | 11.2 | 7.7 | 8.7 | 7.2 | 2.9 | 4.3 | 5.6 | 0.4 | 2.6 | 0.2 | 0.2 | 0.5 | N/A | N/A | N/A | 0.5
Respons Analyse | VG | 2023-09-04 | 2023-09-07 | N | 1001 | N/A | 0.1 | 29.0 | 20.3 | 12.4 | 7.1 | 7.4 | 4.8 | 4.1 | 4.9 | 4.6 | N/A | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Norfakta | Klassekampen and Nationen | 2023-09-05 | 2023-09-06 | N | 1005 | 81 | 0.1 | 27.8 | 19.8 | 13.1 | 6.9 | 8.5 | 6.2 | 3.4 | 4.0 | 4.1 | 0.5 | 2.2 | 0.5 | 0.9 | 1.0 | N/A | N/A | 0.1 | 0.3
Opinion Perduco | Dagsavisen, Fagbladet and FriFagbevegelse | 2023-09-04 | 2023-09-06 | N | 1000 | 73 | 0.1 | 28.3 | 20.7 | 13.0 | 6.6 | 7.2 | 5.1 | 3.9 | 3.7 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.2
InFact | Nettavisen | 2023-09-05 | 2023-09-05 | N | 1053 | N/A | 0.1 | 26.0 | 19.3 | 14.3 | 5.5 | 8.8 | 5.0 | 4.7 | 4.3 | 5.5 | N/A | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Norstat | Aftenposten and NRK | 2023-09-05 | 2023-09-05 | N | N/A | N/A | 0.1 | 29.1 | 18.4 | 14.1 | 5.5 | 9.3 | 5.0 | 3.2 | 4.4 | 5.7 | N/A | 1.9 | N/A | 1.3 | 0.7 | N/A | N/A | N/A | 1.4
Norstat | Dagbladet and Vårt Land | 2023-08-29 | 2023-09-01 | N | 992 | 72.3 | 0.1 | 27.5 | 17.5 | 13.8 | 6.8 | 10.2 | 5.4 | 3.5 | 3.7 | 6.0 | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
Opinion Perduco | ABC Nyheter and Altinget | 2023-08-24 | 2023-08-30 | N | 1000 | N/A | 0.1 | 30.0 | 20.9 | 12.8 | 4.7 | 10.0 | 4.6 | 3.7 | 3.3 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.3
Verian | TV2 | 2023-08-23 | 2023-08-28 | N | 1300 | N/A | 0.1 | 29.9 | 18.1 | 12.4 | 5.4 | 8.4 | 5.1 | 3.6 | 4.0 | 5.5 | N/A | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2023-08-08 | 2023-08-15 | N | 1001 | N/A | 0.1 | 30.3 | 18.0 | 14.2 | 5.7 | 9.4 | 4.6 | 3.4 | 3.6 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.3
Respons Analyse | VG | 2023-08-09 | 2023-08-14 | N | 1002 | N/A | 0.1 | 30.6 | 19.8 | 12.1 | 7.8 | 7.4 | 4.4 | 4.3 | 4.7 | 5.0 | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Norstat | Dagbladet and Vårt Land | 2023-08-08 | 2023-08-14 | N | 1000 | N/A | 0.1 | 28.3 | 19.1 | 12.2 | 6.3 | 8.1 | 6.3 | 3.9 | 4.2 | 4.1 | 0.7 | 4.8 | N/A | 1.1 | 0.5 | N/A | N/A | N/A | 0.4
Norstat | Aftenposten and NRK | 2023-08-08 | 2023-08-14 | N | 985 | 71.2 | 0.1 | 31.1 | 17.4 | 12.7 | 6.6 | 9.6 | 4.5 | 3.1 | 3.2 | 5.3 | N/A | 2.1 | 0.2 | 0.7 | 0.3 | N/A | N/A | 0.5 | 2.7
Opinion Perduco | ABC Nyheter and Altinget | 2023-08-01 | 2023-08-07 | N | 1000 | 68 | 0.1 | 33.0 | 17.7 | 11.7 | 6.0 | 8.8 | 3.1 | 3.6 | 5.0 | 4.9 | N/A | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | 3.4
Kantar TNS | TV2 | 2023-07-31 | 2023-08-04 | N | 986 | N/A | 0.1 | 31.5 | 17.8 | 12.4 | 7.5 | 8.0 | 5.2 | 2.5 | 3.2 | 3.8 | 1.7 | 3.0 | 0.2 | N/A | 1.2 | 0.1 | N/A | N/A | 0.9
InFact | Nettavisen | 2023-08-03 | 2023-08-03 | N | 1039 | N/A | 0.1 | 26.8 | 19.1 | 13.8 | 7.3 | 8.7 | 6.0 | 2.9 | 3.2 | 5.4 | N/A | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | 2.1
Norfakta | Klassekampen and Nationen | 2023-08-01 | 2023-08-02 | N | 1002 | 74 | 0.1 | 31.8 | 18.8 | 12.2 | 4.9 | 9.1 | 4.8 | 4.3 | 3.8 | 5.6 | 0.9 | 2.2 | 0.5 | 0.5 | 0.2 | N/A | N/A | 0.1 | 0.3
InFact | Nettavisen | 2023-07-06 | 2023-07-06 | N | 1001 | N/A | 0.1 | 29.0 | 20.8 | 14.6 | 7.5 | 6.8 | 3.8 | 3.8 | 3.9 | 4.9 | N/A | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Norfakta | Klassekampen and Nationen | 2023-07-04 | 2023-07-05 | N | 1004 | 75 | 0.1 | 30.5 | 18.5 | 13.8 | 6.5 | 8.0 | 5.7 | 3.1 | 2.8 | 5.8 | 0.6 | 3.0 | 0.5 | 0.2 | 0.5 | 0.2 | N/A | N/A | 0.4
Norstat | Dagbladet and Vårt Land | 2023-06-12 | 2023-06-17 | N | 987 | N/A | 0.1 | 30.9 | 20.1 | 11.5 | 6.7 | 7.6 | 4.7 | 3.9 | 3.6 | 5.1 | N/A | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Respons Analyse | VG | 2023-06-07 | 2023-06-12 | N | 1000 | 76.3 | 0.1 | 32.1 | 19.8 | 10.7 | 5.7 | 9.2 | 4.8 | 3.0 | 3.7 | 6.3 | N/A | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Norfakta | Klassekampen and Nationen | 2023-06-06 | 2023-06-07 | N | 1002 | N/A | 0.1 | 31.6 | 18.4 | 13.0 | 6.5 | 7.9 | 4.0 | 4.1 | 3.3 | 5.8 | 1.0 | 1.3 | 1.2 | 0.4 | 0.4 | N/A | N/A | N/A | 1.1
InFact | Nettavisen | 2023-06-05 | 2023-06-05 | N | 1005 | N/A | 0.1 | 29.8 | 19.9 | 11.7 | 6.2 | 8.4 | 4.4 | 4.4 | 3.6 | 4.7 | N/A | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2023-05-30 | 2023-06-05 | N | 1000 | 68 | 0.1 | 31.8 | 17.6 | 14.1 | 5.7 | 8.2 | 4.5 | 4.5 | 3.8 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.9
Kantar TNS | TV2 | 2023-05-31 | 2023-06-02 | N | 984 | N/A | 0.1 | 31.7 | 18.0 | 11.4 | 6.5 | 8.2 | 4.5 | 4.1 | 3.6 | 7.2 | 0.4 | 2.3 | 0.5 | 0.5 | 0.4 | N/A | N/A | N/A | 0.7
Norstat | Aftenposten and NRK | 2023-05-24 | 2023-05-30 | N | 991 | 68.5 | 0.1 | 31.0 | 18.7 | 13.4 | 7.1 | 7.4 | 4.6 | 2.9 | 3.2 | 6.6 | N/A | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Opinion Perduco | ABC Nyheter and Altinget | 2023-05-23 | 2023-05-30 | N | 1006 | 71 | 0.1 | 32.1 | 16.3 | 13.2 | 5.2 | 8.3 | 4.5 | 3.1 | 3.8 | 8.6 | 0.8 | 2.2 | N/A | 0.6 | 0.8 | N/A | N/A | 0.2 | 0.2
Norstat | Vårt Land | 2023-05-15 | 2023-05-19 | N | 1000 | N/A | 0.1 | 34.1 | 18.4 | 11.9 | 5.2 | 9.1 | 4.7 | 3.4 | 3.8 | 5.3 | 1.3 | 1.6 | N/A | 0.5 | N/A | N/A | N/A | N/A | 0.6
Respons Analyse | VG | 2023-05-03 | 2023-05-08 | N | 1000 | N/A | 0.1 | 31.8 | 19.5 | 14.2 | 6.5 | 7.6 | 4.7 | 3.9 | 3.1 | 6.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2023-05-02 | 2023-05-08 | N | 1000 | N/A | 0.1 | 30.3 | 17.9 | 13.4 | 6.5 | 8.1 | 4.2 | 4.1 | 3.7 | 7.0 | 0.3 | 3.0 | N/A | 0.2 | 0.7 | N/A | N/A | 0.1 | 0.4
Norfakta | Klassekampen and Nationen | 2023-05-02 | 2023-05-03 | N | 1000 | 75.0 | 0.1 | 31.8 | 17.0 | 12.3 | 5.9 | 8.4 | 5.5 | 4.2 | 3.6 | 5.3 | 0.5 | 2.6 | 1.2 | 0.4 | 0.3 | N/A | N/A | N/A | 1.0
InFact | Nettavisen | 2023-05-02 | 2023-05-02 | N | 1005 | N/A | 0.1 | 32.1 | 18.8 | 10.9 | 6.5 | 9.1 | 3.7 | 4.2 | 4.9 | 5.1 | 0.8 | 1.8 | 0.2 | N/A | 0.9 | N/A | 0.2 | 0.3 | 0.6
Kantar TNS | TV2 | 2023-04-24 | 2023-04-30 | N | 2000 | 77.3 | 0.1 | 31.2 | 19.8 | 10.6 | 6.3 | 8.5 | 4.7 | 4.1 | 3.6 | 5.7 | 1.0 | 2.4 | 0.4 | 0.5 | 0.5 | N/A | 0.1 | 0.2 | 0.5
Opinion Perduco | ABC Nyheter and Altinget | 2023-04-25 | 2023-04-29 | N | 1000 | N/A | 0.1 | 29.8 | 17.7 | 12.5 | 5.5 | 8.9 | 4.7 | 4.4 | 3.8 | 5.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.8
Norstat | Aftenposten and NRK | 2023-04-24 | 2023-04-29 | N | 975 | N/A | 0.1 | 32.6 | 20.1 | 10.6 | 6.8 | 8.5 | 3.7 | 3.8 | 3.3 | 5.4 | 0.8 | 1.9 | N/A | 1.1 | 0.6 | N/A | N/A | N/A | 0.8
Respons Analyse | VG | 2023-04-12 | 2023-04-17 | N | 1000 | N/A | 0.1 | 31.8 | 18.6 | 12.8 | 5.6 | 8.0 | 4.6 | 3.9 | 4.2 | 5.2 | N/A | 2.5 | 0.6 | 0.8 | N/A | N/A | N/A | 0.3 | 1.1
Norstat | Dagbladet and Vårt Land | 2023-04-12 | 2023-04-15 | N | 991 | N/A | 0.1 | 31.6 | 19.3 | 9.8 | 5.0 | 8.8 | 5.4 | 2.8 | 4.8 | 5.4 | N/A | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
Norfakta | Klassekampen and Nationen | 2023-04-11 | 2023-04-12 | N | 1002 | N/A | 0.1 | 30.8 | 18.6 | 12.3 | 6.3 | 10.0 | 4.9 | 4.0 | 3.4 | 5.3 | 0.9 | 0.9 | 0.2 | 0.9 | 0.1 | N/A | N/A | 0.4 | 1.0
InFact | Nettavisen | 2023-04-11 | 2023-04-11 | N | 1000 | N/A | 0.1 | 32.2 | 17.6 | 11.1 | 5.7 | 8.0 | 5.5 | 4.6 | 3.2 | 6.2 | 1.1 | 2.1 | 0.5 | 0.3 | 0.4 | N/A | 0.4 | 0.4 | 0.7
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2023-04-03 | 2023-04-04 | N | 1000 | 68.0 | 0.1 | 32.2 | 16.9 | 14.8 | 5.8 | 6.8 | 4.6 | 3.9 | 3.6 | 6.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.8
Kantar TNS | TV2 | 2023-03-27 | 2023-03-31 | N | 977 | N/A | 0.1 | 30.6 | 18.0 | 12.6 | 5.6 | 9.9 | 4.3 | 3.1 | 4.0 | 6.4 | 1.7 | 1.5 | N/A | 0.3 | 0.9 | 0.2 | N/A | 0.2 | 0.8
Norstat | Aftenposten and NRK | 2023-03-22 | 2023-03-29 | N | 992 | 72.4 | 0.1 | 33.8 | 17.1 | 10.6 | 5.7 | 9.6 | 4.9 | 3.7 | 2.8 | 5.6 | N/A | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | 3.4
Opinion Perduco | ABC Nyheter and Altinget | 2023-03-21 | 2023-03-27 | N | N/A | N/A | 0.1 | 34.2 | 16.2 | 12.5 | 5.8 | 8.1 | 5.4 | 4.0 | 2.9 | 6.1 | N/A | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | 2.1
Norstat | Dagbladet and Vårt Land | 2023-03-13 | 2023-03-20 | N | 988 | N/A | 0.1 | 34.6 | 17.0 | 11.4 | 5.5 | 10.2 | 5.0 | 4.0 | 2.9 | 6.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Respons Analyse | VG | 2023-03-08 | 2023-03-13 | N | 1000 | N/A | 0.1 | 30.9 | 18.1 | 10.0 | 6.3 | 9.1 | 5.5 | 3.9 | 4.0 | 6.3 | N/A | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | 1.9
Norfakta | Klassekampen and Nationen | 2023-03-07 | 2023-03-08 | N | 1000 | 74.0 | 0.1 | 32.9 | 16.5 | 11.0 | 7.2 | 10.6 | 3.6 | 3.7 | 3.3 | 5.4 | 0.7 | 2.2 | N/A | 0.2 | 0.8 | N/A | N/A | 0.1 | 1.8
InFact | Nettavisen | 2023-03-06 | 2023-03-06 | N | 1003 | N/A | 0.1 | 28.9 | 19.6 | 13.7 | 4.9 | 7.5 | 4.9 | 3.8 | 5.2 | 6.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.7
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2023-02-28 | 2023-03-06 | N | 999 | N/A | 0.1 | 36.9 | 15.5 | 12.2 | 6.2 | 7.9 | 4.8 | 4.1 | 2.4 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.0
Kantar TNS | TV2 | 2023-02-27 | 2023-03-03 | N | 992 | N/A | 0.1 | 29.9 | 16.5 | 14.4 | 9.4 | 9.4 | 4.7 | 4.3 | 3.5 | 5.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Norstat | Aftenposten and NRK | 2023-02-23 | 2023-02-28 | N | 985 | 71.0 | 0.1 | 30.6 | 18.5 | 11.8 | 7.2 | 9.0 | 5.1 | 3.5 | 3.6 | 7.0 | N/A | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | 1.9
Opinion Perduco | ABC Nyheter and Altinget | 2023-02-21 | 2023-02-27 | N | 1053 | 70.0 | 0.1 | 32.5 | 16.0 | 13.6 | 6.0 | 9.2 | 3.9 | 3.4 | 3.4 | 6.9 | 1.4 | 2.1 | 0.2 | 0.6 | 0.3 | N/A | N/A | N/A | 0.4
Respons Analyse | VG | 2023-02-08 | 2023-02-13 | N | 1000 | N/A | 0.1 | 32.4 | 18.6 | 12.8 | 5.3 | 9.5 | 4.8 | 3.5 | 2.3 | 6.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.5
Norfakta | Klassekampen and Nationen | 2023-02-07 | 2023-02-08 | N | 1001 | 73.0 | 0.1 | 34.6 | 21.0 | 10.9 | 5.4 | 6.9 | 4.3 | 4.6 | 2.2 | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
InFact | Nettavisen | 2023-02-06 | 2023-02-06 | N | 1032 | N/A | 0.1 | 30.8 | 21.2 | 12.3 | 5.6 | 8.2 | 3.1 | 3.3 | 3.5 | 6.9 | 0.7 | 2.1 | 0.2 | 0.5 | 0.4 | N/A | 0.4 | 0.1 | 0.7
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2023-02-06 | 2023-02-06 | N | 992 | 68.0 | 0.1 | 31.9 | 16.8 | 12.8 | 5.1 | 8.8 | 4.1 | 3.9 | 3.6 | 7.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.1
Kantar TNS | TV2 | 2023-02-05 | 2023-02-05 | N | 977 | N/A | 0.1 | 29.0 | 16.9 | 13.1 | 7.4 | 10.0 | 4.6 | 2.4 | 3.8 | 6.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.0
Norstat | Aftenposten and NRK | 2023-01-25 | 2023-01-31 | N | 986 | N/A | 0.1 | 31.0 | 17.5 | 14.5 | 5.4 | 8.4 | 4.9 | 3.5 | 4.0 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.8
Opinion Perduco | ABC Nyheter and Altinget | 2023-01-24 | 2023-01-27 | N | 1003 | N/A | 0.1 | 31.9 | 17.4 | 12.6 | 5.5 | 8.0 | 5.0 | 4.0 | 4.3 | 6.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.9
InFact | Nettavisen | 2023-01-11 | 2023-01-11 | N | 1044 | N/A | 0.1 | 29.1 | 20.5 | 13.1 | 6.0 | 7.8 | 3.9 | 4.2 | 3.4 | 6.8 | 1.1 | 2.0 | 0.4 | 0.2 | 0.4 | N/A | 0.2 | 0.4 | 0.6
Respons Analyse | VG | 2023-01-04 | 2023-01-09 | N | 1001 | N/A | 0.1 | 30.1 | 19.2 | 13.1 | 6.9 | 8.7 | 4.8 | 2.8 | 3.9 | 5.8 | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2023-01-03 | 2023-01-09 | N | 1000 | N/A | 0.1 | 33.5 | 18.5 | 12.4 | 7.1 | 7.6 | 3.4 | 3.6 | 2.6 | 6.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.1
Kantar TNS | TV2 | 2023-01-03 | 2023-01-06 | N | 990 | N/A | 0.1 | 30.4 | 19.5 | 13.9 | 6.2 | 8.7 | 4.6 | 3.0 | 3.2 | 6.3 | 0.6 | 2.5 | 0.1 | 0.5 | 0.5 | N/A | N/A | 0.1 | 0.0
Norfakta | Klassekampen and Nationen | 2023-01-03 | 2023-01-04 | N | 1006 | N/A | 0.1 | 31.3 | 19.1 | 12.5 | 4.5 | 9.4 | 4.0 | 3.9 | 4.2 | 6.5 | 0.9 | 1.5 | N/A | 0.1 | 0.2 | N/A | 0.2 | N/A | 1.6
Opinion Perduco | ABC Nyheter | 2023-01-03 | 2023-01-04 | N | 967 | N/A | 0.1 | 31.0 | 17.7 | 13.2 | 6.3 | 9.5 | 4.0 | 2.4 | 4.1 | 6.9 | N/A | 1.4 | 0.3 | 0.3 | 0.3 | N/A | 0.3 | 0.2 | 2.1
Norstat | Aftenposten and NRK | 2022-12-27 | 2023-01-02 | N | 955 | N/A | 0.1 | 30.9 | 19.4 | 11.9 | 5.9 | 8.4 | 5.1 | 2.6 | 4.0 | 5.4 | 1.6 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
Norstat | Vårt Land | 2022-12-13 | 2022-12-17 | N | 947 | N/A | 0.1 | 35.6 | 14.6 | 14.2 | 3.8 | 8.8 | 4.2 | 3.1 | 4.1 | 7.7 | N/A | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Ipsos | Dagbladet | 2022-12-12 | 2022-12-14 | N | 889 | N/A | 0.1 | 29.1 | 19.9 | 11.8 | 6.2 | 9.6 | 4.6 | 3.4 | 4.1 | 6.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.0
Respons Analyse | VG | 2022-12-07 | 2022-12-12 | N | 1001 | N/A | 0.1 | 32.8 | 18.2 | 13.4 | 4.5 | 9.3 | 3.6 | 3.7 | 2.6 | 7.2 | 2.0 | 1.3 | N/A | 0.2 | 0.2 | N/A | N/A | N/A | 1.0
Sentio | Amedia and Nettavisen | 2022-12-06 | 2022-12-10 | N | 1000 | N/A | 0.1 | 32.8 | 17.7 | 10.2 | 5.9 | 9.3 | 4.6 | 2.8 | 4.1 | 7.5 | 1.0 | 1.7 | N/A | 1.5 | 0.2 | N/A | 0.2 | 0.4 | 0.1
Norfakta | Klassekampen and Nationen | 2022-12-06 | 2022-12-07 | N | 1007 | N/A | 0.1 | 32.8 | 16.3 | 11.6 | 7.1 | 9.5 | 4.5 | 3.3 | 3.6 | 7.2 | 1.2 | 1.0 | 0.6 | 0.5 | 0.7 | N/A | N/A | N/A | 0.1
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2022-11-29 | 2022-12-05 | N | 967 | N/A | 0.1 | 32.7 | 18.1 | 12.2 | 5.4 | 9.5 | 5.8 | 3.4 | 3.2 | 6.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
