Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Kok | SDP | Kesk | Vihr | Vas | PS | SFP | KD | Korj | Liik | VKK | Other
Taloustutkimus | Yle | 2022-11-07 | 2022-12-05 | N | 2709 | 70.9 | 0.1 | 24.0 | 18.9 | 9.0 | 9.7 | 8.9 | 17.4 | 4.6 | 4.0 | N/A | 1.6 | N/A | 1.9
Kantar TNS | Helsingin Sanomat | 2022-10-17 | 2022-11-11 | N | 2416 | 68.0 | 0.1 | 24.2 | 19.3 | 10.1 | 9.2 | 8.0 | 17.4 | 4.4 | 3.3 | N/A | 1.9 | N/A | 2.2
Taloustutkimus | Yle | 2022-10-10 | 2022-11-01 | N | 2502 | 69.2 | 0.1 | 23.9 | 18.2 | 10.9 | 10.1 | 8.5 | 16.7 | 5.0 | 3.0 | N/A | 1.7 | N/A | 2.0
Kantar TNS | Helsingin Sanomat | 2022-09-12 | 2022-10-14 | N | 2462 | 69.0 | 0.1 | 24.2 | 19.0 | 10.4 | 9.0 | 8.3 | 17.3 | 4.6 | 3.2 | N/A | 1.7 | N/A | 2.3
Taloustutkimus | Yle | 2022-09-08 | 2022-10-04 | N | 2714 | 69.4 | 0.1 | 24.2 | 19.3 | 10.3 | 9.4 | 8.4 | 17.1 | 4.2 | 3.3 | N/A | 1.7 | N/A | 2.1
Kantar TNS | Helsingin Sanomat | 2022-08-15 | 2022-09-11 | N | 2460 | 74.0 | 0.1 | 23.6 | 19.2 | 11.8 | 9.6 | 8.0 | 16.1 | 4.4 | 3.4 | N/A | 2.0 | N/A | 1.9
Taloustutkimus | Yle | 2022-08-08 | 2022-09-06 | N | 2973 | 71.7 | 0.1 | 24.2 | 19.4 | 11.7 | 9.6 | 8.1 | 16.2 | 4.1 | 3.0 | N/A | 1.8 | N/A | 1.9
Kantar TNS | Helsingin Sanomat | 2022-07-18 | 2022-08-12 | N | 2586 | 66.0 | 0.1 | 23.0 | 20.1 | 11.0 | 9.9 | 7.6 | 16.0 | 4.5 | 3.4 | N/A | 2.3 | N/A | 2.2
Taloustutkimus | Yle | 2022-07-06 | 2022-08-02 | N | 2831 | 70.5 | 0.1 | 23.4 | 20.3 | 11.0 | 9.3 | 8.1 | 16.1 | 4.4 | 3.0 | N/A | 2.2 | N/A | 2.2
Kantar TNS | Helsingin Sanomat | 2022-06-13 | 2022-07-12 | N | 2460 | N/A | 0.1 | 23.9 | 19.9 | 11.6 | 9.8 | 7.7 | 14.7 | 4.6 | 3.6 | N/A | 2.2 | N/A | 2.0
Taloustutkimus | Yle | 2022-06-06 | 2022-07-05 | N | 2348 | 72.1 | 0.1 | 23.7 | 19.8 | 11.8 | 9.7 | 7.8 | 15.3 | 4.6 | 3.3 | N/A | 2.1 | N/A | 1.9
Kantar TNS | Helsingin Sanomat | 2022-05-16 | 2022-06-10 | N | 2442 | 66.0 | 0.1 | 24.4 | 19.4 | 12.2 | 8.9 | 7.5 | 14.5 | 4.5 | 3.6 | N/A | 2.4 | N/A | 2.6
Taloustutkimus | Yle | 2022-05-04 | 2022-05-31 | N | 2899 | 70.9 | 0.1 | 25.9 | 18.7 | 12.1 | 9.4 | 8.0 | 14.9 | 4.8 | 3.0 | N/A | 1.9 | N/A | 1.3
Kantar TNS | Helsingin Sanomat | 2022-04-18 | 2022-05-13 | N | 2420 | 74.0 | 0.1 | 24.1 | 18.7 | 12.7 | 9.1 | 7.6 | 15.4 | 4.4 | 3.6 | N/A | 2.4 | N/A | 2.0
Taloustutkimus | Yle | 2022-04-07 | 2022-05-03 | N | 2657 | 74.8 | 0.1 | 24.1 | 17.9 | 13.5 | 8.8 | 9.0 | 14.6 | 4.3 | 3.3 | N/A | 2.3 | N/A | 2.2
Kantar TNS | Helsingin Sanomat | 2022-03-14 | 2022-04-13 | N | 2612 | N/A | 0.1 | 24.1 | 19.5 | 12.4 | 9.0 | 8.1 | 14.2 | 4.5 | 3.6 | N/A | 2.6 | N/A | 2.0
Taloustutkimus | Yle | 2022-03-02 | 2022-04-05 | N | 2740 | 73.2 | 0.1 | 26.1 | 19.0 | 12.3 | 8.9 | 8.4 | 13.6 | 4.2 | 3.0 | N/A | 2.6 | N/A | 1.9
Kantar TNS | Helsingin Sanomat | 2022-02-14 | 2022-03-11 | N | 2382 | N/A | 0.1 | 22.5 | 18.9 | 13.2 | 9.2 | 8.5 | 14.7 | 4.4 | 3.3 | N/A | 2.7 | 1.1 | 1.5
Taloustutkimus | Yle | 2022-02-02 | 2022-03-01 | N | 2727 | 73.7 | 0.1 | 22.6 | 18.5 | 13.4 | 9.3 | 9.1 | 15.6 | 4.8 | 3.1 | N/A | 2.3 | N/A | 1.3
Kantar TNS | Helsingin Sanomat | 2022-01-17 | 2022-02-11 | N | 2390 | N/A | 0.1 | 21.9 | 19.1 | 14.0 | 9.3 | 8.2 | 15.4 | 4.3 | 3.3 | N/A | 2.5 | N/A | 2.0
Taloustutkimus | Yle | 2022-01-09 | 2022-02-01 | N | 2727 | 72.7 | 0.1 | 21.2 | 19.0 | 12.7 | 9.7 | 9.0 | 15.0 | 4.7 | 3.4 | N/A | 2.8 | 0.5 | 2.0
Taloustutkimus | Yle | 2021-12-01 | 2022-01-04 | N | 2245 | 68.2 | 0.1 | 20.6 | 18.9 | 12.5 | 10.0 | 8.0 | 18.3 | 3.8 | 3.2 | N/A | 2.1 | N/A | 2.6
Kantar TNS | Helsingin Sanomat | 2021-11-16 | 2021-12-10 | N | 2384 | N/A | 0.1 | 21.4 | 19.3 | 11.9 | 9.8 | 8.0 | 17.5 | 4.5 | 3.3 | N/A | 2.3 | N/A | 2.0
Taloustutkimus | Yle | 2021-11-03 | 2021-11-30 | N | 2411 | 68.4 | 0.1 | 21.8 | 18.3 | 12.5 | 10.1 | 8.2 | 18.7 | 4.6 | 2.9 | N/A | 1.6 | N/A | 1.3
Kantar TNS | Helsingin Sanomat | 2021-10-18 | 2021-11-15 | N | 2402 | N/A | 0.1 | 21.1 | 19.4 | 11.9 | 10.5 | 7.6 | 18.0 | 4.3 | 3.3 | N/A | 2.1 | N/A | 1.8
Taloustutkimus | Yle | 2021-10-06 | 2021-11-02 | N | 2535 | 69.2 | 0.1 | 20.9 | 18.1 | 11.9 | 11.4 | 8.6 | 17.9 | 5.2 | 2.6 | N/A | 1.7 | N/A | 1.7
Kantar TNS | Helsingin Sanomat | 2021-09-18 | 2021-10-15 | N | 2392 | 70.0 | 0.1 | 21.2 | 18.5 | 12.5 | 10.1 | 7.7 | 17.8 | 4.5 | 3.6 | N/A | 2.2 | N/A | 1.9
Taloustutkimus | Yle | 2021-09-01 | 2021-10-05 | N | 2538 | 69.1 | 0.1 | 20.9 | 19.3 | 12.6 | 10.4 | 8.6 | 17.7 | 4.1 | 3.2 | N/A | 1.7 | N/A | 1.5
Kantar TNS | Helsingin Sanomat | 2021-08-23 | 2021-09-17 | N | 2384 | 74.0 | 0.1 | 20.8 | 18.4 | 12.9 | 10.5 | 7.8 | 17.4 | 4.5 | 3.6 | N/A | 2.2 | N/A | 1.9
Taloustutkimus | Yle | 2021-08-04 | 2021-08-31 | N | 2369 | 72.0 | 0.1 | 21.3 | 18.7 | 12.2 | 11.4 | 7.6 | 17.6 | 4.4 | 3.3 | N/A | 2.5 | N/A | 1.0
Kantar TNS | Helsingin Sanomat | 2021-07-26 | 2021-08-20 | N | 2466 | 71.0 | 0.1 | 19.8 | 19.2 | 12.9 | 10.8 | 7.9 | 17.2 | 4.4 | 3.6 | N/A | 2.3 | N/A | 1.9
Taloustutkimus | Yle | 2021-07-12 | 2021-08-03 | N | 2386 | 72.4 | 0.1 | 20.5 | 19.0 | 12.3 | 10.9 | 8.6 | 17.9 | 4.3 | 3.4 | N/A | 1.8 | N/A | 1.3
Kantar TNS | Helsingin Sanomat | 2021-06-21 | 2021-07-20 | N | 2512 | N/A | 0.1 | 19.9 | 19.2 | 12.6 | 10.2 | 8.2 | 17.8 | 4.4 | 3.7 | N/A | 2.0 | N/A | 2.0
Taloustutkimus | Yle | 2021-06-14 | 2021-07-06 | N | 2634 | 70.9 | 0.1 | 19.8 | 19.6 | 13.5 | 10.4 | 8.0 | 17.8 | 4.5 | 3.3 | N/A | 1.9 | N/A | 1.2
Kantar TNS | Helsingin Sanomat | 2021-04-12 | 2021-05-07 | N | 2456 | N/A | 0.1 | 17.0 | 19.0 | 11.1 | 10.0 | 8.1 | 21.6 | 4.4 | 3.8 | N/A | 2.6 | N/A | 2.4
Kantar TNS | Helsingin Sanomat | 2021-03-15 | 2021-04-09 | N | 2462 | N/A | 0.1 | 16.2 | 19.7 | 11.4 | 10.0 | 7.8 | 21.6 | 4.3 | 3.8 | N/A | 2.5 | N/A | 2.7
Kantar TNS | Helsingin Sanomat | 2021-02-15 | 2021-03-12 | N | 2462 | N/A | 0.1 | 16.0 | 20.5 | 11.8 | 9.8 | 7.3 | 21.5 | 4.4 | 3.7 | N/A | 2.6 | N/A | 2.4
Kantar TNS | Helsingin Sanomat | 2021-01-18 | 2021-02-12 | N | 2480 | N/A | 0.1 | 16.4 | 21.0 | 11.0 | 9.9 | 7.6 | 21.1 | 4.2 | 3.7 | N/A | 2.4 | N/A | 2.7
Kantar TNS | Helsingin Sanomat | 2020-12-21 | 2021-01-15 | N | 2610 | 70.0 | 0.1 | 16.2 | 20.8 | 10.8 | 10.6 | 7.7 | 21.0 | 4.3 | 3.7 | N/A | 2.4 | N/A | 2.5
Taloustutkimus | Yle | 2020-12-02 | 2021-01-05 | N | 2221 | 67.7 | 0.1 | 16.2 | 21.4 | 11.7 | 11.4 | 7.6 | 21.9 | 4.3 | 2.8 | N/A | 1.3 | N/A | 1.4
Kantar TNS | Helsingin Sanomat | 2020-11-23 | 2020-12-18 | N | 2614 | 73.0 | 0.1 | 16.2 | 21.4 | 11.4 | 9.9 | 7.7 | 20.6 | 4.3 | 3.8 | N/A | 2.3 | N/A | 2.4
Taloustutkimus | Yle | 2020-11-09 | 2020-12-01 | N | 2707 | 69.5 | 0.1 | 15.9 | 20.6 | 12.1 | 11.6 | 7.2 | 20.9 | 4.4 | 3.0 | N/A | 2.2 | N/A | 2.1
Kantar TNS | Helsingin Sanomat | 2020-10-19 | 2020-11-20 | N | 2620 | 74.0 | 0.1 | 16.5 | 20.8 | 11.7 | 11.1 | 7.5 | 19.9 | 4.4 | 3.7 | N/A | 2.2 | N/A | 2.2
Taloustutkimus | Yle | 2020-10-12 | 2020-11-03 | N | 2457 | 67.6 | 0.1 | 16.6 | 21.2 | 12.4 | 10.8 | 7.7 | 19.5 | 4.3 | 4.0 | N/A | 1.6 | N/A | 1.9
Kantar TNS | Helsingin Sanomat | 2020-09-14 | 2020-10-16 | N | 2683 | 70.0 | 0.1 | 16.8 | 20.9 | 11.2 | 11.0 | 7.8 | 19.9 | 4.4 | 3.8 | N/A | 2.1 | N/A | 2.1
Taloustutkimus | Yle | 2020-09-07 | 2020-10-06 | N | 2284 | 67.1 | 0.1 | 17.7 | 21.8 | 11.5 | 10.9 | 7.9 | 19.0 | 4.5 | 3.3 | N/A | 1.8 | N/A | 1.6
Kantar TNS | Helsingin Sanomat | 2020-08-17 | 2020-09-12 | N | 2486 | 70.0 | 0.1 | 17.0 | 21.0 | 10.8 | 11.8 | 7.6 | 19.5 | 4.3 | 3.7 | N/A | 2.0 | N/A | 2.3
Taloustutkimus | Yle | 2020-08-10 | 2020-09-01 | N | 2442 | 67.9 | 0.1 | 18.3 | 21.4 | 11.3 | 11.7 | 8.0 | 18.8 | 4.1 | 3.0 | N/A | 1.3 | N/A | 2.1
Kantar TNS | Helsingin Sanomat | 2020-07-13 | 2020-08-14 | N | 2612 | 70.0 | 0.1 | 16.9 | 21.0 | 11.3 | 12.1 | 7.5 | 19.0 | 4.4 | 3.9 | N/A | 1.7 | N/A | 2.2
Taloustutkimus | Yle | 2020-07-06 | 2020-08-04 | N | 2435 | 67.9 | 0.1 | 17.3 | 23.4 | 10.5 | 11.6 | 8.1 | 18.9 | 4.0 | 3.6 | N/A | 1.2 | N/A | 1.4
Kantar TNS | Helsingin Sanomat | 2020-06-15 | 2020-07-10 | N | 2168 | 71.0 | 0.1 | 17.7 | 21.2 | 11.6 | 11.3 | 8.2 | 17.9 | 4.4 | 3.9 | N/A | 1.8 | N/A | 2.0
Taloustutkimus | Yle | 2020-06-03 | 2020-06-30 | N | 2451 | 66.6 | 0.1 | 17.9 | 21.9 | 11.4 | 10.9 | 8.7 | 18.1 | 4.3 | 3.4 | N/A | 1.8 | N/A | 1.6
Kantar TNS | Helsingin Sanomat | 2020-05-18 | 2020-06-14 | N | 2144 | N/A | 0.1 | 17.4 | 21.9 | 12.4 | 10.8 | 7.4 | 17.6 | 4.4 | 4.0 | N/A | 1.8 | N/A | 2.3
Taloustutkimus | Yle | 2020-05-11 | 2020-06-02 | N | 2447 | 66.4 | 0.1 | 17.5 | 23.2 | 10.7 | 11.9 | 7.8 | 18.1 | 3.9 | 3.5 | N/A | 2.3 | N/A | 1.1
Kantar TNS | Helsingin Sanomat | 2020-04-20 | 2020-05-14 | N | 2214 | 75.0 | 0.1 | 17.0 | 22.1 | 12.3 | 11.2 | 7.6 | 18.1 | 4.2 | 3.7 | N/A | 1.9 | N/A | 1.9
Taloustutkimus | Yle | 2020-04-14 | 2020-05-05 | N | 2448 | 66.5 | 0.1 | 18.2 | 22.1 | 12.2 | 11.4 | 7.7 | 17.9 | 4.1 | 3.7 | N/A | 1.5 | N/A | 1.2
Tietoykkönen | Iltalehti and Uusi Suomi | 2020-04-14 | 2020-04-29 | N | 1500 | 83.0 | 0.1 | 16.2 | 24.1 | 12.9 | 9.7 | 7.3 | 18.8 | 4.0 | 3.2 | N/A | 1.4 | N/A | 2.4
Kantar TNS | Helsingin Sanomat | 2020-03-16 | 2020-04-15 | N | 2360 | 73.0 | 0.1 | 16.8 | 20.4 | 12.6 | 11.2 | 7.4 | 20.2 | 4.2 | 3.5 | N/A | 2.0 | N/A | 1.7
Taloustutkimus | Yle | 2020-03-04 | 2020-04-07 | N | 3921 | 66.7 | 0.1 | 17.6 | 19.6 | 12.4 | 12.0 | 7.9 | 20.0 | 4.1 | 3.9 | N/A | 1.3 | N/A | 1.2
Tietoykkönen | Iltalehti and Uusi Suomi | 2020-03-20 | 2020-03-27 | N | 961 | N/A | 0.1 | 16.8 | 21.1 | 11.9 | 10.7 | 7.8 | 20.1 | 4.6 | 2.9 | N/A | 1.3 | N/A | 2.8
Kantar TNS | Helsingin Sanomat | 2020-02-15 | 2020-03-13 | N | 2234 | N/A | 0.1 | 16.9 | 17.1 | 12.0 | 12.4 | 8.0 | 21.6 | 4.4 | 3.7 | N/A | 1.9 | N/A | 2.0
Taloustutkimus | Yle | 2020-02-05 | 2020-03-03 | N | 3409 | 69.2 | 0.1 | 18.0 | 16.6 | 12.4 | 12.5 | 7.4 | 22.4 | 4.1 | 2.9 | N/A | 1.7 | N/A | 2.0
Kantar TNS | Helsingin Sanomat | 2020-01-19 | 2020-02-14 | N | 2204 | N/A | 0.1 | 17.3 | 16.3 | 12.0 | 12.3 | 7.7 | 22.4 | 4.2 | 3.6 | N/A | 1.9 | N/A | 2.3
Tietoykkönen | Iltalehti and Uusi Suomi | 2020-01-21 | 2020-02-10 | N | 1500 | 80.4 | 0.1 | 17.2 | 16.7 | 12.0 | 12.6 | 7.6 | 21.7 | 4.3 | 3.5 | N/A | 1.4 | N/A | 2.7
Taloustutkimus | Yle | 2020-01-13 | 2020-02-04 | N | 2944 | 69.9 | 0.1 | 17.5 | 16.0 | 10.8 | 13.3 | 8.3 | 23.3 | 4.4 | 3.0 | N/A | 1.3 | N/A | 2.1
Kantar TNS | Helsingin Sanomat | 2019-12-23 | 2020-01-17 | N | 2218 | N/A | 0.1 | 17.5 | 15.1 | 11.5 | 12.8 | 8.3 | 22.8 | 4.3 | 3.9 | N/A | 1.7 | N/A | 2.1
Taloustutkimus | Yle | 2019-12-09 | 2020-01-08 | N | 1461 | 69.3 | 0.1 | 19.3 | 14.9 | 12.0 | 12.0 | 8.1 | 24.3 | 3.9 | 2.2 | N/A | 1.4 | N/A | 1.9
Kantar TNS | Helsingin Sanomat | 2019-11-25 | 2019-12-20 | N | 2226 | 73.0 | 0.1 | 17.2 | 15.1 | 11.1 | 12.5 | 8.4 | 22.7 | 4.5 | 4.0 | N/A | 1.7 | N/A | 2.8
Taloustutkimus | Yle | 2019-11-11 | 2019-12-03 | N | 2944 | 70.1 | 0.1 | 18.6 | 13.2 | 10.6 | 13.9 | 8.4 | 24.3 | 3.9 | 3.9 | N/A | 1.2 | N/A | 2.0
Kantar TNS | Helsingin Sanomat | 2019-10-24 | 2019-11-21 | N | 2314 | 74.0 | 0.1 | 17.3 | 15.2 | 11.7 | 13.1 | 7.9 | 22.4 | 4.3 | 3.8 | N/A | 1.6 | N/A | 2.7
Taloustutkimus | Yle | 2019-10-02 | 2019-11-05 | N | 3414 | 70.2 | 0.1 | 17.3 | 13.9 | 12.9 | 14.2 | 7.9 | 23.0 | 4.3 | 3.2 | N/A | 1.6 | N/A | 1.6
Kantar TNS | Helsingin Sanomat | 2019-09-23 | 2019-10-21 | N | 2186 | 74.0 | 0.1 | 17.0 | 17.0 | 12.2 | 13.9 | 8.2 | 20.5 | 4.3 | 3.3 | N/A | 1.3 | N/A | 2.3
Tietoykkönen | Iltalehti and Uusi Suomi | 2019-09-17 | 2019-10-08 | N | 1500 | 82.7 | 0.1 | 17.2 | 17.2 | 12.5 | 13.2 | 7.7 | 20.4 | 4.2 | 3.2 | N/A | 1.6 | N/A | 2.8
Taloustutkimus | Yle | 2019-09-09 | 2019-10-01 | N | 2446 | 70.6 | 0.1 | 17.1 | 15.6 | 12.8 | 14.5 | 7.9 | 20.9 | 3.9 | 3.7 | N/A | 1.6 | N/A | 2.0
Kantar TNS | Helsingin Sanomat | 2019-08-26 | 2019-09-22 | N | 2236 | 74.0 | 0.1 | 17.3 | 17.3 | 11.9 | 14.2 | 8.2 | 19.8 | 4.4 | 3.4 | N/A | 1.5 | N/A | 2.0
Taloustutkimus | Yle | 2019-08-12 | 2019-09-03 | N | 2440 | 68.9 | 0.1 | 17.4 | 16.9 | 11.6 | 14.6 | 8.1 | 20.6 | 3.8 | 3.4 | N/A | 1.4 | N/A | 2.2
Kantar TNS | Helsingin Sanomat | 2019-07-29 | 2019-08-23 | N | 2235 | 73.0 | 0.1 | 17.4 | 17.2 | 12.1 | 13.7 | 8.3 | 20.0 | 4.4 | 3.8 | N/A | 1.0 | N/A | 2.1
Taloustutkimus | Yle | 2019-07-08 | 2019-08-06 | N | 2451 | 71.4 | 0.1 | 16.8 | 16.3 | 12.6 | 15.1 | 8.7 | 19.6 | 4.3 | 3.5 | N/A | 1.2 | N/A | 1.9
Kantar TNS | Helsingin Sanomat | 2019-07-01 | 2019-07-27 | N | 2248 | 72.0 | 0.1 | 16.7 | 16.5 | 12.2 | 14.0 | 8.1 | 20.7 | 4.5 | 3.9 | N/A | 1.1 | N/A | 2.3
Taloustutkimus | Yle | 2019-06-05 | 2019-07-02 | N | 2446 | 78.1 | 0.1 | 16.8 | 16.1 | 11.7 | 14.3 | 8.8 | 19.7 | 4.6 | 3.8 | N/A | 1.7 | N/A | 2.5
Kantar TNS | Helsingin Sanomat | 2019-06-03 | 2019-06-28 | N | 2326 | 73.0 | 0.1 | 17.3 | 17.5 | 13.1 | 13.1 | 8.0 | 19.2 | 4.4 | 3.7 | N/A | 1.4 | N/A | 2.3
Tietoykkönen | Iltalehti and Uusi Suomi | 2019-06-04 | 2019-06-14 | N | 1510 | 85.0 | 0.1 | 17.2 | 16.2 | 13.0 | 13.6 | 8.2 | 20.1 | 4.8 | 3.0 | N/A | N/A | N/A | 3.9
Taloustutkimus | Yle | 2019-05-13 | 2019-06-04 | N | 1436 | 76.4 | 0.1 | 16.7 | 17.4 | 12.4 | 13.9 | 7.8 | 19.5 | 4.5 | 3.6 | N/A | 1.7 | N/A | 2.5
Kantar TNS | Helsingin Sanomat | 2019-05-06 | 2019-06-02 | N | 2314 | 79.0 | 0.1 | 17.5 | 17.5 | 13.2 | 12.2 | 8.5 | 18.2 | 4.5 | 3.9 | N/A | 2.1 | N/A | 2.4
Taloustutkimus | Yle | 2019-04-23 | 2019-05-21 | E | 2456 | 51.8 | 0.1 | 19.7 | 14.3 | 13.0 | 17.2 | 7.9 | 17.0 | 5.2 | 4.2 | N/A | N/A | N/A | 1.5
Kantar TNS | Helsingin Sanomat | 2019-05-06 | 2019-05-18 | E | 2008 | N/A | 0.1 | 20.1 | 15.5 | 13.5 | 13.0 | 8.3 | 16.3 | 6.8 | 5.0 | N/A | N/A | N/A | 1.5
Tietoykkönen | Iltalehti and Uusi Suomi | 2019-05-03 | 2019-05-14 | N | 1508 | 85.0 | 0.1 | 17.9 | 16.4 | 13.4 | 12.1 | 9.4 | 19.2 | 4.7 | 3.5 | N/A | N/A | N/A | 3.4
Taloustutkimus | Yle | 2019-04-15 | 2019-05-07 | N | 1961 | N/A | 0.1 | 16.9 | 17.8 | 13.3 | 13.3 | 8.0 | 18.8 | 4.0 | 3.7 | N/A | 1.7 | N/A | 2.5
