Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | A | V | O | Ø | B | I | Å | F | C | K | D | E | P | G | M | Q | Æ | Other
Verian | Berlingske | 2024-03-24 | 2024-03-24 | N | N/A | N/A | 0.1 | 20.0 | 9.9 | 4.5 | 6.8 | 3.8 | 13.2 | 2.1 | 14.4 | 7.8 | N/A | 0.8 | N/A | N/A | N/A | 5.4 | N/A | 9.5 | 1.0
Voxmeter | N/A | 2024-03-11 | 2024-03-17 | N | 1002 | N/A | 0.1 | 20.3 | 9.5 | 3.7 | 7.7 | 4.5 | 15.0 | 2.4 | 14.5 | 6.2 | N/A | N/A | N/A | N/A | N/A | 6.4 | N/A | 9.0 | 0.8
Epinion | Altinget and DR | 2024-03-06 | 2024-03-13 | E | 1074 | N/A | 1 | 24 | 11 | 7 | 7 | 5 | 9 | 3 | 13 | 4 | N/A | N/A | N/A | N/A | N/A | 8 | N/A | 9 | N/A
Voxmeter | N/A | 2024-03-04 | 2024-03-10 | N | 1002 | N/A | 0.1 | 21.0 | 10.0 | 3.0 | 6.5 | 4.0 | 13.7 | 3.2 | 15.4 | 5.8 | N/A | N/A | N/A | N/A | N/A | 6.8 | N/A | 10.0 | 0.6
Ipsos | Euronews | 2024-02-23 | 2024-03-05 | E | 1000 | N/A | 0.5 | 21.0 | 10.5 | 5.0 | 8.0 | 6.0 | 13.0 | 2.0 | 12.0 | 6.0 | N/A | N/A | N/A | N/A | N/A | 7.0 | N/A | 8.5 | N/A
Voxmeter | N/A | 2024-02-25 | 2024-03-02 | N | 1000 | N/A | 0.1 | 21.4 | 9.9 | 3.4 | 6.9 | 4.6 | 14.4 | 2.5 | 14.2 | 5.0 | N/A | N/A | N/A | N/A | N/A | 8.0 | N/A | 8.9 | 0.8
Voxmeter | N/A | 2024-02-19 | 2024-02-25 | N | 1001 | N/A | 0.1 | 22.2 | 10.5 | 4.2 | 7.1 | 4.7 | 14.4 | 1.8 | 13.9 | 5.0 | N/A | N/A | N/A | N/A | N/A | 7.8 | N/A | 8.0 | 0.4
Voxmeter | N/A | 2024-02-12 | 2024-02-18 | N | 1004 | N/A | 0.1 | 22.9 | 10.0 | 4.8 | 7.6 | 4.5 | 15.3 | 1.6 | 13.2 | 4.0 | N/A | N/A | N/A | N/A | N/A | 7.5 | N/A | 7.4 | 1.2
Kantar | Berlingske | 2024-02-15 | 2024-02-15 | N | N/A | N/A | 0.1 | 21.5 | 10.0 | 4.6 | 7.9 | 4.5 | 13.3 | 1.9 | 13.3 | 5.2 | N/A | 0.0 | N/A | N/A | N/A | 6.5 | N/A | 9.5 | 1.1
Voxmeter | N/A | 2024-02-05 | 2024-02-11 | N | 1007 | N/A | 0.1 | 21.5 | 10.8 | 3.7 | 8.3 | 3.6 | 15.8 | 1.9 | 14.0 | 5.0 | N/A | N/A | N/A | N/A | N/A | 6.6 | N/A | 7.7 | 1.1
Voxmeter | N/A | 2024-01-29 | 2024-02-05 | N | 1006 | N/A | 0.1 | 21.1 | 9.4 | 4.4 | 6.6 | 4.5 | 15.9 | 2.2 | 15.3 | 5.8 | N/A | N/A | N/A | N/A | N/A | 5.5 | N/A | 8.0 | 1.2
Epinion | Altinget and DR | 2024-01-24 | 2024-01-31 | E | 1051 | N/A | 1 | 22 | 11 | 7 | 7 | 6 | 10 | 1 | 12 | 6 | N/A | N/A | N/A | N/A | N/A | 7 | N/A | 9 | N/A
Epinion | Altinget and DR | 2024-01-24 | 2024-01-31 | N | 2149 | N/A | 0.1 | 21.6 | 9.4 | 4.5 | 8.2 | 3.9 | 14.6 | 1.8 | 13.1 | 5.2 | N/A | N/A | N/A | N/A | N/A | 5.5 | N/A | 11.1 | N/A
Voxmeter | N/A | 2024-01-22 | 2024-01-28 | N | 1035 | N/A | 0.1 | 23.7 | 11.1 | 3.9 | 8.6 | 4.0 | 13.4 | 2.5 | 12.3 | 5.3 | N/A | N/A | N/A | N/A | N/A | 6.2 | N/A | 7.7 | 1.3
Voxmeter | N/A | 2024-01-14 | 2024-01-21 | N | 1016 | N/A | 0.1 | 22.7 | 10.0 | 3.4 | 8.3 | 4.7 | 13.6 | 2.9 | 13.0 | 5.7 | N/A | N/A | N/A | N/A | N/A | 6.1 | N/A | 8.2 | 1.4
Voxmeter | N/A | 2024-01-08 | 2024-01-14 | N | 1016 | N/A | 0.1 | 22.1 | 11.3 | 3.6 | 8.6 | 5.5 | 12.1 | 2.4 | 13.0 | 4.6 | N/A | 0.9 | N/A | N/A | N/A | 6.8 | N/A | 8.2 | 0.9
Voxmeter | N/A | 2023-12-18 | 2023-12-22 | N | 1017 | N/A | 0.1 | 20.1 | 10.5 | 4.5 | 8.0 | 5.0 | 12.7 | 2.7 | 14.2 | 4.9 | N/A | 1.8 | N/A | N/A | N/A | 5.6 | N/A | 9.0 | 1.0
Voxmeter | N/A | 2023-12-11 | 2023-12-17 | N | 1015 | N/A | 0.1 | 21.3 | 11.3 | 4.3 | 7.4 | 5.3 | 11.9 | 2.7 | 13.0 | 5.3 | N/A | 2.8 | N/A | N/A | N/A | 6.0 | N/A | 8.4 | N/A
Epinion | DR | 2023-12-06 | 2023-12-13 | N | 1652 | N/A | 0.1 | 19.6 | 8.1 | 4.5 | 8.9 | 4.7 | 12.1 | 2.5 | 13.5 | 5.2 | N/A | 2.5 | N/A | N/A | N/A | 6.1 | N/A | 11.3 | N/A
Voxmeter | N/A | 2023-12-04 | 2023-12-10 | N | 1020 | N/A | 0.1 | 20.5 | 11.2 | 4.0 | 8.1 | 4.3 | 12.4 | 2.2 | 13.8 | 4.7 | N/A | 2.3 | N/A | N/A | N/A | 6.4 | N/A | 9.8 | N/A
Voxmeter | N/A | 2023-11-27 | 2023-12-03 | N | 1018 | N/A | 0.1 | 20.1 | 10.2 | 3.7 | 7.9 | 4.5 | 11.9 | 2.8 | 13.6 | 5.3 | N/A | 2.8 | N/A | N/A | N/A | 7.2 | N/A | 9.1 | N/A
Voxmeter | N/A | 2023-11-13 | 2023-11-19 | N | 1033 | N/A | 0.1 | 20.9 | 9.0 | 3.4 | 7.5 | 4.3 | 11.8 | 3.0 | 13.8 | 4.9 | N/A | 2.1 | N/A | N/A | N/A | 7.3 | N/A | 10.9 | 1.1
Epinion | DR | 2023-11-08 | 2023-11-15 | N | 2262 | N/A | 0.1 | 18.2 | 8.3 | 3.8 | 8.3 | 4.3 | 13.1 | 2.2 | 14.6 | 5.7 | N/A | 2.8 | N/A | N/A | N/A | 6.9 | N/A | 10.5 | N/A
Voxmeter | N/A | 2023-11-06 | 2023-11-12 | N | 1036 | N/A | 0.1 | 22.6 | 9.9 | 3.2 | 8.0 | 4.2 | 11.7 | 1.6 | 13.9 | 5.1 | N/A | 1.5 | N/A | N/A | N/A | 7.7 | N/A | 10.2 | 0.4
Voxmeter | N/A | 2023-10-30 | 2023-11-05 | N | 1018 | N/A | 0.1 | 23.0 | 8.8 | 3.7 | 8.6 | 4.1 | 11.9 | 2.1 | 13.0 | 5.7 | N/A | 2.3 | N/A | N/A | N/A | 6.9 | N/A | 9.0 | 0.9
Gallup | Berlingske | 2023-10-03 | 2023-10-03 | N | N/A | N/A | 0.1 | 22.2 | 9.7 | 4.1 | 7.2 | 3.6 | 11.2 | 1.9 | 13.5 | 5.6 | N/A | 2.3 | N/A | N/A | N/A | 8.6 | 0.3 | 8.6 | N/A
Voxmeter | N/A | 2023-09-25 | 2023-10-01 | N | 1029 | N/A | 0.1 | 22.7 | 10.3 | 3.7 | 7.5 | 4.1 | 12.3 | 1.9 | 12.8 | 5.2 | N/A | 2.8 | N/A | N/A | N/A | 7.1 | N/A | 9.1 | 0.5
Epinion | DR | 2023-09-22 | 2023-09-29 | N | 2154 | N/A | 0.1 | 20.4 | 8.7 | 4.8 | 8.4 | 4.1 | 11.7 | 2.0 | 14.4 | 5.1 | N/A | 2.7 | N/A | N/A | N/A | 7.3 | 0.0 | 9.9 | N/A
Voxmeter | N/A | 2023-09-18 | 2023-09-24 | N | 1004 | N/A | 0.1 | 23.3 | 9.3 | 3.1 | 7.4 | 4.8 | 13.1 | 1.8 | 11.7 | 4.9 | N/A | 2.9 | N/A | N/A | N/A | 8.0 | N/A | 8.7 | 1.0
Voxmeter | N/A | 2023-09-11 | 2023-09-17 | N | 1070 | N/A | 0.1 | 23.6 | 9.9 | 3.0 | 6.9 | 4.8 | 12.9 | 2.7 | 12.5 | 5.0 | N/A | 2.9 | N/A | N/A | N/A | 7.2 | N/A | 8.4 | 0.2
YouGov | B.T. | 2023-09-07 | 2023-09-11 | N | 1053 | N/A | 0.1 | 22.7 | 7.3 | 6.5 | 7.4 | 4.1 | 10.0 | 2.5 | 13.1 | 6.6 | N/A | 2.7 | N/A | N/A | N/A | 6.5 | N/A | 9.9 | N/A
Voxmeter | N/A | 2023-08-28 | 2023-09-03 | N | 1003 | N/A | 0.1 | 23.9 | 9.9 | 2.6 | 7.6 | 4.2 | 10.9 | 3.0 | 12.4 | 4.9 | N/A | 2.1 | N/A | N/A | N/A | 9.4 | N/A | 8.9 | 0.2
Epinion | DR | 2023-08-14 | 2023-08-23 | N | 1754 | N/A | 0.1 | 22.9 | 9.7 | 3.4 | 7.5 | 4.6 | 10.9 | 3.1 | 12.3 | 5.4 | N/A | 3.1 | N/A | N/A | N/A | 7.2 | N/A | 9.0 | 0.9
Gallup | Berlingske | 2023-08-16 | 2023-08-22 | N | 1842 | N/A | 0.1 | 22.8 | 11.3 | 3.8 | 6.5 | 3.6 | 8.5 | 2.6 | 12.8 | 7.0 | N/A | 2.7 | N/A | N/A | N/A | 8.0 | 0.5 | 8.9 | N/A
Voxmeter | N/A | 2023-07-31 | 2023-08-07 | N | 1002 | N/A | 0.1 | 24.3 | 9.8 | 3.5 | 7.3 | 4.3 | 10.6 | 2.6 | 14.0 | 4.5 | N/A | 2.7 | N/A | N/A | N/A | 6.8 | N/A | 8.7 | 0.9
Voxmeter | N/A | 2023-06-19 | 2023-06-25 | N | 1002 | N/A | 0.1 | 22.0 | 10.2 | 3.4 | 7.2 | 4.3 | 10.4 | 2.2 | 13.7 | 6.3 | N/A | 2.8 | N/A | N/A | N/A | 7.3 | N/A | 9.5 | 0.7
Voxmeter | N/A | 2023-06-12 | 2023-06-18 | N | 1005 | N/A | 0.1 | 22.9 | 10.5 | 3.2 | 6.7 | 3.6 | 11.2 | 2.0 | 14.3 | 6.6 | N/A | 2.7 | N/A | N/A | N/A | 7.5 | N/A | 8.6 | N/A
Voxmeter | N/A | 2023-06-05 | 2023-06-11 | N | 1040 | N/A | 0.1 | 21.3 | 10.5 | 3.4 | 6.6 | 3.8 | 11.3 | 2.5 | 14.1 | 6.5 | N/A | 1.9 | N/A | N/A | N/A | 8.2 | N/A | 9.4 | N/A
Gallup | Berlingske | 2023-05-31 | 2023-06-06 | N | 2123 | N/A | 0.1 | 21.9 | 10.5 | 4.5 | 7.0 | 4.2 | 10.3 | 2.0 | 13.5 | 6.4 | N/A | 1.8 | N/A | N/A | N/A | 8.0 | 0.4 | 8.7 | 0.5
Voxmeter | N/A | 2023-05-22 | 2023-05-28 | N | 1002 | N/A | 0.1 | 22.4 | 11.2 | 2.8 | 6.8 | 4.3 | 11.0 | 2.6 | 13.6 | 5.3 | N/A | 2.7 | N/A | N/A | N/A | 7.6 | N/A | 9.2 | N/A
Voxmeter | N/A | 2023-05-15 | 2023-05-21 | N | 1019 | N/A | 0.1 | 21.5 | 11.3 | 3.2 | 7.0 | 4.1 | 10.7 | 2.6 | 14.6 | 6.1 | N/A | 2.4 | N/A | N/A | N/A | 6.7 | N/A | 9.2 | 0.6
Voxmeter | N/A | 2023-05-08 | 2023-05-14 | N | 1021 | N/A | 0.1 | 22.1 | 9.7 | 3.0 | 6.9 | 4.3 | 11.9 | 2.9 | 15.1 | 5.4 | N/A | 1.8 | N/A | N/A | N/A | 6.0 | N/A | 10.0 | 0.9
Voxmeter | N/A | 2023-05-01 | 2023-05-07 | N | 1003 | N/A | 0.1 | 21.7 | 10.3 | 3.6 | 7.1 | 4.6 | 10.2 | 2.3 | 15.8 | 5.8 | N/A | 1.0 | N/A | N/A | N/A | 6.2 | N/A | 10.4 | 1.0
Voxmeter | N/A | 2023-04-24 | 2023-04-30 | N | 1012 | N/A | 0.1 | 21.6 | 9.4 | 2.9 | 7.1 | 4.6 | 11.0 | 2.7 | 14.9 | 5.6 | N/A | 1.5 | N/A | N/A | N/A | 7.3 | N/A | 10.8 | 0.6
Epinion | DR | 2023-04-19 | 2023-04-26 | N | 2165 | N/A | 0.1 | 21.1 | 9.0 | 4.1 | 6.4 | 4.2 | 12.6 | 3.1 | 15.3 | 6.0 | N/A | 2.4 | N/A | N/A | N/A | 6.6 | N/A | 8.6 | 0.6
Voxmeter | N/A | 2023-04-17 | 2023-04-23 | N | 1021 | N/A | 0.1 | 22.8 | 10.6 | 2.8 | 6.7 | 4.9 | 9.9 | 3.2 | 13.6 | 5.2 | N/A | 1.7 | N/A | N/A | N/A | 8.4 | N/A | 9.4 | 0.7
Voxmeter | N/A | 2023-04-10 | 2023-04-17 | N | 1038 | N/A | 0.1 | 23.4 | 10.5 | 2.7 | 7.2 | 4.2 | 10.8 | 2.3 | 14.1 | 5.5 | N/A | 1.5 | N/A | N/A | N/A | 8.0 | 0.4 | 9.0 | 0.4
Gallup | Berlingske | 2023-04-07 | 2023-04-13 | N | 1920 | N/A | 0.1 | 20.7 | 10.5 | 3.7 | 5.8 | 3.3 | 10.9 | 2.9 | 14.6 | 6.6 | N/A | 2.3 | N/A | N/A | N/A | 8.0 | 0.6 | 9.2 | 0.9
Voxmeter | N/A | 2023-04-03 | 2023-04-10 | N | 1025 | N/A | 0.1 | 22.4 | 9.4 | 3.4 | 6.7 | 4.0 | 9.4 | 2.5 | 15.0 | 6.2 | N/A | 2.3 | N/A | N/A | N/A | 8.3 | 0.6 | 9.4 | 0.4
Voxmeter | N/A | 2023-03-27 | 2023-04-03 | N | 1044 | N/A | 0.1 | 22.8 | 8.8 | 3.0 | 7.1 | 4.4 | 10.3 | 2.4 | 13.9 | 6.0 | N/A | 2.5 | N/A | N/A | N/A | 8.7 | 0.5 | 9.4 | 0.2
Epinion | DR | 2023-03-22 | 2023-03-28 | N | 2262 | N/A | 0.1 | 20.8 | 9.1 | 4.7 | 7.6 | 3.3 | 11.0 | 2.2 | 13.1 | 5.5 | N/A | 2.7 | N/A | N/A | N/A | 9.0 | 0.6 | 8.9 | 1.5
Voxmeter | N/A | 2023-03-20 | 2023-03-26 | N | 1000 | N/A | 0.1 | 23.6 | 9.5 | 3.9 | 7.0 | 4.0 | 10.5 | 3.2 | 12.7 | 6.3 | N/A | 2.3 | N/A | N/A | N/A | 7.4 | 0.2 | 8.6 | 0.8
Voxmeter | N/A | 2023-03-13 | 2023-03-19 | N | 1019 | N/A | 0.1 | 22.2 | 11.0 | 3.3 | 7.4 | 4.0 | 11.0 | 2.6 | 12.7 | 5.9 | N/A | 2.8 | N/A | N/A | N/A | 8.4 | 0.2 | 8.4 | 0.1
YouGov | B.T. | 2023-03-10 | 2023-03-13 | N | 1242 | N/A | 0.1 | 23.0 | 9.2 | 6.0 | 8.1 | 3.4 | 9.7 | 1.8 | 12.7 | 7.5 | N/A | 2.0 | N/A | N/A | N/A | 5.7 | 0.2 | 10.5 | 0.2
Voxmeter | N/A | 2023-03-06 | 2023-03-12 | N | 1009 | N/A | 0.1 | 21.4 | 10.5 | 2.5 | 7.0 | 4.8 | 12.4 | 2.3 | 13.6 | 5.7 | N/A | 2.9 | N/A | N/A | N/A | 7.9 | 0.5 | 8.3 | 0.2
Voxmeter | N/A | 2023-02-27 | 2023-03-05 | N | 1015 | N/A | 0.1 | 18.6 | 11.9 | 2.6 | 6.6 | 4.3 | 11.9 | 2.2 | 14.5 | 5.2 | N/A | 4.4 | N/A | N/A | N/A | 7.9 | 0.3 | 9.3 | 0.3
Voxmeter | N/A | 2023-02-20 | 2023-02-26 | N | 1002 | N/A | 0.1 | 24.0 | 10.6 | 4.1 | 5.4 | 3.0 | 9.6 | 2.4 | 14.4 | 6.1 | N/A | 3.0 | N/A | N/A | N/A | 8.7 | 0.2 | 8.4 | 0.1
Epinion | DR | 2023-02-14 | 2023-02-20 | N | 1823 | N/A | 0.1 | 21.9 | 9.4 | 4.5 | 7.0 | 4.0 | 10.3 | 3.0 | 12.8 | 6.4 | N/A | 2.3 | N/A | N/A | N/A | 7.5 | 0.7 | 9.9 | 0.3
Voxmeter | N/A | 2023-02-13 | 2023-02-19 | N | 1128 | N/A | 0.1 | 24.8 | 11.4 | 3.0 | 6.2 | 3.2 | 10.0 | 2.8 | 13.1 | 5.6 | N/A | 3.1 | N/A | N/A | N/A | 7.4 | 0.5 | 8.6 | 0.3
Voxmeter | N/A | 2023-02-06 | 2023-02-12 | N | 1029 | N/A | 0.1 | 22.9 | 10.0 | 2.9 | 7.0 | 3.2 | 10.8 | 2.5 | 14.9 | 6.1 | N/A | 3.7 | N/A | N/A | N/A | 7.4 | 0.2 | 8.2 | 0.2
Voxmeter | N/A | 2023-01-30 | 2023-02-05 | N | 1047 | N/A | 0.1 | 22.1 | 12.1 | 3.1 | 6.3 | 3.0 | 10.3 | 3.1 | 14.4 | 5.1 | N/A | 3.3 | N/A | N/A | N/A | 8.1 | 0.0 | 9.0 | 0.1
Gallup | Berlingske | 2023-01-27 | 2023-02-02 | N | 1640 | N/A | 0.1 | 23.1 | 11.1 | 3.0 | 6.6 | 3.3 | 11.5 | 2.8 | 12.8 | 5.4 | N/A | 2.6 | N/A | N/A | N/A | 8.4 | N/A | 8.3 | N/A
Voxmeter | N/A | 2023-01-23 | 2023-01-29 | N | 1004 | N/A | 0.1 | 22.8 | 11.5 | 3.0 | 6.7 | 3.8 | 10.6 | 2.7 | 13.5 | 6.1 | N/A | 2.5 | N/A | N/A | N/A | 8.0 | 0.2 | 8.3 | 0.3
Voxmeter | N/A | 2023-01-16 | 2023-01-22 | N | 1002 | N/A | 0.1 | 24.1 | 11.4 | 3.0 | 6.5 | 3.3 | 10.4 | 3.0 | 13.5 | 4.9 | N/A | 3.1 | N/A | N/A | N/A | 7.7 | 0.5 | 8.4 | 0.2
Voxmeter | N/A | 2023-01-09 | 2023-01-15 | N | 1028 | N/A | 0.1 | 26.0 | 11.5 | 3.3 | 6.5 | 3.6 | 9.4 | 2.8 | 11.7 | 5.1 | N/A | 3.9 | N/A | N/A | N/A | 8.6 | 0.5 | 7.0 | 0.1
Voxmeter | N/A | 2023-01-02 | 2023-01-08 | N | 1017 | N/A | 0.1 | 27.2 | 10.9 | 2.6 | 6.6 | 3.5 | 10.3 | 3.3 | 11.0 | 4.9 | N/A | 2.8 | N/A | N/A | N/A | 9.1 | 0.4 | 7.4 | 0.0
Voxmeter | N/A | 2022-12-19 | 2022-12-22 | N | 1005 | N/A | 0.1 | 27.6 | 10.5 | 1.9 | 5.7 | 3.2 | 11.4 | 2.6 | 10.6 | 5.9 | N/A | 3.2 | N/A | N/A | N/A | 7.7 | 0.8 | 8.7 | 0.2
Epinion | DR | 2022-12-12 | 2022-12-18 | N | 2166 | N/A | 0.1 | 27.0 | 10.6 | 2.5 | 6.5 | 3.8 | 9.6 | 2.4 | 10.4 | 4.3 | N/A | 3.8 | N/A | N/A | N/A | 9.3 | 0.2 | 9.4 | 0.2
Voxmeter | N/A | 2022-12-12 | 2022-12-18 | N | 1003 | N/A | 0.1 | 26.7 | 11.3 | 2.5 | 6.6 | 3.2 | 9.3 | 3.0 | 10.1 | 6.3 | N/A | 3.2 | N/A | N/A | N/A | 8.8 | 0.2 | 8.7 | 0.2
Voxmeter | N/A | 2022-12-05 | 2022-12-11 | N | 1002 | N/A | 0.1 | 28.7 | 13.0 | 2.0 | 5.8 | 3.9 | 9.3 | 3.1 | 9.0 | 5.3 | N/A | 3.9 | N/A | N/A | N/A | 7.1 | 0.4 | 8.4 | 0.2
