Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SN | OPZZh | YeS | Bat’kivshchyna | Holos | SiCh | PSh | OB | RPOL | Svoboda | USH | HP | Samopomich | APU | PZU | RNS | NAShI | NK | NF | ZM | ProPoz | D7 | UDAR | Peremoha | RP | 24 August | Other
СОЦІС | N/A | 2021-09-16 | 2021-09-21 | N | 2000 | N/A | 0.1 | 26.4 | 12.7 | 19.1 | 10.3 | 2.3 | 7.7 | 2.1 | 0.9 | 2.7 | 2.1 | 4.3 | N/A | N/A | N/A | N/A | N/A | 4.8 | N/A | N/A | 1.2 | 0.5 | N/A | N/A | N/A | N/A | N/A | N/A
ЦСМ | N/A | 2021-09-11 | 2021-09-19 | N | 3010 | N/A | 0.1 | 24.7 | 17.1 | 15.9 | 11.2 | 1.6 | 5.8 | 1.1 | 0.7 | 2.7 | 2.4 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | 0.6 | 0.7 | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
КМІС | N/A | 2021-09-10 | 2021-09-15 | N | 2002 | N/A | 0.1 | 20.0 | 11.6 | 17.4 | 10.8 | 0.6 | 7.8 | 3.5 | 5.5 | 5.0 | 1.8 | 5.0 | 2.8 | 2.0 | N/A | N/A | N/A | N/A | 1.0 | N/A | 1.0 | 0.6 | N/A | 2.1 | N/A | N/A | N/A | N/A
Рейтинг | N/A | 2021-09-02 | 2021-09-04 | N | 2500 | N/A | 0.1 | 25.8 | 12.4 | 14.1 | 10.6 | 1.8 | 4.9 | 3.6 | N/A | 4.2 | 2.5 | 4.5 | N/A | N/A | N/A | N/A | N/A | 4.7 | N/A | N/A | 1.5 | N/A | N/A | 3.4 | N/A | N/A | 3.2 | N/A
RDI | N/A | 2021-08-05 | 2021-08-12 | N | 1425 | N/A | 0.1 | 20.4 | 17.5 | 15.6 | 14.2 | N/A | 5.6 | 2.5 | N/A | 3.6 | 1.6 | 4.5 | 1.7 | N/A | N/A | N/A | N/A | 4.1 | N/A | 0.4 | 1.1 | 0.6 | N/A | N/A | 0.3 | N/A | N/A | N/A
Центр Разумкова | N/A | 2021-07-29 | 2021-08-04 | N | 2019 | N/A | 0.1 | 26.6 | 16.2 | 17.0 | 11.4 | 1.1 | 5.9 | 2.1 | 0.7 | 2.9 | 3.0 | 2.9 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.9 | 0.3 | N/A | 1.2 | N/A | N/A | N/A | N/A
СОЦІС | N/A | 2021-07-29 | 2021-08-03 | N | 2000 | N/A | 0.1 | 24.3 | 15.0 | 17.9 | 9.9 | 2.1 | 6.7 | 2.5 | 0.9 | 3.1 | 3.5 | 5.7 | N/A | N/A | N/A | N/A | N/A | 3.8 | N/A | N/A | 0.7 | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A
КМІС | N/A | 2021-07-24 | 2021-08-01 | N | 2028 | N/A | 0.1 | 20.2 | 18.3 | 14.0 | 16.0 | 2.1 | 6.3 | 2.3 | N/A | 4.0 | 3.6 | 4.7 | N/A | N/A | N/A | N/A | N/A | 1.8 | N/A | N/A | 1.6 | 0.6 | N/A | 2.8 | N/A | N/A | N/A | N/A
Рейтинг | N/A | 2021-07-23 | 2021-07-25 | N | 2500 | N/A | 0.1 | 24.1 | 12.4 | 14.3 | 12.8 | 2.0 | 4.1 | 2.6 | N/A | 4.8 | 3.4 | 5.0 | N/A | N/A | N/A | N/A | N/A | 4.8 | N/A | N/A | 1.2 | N/A | N/A | 4.3 | N/A | N/A | N/A | N/A
RDI | N/A | 2021-07-16 | 2021-07-23 | N | 2032 | N/A | 0.1 | 20.9 | 17.6 | 16.3 | 13.2 | N/A | 5.1 | 2.9 | N/A | 3.0 | 2.4 | 4.2 | N/A | N/A | N/A | N/A | N/A | 3.7 | N/A | N/A | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
RDI | N/A | 2021-07-03 | 2021-07-10 | N | 2019 | N/A | 0.1 | 20.6 | 18.1 | 16.4 | 13.6 | N/A | 4.6 | 3.0 | N/A | 3.2 | 2.3 | 4.3 | N/A | N/A | N/A | N/A | N/A | 4.0 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
ЦСМ | N/A | 2021-06-29 | 2021-07-09 | N | 2011 | N/A | 0.1 | 25.8 | 15.9 | 15.5 | 11.9 | 1.2 | 5.8 | 2.0 | 0.8 | 3.3 | 2.2 | 3.4 | 2.6 | 0.3 | N/A | N/A | N/A | N/A | 1.0 | 0.9 | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Рейтинг | N/A | 2021-06-30 | 2021-07-03 | N | 1524 | N/A | 0.1 | 24.9 | 12.8 | 13.5 | 12.3 | 2.0 | 4.8 | 3.7 | N/A | 4.7 | 2.6 | 4.5 | N/A | N/A | N/A | N/A | N/A | 4.3 | N/A | N/A | 1.8 | N/A | N/A | 4.1 | N/A | N/A | N/A | N/A
Центр Разумкова | N/A | 2021-06-11 | 2021-06-16 | N | 2018 | N/A | 0.1 | 28.1 | 15.0 | 19.1 | 10.5 | 1.1 | 6.0 | 0.8 | 1.2 | 2.5 | 2.7 | 3.7 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.4 | 0.1 | N/A | 1.8 | N/A | N/A | N/A | N/A
КМІС | N/A | 2021-06-01 | 2021-06-07 | N | 2003 | N/A | 0.1 | 20.3 | 11.9 | 18.5 | 12.0 | 2.1 | 7.2 | 3.4 | 4.2 | 4.2 | 1.8 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A
СОЦІС | N/A | 2021-05-28 | 2021-06-03 | N | 2000 | N/A | 0.1 | 21.0 | 13.5 | 18.2 | 12.9 | 3.2 | 7.0 | 3.4 | 0.7 | 2.8 | 3.5 | 3.5 | N/A | N/A | N/A | N/A | N/A | 2.2 | N/A | N/A | 2.2 | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A
КМІС | N/A | 2021-05-27 | 2021-06-01 | N | 2000 | N/A | 0.1 | 17.7 | 14.7 | 15.4 | 13.9 | 2.9 | 8.0 | 4.5 | N/A | 5.0 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | 4.6 | N/A | N/A | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
RDI | N/A | 2021-05-14 | 2021-05-21 | N | 2035 | N/A | 0.1 | 22.1 | 18.7 | 18.2 | 13.1 | 2.4 | 4.8 | 3.1 | N/A | 3.7 | 1.8 | 4.3 | N/A | N/A | N/A | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Рейтинг | N/A | 2021-05-16 | 2021-05-18 | N | 2500 | N/A | 0.1 | 24.8 | 13.2 | 13.5 | 11.8 | 3.7 | 5.0 | 3.3 | N/A | 4.1 | 3.8 | 3.8 | N/A | 1.9 | N/A | N/A | N/A | 4.0 | N/A | N/A | 3.1 | N/A | N/A | 4.0 | N/A | N/A | N/A | N/A
ЦСМ | N/A | 2021-04-28 | 2021-05-06 | N | 2181 | N/A | 0.1 | 23.5 | 20.1 | 17.9 | 11.8 | 1.6 | 4.9 | 2.9 | 0.4 | 3.3 | 1.1 | N/A | N/A | 0.7 | N/A | N/A | N/A | N/A | N/A | 0.4 | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
RDI | N/A | 2021-04-23 | 2021-04-30 | N | 2026 | N/A | 0.1 | 20.8 | 18.1 | 17.6 | 13.1 | 2.1 | 4.8 | 2.9 | N/A | 3.8 | 1.9 | 4.5 | N/A | N/A | N/A | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Центр Разумкова | N/A | 2021-04-22 | 2021-04-29 | N | 2021 | N/A | 0.1 | 28.2 | 15.0 | 18.3 | 10.8 | 2.7 | 6.4 | 1.9 | 0.9 | 2.5 | 2.3 | 3.0 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | 1.8 | N/A | N/A | N/A | 0.9 | N/A | N/A | N/A | N/A
Рейтинг | N/A | 2021-04-23 | 2021-04-27 | N | 2000 | N/A | 0.1 | 22.8 | 13.7 | 14.4 | 12.2 | 2.8 | 3.2 | 3.6 | N/A | 3.7 | 3.4 | N/A | N/A | 2.2 | N/A | N/A | N/A | 2.5 | N/A | 1.5 | 3.0 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A
КМІС | N/A | 2021-04-16 | 2021-04-22 | N | 2003 | N/A | 0.1 | 21.3 | 12.2 | 17.7 | 10.2 | 1.6 | 7.6 | 3.4 | 3.3 | 4.1 | 1.8 | 3.9 | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | 1.4 | 0.7 | N/A | 2.8 | N/A | N/A | N/A | N/A
СОЦІС | N/A | 2021-04-08 | 2021-04-12 | N | 2000 | N/A | 0.1 | 22.7 | 12.0 | 20.4 | 10.8 | 3.3 | 6.4 | 1.5 | 0.9 | 3.1 | 3.8 | 4.8 | N/A | N/A | N/A | N/A | N/A | 1.9 | N/A | N/A | 1.1 | 0.7 | N/A | N/A | N/A | N/A | N/A | N/A
Рейтинг | N/A | 2021-03-23 | 2021-03-24 | N | 2500 | N/A | 0.1 | 20.8 | 14.8 | 15.0 | 12.4 | 3.5 | 5.0 | N/A | N/A | 4.6 | 2.9 | 5.0 | N/A | N/A | N/A | N/A | N/A | 3.1 | N/A | 2.0 | 2.4 | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A
Центр Разумкова | N/A | 2021-03-05 | 2021-03-09 | N | 2018 | N/A | 0.1 | 26.5 | 17.9 | 20.1 | 9.4 | 3.4 | 5.2 | 1.6 | 1.2 | 2.0 | 3.4 | 3.0 | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1 | N/A | N/A | N/A | N/A
Рейтинг | N/A | 2021-03-02 | 2021-03-03 | N | 2500 | N/A | 0.1 | 19.5 | 14.3 | 14.7 | 12.3 | 3.1 | 5.3 | 2.6 | N/A | 5.0 | 2.8 | 5.3 | N/A | N/A | N/A | N/A | N/A | 4.0 | N/A | 1.9 | 3.0 | N/A | N/A | 2.7 | N/A | N/A | N/A | N/A
КМІС | N/A | 2021-02-23 | 2021-03-01 | N | 1207 | N/A | 0.1 | 21.3 | 18.1 | 15.0 | 14.4 | 3.6 | 5.0 | 2.6 | N/A | 4.4 | 4.4 | 3.7 | N/A | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | 0.0 | N/A | 2.6 | N/A | N/A | N/A | N/A
Рейтинг | N/A | 2021-02-22 | 2021-02-23 | N | 2500 | N/A | 0.1 | 19.7 | 14.2 | 16.2 | 12.0 | 3.3 | 4.4 | 3.2 | N/A | 4.9 | 3.8 | 5.1 | N/A | N/A | N/A | N/A | N/A | 3.5 | N/A | 1.9 | 2.8 | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A
КМІС | N/A | 2021-02-11 | 2021-02-16 | N | 3000 | N/A | 0.1 | 17.6 | 17.8 | 19.2 | 11.4 | 2.8 | 8.5 | 2.9 | 0.9 | 4.8 | 3.4 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7 | 0.7 | N/A | N/A | N/A | N/A | N/A | N/A
Рейтинг | N/A | 2021-02-02 | 2021-02-03 | N | 2000 | N/A | 0.1 | 18.6 | 18.9 | 15.2 | 12.2 | 3.5 | N/A | 3.4 | 2.3 | 4.7 | 3.1 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A
Info Sapiens | N/A | 2021-02-01 | 2021-02-03 | N | 2012 | N/A | 0.1 | 13.5 | 19.8 | 17.0 | 14.7 | 2.6 | 7.4 | 3.1 | N/A | 6.1 | 3.3 | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A
Центр Разумкова | N/A | 2021-01-29 | 2021-02-03 | N | 2019 | N/A | 0.5 | 22.0 | 22.0 | 18.0 | 10.0 | 3.0 | N/A | 2.0 | 1.0 | 2.5 | 2.5 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.0 | N/A | N/A | N/A | N/A
КМІС | N/A | 2021-01-27 | 2021-02-01 | N | 1205 | N/A | 0.1 | 18.2 | 24.1 | 15.6 | 10.3 | 2.4 | 6.4 | 3.2 | N/A | 4.6 | 3.6 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7 | 0.1 | N/A | 1.7 | N/A | N/A | N/A | N/A
ЦСМ | N/A | 2021-01-15 | 2021-01-25 | N | 3014 | N/A | 0.1 | 22.6 | 20.7 | 15.6 | 11.3 | 1.2 | 4.9 | 2.2 | 0.9 | 3.8 | 3.3 | 3.3 | 2.5 | 0.5 | N/A | N/A | N/A | N/A | 1.1 | 0.7 | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
КМІС | N/A | 2021-01-22 | 2021-01-22 | N | 1005 | N/A | 0.1 | 11.2 | 20.7 | 15.3 | 12.6 | 5.6 | 8.3 | 4.6 | 3.1 | N/A | 3.8 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | 1.0 | N/A | 4.4 | N/A | N/A | N/A | N/A
Info Sapiens | N/A | 2021-01-21 | 2021-01-05 | N | 1003 | N/A | 0.1 | 23.0 | 21.8 | 23.0 | 12.7 | 0.9 | 4.6 | 1.6 | N/A | 4.7 | 0.7 | 2.3 | N/A | N/A | N/A | N/A | N/A | 0.2 | N/A | N/A | 0.5 | N/A | N/A | 1.4 | N/A | N/A | N/A | N/A
Рейтинг | N/A | 2021-01-02 | 2021-01-04 | N | 2500 | N/A | 0.1 | 21.6 | 17.4 | 14.5 | 10.9 | 2.8 | 2.8 | 2.9 | N/A | 5.6 | 3.2 | 5.7 | N/A | N/A | N/A | N/A | N/A | 2.2 | N/A | N/A | 3.7 | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A
КМІС | N/A | 2020-12-17 | 2020-12-23 | N | 1200 | N/A | 0.1 | 20.9 | 23.1 | 14.1 | 9.8 | 3.1 | 4.4 | 2.3 | 1.8 | 6.1 | 2.8 | 5.2 | N/A | 0.4 | N/A | N/A | N/A | 0.8 | N/A | N/A | 2.3 | 0.4 | N/A | 2.2 | N/A | N/A | N/A | N/A
Центр Разумкова | Фонд «Демократичні ініціативи» | 2020-12-04 | 2020-12-13 | N | 2000 | N/A | 1 | 18.0 | 20.0 | 17.0 | 12.0 | 3.0 | 5.0 | 3.0 | 1.0 | 3.0 | 3.0 | 3.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | 0.0 | N/A | 4.0 | 1.0 | N/A | 2.0 | N/A | N/A | N/A | N/A
Центр Разумкова | N/A | 2020-12-05 | 2020-12-09 | N | 1200 | N/A | 0.1 | 26.5 | 17.7 | 19.5 | 8.8 | 2.3 | 4.8 | 2.5 | 1.0 | 1.9 | 2.9 | 3.8 | 1.6 | N/A | N/A | N/A | N/A | 0.6 | N/A | N/A | 1.6 | 0.2 | N/A | 1.3 | 0.9 | N/A | N/A | N/A
ЦСМ | N/A | 2020-09-20 | 2020-09-29 | N | 3014 | N/A | 0.1 | 26.4 | 22.4 | 14.5 | 9.7 | 1.6 | 4.4 | 3.8 | 0.8 | 4.2 | 3.0 | 1.5 | 3.7 | 0.5 | N/A | N/A | N/A | N/A | 1.1 | N/A | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
СОЦІС | N/A | 2020-09-18 | 2020-09-28 | N | 2000 | N/A | 0.1 | 23.3 | 14.3 | 18.4 | 8.3 | 3.3 | 4.5 | 3.3 | 0.9 | 2.6 | 3.6 | 1.8 | 1.7 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | 3.5 | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A
КМІС | N/A | 2020-09-12 | 2020-09-16 | N | 2000 | N/A | 0.1 | 21.5 | 16.3 | 17.8 | 8.7 | 1.3 | 4.0 | 4.1 | 1.8 | 6.3 | 3.3 | 2.8 | 3.1 | 1.8 | N/A | N/A | N/A | N/A | 0.8 | N/A | 1.9 | 1.0 | N/A | 2.6 | N/A | N/A | N/A | 0.9
Рейтинг Group | N/A | 2020-08-29 | 2020-09-03 | N | 10000 | N/A | 0.1 | 25.7 | 16.7 | 15.6 | 9.4 | 4.3 | 4.0 | 3.5 | 0.5 | 6.0 | 2.5 | 2.5 | 0.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4 | N/A | N/A | 1.7 | 2.1 | N/A | N/A | 3.3
RC | N/A | 2020-08-14 | 2020-08-19 | N | 2022 | N/A | 0.1 | 29.5 | 21.7 | 15.5 | 11.5 | 1.8 | 4.6 | 2.2 | 1.5 | 2.7 | 2.4 | 1.3 | 0.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.4 | N/A | N/A | N/A | N/A | 4.1
RTS | N/A | 2020-08-13 | 2020-08-16 | N | 3000 | N/A | 0.1 | 25.5 | 22.1 | 16.9 | 7.4 | 1.3 | 3.1 | 5.5 | 0.9 | 2.5 | 1.4 | 1.6 | 1.1 | 0.8 | N/A | N/A | N/A | N/A | 0.2 | N/A | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A | 8.8
ЦСМ | N/A | 2020-08-08 | 2020-08-15 | N | 3012 | N/A | 0.1 | 27.4 | 21.8 | 12.8 | 10.1 | 1.8 | 5.0 | 3.7 | 0.9 | 3.4 | 2.4 | 1.4 | 3.8 | 0.9 | N/A | N/A | N/A | N/A | 1.1 | N/A | 0.8 | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
